external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Hammarby,Astrit Selmani,Jeppe Andrup Andersen,50,52,36.0,50.0,0,3,Pass accurate,,-0.0039105920314679715,0.8821105643271655,1,False,False,False,,,,,
1,Hammarby,Jeppe Andrup Andersen,Darijan Bojanic,37,52,43.0,69.0,0,3,Pass accurate,,0.000914993173208381,0.8375801143935522,1,False,False,False,,,,,
2,Hammarby,Darijan Bojanic,Mads Fenger Nielsen,41,66,33.0,21.0,3,6,Pass accurate,,-0.0017259295655453564,0.8744697364164162,1,False,False,False,,,,,
3,Hammarby,Mads Fenger Nielsen,Mohammed Aziz Ouattara,32,18,43.0,17.0,5,8,Pass accurate,,0.00267892683696312,0.815143415725749,1,False,False,False,,,,,
4,Hammarby,Mohammed Aziz Ouattara,Simon Sandberg,42,14,36.0,5.0,6,9,Pass accurate,,-0.0025814624605228226,0.9023035023491086,1,False,False,False,,,,,
5,Hammarby,Simon Sandberg,,36,5,63.0,1.0,7,10,Pass inaccurate,,,0.6886848898944594,1,False,False,False,,,,,
6,Kalmar FF,Nils Fröling,Carl Gustafsson,37,99,37.0,86.0,14,17,Pass accurate,,0.0016627165462302432,0.8662485181237785,1,False,False,True,Throw-in,,,,
7,Kalmar FF,Carl Gustafsson,Nils Fröling,35,87,37.0,96.0,14,17,Pass accurate,,-0.0016627165462302432,0.6601830961264186,1,False,False,False,Throw-in,,,,
8,Kalmar FF,Nils Fröling,,38,95,64.0,83.0,16,19,Pass inaccurate,,,0.5974954563592183,1,False,False,False,Throw-in,,,,
9,Hammarby,Mads Fenger Nielsen,,36,17,42.0,8.0,19,22,Pass inaccurate,,,0.8353959019375911,1,False,False,False,,,,,
10,Kalmar FF,Nils Fröling,Oliver Berg,58,92,60.0,84.0,21,24,Pass accurate,,0.005055823931346709,0.7159129902123968,1,False,False,False,Throw-in,,,,
11,Kalmar FF,Oliver Berg,Carl Gustafsson,59,85,48.0,85.0,21,24,Pass accurate,,-0.005326292093645234,0.8372060243118334,1,False,False,False,Throw-in,,,,
12,Kalmar FF,Carl Gustafsson,Nils Fröling,62,86,63.0,96.0,24,27,Pass accurate,,-0.002372399841753102,0.5534936868362479,1,False,False,False,Throw-in,,,,
13,Kalmar FF,Carl Gustafsson,,48,85,62.0,86.0,21,27,Carry,,0.005326292093645234,,1,False,False,False,Throw-in,,,,
14,Kalmar FF,Nils Fröling,Douglas Bergqvist,63,96,42.0,96.0,25,28,Pass accurate,,-0.004577611136330586,0.6916243824179573,1,False,False,False,Throw-in,,,,
15,Kalmar FF,Douglas Bergqvist,Rasmus Sjöstedt,42,97,31.0,78.0,27,30,Pass accurate,,-0.0013725546814157465,0.8805653952457727,1,False,False,False,Throw-in,,,,
16,Kalmar FF,Rasmus Sjöstedt,Lars Saetra,29,74,29.0,56.0,29,32,Pass accurate,,0.000632147095620355,0.8766332856334041,1,False,False,False,,,,,
17,Kalmar FF,Lars Saetra,Romario Pereira Sipiao,28,58,32.0,60.0,31,34,Pass accurate,,,0.7101201696860117,1,False,False,False,,,,,
18,Kalmar FF,Romario Pereira Sipiao,Nils Fröling,31,51,17.0,9.0,33,36,Pass accurate,,-0.003635199009347643,0.917873995318485,1,False,False,False,,,,,
19,Kalmar FF,Nils Fröling,Lucas Hägg Johansson,11,13,4.0,30.0,38,41,Pass accurate,,0.00010454582549803033,0.9059113838015763,1,False,False,False,,,,,
20,Kalmar FF,Lucas Hägg Johansson,,3,31,23.0,1.0,39,42,Pass inaccurate,,,0.9427107959343649,1,False,False,False,,,,,
21,Hammarby,Mohanad Jeahze,Gustav Ludwigson,77,99,93.0,89.0,46,49,Pass accurate,,0.019699728366354242,0.5578795036989062,1,False,False,True,Throw-in,,,,
22,Kalmar FF,Nils Fröling,,7,10,,,50,55,Tackle successful,,,,1,False,False,False,,,,,
23,Kalmar FF,Nils Fröling,,7,10,,,50,55,Challenge unsuccessful,,,,1,False,False,False,,,,,
24,Hammarby,Mohanad Jeahze,Gustav Ludwigson,88,99,93.0,91.0,61,64,Pass accurate,,0.013485292563502387,0.5664397855556546,2,False,False,True,Throw-in,,,,
25,Kalmar FF,Nils Fröling,,7,7,,,63,68,Tackle successful,,,,2,False,False,False,,,,,
26,Kalmar FF,Nils Fröling,,7,7,,,63,68,Challenge unsuccessful,,,,2,False,False,False,,,,,
27,Hammarby,Mohanad Jeahze,Jeppe Andrup Andersen,89,99,76.0,89.0,72,75,Pass accurate,,-0.006214435802851855,0.7263465272570471,2,False,False,True,Throw-in,,,,
28,Hammarby,Jeppe Andrup Andersen,Mohanad Jeahze,77,91,90.0,94.0,73,76,Pass accurate,,0.006214435802851855,0.6673991965347327,2,False,False,False,Throw-in,,,,
29,Hammarby,Mohanad Jeahze,Darijan Bojanic,88,95,86.0,91.0,76,79,Pass accurate,,,0.4967159692080631,2,False,False,False,Throw-in,,,,
30,Hammarby,Darijan Bojanic,Björn Paulsen,85,93,61.0,87.0,78,81,Pass accurate,,-0.01345532074882435,0.7990221849083279,2,False,False,False,Throw-in,,,,
31,Hammarby,Björn Paulsen,Mads Fenger Nielsen,61,86,55.0,59.0,80,83,Pass accurate,,-0.0015968845108057343,0.8309226876833072,2,False,False,False,Throw-in,,,,
32,Hammarby,Mads Fenger Nielsen,Björn Paulsen,59,72,53.0,81.0,84,87,Pass accurate,,-0.0041304698233783944,0.8395804432301364,2,False,False,False,Throw-in,,,,
33,Hammarby,Mads Fenger Nielsen,,55,59,59.0,72.0,80,87,Carry,,0.0025385633317335232,,2,False,False,False,Throw-in,,,,
34,Hammarby,Björn Paulsen,Jeppe Andrup Andersen,52,82,62.0,96.0,85,88,Pass accurate,,0.0008163911606975036,0.5360776486604872,2,False,False,False,Throw-in,,,,
35,Hammarby,Jeppe Andrup Andersen,,67,93,92.0,89.0,86,89,Pass inaccurate,,,0.5691820024991622,2,False,False,False,Throw-in,,,,
36,Hammarby,Jeppe Andrup Andersen,,62,96,67.0,93.0,85,89,Carry,,0.003925326525479712,,2,False,False,False,Throw-in,,,,
37,Kalmar FF,Lars Saetra,,8,11,,,89,94,Clearance accurate,,,,2,False,False,False,,,,,
38,Kalmar FF,Nils Fröling,,24,5,31.0,1.0,91,94,Pass inaccurate,,,0.8645561678024244,2,False,False,False,,,,,
39,Hammarby,Darijan Bojanic,Astrit Selmani,69,99,90.0,93.0,101,104,Pass accurate,,0.01190239406509774,0.38677443445573767,2,False,False,True,Throw-in,,,,
40,Kalmar FF,Lars Saetra,,8,7,,,102,107,Tackle successful,,,,2,False,False,False,,,,,
41,Kalmar FF,Lars Saetra,,8,7,,,102,107,Challenge unsuccessful,,,,2,False,False,False,,,,,
42,Hammarby,Mohanad Jeahze,Darijan Bojanic,87,99,79.0,87.0,113,116,Pass accurate,,-0.0036182139716395,0.6891824350430961,2,False,False,False,Throw-in,,,,
43,Hammarby,Darijan Bojanic,Jeppe Andrup Andersen,77,84,63.0,80.0,115,118,Pass accurate,,-0.00983710677718485,0.8233083583005797,2,False,False,False,Throw-in,,,,
44,Hammarby,Jeppe Andrup Andersen,Oliver Dovin,35,78,10.0,60.0,124,127,Pass accurate,,-0.001934326294299897,0.9378059101039934,3,False,False,False,,,,,
45,Hammarby,Oliver Dovin,Mads Fenger Nielsen,11,58,19.0,54.0,129,132,Pass accurate,,0.0003557295709069267,0.9094623924330689,3,False,False,False,,,,,
46,Hammarby,Mads Fenger Nielsen,Mohammed Aziz Ouattara,17,47,30.0,5.0,131,134,Pass accurate,,-0.001089568789731224,0.8607291522522537,3,False,False,False,,,,,
47,Hammarby,Mohammed Aziz Ouattara,,37,6,89.0,26.0,136,139,Pass into the box,,,,3,False,False,False,,,,,
48,Hammarby,Mohammed Aziz Ouattara,,37,6,89.0,26.0,136,139,Pass inaccurate,,,0.31921046003434195,3,False,False,False,,,,,
49,Kalmar FF,Lucas Hägg Johansson,,11,74,,,138,143,Interception succesful,,,,3,False,False,False,,,,,
50,Kalmar FF,Lucas Hägg Johansson,,11,74,,,138,143,Challenge unsuccessful,,,,3,False,False,False,,,,,
51,Kalmar FF,Lucas Hägg Johansson,Lars Saetra,9,55,18.0,50.0,141,151,Pass accurate,,,,3,False,False,False,,,,,
52,Kalmar FF,Lucas Hägg Johansson,Lars Saetra,9,55,18.0,50.0,141,151,Goalkeeper throw accurate,,,,3,False,False,False,,,,,
53,Kalmar FF,Lars Saetra,Carl Gustafsson,17,48,26.0,49.0,148,151,Pass accurate,,0.0013899267940917174,0.8557261826621854,3,False,False,False,,,,,
54,Kalmar FF,Carl Gustafsson,Nils Fröling,24,48,29.0,7.0,149,152,Pass accurate,,-0.001089568789731224,0.9048174262882382,3,False,False,False,,,,,
55,Hammarby,Mohanad Jeahze,,74,91,,,152,157,Tackle successful,,,,3,False,False,False,,,,,
56,Hammarby,Mohanad Jeahze,,74,91,,,152,157,Challenge unsuccessful,,,,3,False,False,False,,,,,
57,Kalmar FF,Romario Pereira Sipiao,,12,29,,,158,163,Interception succesful,,,,3,False,False,False,,,,,
58,Kalmar FF,Romario Pereira Sipiao,,12,29,,,158,163,Challenge unsuccessful,,,,3,False,False,False,,,,,
59,Hammarby,Astrit Selmani,,94,85,80.0,78.0,158,161,Pass inaccurate,,,0.6867237378747689,3,False,False,False,,,,,
60,Kalmar FF,Romario Pereira Sipiao,Oliver Berg,20,22,31.0,23.0,160,163,Pass accurate,,0.0014354491175794844,0.7957775161160153,3,False,False,False,,,,,
61,Kalmar FF,Oliver Berg,Jonathan Ring,31,22,33.0,7.0,161,164,Pass accurate,,-0.001348856074303859,0.8748991322818941,3,False,False,False,,,,,
62,Kalmar FF,Jonathan Ring,Romario Pereira Sipiao,32,6,29.0,10.0,164,167,Pass accurate,,,0.71990179113048,3,False,False,False,,,,,
63,Kalmar FF,Romario Pereira Sipiao,Nils Fröling,30,13,31.0,29.0,166,169,Pass accurate,,0.0007316033895666627,0.8281838002614661,3,False,False,False,,,,,
64,Kalmar FF,Jonathan Ring,,79,12,,,167,192,Final third entry,,,,3,False,False,False,,,,,
65,Kalmar FF,Jonathan Ring,,87,24,,,167,177,Penalty box entry successful,,,,3,False,False,False,,,,,
66,Kalmar FF,Nils Fröling,Jonathan Ring,39,22,68.0,5.0,169,172,Pass accurate,,0.010004458598264543,0.6164768708095374,3,False,False,False,,,,,
67,Kalmar FF,Jonathan Ring,Oliver Berg,86,23,87.0,45.0,176,179,Pass accurate,,0.09562862985205459,0.5730109125053624,3,False,False,False,,,,,
68,Kalmar FF,Jonathan Ring,,68,5,86.0,23.0,169,179,Carry,,0.013795264962309477,,3,False,False,False,,,,,
69,Kalmar FF,Oliver Berg,Sebastian Ring,86,44,85.0,63.0,178,181,Pass accurate,,-0.07344709308876063,0.6490051427536875,3,False,False,False,,,,,
70,Kalmar FF,Oliver Berg,Sebastian Ring,86,44,85.0,63.0,178,181,Key pass,,,0.6490051427536875,3,False,False,False,,,,,
71,Kalmar FF,Sebastian Ring,,86,59,,,179,182,Wide shot,0.09247115124882868,,,3,False,False,False,,,,True,
72,Hammarby,Oliver Dovin,,14,41,,,179,182,Goalkeeper wide shot,,,,3,False,False,False,,,,,
73,Kalmar FF,Sebastian Ring,,86,59,,,179,182,Shot,0.09247115124882868,,,3,False,False,False,,,Left Foot,True,
74,Hammarby,Oliver Dovin,Gustav Ludwigson,8,48,46.0,92.0,201,204,Pass accurate,,0.0010799448362465852,0.6486111163829152,4,False,False,False,,,,,
75,Hammarby,Gustav Ludwigson,,47,95,58.0,79.0,204,207,Pass inaccurate,,,0.7649597579416691,4,False,False,False,,,,,
76,Kalmar FF,Romario Pereira Sipiao,,42,21,,,205,210,Interception succesful,,,,4,False,False,False,,,,,
77,Kalmar FF,Romario Pereira Sipiao,,42,21,,,205,210,Challenge unsuccessful,,,,4,False,False,False,,,,,
78,Kalmar FF,Romario Pereira Sipiao,Lars Saetra,34,10,41.0,9.0,208,211,Pass accurate,,,0.7260786316426503,4,False,False,False,,,,,
79,Hammarby,Björn Paulsen,,37,87,,,210,215,Tackle successful,,,,4,False,False,False,,,,,
80,Hammarby,Björn Paulsen,,37,87,,,210,215,Challenge unsuccessful,,,,4,False,False,False,,,,,
81,Kalmar FF,Lars Saetra,Jonathan Ring,40,9,62.0,13.0,210,213,Pass accurate,,0.00845751783526927,0.634962578561235,4,False,False,False,,,,,
82,Kalmar FF,Jonathan Ring,,44,11,,,214,217,Foul,,,,4,False,False,False,,,,,
83,Kalmar FF,Rasmus Sjöstedt,,20,16,,,219,224,Interception succesful,,,,4,False,False,False,,,,,
84,Kalmar FF,Rasmus Sjöstedt,,20,16,,,219,224,Challenge unsuccessful,,,,4,False,False,False,,,,,
85,Kalmar FF,Rasmus Sjöstedt,,16,8,26.0,11.0,223,226,Pass inaccurate,,,0.8402213377898078,4,False,False,False,,,,,
86,Hammarby,Mohanad Jeahze,,74,89,,,223,248,Final third entry,,,,4,False,False,False,,,,,
87,Hammarby,Akinkunmi Ayobami Amoo,,87,47,,,225,235,Penalty box entry successful,,,,4,False,False,False,,,,,
88,Hammarby,Mohanad Jeahze,Mohammed Aziz Ouattara,62,88,69.0,75.0,225,228,Pass accurate,,0.0073100836892200545,0.7249883952226703,4,False,False,False,,,,,
89,Hammarby,Mohammed Aziz Ouattara,Darijan Bojanic,69,73,70.0,86.0,226,229,Pass accurate,,-0.0006536310385191826,0.7849380677907181,4,False,False,False,,,,,
90,Hammarby,Darijan Bojanic,Mohanad Jeahze,70,86,92.0,92.0,229,232,Pass accurate,,0.022002929464859784,0.5957126143211566,4,False,False,False,,,,,
91,Hammarby,Mohanad Jeahze,Akinkunmi Ayobami Amoo,92,89,90.0,48.0,231,234,Pass into the box,,,,4,False,False,False,,,,,
92,Hammarby,Mohanad Jeahze,Akinkunmi Ayobami Amoo,92,89,90.0,48.0,231,234,Pass accurate,,0.08605040794388417,0.5361081442100412,4,False,False,False,,,,,
93,Hammarby,Mohanad Jeahze,Akinkunmi Ayobami Amoo,92,89,90.0,48.0,231,234,Key pass,,,0.5361081442100412,4,False,False,False,,,,,
94,Hammarby,Mohanad Jeahze,Akinkunmi Ayobami Amoo,92,91,90.0,47.0,232,235,Pass into the box,,,,4,False,False,False,,,,,
95,Hammarby,Mohanad Jeahze,Akinkunmi Ayobami Amoo,92,91,90.0,47.0,232,235,Pass accurate,,0.08605040794388417,0.49702240848032514,4,False,False,False,,,,,
96,Hammarby,Mohanad Jeahze,Akinkunmi Ayobami Amoo,92,91,90.0,47.0,232,235,Cross accurate,,,0.49702240848032514,4,False,False,False,,,,,
97,Kalmar FF,Sebastian Ring,,11,52,,,234,237,Air challenge successful,,,,4,False,False,False,,,,,
98,Kalmar FF,Sebastian Ring,,11,52,,,234,237,Challenge successful,,,,4,False,False,False,,,,,
99,Hammarby,Akinkunmi Ayobami Amoo,,89,50,,,234,237,Air challenge unsuccessful,,,,4,False,False,False,,,,,
100,Hammarby,Akinkunmi Ayobami Amoo,,89,50,,,234,237,Challenge unsuccessful,,,,4,False,False,False,,,,,
101,Hammarby,Akinkunmi Ayobami Amoo,,89,50,,,234,237,Shot on target,0.1505359848367335,,,4,True,False,False,,,,True,-
102,Kalmar FF,Lucas Hägg Johansson,,11,50,,,234,237,Shot on target saved,,,,4,False,False,False,,,,,-
103,Hammarby,Akinkunmi Ayobami Amoo,,89,50,,,234,237,Shot,0.1505359848367335,,,4,True,False,False,,,Header,True,
104,Kalmar FF,Lucas Hägg Johansson,,3,47,,,234,237,Save,0.1505359848367335,,,4,False,False,False,,,Low Saves,True,-
105,Kalmar FF,Lucas Hägg Johansson,Rasmus Sjöstedt,8,49,9.0,61.0,254,257,Pass accurate,,-0.00064313686550126,0.9094623924330689,5,False,False,False,,,,,
106,Kalmar FF,Rasmus Sjöstedt,Douglas Bergqvist,14,65,17.0,92.0,256,259,Pass accurate,,-0.0011065571532435734,0.9205228746528532,5,False,False,False,,,,,
107,Kalmar FF,Douglas Bergqvist,Sebastian Ring,16,91,30.0,95.0,258,261,Pass accurate,,0.0023971182482789184,0.7944478555946757,5,False,False,False,,,,,
108,Kalmar FF,Sebastian Ring,,31,98,31.0,98.0,259,262,Pass inaccurate,,,0.06379811222663587,5,False,False,False,,,,,
109,Hammarby,Mads Fenger Nielsen,,98,2,91.0,45.0,295,305,Right corner inaccurate,,,,5,False,False,False,Corner,Cleared,,,
110,Kalmar FF,Lars Saetra,,9,55,,,297,302,Clearance accurate,,,,5,False,False,False,,,,,
111,Kalmar FF,Jonathan Ring,,15,48,,,300,305,Clearance accurate,,,,6,False,False,False,,,,,
112,Hammarby,Jeppe Andrup Andersen,,71,49,,,301,304,Blocked shot,0.015971306546305623,,,6,False,False,False,Corner,,,True,
113,Hammarby,Jeppe Andrup Andersen,,71,49,,,301,304,Shot,0.015971306546305623,,,6,False,False,False,Corner,,Right Foot,True,
114,Hammarby,Mohanad Jeahze,Darijan Bojanic,51,78,60.0,76.0,306,309,Pass accurate,,0.0031887910024506055,0.7786746468696044,6,False,False,False,Corner,,,,
115,Hammarby,Astrit Selmani,,76,72,,,307,332,Final third entry,,,,6,False,False,False,Corner,,,,
116,Kalmar FF,Isak Jansson,,49,21,,,307,310,Air challenge successful,,,,6,False,False,False,,,,,
117,Kalmar FF,Isak Jansson,,49,21,,,307,310,Challenge successful,,,,6,False,False,False,,,,,
118,Hammarby,Mohanad Jeahze,,50,77,,,307,310,Air challenge unsuccessful,,,,6,False,False,False,Corner,,,,
119,Hammarby,Mohanad Jeahze,,50,77,,,307,310,Challenge unsuccessful,,,,6,False,False,False,Corner,,,,
120,Hammarby,Darijan Bojanic,Mohanad Jeahze,61,74,51.0,79.0,308,311,Pass accurate,,-0.0041304698233783944,0.8439604307630175,6,False,False,False,Corner,,,,
121,Hammarby,Mohanad Jeahze,,56,93,84.0,92.0,310,313,Pass inaccurate,,,0.5403329213656779,6,False,False,False,,,,,
122,Hammarby,Mohanad Jeahze,,51,79,56.0,93.0,308,313,Carry,,-0.0018670329288961035,,6,False,False,False,Corner,,,,
123,Kalmar FF,Lars Saetra,,16,8,29.0,15.0,313,316,Pass inaccurate,,,0.7700797690237755,6,False,False,False,,,,,
124,Hammarby,Astrit Selmani,,71,85,,,314,319,Interception succesful,,,,6,False,False,False,,,,,
125,Hammarby,Astrit Selmani,,71,85,,,314,319,Challenge unsuccessful,,,,6,False,False,False,,,,,
126,Hammarby,Astrit Selmani,,82,52,,,315,320,Goal,0.3024942397429954,,,6,False,False,False,,,,,Bottom-Left
127,Kalmar FF,Lucas Hägg Johansson,,18,48,,,315,320,Goal conceded,0.3024942397429954,,,6,False,False,False,,,,,Bottom-Left
