external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Mjällby AIF,Viktor Gustafson,Jesper Gustavsson,49,52,41.0,49.0,0,3,Pass accurate,,-0.0014212561028738371,0.8606791863384019,1,False,False,False,,,,,
1,Mjällby AIF,Jesper Gustavsson,,43,50,78.0,29.0,1,4,Pass inaccurate,,,0.4956328405836756,1,False,False,False,,,,,
2,IF Elfsborg,Maudo Lamine Jarjué,,22,71,,,3,8,Interception succesful,,,,1,False,False,False,,,,,
3,IF Elfsborg,Maudo Lamine Jarjué,,22,71,,,3,8,Challenge unsuccessful,,,,1,False,False,False,,,,,
4,Mjällby AIF,Mamudu Moro,,79,28,,,4,7,Air challenge successful,,,,1,False,False,False,,,,,
5,Mjällby AIF,Mamudu Moro,,79,28,,,4,7,Challenge successful,,,,1,False,False,False,,,,,
6,IF Elfsborg,Maudo Lamine Jarjué,,22,70,,,4,7,Air challenge unsuccessful,,,,1,False,False,False,,,,,
7,IF Elfsborg,Maudo Lamine Jarjué,,22,70,,,4,7,Challenge unsuccessful,,,,1,False,False,False,,,,,
8,IF Elfsborg,Simon Strand,,26,86,56.0,51.0,6,9,Pass inaccurate,,,0.5532763772817328,1,False,False,False,,,,,
9,Mjällby AIF,Carlos Moros Gracia,,44,49,67.0,39.0,10,13,Pass inaccurate,,,0.6065670418475301,1,False,False,False,,,,,
10,Mjällby AIF,Sam Garyahzon Johnson,,67,39,,,11,16,Offside,,,,1,False,False,False,,,,,
11,IF Elfsborg,Simon Strand,Leo Väisänen,31,71,30.0,38.0,20,23,Pass accurate,,0.0007967997868467257,0.8896402558914637,1,False,False,False,,,,,
12,IF Elfsborg,Leo Väisänen,Christopher Mc Vey,29,31,36.0,6.0,23,26,Pass accurate,,-0.0006341390131263652,0.7577800658473212,1,False,False,False,,,,,
13,IF Elfsborg,Christopher Mc Vey,Leo Väisänen,36,7,25.0,31.0,26,29,Pass accurate,,0.0006341390131263652,0.9060218968868815,1,False,False,False,,,,,
14,IF Elfsborg,Leo Väisänen,Maudo Lamine Jarjué,27,33,26.0,73.0,30,33,Pass accurate,,-0.00039776366689430603,0.9049990307025046,1,False,False,False,,,,,
15,IF Elfsborg,Maudo Lamine Jarjué,Leo Väisänen,27,70,27.0,29.0,33,36,Pass accurate,,0.00039776366689430603,0.9183147481415196,1,False,False,False,,,,,
16,IF Elfsborg,Leo Väisänen,Christopher Mc Vey,31,18,70.0,20.0,36,39,Pass accurate,,0.01426702529251636,0.44829456864326644,1,False,False,False,,,,,
17,IF Elfsborg,Christopher Mc Vey,,70,17,92.0,26.0,38,41,Pass into the box,,,,1,False,False,False,,,,,
18,IF Elfsborg,Christopher Mc Vey,,70,17,92.0,26.0,38,41,Pass inaccurate,,,0.5749202900914785,1,False,False,False,,,,,
19,Mjällby AIF,Carlos Moros Gracia,,8,74,,,40,45,Clearance inaccurate,,,,1,False,False,False,,,,,
20,IF Elfsborg,Christopher Mc Vey,Per Frick,88,0,96.0,31.0,51,54,Pass into the box,,,,1,False,False,False,,,,,
21,IF Elfsborg,Christopher Mc Vey,Per Frick,88,0,96.0,31.0,51,54,Pass accurate,,0.022522360643155076,0.4001030982931648,1,False,False,False,,,,,
22,IF Elfsborg,Alexander Bernhardsson,,90,30,,,52,57,Lost ball,,,,1,False,False,False,,,,,
23,IF Elfsborg,Per Frick,Alexander Bernhardsson,98,29,90.0,34.0,53,56,Pass accurate,,0.005114791392225787,0.5670902162038398,1,False,False,False,,,,,
24,Mjällby AIF,Ivan Kričak,,5,71,34.0,66.0,75,78,Pass inaccurate,,,0.7197260299277928,2,False,False,False,,,,,
25,IF Elfsborg,Frederik Holst,,66,34,,,77,82,Interception unsuccesful,,,,2,False,False,False,,,,,
26,IF Elfsborg,Frederik Holst,,66,34,,,77,82,Challenge successful,,,,2,False,False,False,,,,,
27,Mjällby AIF,Jesper Gustavsson,,31,65,60.0,28.0,80,83,Pass inaccurate,,,0.613239996214179,2,False,False,False,,,,,
28,IF Elfsborg,Simon Strand,,40,72,,,83,88,Clearance inaccurate,,,,2,False,False,False,,,,,
29,Mjällby AIF,Max Watson,Sam Garyahzon Johnson,55,1,70.0,7.0,98,101,Pass accurate,,0.007682531712207553,0.6895894672280872,2,False,False,False,,,,,
30,IF Elfsborg,Jeppe Møldrup Okkels,,27,93,,,99,104,Interception unsuccesful,,,,2,False,False,False,,,,,
31,IF Elfsborg,Jeppe Møldrup Okkels,,27,93,,,99,104,Challenge successful,,,,2,False,False,False,,,,,
32,IF Elfsborg,Maudo Lamine Jarjué,,15,77,,,102,107,Interception succesful,,,,2,False,False,False,,,,,
33,IF Elfsborg,Maudo Lamine Jarjué,,15,77,,,102,107,Challenge unsuccessful,,,,2,False,False,False,,,,,
34,Mjällby AIF,Mamudu Moro,,71,22,79.0,17.0,102,105,Pass inaccurate,,,0.6704928371572034,2,False,False,False,,,,,
35,IF Elfsborg,Simon Strand,,21,83,,,103,108,Clearance inaccurate,,,,2,False,False,False,,,,,
36,Mjällby AIF,Viktor Gustafson,Joel Nilsson,73,16,80.0,7.0,106,109,Pass accurate,,0.002812934946659979,0.7500850124745644,2,False,False,False,,,,,
37,Mjällby AIF,Joel Nilsson,,87,4,93.0,36.0,111,114,Pass into the box,,,,2,False,False,False,,,,,
38,Mjällby AIF,Joel Nilsson,,87,4,93.0,36.0,111,114,Pass inaccurate,,,0.43994355003259705,2,False,False,False,,,,,
39,Mjällby AIF,Joel Nilsson,,87,4,93.0,36.0,111,114,Cross inacurate,,,0.43994355003259705,2,False,False,False,,,,,
40,Mjällby AIF,Joel Nilsson,,80,7,87.0,4.0,106,114,Carry,,0.006001420018364626,,2,False,False,False,,,,,
41,IF Elfsborg,Maudo Lamine Jarjué,,7,64,,,112,117,Clearance inaccurate,,,,2,False,False,False,,,,,
42,Mjällby AIF,Jesper Gustavsson,Max Watson,67,18,63.0,4.0,116,119,Pass accurate,,-0.007775739183648704,0.8991839945293549,2,False,False,False,,,,,
43,IF Elfsborg,Jeppe Møldrup Okkels,,34,96,,,118,123,Interception succesful,,,,2,False,False,False,,,,,
44,IF Elfsborg,Jeppe Møldrup Okkels,,34,96,,,118,123,Challenge unsuccessful,,,,2,False,False,False,,,,,
45,Mjällby AIF,Jesper Gustavsson,,62,4,62.0,5.0,118,121,Pass inaccurate,,,0.1878506068261609,2,False,False,False,,,,,
46,IF Elfsborg,Per Frick,,38,95,43.0,92.0,121,124,Pass inaccurate,,,0.7580572301430195,3,False,False,False,,,,,
47,Mjällby AIF,Jesper Gustavsson,,57,8,,,121,126,Interception succesful,,,,3,False,False,False,,,,,
48,Mjällby AIF,Jesper Gustavsson,,57,8,,,121,126,Challenge unsuccessful,,,,3,False,False,False,,,,,
49,Mjällby AIF,Jesper Gustavsson,Carlos Moros Gracia,58,8,35.0,20.0,122,125,Pass accurate,,-0.00232192688605699,0.8537742300567284,3,False,False,False,,,,,
50,Mjällby AIF,Carlos Moros Gracia,,38,23,63.0,25.0,125,128,Pass inaccurate,,,0.6480588872021841,3,False,False,False,,,,,
51,IF Elfsborg,Emmanuel Boateng,,37,75,,,125,130,Interception succesful,,,,3,False,False,False,,,,,
52,IF Elfsborg,Emmanuel Boateng,,37,75,,,125,130,Challenge unsuccessful,,,,3,False,False,False,,,,,
53,IF Elfsborg,Emmanuel Boateng,Christopher Mc Vey,37,72,31.0,30.0,130,133,Pass accurate,,-0.0009943261759786937,0.8920321916573267,3,False,False,False,,,,,
54,IF Elfsborg,Christopher Mc Vey,,38,19,88.0,64.0,134,137,Pass into the box,,,,3,False,False,False,,,,,
55,IF Elfsborg,Christopher Mc Vey,,38,19,88.0,64.0,134,137,Pass inaccurate,,,0.3638116751479226,3,False,False,False,,,,,
56,Mjällby AIF,Carljohan Eriksson,Joel Nilsson,12,36,30.0,9.0,139,142,Pass accurate,,-1.9274029212415153e-05,0.7376772246385421,3,False,False,False,,,,,
57,Mjällby AIF,Joel Nilsson,Max Watson,34,9,19.0,7.0,142,145,Pass accurate,,-0.002766676567495229,0.945110665265399,3,False,False,False,,,,,
58,Mjällby AIF,Max Watson,,22,7,67.0,36.0,143,146,Pass inaccurate,,,0.3855133046265401,3,False,False,False,,,,,
59,IF Elfsborg,Leo Väisänen,,33,64,,,146,151,Interception succesful,,,,3,False,False,False,,,,,
60,IF Elfsborg,Leo Väisänen,,33,64,,,146,151,Challenge unsuccessful,,,,3,False,False,False,,,,,
61,IF Elfsborg,Leo Väisänen,Maudo Lamine Jarjué,34,66,34.0,80.0,147,150,Pass accurate,,-0.0007481366366179614,0.8612316282472083,3,False,False,False,,,,,
62,IF Elfsborg,Maudo Lamine Jarjué,Tim Rönning,32,79,11.0,59.0,150,153,Pass accurate,,-0.00035052702033209863,0.9373127959400711,3,False,False,False,,,,,
63,IF Elfsborg,Tim Rönning,Maudo Lamine Jarjué,11,55,14.0,77.0,154,157,Pass accurate,,-0.002098803151684909,0.9110734499787234,3,False,False,False,,,,,
64,IF Elfsborg,Maudo Lamine Jarjué,,18,70,64.0,37.0,161,164,Pass inaccurate,,,0.5825893073666402,3,False,False,False,,,,,
65,Mjällby AIF,Ivan Kričak,,36,63,,,163,168,Interception succesful,,,,3,False,False,False,,,,,
66,Mjällby AIF,Ivan Kričak,,36,63,,,163,168,Challenge unsuccessful,,,,3,False,False,False,,,,,
67,Mjällby AIF,Ivan Kričak,Viktor Gustafson,38,64,50.0,47.0,164,167,Pass accurate,,0.004389098628032894,0.7562905213721698,3,False,False,False,,,,,
68,IF Elfsborg,Per Frick,,62,36,,,164,167,Air challenge successful,,,,3,False,False,False,,,,,
69,IF Elfsborg,Per Frick,,62,36,,,164,167,Challenge successful,,,,3,False,False,False,,,,,
70,Mjällby AIF,Ivan Kričak,,38,65,,,164,167,Air challenge unsuccessful,,,,3,False,False,False,,,,,
71,Mjällby AIF,Ivan Kričak,,38,65,,,164,167,Challenge unsuccessful,,,,3,False,False,False,,,,,
72,Mjällby AIF,Viktor Gustafson,Sam Garyahzon Johnson,52,47,64.0,49.0,166,169,Pass accurate,,0.0036748422918038356,0.734785848990408,3,False,False,False,,,,,
73,Mjällby AIF,Sam Garyahzon Johnson,Viktor Gustafson,59,62,53.0,49.0,170,173,Pass accurate,,-0.0035566542822541986,0.8339864863276533,3,False,False,False,,,,,
74,Mjällby AIF,Sam Garyahzon Johnson,,64,49,59.0,62.0,166,173,Carry,,-0.0001181880095496371,,3,False,False,False,,,,,
75,Mjällby AIF,Viktor Gustafson,Elias Andersson,53,50,64.0,35.0,172,175,Pass accurate,,0.0029468746100100376,0.7498396615351555,3,False,False,False,,,,,
76,Mjällby AIF,Joel Nilsson,,70,9,,,173,178,Lost ball,,,,3,False,False,False,,,,,
77,Mjällby AIF,Elias Andersson,Joel Nilsson,64,34,72.0,9.0,174,177,Pass accurate,,0.0022171363426425374,0.6624769769615231,3,False,False,False,,,,,
78,IF Elfsborg,Simon Strand,Simon Olsson,23,99,26.0,88.0,195,198,Pass accurate,,0.0011950902385294143,0.8881808944001801,4,False,False,False,,,,,
79,IF Elfsborg,Simon Olsson,Leo Väisänen,25,79,16.0,58.0,198,201,Pass accurate,,-0.00035052702033209863,0.9338338766763019,4,False,False,False,,,,,
80,IF Elfsborg,Leo Väisänen,Christopher Mc Vey,15,43,19.0,24.0,201,204,Pass accurate,,-0.0009148976376581169,0.9240728564160661,4,False,False,False,,,,,
81,IF Elfsborg,Christopher Mc Vey,Leo Väisänen,20,24,12.0,37.0,204,207,Pass accurate,,0.00010586707248804068,0.921692758948929,4,False,False,False,,,,,
82,IF Elfsborg,Leo Väisänen,Per Frick,15,38,57.0,30.0,207,210,Pass accurate,,0.006583467678020509,0.5900431507346344,4,False,False,False,,,,,
83,IF Elfsborg,Per Frick,,57,28,79.0,20.0,209,212,Pass inaccurate,,,0.5996316527638857,4,False,False,False,,,,,
84,Mjällby AIF,Carlos Moros Gracia,,21,80,,,211,216,Interception succesful,,,,4,False,False,False,,,,,
85,Mjällby AIF,Carlos Moros Gracia,,21,80,,,211,216,Challenge unsuccessful,,,,4,False,False,False,,,,,
86,Mjällby AIF,Carlos Moros Gracia,Carljohan Eriksson,20,79,6.0,47.0,212,215,Pass accurate,,0.0016984009982157315,0.9283834507928648,4,False,False,False,,,,,
87,Mjällby AIF,Carljohan Eriksson,,10,43,53.0,49.0,216,219,Pass inaccurate,,,0.6079145370939728,4,False,False,False,,,,,
88,IF Elfsborg,Maudo Lamine Jarjué,,47,51,,,219,224,Interception unsuccesful,,,,4,False,False,False,,,,,
89,IF Elfsborg,Maudo Lamine Jarjué,,47,51,,,219,224,Challenge successful,,,,4,False,False,False,,,,,
90,IF Elfsborg,Maudo Lamine Jarjué,,47,53,,,220,223,Air challenge unsuccessful,,,,4,False,False,False,,,,,
91,IF Elfsborg,Maudo Lamine Jarjué,,47,53,,,220,223,Challenge unsuccessful,,,,4,False,False,False,,,,,
92,Mjällby AIF,Mamudu Moro,,53,47,,,220,223,Air challenge successful,,,,4,False,False,False,,,,,
93,Mjällby AIF,Mamudu Moro,,53,47,,,220,223,Challenge successful,,,,4,False,False,False,,,,,
94,Mjällby AIF,Jesper Gustavsson,,35,41,46.0,44.0,222,225,Pass inaccurate,,,0.7621403227500723,4,False,False,False,,,,,
95,IF Elfsborg,Emmanuel Boateng,,54,56,,,222,227,Interception succesful,,,,4,False,False,False,,,,,
96,IF Elfsborg,Emmanuel Boateng,,54,56,,,222,227,Challenge unsuccessful,,,,4,False,False,False,,,,,
97,IF Elfsborg,Emmanuel Boateng,Tim Rönning,45,65,19.0,61.0,225,228,Pass accurate,,-0.003724879739859282,0.9373127959400711,4,False,False,False,,,,,
98,IF Elfsborg,Tim Rönning,Maudo Lamine Jarjué,19,59,28.0,67.0,230,233,Pass accurate,,0.0009346435171379321,0.8339274228765702,4,False,False,False,,,,,
99,IF Elfsborg,Maudo Lamine Jarjué,Emmanuel Boateng,29,68,38.0,77.0,232,235,Pass accurate,,0.0006439532062550383,0.8112941972227303,4,False,False,False,,,,,
100,IF Elfsborg,Emmanuel Boateng,Jeppe Møldrup Okkels,42,82,79.0,92.0,237,240,Pass accurate,,0.012567177039617728,0.494053716567401,4,False,False,False,,,,,
101,IF Elfsborg,Jeppe Møldrup Okkels,,76,92,,,237,242,Lost ball,,,,4,False,False,False,,,,,
102,Mjällby AIF,Max Watson,Jesper Gustavsson,17,1,25.0,13.0,244,247,Pass accurate,,0.0026692121910549312,0.8187396439579315,5,False,False,False,,,,,
103,Mjällby AIF,Jesper Gustavsson,Max Watson,26,10,19.0,5.0,246,249,Pass accurate,,-0.0013203561167510723,0.9442268579385591,5,False,False,False,,,,,
104,IF Elfsborg,Simon Olsson,,80,93,,,248,251,Foul,,,,5,False,False,False,,,,,
105,Mjällby AIF,Mamudu Moro,,93,31,,,270,295,Final third entry,,,,5,False,False,False,,,,,
106,Mjällby AIF,Carljohan Eriksson,,19,8,94.0,30.0,271,281,Pass inaccurate,,,,5,False,False,False,,,,,
107,Mjällby AIF,Carljohan Eriksson,,19,8,94.0,30.0,271,281,Goalkeeper kick inaccurate,,,,5,False,False,False,,,,,
108,Mjällby AIF,Mamudu Moro,,94,30,,,275,285,Penalty box entry successful,,,,5,False,False,False,,,,,
109,IF Elfsborg,Maudo Lamine Jarjué,,24,84,,,277,282,Interception unsuccesful,,,,5,False,False,False,,,,,
110,IF Elfsborg,Maudo Lamine Jarjué,,24,84,,,277,282,Challenge successful,,,,5,False,False,False,,,,,
111,Mjällby AIF,Jesper Gustavsson,Mamudu Moro,64,20,93.0,29.0,280,283,Pass into the box,,,,5,False,False,False,,,,,
112,Mjällby AIF,Jesper Gustavsson,Mamudu Moro,64,20,93.0,29.0,280,283,Pass accurate,,0.03704875868898647,0.48406959565739477,5,False,False,False,,,,,
113,Mjällby AIF,Jesper Gustavsson,Mamudu Moro,64,20,93.0,29.0,280,283,Key pass,,,0.48406959565739477,5,False,False,False,,,,,
114,IF Elfsborg,Leo Väisänen,,7,70,,,282,287,Block unsuccessful,,,,5,False,False,False,,,,,
115,Mjällby AIF,Mamudu Moro,,93,30,,,284,287,Wide shot,0.03854119460439453,,,5,False,False,False,,,,True,
116,IF Elfsborg,Tim Rönning,,7,70,,,284,287,Goalkeeper wide shot,,,,5,False,False,False,,,,,
117,Mjällby AIF,Mamudu Moro,,93,30,,,284,287,Shot,0.03854119460439453,,,5,False,False,False,,,Right Foot,True,
118,Mjällby AIF,Jesper Gustavsson,,99,1,96.0,43.0,330,340,Right corner inaccurate,,,,6,False,False,False,Corner,Cleared,,,
119,IF Elfsborg,Frederik Holst,,4,57,,,332,337,Clearance inaccurate,,,,6,False,False,False,,,,,
120,Mjällby AIF,Jesper Gustavsson,Elias Andersson,74,42,88.0,23.0,335,338,Pass into the box,,,,6,False,False,False,Corner,,,,
121,Mjällby AIF,Jesper Gustavsson,Elias Andersson,74,42,88.0,23.0,335,338,Pass accurate,,0.010821904850257542,0.6941433435332638,6,False,False,False,Corner,,,,
122,IF Elfsborg,Per Frick,,10,71,,,338,343,Block unsuccessful,,,,6,False,False,False,,,,,
123,Mjällby AIF,Elias Andersson,Ivan Kričak,99,1,94.0,63.0,361,371,Right corner accurate,,,,7,False,False,False,Corner,Chance Created,,,
124,IF Elfsborg,Per Frick,,3,52,,,365,370,Clearance inaccurate,,,,7,False,False,False,,,,,
125,Mjällby AIF,Ivan Kričak,,94,63,,,366,369,Air challenge unsuccessful,,,,7,False,False,False,Corner,,,,
126,Mjällby AIF,Ivan Kričak,,94,63,,,366,369,Challenge unsuccessful,,,,7,False,False,False,Corner,,,,
127,IF Elfsborg,Emmanuel Boateng,,6,40,,,366,369,Air challenge successful,,,,7,False,False,False,,,,,
128,IF Elfsborg,Emmanuel Boateng,,6,40,,,366,369,Challenge successful,,,,7,False,False,False,,,,,
129,Mjällby AIF,Ivan Kričak,,94,61,,,366,369,Wide shot,0.12068297338757669,,,7,True,False,False,Corner,,,True,
130,IF Elfsborg,Tim Rönning,,6,39,,,366,369,Goalkeeper wide shot,,,,7,False,False,False,,,,,
131,Mjällby AIF,Ivan Kričak,,94,61,,,366,369,Shot,0.12068297338757669,,,7,True,False,False,Corner,,Header,True,
132,IF Elfsborg,Jeppe Møldrup Okkels,,6,58,,,368,373,Clearance inaccurate,,,,7,False,False,False,,,,,
133,Mjällby AIF,Max Watson,,92,50,92.0,50.0,368,371,Pass inaccurate,,,0.2118205189506271,7,False,False,False,Corner,,,,
134,Mjällby AIF,Elias Andersson,Joel Nilsson,97,5,86.0,5.0,374,377,Pass accurate,,-0.02599741386060056,0.7306591385266495,7,False,False,False,Corner,,,,
135,IF Elfsborg,Jeppe Møldrup Okkels,,13,93,,,376,381,Tackle unsuccessful,,,,7,False,False,False,,,,,
136,IF Elfsborg,Jeppe Møldrup Okkels,,13,93,,,376,381,Challenge successful,,,,7,False,False,False,,,,,
137,Mjällby AIF,Carlos Moros Gracia,,94,43,,,395,400,Lost ball,,,,7,False,False,False,,,,,
138,Mjällby AIF,Max Watson,Carlos Moros Gracia,86,1,93.0,45.0,395,398,Pass into the box,,,,7,False,False,False,,,,,
139,Mjällby AIF,Max Watson,Carlos Moros Gracia,86,1,93.0,45.0,395,398,Pass accurate,,0.22693486966893,0.3845060047642847,7,False,False,False,,,,,
140,Mjällby AIF,Carlos Moros Gracia,,94,45,,,398,401,Air challenge successful,,,,7,False,False,False,,,,,
141,Mjällby AIF,Carlos Moros Gracia,,94,45,,,398,401,Challenge successful,,,,7,False,False,False,,,,,
142,IF Elfsborg,Frederik Holst,,6,58,,,398,401,Air challenge unsuccessful,,,,7,False,False,False,,,,,
143,IF Elfsborg,Frederik Holst,,6,58,,,398,401,Challenge unsuccessful,,,,7,False,False,False,,,,,
144,IF Elfsborg,Emmanuel Boateng,,8,42,,,398,403,Clearance inaccurate,,,,7,False,False,False,,,,,
145,Mjällby AIF,Kadir Hodzic,Jesper Gustavsson,73,93,46.0,79.0,404,407,Pass accurate,,-0.006879218777371843,0.8159498435095146,7,False,False,False,,,,,
146,Mjällby AIF,Jesper Gustavsson,Max Watson,42,74,41.0,33.0,407,410,Pass accurate,,-0.0010921428138452767,0.8472414611209218,7,False,False,False,,,,,
147,Mjällby AIF,Max Watson,,45,35,70.0,100.0,412,415,Pass inaccurate,,,0.1301833771998599,7,False,False,False,,,,,
148,IF Elfsborg,Christopher Mc Vey,,30,0,30.0,0.0,431,434,Pass inaccurate,,,0.5380484237949393,8,False,False,False,,,,,
149,Mjällby AIF,Jesper Gustavsson,,42,83,,,432,437,Interception unsuccesful,,,,8,False,False,False,,,,,
150,Mjällby AIF,Jesper Gustavsson,,42,83,,,432,437,Challenge successful,,,,8,False,False,False,,,,,
151,IF Elfsborg,Alexander Bernhardsson,,56,17,,,433,436,Air challenge successful,,,,8,False,False,False,,,,,
152,IF Elfsborg,Alexander Bernhardsson,,56,17,,,433,436,Challenge successful,,,,8,False,False,False,,,,,
153,Mjällby AIF,Jesper Gustavsson,,44,87,,,433,436,Air challenge unsuccessful,,,,8,False,False,False,,,,,
154,Mjällby AIF,Jesper Gustavsson,,44,87,,,433,436,Challenge unsuccessful,,,,8,False,False,False,,,,,
155,IF Elfsborg,Christopher Mc Vey,,53,0,73.0,18.0,442,445,Pass inaccurate,,,0.6318983358272771,8,False,False,False,,,,,
156,Mjällby AIF,Jesper Gustavsson,,27,82,,,442,447,Interception succesful,,,,8,False,False,False,,,,,
157,Mjällby AIF,Jesper Gustavsson,,27,82,,,442,447,Challenge unsuccessful,,,,8,False,False,False,,,,,
158,Mjällby AIF,Jesper Gustavsson,Ivan Kričak,26,80,23.0,57.0,443,446,Pass accurate,,5.202550574828074e-06,0.9214581006490445,8,False,False,False,,,,,
159,Mjällby AIF,Viktor Gustafson,,28,59,,,444,449,Lost ball,,,,8,False,False,False,,,,,
