external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,AIK,Nicolas Stefanelli,Alexander Milošević,49,52,31.0,35.0,0,3,pass accurate,,-0.0029860075288443075,0.8996490206578792,1,False,False,False,nan,nan,nan,,nan
1,AIK,Alexander Milošević,Erick Ouma Otieno,31,38,33.0,88.0,3,6,pass accurate,,-0.0031310965677204972,0.8241917832606667,1,False,False,False,nan,nan,nan,,nan
2,AIK,Erick Ouma Otieno,Sotirios Papagiannopoulos,37,89,26.0,85.0,7,10,pass accurate,,7.891727226244476e-05,0.9183958428384005,1,False,False,False,nan,nan,nan,,nan
3,AIK,Sotirios Papagiannopoulos,,27,93,69.0,92.0,10,13,pass inaccurate,,,0.46813721782164075,1,False,False,False,nan,nan,nan,,nan
4,IF Elfsborg,Johan Larsson,,31,8,29.0,13.0,13,16,pass inaccurate,,,0.5576199847934454,1,False,False,False,nan,nan,nan,,nan
5,AIK,Nabil Bahoui,,71,87,89.0,64.0,15,18,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
6,AIK,Nabil Bahoui,,71,87,89.0,64.0,15,18,pass inaccurate,,,0.5485689559055756,1,False,False,False,nan,nan,nan,,nan
7,IF Elfsborg,Tim Rönning,,11,36,,,18,23,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
8,IF Elfsborg,Tim Rönning,,11,36,,,18,23,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
9,IF Elfsborg,Tim Rönning,,15,29,87.0,27.0,30,40,pass inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
10,IF Elfsborg,Tim Rönning,,15,29,87.0,27.0,30,40,goalkeeper kick inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
11,AIK,Budimir Janosevic,,13,73,,,37,42,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
12,AIK,Budimir Janosevic,,13,73,,,37,42,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
13,AIK,Alexander Milošević,Mikael Lustig,32,22,34.0,4.0,47,50,pass accurate,,9.746437644029757e-05,0.921451139904178,1,False,False,False,nan,nan,nan,,nan
14,AIK,Mikael Lustig,,37,4,86.0,26.0,49,52,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
15,AIK,Mikael Lustig,,37,4,86.0,26.0,49,52,pass inaccurate,,,0.3821340300156527,1,False,False,False,nan,nan,nan,,nan
16,IF Elfsborg,Tim Rönning,,14,74,,,52,57,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
17,IF Elfsborg,Tim Rönning,,14,74,,,52,57,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
18,IF Elfsborg,Tim Rönning,Joseph Stanley Okumu,13,55,12.0,72.0,55,65,pass accurate,,,,1,False,False,False,nan,nan,nan,,nan
19,IF Elfsborg,Tim Rönning,Joseph Stanley Okumu,13,55,12.0,72.0,55,65,goalkeeper throw accurate,,,,1,False,False,False,nan,nan,nan,,nan
20,IF Elfsborg,Joseph Stanley Okumu,Johan Larsson,13,59,59.0,11.0,64,67,pass accurate,,0.007447819474240157,0.6312218615032961,2,False,False,False,nan,nan,nan,,nan
21,IF Elfsborg,Johan Larsson,,59,12,59.0,11.0,67,70,pass inaccurate,,,0.2360832649940475,2,False,False,False,nan,nan,nan,,nan
22,AIK,Erick Ouma Otieno,,41,89,,,67,70,air challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
23,AIK,Erick Ouma Otieno,,41,89,,,67,70,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
24,IF Elfsborg,Johan Larsson,,59,11,,,67,70,air challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
25,IF Elfsborg,Johan Larsson,,59,11,,,67,70,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
26,AIK,Erick Ouma Otieno,,31,98,31.0,98.0,81,84,pass inaccurate,,,0.06379811222663587,2,False,False,False,nan,nan,nan,,nan
27,IF Elfsborg,Maudo Lamine Jarjué,Johan Larsson,37,11,44.0,7.0,83,86,pass accurate,,0.0013260359172104774,0.8482494575522554,2,False,False,False,nan,nan,nan,,nan
28,IF Elfsborg,Johan Larsson,Simon Olsson,45,4,61.0,23.0,83,86,pass accurate,,0.0071314819180587925,0.6488372621634387,2,False,False,False,nan,nan,nan,,nan
29,IF Elfsborg,Simon Olsson,Robert Gojani,59,22,54.0,21.0,86,89,pass accurate,,-0.0033100214364374,0.7699476772586983,2,False,False,False,nan,nan,nan,,nan
30,IF Elfsborg,Robert Gojani,Frederik Holst,52,21,44.0,31.0,87,90,pass accurate,,-0.001773735534468416,0.8498984412158876,2,False,False,False,nan,nan,nan,,nan
31,IF Elfsborg,Frederik Holst,Marokhy Ndione,45,31,65.0,25.0,89,92,pass accurate,,0.005595324172859583,0.7136611795654845,2,False,False,False,nan,nan,nan,,nan
32,IF Elfsborg,Marokhy Ndione,Johan Larsson,65,21,62.0,7.0,91,94,pass accurate,,-0.0020636961028419123,0.848895660775165,2,False,False,False,nan,nan,nan,,nan
33,IF Elfsborg,Marokhy Ndione,,68,12,,,92,97,lost ball,,,,2,False,False,False,nan,nan,nan,,nan
34,IF Elfsborg,Johan Larsson,Marokhy Ndione,63,7,69.0,14.0,93,96,pass accurate,,0.007775739183648704,0.6817730905192191,2,False,False,False,nan,nan,nan,,nan
35,AIK,Bilal Hussein,Sotirios Papagiannopoulos,33,77,27.0,68.0,96,99,pass accurate,,0.0009398460677127601,0.9109544843745668,2,False,False,False,nan,nan,nan,,nan
36,AIK,Sotirios Papagiannopoulos,Mikael Lustig,25,68,31.0,20.0,98,101,pass accurate,,-0.0003338397226723567,0.848654904363533,2,False,False,False,nan,nan,nan,,nan
37,AIK,Mikael Lustig,Saku Ylätupa,41,12,58.0,4.0,103,106,pass accurate,,0.0035036896676580217,0.8074729877349568,2,False,False,False,nan,nan,nan,,nan
38,AIK,Saku Ylätupa,Mikael Lustig,56,3,45.0,8.0,105,108,pass accurate,,-0.0021776537504475443,0.8198177003822857,2,False,False,False,nan,nan,nan,,nan
39,AIK,Mikael Lustig,Sebastian Larsson,46,5,36.0,11.0,108,111,pass accurate,,-0.0013260359172104774,0.8387654507290707,2,False,False,False,nan,nan,nan,,nan
40,AIK,Sebastian Larsson,Alexander Milošević,36,10,30.0,27.0,110,113,pass accurate,,0.0006341390131263652,0.8836654822049803,2,False,False,False,nan,nan,nan,,nan
41,AIK,Alexander Milošević,Bilal Hussein,31,27,37.0,26.0,112,115,pass accurate,,0.001300329741981767,0.8295354708662974,2,False,False,False,nan,nan,nan,,nan
42,AIK,Bilal Hussein,Sebastian Larsson,38,26,39.0,12.0,115,118,pass accurate,,-0.0019344687551081322,0.8306971927378938,2,False,False,False,nan,nan,nan,,nan
43,AIK,Sebastian Larsson,Nicolas Stefanelli,49,11,72.0,34.0,118,121,pass accurate,,0.012793836083441116,0.5350623635595341,2,False,False,False,nan,nan,nan,,nan
44,AIK,Nicolas Stefanelli,,73,31,86.0,36.0,121,124,pass into the box,,,,3,False,False,False,nan,nan,nan,,nan
45,AIK,Nicolas Stefanelli,,73,31,86.0,36.0,121,124,pass inaccurate,,,0.6379009416445426,3,False,False,False,nan,nan,nan,,nan
46,IF Elfsborg,Maudo Lamine Jarjué,,14,64,,,121,126,interception unsuccesful,,,,3,False,False,False,nan,nan,nan,,nan
47,IF Elfsborg,Maudo Lamine Jarjué,,14,64,,,121,126,challenge successful,,,,3,False,False,False,nan,nan,nan,,nan
48,IF Elfsborg,Joseph Stanley Okumu,Simon Strand,13,71,27.0,83.0,125,128,pass accurate,,0.0014829837984468523,0.8376876502805232,3,False,False,False,nan,nan,nan,,nan
49,IF Elfsborg,Simon Strand,,27,81,41.0,69.0,126,129,pass inaccurate,,,0.7990207637202601,3,False,False,False,nan,nan,nan,,nan
50,AIK,Bilal Hussein,Alexander Milošević,59,31,42.0,26.0,128,131,pass accurate,,-0.005595324172859583,0.8824335524214907,3,False,False,False,nan,nan,nan,,nan
