external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Hammarby,Darijan Bojanic,Jón Gudni Fjóluson,51,51,31.0,50.0,0,3,Pass accurate,,-0.005153687985360585,0.8913926315812905,1,False,False,False,,,,,
1,Hammarby,Jón Gudni Fjóluson,Mohanad Jeahze,31,53,41.0,84.0,2,5,Pass accurate,,1.1806110634683328e-05,0.7127483540640865,1,False,False,False,,,,,
2,Hammarby,Mohanad Jeahze,Darijan Bojanic,55,82,58.0,72.0,6,9,Pass accurate,,0.0009031947206651243,0.7812368316442752,1,False,False,False,,,,,
3,Hammarby,Mohanad Jeahze,,41,84,55.0,82.0,2,9,Carry,,0.003549975383081031,,1,False,False,False,,,,,
4,Hammarby,Darijan Bojanic,Mohanad Jeahze,58,82,66.0,93.0,8,11,Pass accurate,,0.0008163911606975036,0.5669885563478329,1,False,False,False,,,,,
5,Hammarby,Darijan Bojanic,,58,72,58.0,82.0,6,11,Carry,,-0.0009031947206651243,,1,False,False,False,,,,,
6,Hammarby,Mohanad Jeahze,Darijan Bojanic,67,93,59.0,83.0,10,13,Pass accurate,,-0.0015529266837266097,0.8248493916993195,1,False,False,False,,,,,
7,Hammarby,Mohanad Jeahze,Darijan Bojanic,69,91,57.0,84.0,10,13,Pass accurate,,-0.004741717686177215,0.7424833508006463,1,False,False,False,,,,,
8,Hammarby,Darijan Bojanic,Mohanad Jeahze,55,88,66.0,91.0,12,15,Pass accurate,,0.002683424089593607,0.7400192994098069,1,False,False,False,,,,,
9,Hammarby,Darijan Bojanic,Mohanad Jeahze,59,86,87.0,91.0,12,15,Pass accurate,,0.01345532074882435,0.5169726589580581,1,False,False,False,,,,,
10,Hammarby,Mohanad Jeahze,,93,91,95.0,56.0,15,18,Pass into the box,,,,1,False,False,False,,,,,
11,Hammarby,Mohanad Jeahze,,93,91,95.0,56.0,15,18,Pass inaccurate,,,0.40686271670877516,1,False,False,False,,,,,
12,Hammarby,Mohanad Jeahze,,93,91,95.0,56.0,15,18,Cross inacurate,,,0.40686271670877516,1,False,False,False,,,,,
13,Hammarby,Mohanad Jeahze,,87,91,93.0,91.0,12,18,Carry,,0.013485292563502387,,1,False,False,False,,,,,
14,Halmstad,Malkolm Nilsson Säfqvist,,5,44,67.0,44.0,36,46,Pass inaccurate,,,,1,False,False,False,,,,,
15,Halmstad,Malkolm Nilsson Säfqvist,,5,44,67.0,44.0,36,46,Goalkeeper kick inaccurate,,,,1,False,False,False,,,,,
16,Hammarby,Jeppe Andrup Andersen,,33,56,,,44,47,Air challenge unsuccessful,,,,1,False,False,False,,,,,
17,Hammarby,Jeppe Andrup Andersen,,33,56,,,44,47,Challenge unsuccessful,,,,1,False,False,False,,,,,
18,Halmstad,Sadat Karim,,67,44,,,44,47,Air challenge successful,,,,1,False,False,False,,,,,
19,Halmstad,Sadat Karim,,67,44,,,44,47,Challenge successful,,,,1,False,False,False,,,,,
20,Hammarby,Bayere Junior Loue,Abdul Rahman Khalili,49,54,45.0,50.0,45,48,Pass accurate,,,0.7947400708406895,1,False,False,False,,,,,
21,Hammarby,Abdul Rahman Khalili,Simon Sandberg,46,51,37.0,21.0,48,51,Pass accurate,,-0.002438383760369641,0.889971210210429,1,False,False,False,,,,,
22,Hammarby,Simon Sandberg,Bayere Junior Loue,44,21,64.0,24.0,52,55,Pass accurate,,0.005876055374746447,0.6826704659070995,1,False,False,False,,,,,
23,Hammarby,Bayere Junior Loue,Simon Sandberg,70,30,61.0,16.0,57,60,Pass accurate,,-0.005662354165382324,0.83343302900793,1,False,False,False,,,,,
24,Hammarby,Bayere Junior Loue,,64,24,70.0,30.0,52,60,Carry,,0.005662354165382324,,1,False,False,False,,,,,
25,Hammarby,Simon Sandberg,Mads Fenger Nielsen,66,5,40.0,26.0,59,62,Pass accurate,,-0.004459352977319225,0.8207388420395779,1,False,False,False,,,,,
26,Hammarby,Simon Sandberg,,61,16,66.0,5.0,57,62,Carry,,-0.0020636961028419123,,1,False,False,False,,,,,
27,Hammarby,Mads Fenger Nielsen,Jón Gudni Fjóluson,37,28,29.0,56.0,61,64,Pass accurate,,-0.0010659463132557181,0.8971749326754211,2,False,False,False,,,,,
28,Hammarby,Jón Gudni Fjóluson,Mads Fenger Nielsen,30,62,27.0,29.0,63,66,Pass accurate,,-0.00023438342872604892,0.926513530692059,2,False,False,False,,,,,
29,Hammarby,Mads Fenger Nielsen,David Ousted,27,24,8.0,50.0,66,69,Pass accurate,,-0.0006182782456036554,0.9327037691089304,2,False,False,False,,,,,
30,Hammarby,David Ousted,Jeppe Andrup Andersen,8,52,24.0,45.0,69,72,Pass accurate,,0.0003589909610310204,0.8862890653886678,2,False,False,False,,,,,
31,Hammarby,Jeppe Andrup Andersen,Jón Gudni Fjóluson,14,55,10.0,85.0,72,75,Pass accurate,,-0.002098803151684909,0.920612157717219,2,False,False,False,,,,,
32,Hammarby,Jón Gudni Fjóluson,,7,90,51.0,86.0,74,77,Pass inaccurate,,,0.6005377991514229,2,False,False,False,,,,,
33,Halmstad,Andreas Johansson,,49,14,88.0,45.0,78,81,Pass into the box,,,,2,False,False,False,,,,,
34,Halmstad,Andreas Johansson,,49,14,88.0,45.0,78,81,Pass inaccurate,,,0.3852232897187059,2,False,False,False,,,,,
35,Hammarby,David Ousted,Abdul Rahman Khalili,12,55,26.0,37.0,78,88,Pass accurate,,,,2,False,False,False,,,,,
36,Hammarby,David Ousted,Abdul Rahman Khalili,12,55,26.0,37.0,78,88,Goalkeeper kick accurate,,,,2,False,False,False,,,,,
37,Hammarby,Abdul Rahman Khalili,Simon Sandberg,25,35,33.0,5.0,101,104,Pass accurate,,-0.0020804594638705216,0.8802920285166747,2,False,False,False,,,,,
38,Hammarby,Simon Sandberg,Bayere Junior Loue,30,5,55.0,27.0,103,106,Pass accurate,,0.007411772272403,0.5265954226214727,2,False,False,False,,,,,
39,Hammarby,Bayere Junior Loue,,56,24,74.0,22.0,104,107,Pass inaccurate,,,0.6571440824367455,2,False,False,False,,,,,
40,Halmstad,Andreas Bengtsson,Malkolm Nilsson Säfqvist,26,78,9.0,59.0,108,111,Pass accurate,,-0.00035052702033209863,0.9367047846084846,2,False,False,False,,,,,
41,Halmstad,Malkolm Nilsson Säfqvist,,9,58,87.0,44.0,109,112,Pass into the box,,,,2,False,False,False,,,,,
42,Halmstad,Malkolm Nilsson Säfqvist,,9,58,87.0,44.0,109,112,Pass inaccurate,,,0.35191479725993946,2,False,False,False,,,,,
43,Hammarby,David Ousted,Jeppe Andrup Andersen,13,56,26.0,47.0,128,131,Pass accurate,,0.0020871728748915845,0.8504925406755703,3,False,False,False,,,,,
44,Hammarby,Jeppe Andrup Andersen,Mads Fenger Nielsen,18,37,9.0,14.0,132,135,Pass accurate,,-0.001998459250756651,0.9349294370321563,3,False,False,False,,,,,
45,Hammarby,Mads Fenger Nielsen,,9,12,56.0,16.0,134,137,Pass inaccurate,,,0.4798200075902928,3,False,False,False,,,,,
46,Halmstad,Andreas Bengtsson,,44,84,46.0,78.0,136,139,Pass inaccurate,,,0.6536843706117696,3,False,False,False,,,,,
47,Halmstad,Andreas Bengtsson,,46,78,,,137,140,Air challenge unsuccessful,,,,3,False,False,False,,,,,
