external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IFK Norrköping FK,Carl Björk,Yahav Gurfinkel,51,50,33.0,73.0,0,3,Pass accurate,,-0.00578583508098094,0.8839699525949453,1,False,False,False,,,,,
1,IFK Norrköping FK,Yahav Gurfinkel,Abdulrazaq Ishaq,33,71,69.0,8.0,2,5,Pass accurate,,0.010949846033633515,0.5923790303707972,1,False,False,False,,,,,
2,IFK Norrköping FK,Abdulrazaq Ishaq,,69,5,72.0,30.0,6,9,Pass inaccurate,,,0.6960088075368308,1,False,False,False,,,,,
3,Kalmar FF,Romario Pereira Sipiao,,28,70,,,6,11,Interception succesful,,,,1,False,False,False,,,,,
4,Kalmar FF,Romario Pereira Sipiao,,28,70,,,6,11,Challenge unsuccessful,,,,1,False,False,False,,,,,
5,Kalmar FF,Romario Pereira Sipiao,Sebastian Ring,29,72,28.0,93.0,8,11,Pass accurate,,-0.0023342967808737715,0.7957313814077815,1,False,False,False,,,,,
6,Kalmar FF,Sebastian Ring,Rasmus Sjöstedt,28,90,14.0,85.0,9,12,Pass accurate,,-0.0010548794588559965,0.9388950260577313,1,False,False,False,,,,,
7,Kalmar FF,Rasmus Sjöstedt,Sebastian Ring,12,85,22.0,94.0,12,15,Pass accurate,,-0.00014021077967341783,0.9146061023353298,1,False,False,False,,,,,
8,Kalmar FF,Sebastian Ring,Carl Gustafsson,25,96,24.0,76.0,13,16,Pass accurate,,-1.1340439885558842e-05,0.9179735918928688,1,False,False,False,,,,,
9,Kalmar FF,Carl Gustafsson,Nils Fröling,23,76,31.0,92.0,14,17,Pass accurate,,1.1340439885558842e-05,0.8466652626467752,1,False,False,False,,,,,
10,IFK Norrköping FK,Abdulrazaq Ishaq,,76,6,,,15,20,Interception succesful,,,,1,False,False,False,,,,,
