external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Hammarby,Darijan Bojanic,Jeppe Andrup Andersen,51,49,42.0,51.0,0,3,Pass accurate,,-0.0023974172751672802,0.8606791863384019,1,False,False,False,,,,,
1,Hammarby,Jeppe Andrup Andersen,Mads Fenger Nielsen,40,50,37.0,21.0,1,4,Pass accurate,,-0.0009298556141439963,0.8921992679691876,1,False,False,False,,,,,
2,Hammarby,Mads Fenger Nielsen,Björn Paulsen,36,20,24.0,36.0,3,6,Pass accurate,,-0.0018172496993384066,0.9269457169607758,1,False,False,False,,,,,
3,IF Elfsborg,Frederik Holst,,75,67,,,5,10,Interception unsuccesful,,,,1,False,False,False,,,,,
4,IF Elfsborg,Frederik Holst,,75,67,,,5,10,Challenge successful,,,,1,False,False,False,,,,,
5,Hammarby,Björn Paulsen,,23,30,31.0,31.0,6,9,Pass inaccurate,,,0.7660060140209616,1,False,False,False,,,,,
6,IF Elfsborg,Frederik Holst,,69,69,,,9,14,Tackle unsuccessful,,,,1,False,False,False,,,,,
7,IF Elfsborg,Frederik Holst,,69,69,,,9,14,Challenge successful,,,,1,False,False,False,,,,,
8,IF Elfsborg,Frederik Holst,,72,74,,,12,15,Foul,,,,1,False,False,False,,,,,
9,Hammarby,Björn Paulsen,,27,18,81.0,31.0,34,37,Pass inaccurate,,,0.394369316117806,1,False,False,False,,,,,
10,IF Elfsborg,Christopher Mc Vey,,19,69,,,36,41,Clearance inaccurate,,,,1,False,False,False,,,,,
11,Hammarby,Astrit Selmani,,80,32,,,37,40,Air challenge successful,,,,1,False,False,False,,,,,
12,Hammarby,Astrit Selmani,,80,32,,,37,40,Challenge successful,,,,1,False,False,False,,,,,
13,IF Elfsborg,Christopher Mc Vey,,21,72,,,37,40,Air challenge unsuccessful,,,,1,False,False,False,,,,,
14,IF Elfsborg,Christopher Mc Vey,,21,72,,,37,40,Challenge unsuccessful,,,,1,False,False,False,,,,,
15,Hammarby,Vladimir Rodic,,74,30,,,41,44,Foul,,,,1,False,False,False,,,,,
16,IF Elfsborg,Christopher Mc Vey,Leo Väisänen,22,69,24.0,30.0,64,67,Pass accurate,,0.000410622583821978,0.9202467275455243,2,False,False,False,,,,,
17,IF Elfsborg,Leo Väisänen,Christopher Mc Vey,21,31,22.0,72.0,68,71,Pass accurate,,-0.000410622583821978,0.9159621969629453,2,False,False,False,,,,,
18,IF Elfsborg,Christopher Mc Vey,Leo Väisänen,23,70,22.0,33.0,74,77,Pass accurate,,0.000410622583821978,0.9215810419361034,2,False,False,False,,,,,
19,IF Elfsborg,Leo Väisänen,Johan Larsson,22,32,29.0,7.0,78,81,Pass accurate,,-0.0008108335330067815,0.8890104154378791,2,False,False,False,,,,,
20,IF Elfsborg,Johan Larsson,Andrè Ibsen Rømer,27,7,29.0,19.0,81,84,Pass accurate,,0.001348856074303859,0.8539843843642745,2,False,False,False,,,,,
21,IF Elfsborg,Andrè Ibsen Rømer,Alexander Bernhardsson,30,19,68.0,7.0,81,84,Pass accurate,,0.011283685756305872,0.5476440777078043,2,False,False,False,,,,,
22,IF Elfsborg,Alexander Bernhardsson,,66,9,66.0,9.0,85,88,Pass inaccurate,,,0.16544787034989644,2,False,False,False,,,,,
23,Hammarby,Akinkunmi Ayobami Amoo,,63,84,,,85,90,Interception succesful,,,,2,False,False,False,,,,,
24,Hammarby,Akinkunmi Ayobami Amoo,,63,84,,,85,90,Challenge unsuccessful,,,,2,False,False,False,,,,,
25,Hammarby,Akinkunmi Ayobami Amoo,Astrit Selmani,62,81,66.0,63.0,88,91,Pass accurate,,0.0009416788209277889,0.7684317022145221,2,False,False,False,,,,,
26,IF Elfsborg,Alexander Bernhardsson,,36,35,,,90,95,Tackle unsuccessful,,,,2,False,False,False,,,,,
27,IF Elfsborg,Alexander Bernhardsson,,36,35,,,90,95,Challenge successful,,,,2,False,False,False,,,,,
28,Hammarby,Akinkunmi Ayobami Amoo,Vladimir Rodic,54,55,65.0,36.0,91,94,Pass accurate,,0.0029468746100100376,0.7498396615351555,2,False,False,False,,,,,
29,Hammarby,Vladimir Rodic,Akinkunmi Ayobami Amoo,65,48,69.0,26.0,96,99,Pass accurate,,0.004427465891709805,0.7634454891261928,2,False,False,False,,,,,
