external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,BK Häcken,Erik Friberg,Joona Toivio,51,49,30.0,58.0,0,2,Pass accurate,,-0.005149041375285539,0.9077521422162625,1,False,False,False,,,,,
1,BK Häcken,Joona Toivio,Alexander Jeremejeff,32,66,70.0,73.0,3,5,Pass accurate,,0.01297403447777281,0.494907968803709,1,False,False,False,,,,,
2,BK Häcken,Alexander Jeremejeff,,70,76,,,5,8,Air challenge unsuccessful,,,,1,False,False,False,,,,,
3,BK Häcken,Alexander Jeremejeff,,70,76,,,5,8,Challenge unsuccessful,,,,1,False,False,False,,,,,
4,Halmstad,Amir Al-Ammari,,30,24,,,5,8,Air challenge successful,,,,1,False,False,False,,,,,
5,Halmstad,Amir Al-Ammari,,30,24,,,5,8,Challenge successful,,,,1,False,False,False,,,,,
6,BK Häcken,Alexander Jeremejeff,,69,74,75.0,81.0,6,8,Pass inaccurate,,,0.6997458739081387,1,False,False,False,,,,,
7,Halmstad,Samuel Kroon,,25,19,33.0,26.0,8,10,Pass inaccurate,,,0.8172140888326713,1,False,False,False,,,,,
8,BK Häcken,Erik Friberg,Kristoffer Lund Hansen,67,74,64.0,78.0,10,12,Pass accurate,,-0.005591314885986135,0.6749132028365904,1,False,False,False,,,,,
9,BK Häcken,Kristoffer Lund Hansen,Johan Hammar,63,90,38.0,78.0,14,16,Pass accurate,,-0.004366366543778534,0.87309464584672,1,False,False,False,,,,,
10,BK Häcken,Kristoffer Lund Hansen,,64,78,63.0,90.0,10,16,Carry,,-0.002372399841753102,,1,False,False,False,,,,,
11,BK Häcken,Johan Hammar,Leo Bengtsson,37,78,77.0,90.0,17,19,Pass accurate,,0.01397965133150413,0.47705957598533083,1,False,False,False,,,,,
12,BK Häcken,Leo Bengtsson,,78,93,71.0,91.0,20,22,Pass inaccurate,,,0.7799489826207361,1,False,False,False,,,,,
13,Halmstad,Samuel Kroon,,29,9,,,21,26,Interception succesful,,,,1,False,False,False,,,,,
14,Halmstad,Samuel Kroon,,29,9,,,21,26,Challenge unsuccessful,,,,1,False,False,False,,,,,
15,Halmstad,Samuel Kroon,Andreas Johansson,29,7,11.0,16.0,23,25,Pass accurate,,-0.0011876257177498694,0.9293904661250414,1,False,False,False,,,,,
16,Halmstad,Andreas Johansson,,17,13,63.0,21.0,25,27,Pass inaccurate,,,0.47481444276447243,1,False,False,False,,,,,
17,BK Häcken,Johan Hammar,,37,79,,,27,32,Interception succesful,,,,1,False,False,False,,,,,
18,BK Häcken,Johan Hammar,,37,79,,,27,32,Challenge unsuccessful,,,,1,False,False,False,,,,,
19,BK Häcken,Johan Hammar,,37,82,,,27,30,Air challenge unsuccessful,,,,1,False,False,False,,,,,
20,BK Häcken,Johan Hammar,,37,82,,,27,30,Challenge unsuccessful,,,,1,False,False,False,,,,,
21,Halmstad,Sadat Karim,,63,18,,,27,30,Air challenge successful,,,,1,False,False,False,,,,,
22,Halmstad,Sadat Karim,,63,18,,,27,30,Challenge successful,,,,1,False,False,False,,,,,
23,BK Häcken,Kristoffer Lund Hansen,Gustav Berggren,45,96,47.0,80.0,30,32,Pass accurate,,0.0016237188844384545,0.7885213897953465,1,False,False,False,,,,,
24,BK Häcken,Gustav Berggren,Kristoffer Lund Hansen,48,81,62.0,94.0,31,33,Pass accurate,,0.0029538922518921318,0.8273253966500781,1,False,False,False,,,,,
25,BK Häcken,Kristoffer Lund Hansen,Jasse Tuominen,63,96,81.0,86.0,33,35,Pass accurate,,0.012209506618937951,0.63702203072904,1,False,False,False,,,,,
26,BK Häcken,Jasse Tuominen,,93,96,91.0,87.0,40,42,Pass inaccurate,,,0.5912302653551185,1,False,False,False,,,,,
27,BK Häcken,Jasse Tuominen,,81,86,93.0,96.0,33,42,Carry,,0.017103506535141887,,1,False,False,False,,,,,
28,Halmstad,Joel Allansson,,9,13,63.0,23.0,41,43,Pass inaccurate,,,0.5081908812513509,1,False,False,False,,,,,
29,BK Häcken,Joona Toivio,Erik Friberg,37,77,54.0,65.0,48,50,Pass accurate,,0.004453170103746155,0.7562905213721698,1,False,False,False,,,,,
30,BK Häcken,Erik Friberg,Joona Toivio,53,64,37.0,68.0,49,51,Pass accurate,,-0.0037050334671281937,0.8821105643271655,1,False,False,False,,,,,
31,BK Häcken,Joona Toivio,Gustav Berggren,36,73,45.0,75.0,51,53,Pass accurate,,0.0006643376552684412,0.827128063754057,1,False,False,False,,,,,
32,BK Häcken,Gustav Berggren,Erik Friberg,44,73,40.0,54.0,52,54,Pass accurate,,-0.000914993173208381,0.8493931107105565,1,False,False,False,,,,,
33,BK Häcken,Alexander Jeremejeff,,72,49,,,58,63,Lost ball,,,,1,False,False,False,,,,,
34,BK Häcken,Erik Friberg,Alexander Jeremejeff,46,23,73.0,39.0,59,61,Pass accurate,,0.011578119031394687,0.544682625435415,1,False,False,False,,,,,
35,Halmstad,Samuel Kroon,Joel Allansson,30,39,30.0,70.0,63,65,Pass accurate,,-0.0007967997868467257,0.8827269606531181,2,False,False,False,,,,,
36,Halmstad,Joel Allansson,Andreas Johansson,32,71,28.0,60.0,64,66,Pass accurate,,0.000632147095620355,0.8965814206506674,2,False,False,False,,,,,
37,Halmstad,Andreas Johansson,Joel Allansson,28,61,33.0,63.0,66,68,Pass accurate,,-0.000632147095620355,0.7763013291729887,2,False,False,False,,,,,
38,Halmstad,Joel Allansson,Andreas Johansson,34,66,27.0,71.0,68,70,Pass accurate,,-0.0013920898428729997,0.9125415443773387,2,False,False,False,,,,,
39,Halmstad,Andreas Johansson,Joseph Baffoe,25,69,20.0,47.0,71,73,Pass accurate,,-0.0005931270072449916,0.9305648911590618,2,False,False,False,,,,,
40,Halmstad,Joseph Baffoe,Thomas Boakye,19,39,27.0,9.0,73,75,Pass accurate,,-0.001089568789731224,0.8404770826460612,2,False,False,False,,,,,
41,Halmstad,Thomas Boakye,Amir Al-Ammari,30,14,31.0,27.0,78,80,Pass accurate,,0.0007316033895666627,0.8349839785405617,2,False,False,False,,,,,
42,Halmstad,Amir Al-Ammari,Samuel Kroon,38,29,44.0,16.0,84,86,Pass accurate,,0.0006469937054146904,0.8271841262763951,2,False,False,False,,,,,
43,Halmstad,Samuel Kroon,,51,16,90.0,46.0,86,88,Pass into the box,,,,2,False,False,False,,,,,
44,Halmstad,Samuel Kroon,,51,16,90.0,46.0,86,88,Pass inaccurate,,,0.3852232897187059,2,False,False,False,,,,,
45,BK Häcken,Peter Abrahamsson,Joona Toivio,10,54,13.0,49.0,92,94,Pass accurate,,0.0004359818854511345,0.6579317446974955,2,False,False,False,,,,,
46,BK Häcken,Joona Toivio,Erik Friberg,15,49,29.0,45.0,94,96,Pass accurate,,0.00165119098944045,0.7836991886973453,2,False,False,False,,,,,
47,BK Häcken,Erik Friberg,Tobias Carlsson,27,44,33.0,7.0,97,99,Pass accurate,,-0.0024794955838229413,0.8852300945283565,2,False,False,False,,,,,
48,BK Häcken,Tobias Carlsson,,32,5,84.0,69.0,100,102,Pass into the box,,,,2,False,False,False,,,,,
49,BK Häcken,Tobias Carlsson,,32,5,84.0,69.0,100,102,Pass inaccurate,,,0.3699324098091531,2,False,False,False,,,,,
50,Halmstad,Malkolm Nilsson Säfqvist,Samuel Kroon,16,31,58.0,17.0,117,127,Pass accurate,,,,2,False,False,False,,,,,
51,Halmstad,Malkolm Nilsson Säfqvist,Samuel Kroon,16,31,58.0,17.0,117,127,Goalkeeper kick accurate,,,,2,False,False,False,,,,,
52,Halmstad,Samuel Kroon,Sadat Karim,60,13,66.0,11.0,126,128,Pass accurate,,-0.0020636961028419123,0.7240837617259603,3,False,False,False,,,,,
53,BK Häcken,Johan Hammar,,33,92,,,128,133,Tackle unsuccessful,,,,3,False,False,False,,,,,
54,BK Häcken,Johan Hammar,,33,92,,,128,133,Challenge successful,,,,3,False,False,False,,,,,
55,Halmstad,Thomas Boakye,,65,5,,,129,134,Interception unsuccesful,,,,3,False,False,False,,,,,
56,Halmstad,Thomas Boakye,,65,5,,,129,134,Challenge successful,,,,3,False,False,False,,,,,
57,BK Häcken,Kristoffer Lund Hansen,Jasse Tuominen,32,94,48.0,71.0,144,146,Pass accurate,,0.005124533003595121,0.7284033522562691,3,False,False,False,,,,,
58,BK Häcken,Jasse Tuominen,Alexander Jeremejeff,48,68,58.0,75.0,145,147,Pass accurate,,0.0014036923666147193,0.7786746468696044,3,False,False,False,,,,,
59,BK Häcken,Alexander Jeremejeff,Kristoffer Lund Hansen,56,87,37.0,90.0,150,152,Pass accurate,,-0.005212691929311274,0.877657520504157,3,False,False,False,,,,,
60,BK Häcken,Alexander Jeremejeff,,58,75,56.0,87.0,145,152,Carry,,,,3,False,False,False,,,,,
61,BK Häcken,Kristoffer Lund Hansen,Johan Hammar,36,94,34.0,74.0,152,154,Pass accurate,,0.0024108531828482046,0.8722207706991403,3,False,False,False,,,,,
62,BK Häcken,Johan Hammar,Joona Toivio,34,73,33.0,56.0,154,156,Pass accurate,,-0.0007599427472526447,0.8588574874931381,3,False,False,False,,,,,
63,BK Häcken,Joona Toivio,Tobias Carlsson,31,42,41.0,9.0,157,159,Pass accurate,,-0.0010331751330787849,0.7597502091339573,3,False,False,False,,,,,
64,BK Häcken,Tobias Carlsson,Joona Toivio,47,17,35.0,32.0,161,163,Pass accurate,,-0.0006469937054146904,0.8715538678105224,3,False,False,False,,,,,
65,BK Häcken,Joona Toivio,Tobias Carlsson,34,30,66.0,6.0,164,166,Pass accurate,,0.004459352977319225,0.45522985101898056,3,False,False,False,,,,,
66,BK Häcken,Tobias Carlsson,Erik Friberg,65,6,66.0,19.0,167,169,Pass accurate,,0.0020636961028419123,0.7271881437407456,3,False,False,False,,,,,
67,BK Häcken,Erik Friberg,Tobias Carlsson,65,18,63.0,3.0,169,171,Pass accurate,,-0.0020636961028419123,0.8179084349298006,3,False,False,False,,,,,
68,BK Häcken,Tobias Carlsson,Gustav Berggren,61,4,59.0,21.0,170,172,Pass accurate,,0.0020636961028419123,0.7598541741654962,3,False,False,False,,,,,
