external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,AIK,Nicolas Stefanelli,Bilal Hussein,51,51,36.0,46.0,0,3,pass accurate,,-0.003823319988116164,0.8821105643271655,1,False,False,False,nan,nan,nan,,nan
1,AIK,Bilal Hussein,Sotirios Papagiannopoulos,35,49,32.0,66.0,1,4,pass accurate,,-0.0019625150928647764,0.8697824271701776,1,False,False,False,nan,nan,nan,,nan
2,AIK,Sotirios Papagiannopoulos,Alexander Milošević,28,66,31.0,35.0,3,6,pass accurate,,0.00039776366689430603,0.8670014399298812,1,False,False,False,nan,nan,nan,,nan
3,AIK,Alexander Milošević,Mikael Lustig,28,26,33.0,6.0,7,10,pass accurate,,-0.0020804594638705216,0.7324277794792359,1,False,False,False,nan,nan,nan,,nan
4,AIK,Mikael Lustig,,32,24,70.0,42.0,9,12,pass inaccurate,,,0.47104005868947346,1,False,False,False,nan,nan,nan,,nan
5,Malmö FF,Franz Brorsson,Jonas Bruun Knudsen,30,58,35.0,86.0,15,18,pass accurate,,1.1806110634683328e-05,0.8565365547329258,1,False,False,False,nan,nan,nan,,nan
6,Malmö FF,Jonas Bruun Knudsen,,33,79,73.0,81.0,19,22,pass inaccurate,,,0.4897254817554075,1,False,False,False,nan,nan,nan,,nan
7,AIK,Alexander Milošević,Mikael Lustig,27,19,27.0,8.0,21,24,pass accurate,,-0.001348856074303859,0.9041855355325917,1,False,False,False,nan,nan,nan,,nan
8,AIK,Mikael Lustig,Nabil Bahoui,28,9,35.0,6.0,24,27,pass accurate,,0.0014463204507441565,0.6984157756449659,1,False,False,False,nan,nan,nan,,nan
9,AIK,Nabil Bahoui,Mikael Lustig,32,7,25.0,10.0,27,30,pass accurate,,,0.9109541496450491,1,False,False,False,nan,nan,nan,,nan
10,AIK,Mikael Lustig,,28,16,64.0,17.0,29,32,pass inaccurate,,,0.5185236339208114,1,False,False,False,nan,nan,nan,,nan
11,Malmö FF,Franz Brorsson,,36,83,78.0,63.0,31,34,pass inaccurate,,,0.4209584762965221,1,False,False,False,nan,nan,nan,,nan
12,AIK,Alexander Milošević,Budimir Janosevic,22,37,10.0,53.0,35,38,pass accurate,,-0.00041851082407542463,0.929054541285468,1,False,False,False,nan,nan,nan,,nan
13,AIK,Budimir Janosevic,Nicolas Stefanelli,7,51,50.0,48.0,37,40,pass accurate,,0.006733306439181906,0.6079145370939728,1,False,False,False,nan,nan,nan,,nan
14,AIK,Nicolas Stefanelli,Nabil Bahoui,48,47,51.0,83.0,40,43,pass accurate,,0.0007825315379292666,0.811937632973029,1,False,False,False,nan,nan,nan,,nan
15,AIK,Nabil Bahoui,,78,86,87.0,58.0,48,51,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
16,AIK,Nabil Bahoui,,78,86,87.0,58.0,48,51,pass inaccurate,,,0.5667209354955604,1,False,False,False,nan,nan,nan,,nan
17,AIK,Nabil Bahoui,,78,86,87.0,58.0,48,51,cross inacurate,,,0.5667209354955604,1,False,False,False,nan,nan,nan,,nan
18,AIK,Nabil Bahoui,,51,83,78.0,86.0,40,51,carry,,0.013025897779635455,,1,False,False,False,nan,nan,nan,,nan
19,Malmö FF,Pavle Vagic,,13,42,,,48,53,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
20,AIK,Bilal Hussein,Alexander Milošević,56,73,66.0,73.0,55,58,pass accurate,,0.00322727510271327,0.7136367559131045,1,False,False,False,nan,nan,nan,,nan
21,AIK,Alexander Milošević,Sebastian Larsson,43,40,52.0,25.0,59,62,pass accurate,,0.002317679424019982,0.8074644968562693,1,False,False,False,nan,nan,nan,,nan
22,AIK,Sebastian Larsson,Mikael Lustig,58,22,70.0,4.0,63,66,pass accurate,,0.0060387249810337044,0.8371109507688024,2,False,False,False,nan,nan,nan,,nan
23,AIK,Sebastian Larsson,,52,25,58.0,22.0,59,66,carry,,-0.0008179554228269735,,1,False,False,False,nan,nan,nan,,nan
24,AIK,Mikael Lustig,Sebastian Larsson,73,2,64.0,21.0,64,67,pass accurate,,-0.0027287035445963045,0.7538509256282356,2,False,False,False,nan,nan,nan,,nan
25,AIK,Sebastian Larsson,,65,20,95.0,55.0,67,70,pass into the box,,,,2,False,False,False,nan,nan,nan,,nan
26,AIK,Sebastian Larsson,,65,20,95.0,55.0,67,70,pass inaccurate,,,0.33109848338791675,2,False,False,False,nan,nan,nan,,nan
27,Malmö FF,Marko Johansson,Lasse Ladegaard Nielsen,5,45,8.0,25.0,86,96,pass accurate,,,,2,False,False,False,nan,nan,nan,,nan
28,Malmö FF,Marko Johansson,Lasse Ladegaard Nielsen,5,45,8.0,25.0,86,96,goalkeeper kick accurate,,,,2,False,False,False,nan,nan,nan,,nan
29,Malmö FF,Lasse Ladegaard Nielsen,Marko Johansson,11,25,5.0,45.0,95,98,pass accurate,,0.0010161855452202016,0.913333594793557,2,False,False,False,nan,nan,nan,,nan
30,Malmö FF,Marko Johansson,Pavle Vagic,5,43,22.0,37.0,96,99,pass accurate,,-0.00022462604142583532,0.9003392124065174,2,False,False,False,nan,nan,nan,,nan
31,Malmö FF,Pavle Vagic,,27,31,28.0,31.0,98,101,pass inaccurate,,,0.20246822033749867,2,False,False,False,nan,nan,nan,,nan
