external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Kalmar FF,Oliver Berg,Lars Saetra,51,50,32.0,50.0,0,2,Pass accurate,,-0.005153687985360585,0.8821105643271655,1,False,False,False,,,,,
1,Kalmar FF,Lars Saetra,,31,54,73.0,69.0,2,4,Pass inaccurate,,,0.4668740882221597,1,False,False,False,,,,,
2,AIK,Alexander Milošević,,27,31,,,4,9,Interception succesful,,,,1,False,False,False,,,,,
3,AIK,Alexander Milošević,,27,31,,,4,9,Challenge unsuccessful,,,,1,False,False,False,,,,,
4,AIK,Sebastian Larsson,Sotirios Papagiannopoulos,29,30,20.0,38.0,7,9,Pass accurate,,-0.0009908906741392977,0.9360406525972977,1,False,False,False,,,,,
5,AIK,Sotirios Papagiannopoulos,,22,50,45.0,45.0,9,11,Pass inaccurate,,,0.7337903169505534,1,False,False,False,,,,,
6,Kalmar FF,Rasmus Sjöstedt,Carl Gustafsson,55,55,57.0,51.0,11,13,Pass accurate,,,0.5192157654983744,1,False,False,False,,,,,
7,Kalmar FF,Carl Gustafsson,,56,48,,,12,17,Lost ball,,,,1,False,False,False,,,,,
8,AIK,Nicolas Stefanelli,,45,54,,,13,18,Tackle successful,,,,1,False,False,False,,,,,
9,AIK,Nicolas Stefanelli,,45,54,,,13,18,Challenge unsuccessful,,,,1,False,False,False,,,,,
10,AIK,Erik Ring,,32,73,,,14,19,Lost ball,,,,1,False,False,False,,,,,
11,AIK,Erik Ring,Bilal Hussein,32,71,30.0,65.0,15,17,Pass accurate,,,0.7482301726920282,1,False,False,False,,,,,
12,AIK,Bilal Hussein,,32,69,40.0,86.0,15,17,Pass inaccurate,,,0.8366007250764355,1,False,False,False,,,,,
13,AIK,Erik Ring,,40,86,,,17,22,Tackle unsuccessful,,,,1,False,False,False,,,,,
14,AIK,Erik Ring,,40,86,,,17,22,Challenge successful,,,,1,False,False,False,,,,,
15,Kalmar FF,Carl Gustafsson,Lars Saetra,44,19,35.0,25.0,20,22,Pass accurate,,-0.0006469937054146904,0.8673647113530933,1,False,False,False,,,,,
16,Kalmar FF,Lars Saetra,Romario Pereira Sipiao,33,27,36.0,29.0,21,23,Pass accurate,,0.001300329741981767,0.583367095164953,1,False,False,False,,,,,
17,Kalmar FF,Romario Pereira Sipiao,Lars Saetra,37,28,34.0,25.0,22,24,Pass accurate,,,0.6058294091082803,1,False,False,False,,,,,
18,Kalmar FF,Lars Saetra,Sebastian Ring,32,28,33.0,76.0,24,26,Pass accurate,,-0.0013376097346070662,0.8388736165406124,1,False,False,False,,,,,
19,Kalmar FF,Sebastian Ring,Rasmus Sjöstedt,31,80,31.0,66.0,27,29,Pass accurate,,0.0009398460677127601,0.8529749619124978,1,False,False,False,,,,,
20,Kalmar FF,Rasmus Sjöstedt,Sebastian Ring,30,67,33.0,80.0,32,34,Pass accurate,,-0.0009398460677127601,0.8456385493327376,1,False,False,False,,,,,
21,Kalmar FF,Sebastian Ring,Carl Gustafsson,31,74,37.0,73.0,34,36,Pass accurate,,0.0013920898428729997,0.8294800138889149,1,False,False,False,,,,,
22,Kalmar FF,Carl Gustafsson,Sebastian Ring,37,76,34.0,75.0,34,36,Pass accurate,,,0.6057357643052563,1,False,False,False,,,,,
23,Kalmar FF,Sebastian Ring,Rasmus Sjöstedt,35,78,33.0,68.0,39,41,Pass accurate,,-0.0006439532062550383,0.8684259818764295,1,False,False,False,,,,,
24,Kalmar FF,Rasmus Sjöstedt,Lars Saetra,30,66,33.0,28.0,41,43,Pass accurate,,0.00039776366689430603,0.8553954773628953,1,False,False,False,,,,,
25,Kalmar FF,Lars Saetra,Romario Pereira Sipiao,35,29,39.0,14.0,46,48,Pass accurate,,-0.0007527059735071007,0.8376334526922593,1,False,False,False,,,,,
26,Kalmar FF,Romario Pereira Sipiao,Lars Saetra,38,16,34.0,27.0,48,50,Pass accurate,,0.0007527059735071007,0.8614320048433376,1,False,False,False,,,,,
27,Kalmar FF,Lars Saetra,Sebastian Ring,33,31,33.0,70.0,50,52,Pass accurate,,-0.00039776366689430603,0.8502678805347513,1,False,False,False,,,,,
28,Kalmar FF,Sebastian Ring,Nils Fröling,45,79,67.0,94.0,55,57,Pass accurate,,0.006879218777371843,0.6983959896674745,1,False,False,False,,,,,
29,Kalmar FF,Nils Fröling,Sebastian Ring,66,95,53.0,81.0,57,59,Pass accurate,,-0.0008163911606975036,0.8511064328450912,1,False,False,False,,,,,
30,Kalmar FF,Sebastian Ring,Carl Gustafsson,54,84,65.0,78.0,59,61,Pass accurate,,0.0031887910024506055,0.7426911480027857,1,False,False,False,,,,,
31,Kalmar FF,Carl Gustafsson,Sebastian Ring,65,80,55.0,84.0,60,62,Pass accurate,,-0.0031887910024506055,0.7674303303286899,2,False,False,False,,,,,
32,Kalmar FF,Sebastian Ring,Nils Fröling,55,87,70.0,95.0,61,63,Pass accurate,,0.004741717686177215,0.6886217949160163,2,False,False,False,,,,,
33,Kalmar FF,Nils Fröling,Carl Gustafsson,68,96,68.0,79.0,63,65,Pass accurate,,0.003384757163740343,0.7631776740429487,2,False,False,False,,,,,
34,Kalmar FF,Carl Gustafsson,Sebastian Ring,67,81,63.0,94.0,65,67,Pass accurate,,-0.0073100836892200545,0.8713986156228851,2,False,False,False,,,,,
35,Kalmar FF,Sebastian Ring,Lars Saetra,62,82,45.0,51.0,68,70,Pass accurate,,-0.003998948396048061,0.8525342940571246,2,False,False,False,,,,,
36,Kalmar FF,Sebastian Ring,,63,94,62.0,82.0,65,70,Carry,,0.002372399841753102,,2,False,False,False,,,,,
37,Kalmar FF,Lars Saetra,Piotr Johansson,44,49,55.0,9.0,71,73,Pass accurate,,-0.0001440827299808399,0.6567349558121907,2,False,False,False,,,,,
38,Kalmar FF,Piotr Johansson,Lars Saetra,53,12,33.0,28.0,76,78,Pass accurate,,-0.0028695506545316565,0.8625928839931716,2,False,False,False,,,,,
39,Kalmar FF,Lars Saetra,Carl Gustafsson,33,31,38.0,38.0,79,81,Pass accurate,,0.0015647514259704703,0.8237384272823317,2,False,False,False,,,,,
40,Kalmar FF,Jonathan Ring,,62,46,,,81,86,Lost ball,,,,2,False,False,False,,,,,
41,Kalmar FF,Carl Gustafsson,Jonathan Ring,44,51,62.0,42.0,81,83,Pass accurate,,0.006072259566971116,0.7259024736894193,2,False,False,False,,,,,
42,AIK,Sotirios Papagiannopoulos,,31,46,51.0,50.0,83,85,Pass inaccurate,,,0.7072273253518206,2,False,False,False,,,,,
43,Kalmar FF,Carl Gustafsson,,49,50,,,83,88,Clearance inaccurate,,,,2,False,False,False,,,,,
44,AIK,Erick Ouma Otieno,Bilal Hussein,33,99,33.0,83.0,97,99,Pass accurate,,0.0013944507131610114,0.8614678196531999,2,False,False,False,,,,,
45,AIK,Bilal Hussein,Erick Ouma Otieno,33,80,33.0,95.0,98,100,Pass accurate,,-0.0013944507131610114,0.8771001470194737,2,False,False,False,,,,,
46,Kalmar FF,Romario Pereira Sipiao,,55,18,,,105,110,Interception succesful,,,,2,False,False,False,,,,,
47,Kalmar FF,Romario Pereira Sipiao,,55,18,,,105,110,Challenge unsuccessful,,,,2,False,False,False,,,,,
48,AIK,Erick Ouma Otieno,,32,79,36.0,80.0,106,108,Pass inaccurate,,,0.7330357460796805,2,False,False,False,,,,,
49,AIK,Bilal Hussein,,36,80,,,106,109,Foul,,,,2,False,False,False,,,,,
50,Kalmar FF,Romario Pereira Sipiao,,64,23,74.0,23.0,108,110,Pass inaccurate,,,0.6780542043405081,2,False,False,False,,,,,
51,Kalmar FF,Lars Saetra,Rasmus Sjöstedt,47,14,43.0,29.0,129,131,Pass accurate,,0.0007922984038406314,0.8448752440457001,3,False,False,False,,,,,
52,Kalmar FF,Rasmus Sjöstedt,Sebastian Ring,43,30,47.0,54.0,131,133,Pass accurate,,0.0002463856776072186,0.7741716424169869,3,False,False,False,,,,,
53,Kalmar FF,Sebastian Ring,Carl Gustafsson,47,49,58.0,28.0,135,137,Pass accurate,,0.002317679424019982,0.7906843503634898,3,False,False,False,,,,,
54,AIK,Erik Ring,,38,73,,,136,141,Tackle successful,,,,3,False,False,False,,,,,
55,AIK,Erik Ring,,38,73,,,136,141,Challenge unsuccessful,,,,3,False,False,False,,,,,
56,Kalmar FF,Carl Gustafsson,,59,30,,,136,141,Lost ball,,,,3,False,False,False,,,,,
57,AIK,Bilal Hussein,Nicolas Stefanelli,39,67,51.0,72.0,138,140,Pass accurate,,0.0037050334671281937,0.7677858259284307,3,False,False,False,,,,,
58,AIK,Nicolas Stefanelli,,67,72,90.0,74.0,142,144,Pass into the box,,,,3,False,False,False,,,,,
59,AIK,Nicolas Stefanelli,,67,72,90.0,74.0,142,144,Pass inaccurate,,,0.5893097142209978,3,False,False,False,,,,,
60,AIK,Nicolas Stefanelli,,51,72,67.0,72.0,138,144,Carry,,0.007876911167771616,,3,False,False,False,,,,,
61,Kalmar FF,Lars Saetra,,10,26,,,143,148,Interception succesful,,,,3,False,False,False,,,,,
62,Kalmar FF,Lars Saetra,,10,26,,,143,148,Challenge unsuccessful,,,,3,False,False,False,,,,,
63,Kalmar FF,Piotr Johansson,Jonathan Ring,9,25,38.0,19.0,146,148,Pass accurate,,0.002608809203132773,0.6842014632059721,3,False,False,False,,,,,
64,Kalmar FF,Jonathan Ring,,38,19,64.0,14.0,148,150,Pass inaccurate,,,0.6255838725775899,3,False,False,False,,,,,
65,AIK,Sotirios Papagiannopoulos,Sebastian Larsson,36,86,40.0,70.0,152,154,Pass accurate,,0.0007481366366179614,0.8378489826227935,3,False,False,False,,,,,
66,AIK,Sebastian Larsson,Alexander Milošević,40,70,28.0,61.0,154,156,Pass accurate,,-0.0007599427472526447,0.9049096826134415,3,False,False,False,,,,,
67,AIK,Alexander Milošević,Bo Kristoffer Nordfeldt,26,59,10.0,54.0,156,158,Pass accurate,,-0.0019225201836652137,0.9338338766763019,3,False,False,False,,,,,
68,AIK,Bo Kristoffer Nordfeldt,Bilal Hussein,10,60,26.0,66.0,157,167,Pass accurate,,,,3,False,False,False,,,,,
69,AIK,Bo Kristoffer Nordfeldt,Bilal Hussein,10,60,26.0,66.0,157,167,Goalkeeper throw accurate,,,,3,False,False,False,,,,,
70,AIK,Bilal Hussein,Sotirios Papagiannopoulos,29,68,20.0,68.0,164,166,Pass accurate,,-0.0012824848477914121,0.9366172528201364,3,False,False,False,,,,,
71,AIK,Sotirios Papagiannopoulos,Sebastian Larsson,22,65,27.0,53.0,167,169,Pass accurate,,0.001914631943411767,0.8811784191404103,3,False,False,False,,,,,
72,AIK,Sebastian Larsson,Sotirios Papagiannopoulos,27,53,24.0,68.0,169,171,Pass accurate,,-0.001914631943411767,0.9235161767506195,3,False,False,False,,,,,
73,AIK,Sotirios Papagiannopoulos,Alexander Milošević,25,62,27.0,29.0,172,174,Pass accurate,,-0.00023438342872604892,0.9164040700577827,3,False,False,False,,,,,
74,AIK,Sebastian Larsson,,30,28,,,174,179,Lost ball,,,,3,False,False,False,,,,,
75,AIK,Alexander Milošević,Sebastian Larsson,26,28,30.0,31.0,174,176,Pass accurate,,,0.7126806309867334,3,False,False,False,,,,,
76,Kalmar FF,Romario Pereira Sipiao,,69,78,,,175,180,Interception unsuccesful,,,,3,False,False,False,,,,,
77,Kalmar FF,Romario Pereira Sipiao,,69,78,,,175,180,Challenge successful,,,,3,False,False,False,,,,,
78,AIK,Sebastian Larsson,Alexander Milošević,31,25,28.0,23.0,179,181,Pass accurate,,-0.0007316033895666627,0.5735099000246693,3,False,False,False,,,,,
79,Kalmar FF,Romario Pereira Sipiao,,68,72,,,182,187,Interception succesful,,,,4,False,False,False,,,,,
80,Kalmar FF,Romario Pereira Sipiao,,68,72,,,182,187,Challenge unsuccessful,,,,4,False,False,False,,,,,
81,AIK,Alexander Milošević,,30,24,40.0,24.0,182,184,Pass inaccurate,,,0.19732375781543504,4,False,False,False,,,,,
82,AIK,Alexander Milošević,,29,28,,,183,186,Foul,,,,4,False,False,False,,,,,
83,Kalmar FF,Lars Saetra,,92,44,,,236,239,Wide shot,0.16295235416033488,,,4,True,False,False,Free-kick,,,True,
84,AIK,Bo Kristoffer Nordfeldt,,8,56,,,236,239,Goalkeeper wide shot,,,,4,False,False,False,,,,,
85,Kalmar FF,Lars Saetra,,92,44,,,236,239,Shot,0.16295235416033488,,,4,True,False,False,Free-kick,,Header,True,
86,Kalmar FF,Oliver Berg,Lars Saetra,71,71,92.0,43.0,239,241,Pass into the box,,,,4,False,False,False,Free-kick,,,,
87,Kalmar FF,Oliver Berg,Lars Saetra,71,71,92.0,43.0,239,241,Pass accurate,,0.23670837572602582,0.4909604883563319,4,False,False,False,Free-kick,,,,
88,Kalmar FF,Oliver Berg,Lars Saetra,71,71,92.0,43.0,239,241,Key pass,,,0.4909604883563319,4,False,False,False,Free-kick,,,,
89,AIK,Bo Kristoffer Nordfeldt,,3,52,58.0,38.0,243,253,Pass inaccurate,,,,5,False,False,False,,,,,
90,AIK,Bo Kristoffer Nordfeldt,,3,52,58.0,38.0,243,253,Goalkeeper kick inaccurate,,,,5,False,False,False,,,,,
91,Kalmar FF,Oliver Berg,,42,62,,,248,253,Interception succesful,,,,5,False,False,False,,,,,
92,Kalmar FF,Oliver Berg,,42,62,,,248,253,Challenge unsuccessful,,,,5,False,False,False,,,,,
93,Kalmar FF,Oliver Berg,Sebastian Ring,59,65,59.0,91.0,253,255,Pass accurate,,-0.003314078662680891,0.8221928298152955,5,False,False,False,,,,,
94,AIK,Zachary Elbouzedi,,89,16,,,256,281,Final third entry,,,,5,False,False,False,,,,,
95,AIK,Nicolas Stefanelli,,59,23,,,257,262,Interception succesful,,,,5,False,False,False,,,,,
96,AIK,Nicolas Stefanelli,,59,23,,,257,262,Challenge unsuccessful,,,,5,False,False,False,,,,,
97,Kalmar FF,Sebastian Ring,,48,80,31.0,88.0,257,259,Pass inaccurate,,,0.8977923831020596,5,False,False,False,,,,,
98,AIK,Nicolas Stefanelli,Zachary Elbouzedi,69,12,77.0,7.0,262,264,Pass accurate,,0.005796274482870466,0.7401232007591779,5,False,False,False,,,,,
99,Kalmar FF,Lars Saetra,,8,51,,,265,270,Clearance inaccurate,,,,5,False,False,False,,,,,
100,AIK,Zachary Elbouzedi,,90,15,98.0,3.0,265,267,Pass inaccurate,,,0.5236606561718119,5,False,False,False,,,,,
