external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Halmstad,away,Amir Al-Ammari,Joseph Baffoe,50,48,33.0,51.0,0,3,pass accurate,,-0.005149041375285539,0.8821105643271655,1,False,False,False,nan,nan,nan,,nan
1,Halmstad,away,Joseph Baffoe,,32,29,65.0,26.0,2,5,pass inaccurate,,,0.571970815595342,1,False,False,False,nan,nan,nan,,nan
2,IF Elfsborg,home,André Rømer,,35,74,,,5,8,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
3,IF Elfsborg,home,André Rømer,,35,74,,,5,8,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
4,Halmstad,away,Sadat Karim,,66,16,,,5,8,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
5,Halmstad,away,Sadat Karim,,66,16,,,5,8,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
6,IF Elfsborg,home,Simon Strand,,28,81,36.0,85.0,7,10,pass inaccurate,,,0.8565365547329258,1,False,False,False,nan,nan,nan,,nan
7,Halmstad,away,Edvin Kurtulus,,64,15,72.0,33.0,8,11,pass inaccurate,,,0.6959592894314349,1,False,False,False,nan,nan,nan,,nan
8,IF Elfsborg,home,Leo Väisänen,,28,67,,,9,14,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
9,IF Elfsborg,home,Jacob Ondrejka,,82,53,,,11,36,final third entry,,,,1,False,False,False,nan,nan,nan,,nan
10,IF Elfsborg,home,Per Frick,,89,44,,,12,22,penalty box entry successful,,,,1,False,False,False,nan,nan,nan,,nan
11,IF Elfsborg,home,Marokhy Ndione,Jacob Ondrejka,44,67,46.0,49.0,14,17,pass accurate,,0.0006211608286854527,0.7866916049779966,1,False,False,False,nan,nan,nan,,nan
12,IF Elfsborg,home,Per Frick,,91,29,,,18,23,goal,0.6925601205755159,,,1,False,False,False,nan,nan,nan,,bottom-left
13,Halmstad,away,Malkolm Nilsson Säfqvist,,9,71,,,18,23,goal conceded,0.6925601205755159,,,1,False,False,False,nan,nan,nan,,bottom-left
14,IF Elfsborg,home,Jacob Ondrejka,Per Frick,82,47,88.0,35.0,20,23,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
