external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Östersund,away,Blair Sebastian Turgott,Ronald Mukiibi,51,50,32.0,39.0,0,1,pass accurate,,-0.0049890352941342146,0.8786857382041054,1,False,False,False,nan,nan,nan,,nan
1,Östersund,away,Ronald Mukiibi,,31,37,82.0,99.0,1,3,pass inaccurate,,,0.13022431010676372,1,False,False,False,nan,nan,nan,,nan
2,Mjällby AIF,home,Max Watson,Jacob Bergström,18,1,33.0,19.0,18,20,pass accurate,,0.0026692121910549312,0.7220251398985171,1,False,False,False,nan,nan,nan,,nan
3,Mjällby AIF,home,Jacob Bergström,,35,20,56.0,47.0,20,22,pass inaccurate,,,0.602220463309201,1,False,False,False,nan,nan,nan,,nan
4,Östersund,away,Ronald Mukiibi,Sixten Mohlin,44,53,14.0,49.0,24,26,pass accurate,,-0.004238162398332338,0.9378059101039934,1,False,False,False,nan,nan,nan,,nan
5,Östersund,away,Sixten Mohlin,,18,50,67.0,66.0,34,36,pass inaccurate,,,0.4980679252728049,1,False,False,False,nan,nan,nan,,nan
6,Mjällby AIF,home,Eric Björkander,,33,34,,,36,41,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
7,Mjällby AIF,home,Eric Björkander,,33,30,,,36,39,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
8,Mjällby AIF,home,Eric Björkander,,33,30,,,36,39,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
9,Östersund,away,Francis Jno-Baptiste,,67,71,,,36,39,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
10,Östersund,away,Francis Jno-Baptiste,,67,71,,,36,39,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
11,Mjällby AIF,home,Andreas Blomqvist,,34,8,,,39,42,foul,,,,1,False,False,False,nan,nan,nan,,nan
12,Mjällby AIF,home,Ivan Kričak,,9,54,,,76,81,clearance accurate,,,,2,False,False,False,nan,nan,nan,,nan
13,Mjällby AIF,home,Andreas Blomqvist,Eric Björkander,12,50,8.0,53.0,80,82,pass accurate,,0.00033825511976884673,0.6579317446974955,2,False,False,False,nan,nan,nan,,nan
14,Mjällby AIF,home,Eric Björkander,,9,51,29.0,51.0,81,83,pass inaccurate,,,0.7900479322714298,2,False,False,False,nan,nan,nan,,nan
15,Östersund,away,Felix Hörberg,Isak Ssali Ssewankambo,71,49,69.0,89.0,85,87,pass accurate,,-0.004987559870172166,0.7591067678446414,2,False,False,False,nan,nan,nan,,nan
16,Östersund,away,Isak Ssali Ssewankambo,Patrick Kpozo,69,95,76.0,90.0,87,89,pass accurate,,0.005687958262245885,0.7001250352663032,2,False,False,False,nan,nan,nan,,nan
17,Östersund,away,Patrick Kpozo,,91,95,,,90,95,lost ball,,,,2,False,False,False,nan,nan,nan,,nan
18,Östersund,away,Patrick Kpozo,,76,90,91.0,95.0,87,95,carry,,0.006214435802851855,,2,False,False,False,nan,nan,nan,,nan
19,Mjällby AIF,home,Max Watson,,9,5,,,91,96,tackle successful,,,,2,False,False,False,nan,nan,nan,,nan
20,Mjällby AIF,home,Max Watson,,9,5,,,91,96,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
21,Mjällby AIF,home,Joel Nilsson,Andreas Blomqvist,18,5,26.0,24.0,94,96,pass accurate,,0.0026692121910549312,0.83644969210494,2,False,False,False,nan,nan,nan,,nan
22,Mjällby AIF,home,Andreas Blomqvist,,29,34,49.0,34.0,96,98,pass inaccurate,,,0.6292103991940144,2,False,False,False,nan,nan,nan,,nan
