external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Östersund,Nebiyou Perry,Frank Arhin,49,52,27.0,41.0,0,3,Pass accurate,,-0.0025869714088918878,0.9280471007624863,1,False,False,False,,,,,
1,Östersund,Frank Arhin,,28,40,28.0,40.0,1,4,Pass inaccurate,,,0.2708063058021561,1,False,False,False,,,,,
2,AIK,Budimir Janosevic,Mikael Lustig,14,51,28.0,21.0,2,12,Pass accurate,,,,1,False,False,False,,,,,
3,AIK,Budimir Janosevic,Mikael Lustig,14,51,28.0,21.0,2,12,Goalkeeper throw accurate,,,,1,False,False,False,,,,,
4,AIK,Mikael Lustig,,24,11,74.0,18.0,11,14,Pass inaccurate,,,0.4040134777887925,1,False,False,False,,,,,
5,Östersund,Patrick Kpozo,,26,82,,,14,19,Clearance inaccurate,,,,1,False,False,False,,,,,
6,AIK,Nicolas Stefanelli,Bilal Hussein,71,18,81.0,18.0,18,21,Pass accurate,,0.00504146694245295,0.5500118761343663,1,False,False,False,,,,,
7,AIK,Bilal Hussein,Ebenezer Ofori,68,30,61.0,51.0,20,23,Pass accurate,,-0.004545653901259442,0.8171181530874704,1,False,False,False,,,,,
8,AIK,Bilal Hussein,,67,21,68.0,30.0,18,23,Carry,,-4.968891542446799e-05,,1,False,False,False,,,,,
9,AIK,Mikael Lustig,,84,6,,,24,49,Final third entry,,,,1,False,False,False,,,,,
10,AIK,Ebenezer Ofori,Bilal Hussein,54,59,58.0,51.0,25,28,Pass accurate,,,0.7660566600997625,1,False,False,False,,,,,
11,AIK,Bilal Hussein,Alexander Milošević,56,55,55.0,26.0,26,29,Pass accurate,,-5.675860555415593e-05,0.8355442496273496,1,False,False,False,,,,,
12,AIK,Alexander Milošević,Mikael Lustig,67,22,84.0,9.0,31,34,Pass accurate,,0.008814354965024605,0.5720238614746719,1,False,False,False,,,,,
13,AIK,Alexander Milošević,,55,26,67.0,22.0,26,34,Carry,,0.008204109094417218,,1,False,False,False,,,,,
14,AIK,Mikael Lustig,Saku Ylätupa,82,5,95.0,11.0,33,36,Pass accurate,,0.03199883387896518,0.49707527215248454,1,False,False,False,,,,,
15,AIK,Saku Ylätupa,,93,7,,,36,41,Lost ball,,,,1,False,False,False,,,,,
16,Östersund,Henrik Bellman,Nebiyou Perry,8,96,14.0,89.0,53,56,Pass accurate,,0.0014459941826564637,0.9075280682014785,1,False,False,False,,,,,
17,Östersund,Nebiyou Perry,Henrik Bellman,15,87,9.0,94.0,53,56,Pass accurate,,-0.001342238789422922,0.9284820622769855,1,False,False,False,,,,,
18,Östersund,Henrik Bellman,Ludvig Fritzson,11,97,24.0,71.0,55,58,Pass accurate,,0.0034489301813612778,0.893072259804491,1,False,False,False,,,,,
19,Östersund,Nebiyou Perry,,24,85,,,55,60,Lost ball,,,,1,False,False,False,,,,,
20,Östersund,Ludvig Fritzson,Nebiyou Perry,23,78,24.0,85.0,56,59,Pass accurate,,,0.7613712828296116,1,False,False,False,,,,,
21,AIK,Mikael Lustig,Saku Ylätupa,76,12,88.0,10.0,58,61,Pass accurate,,0.006001420018364626,0.6526100452094246,1,False,False,False,,,,,
22,AIK,Erick Ouma Otieno,,88,28,,,59,64,Lost ball,,,,1,False,False,False,,,,,
23,AIK,Saku Ylätupa,Erick Ouma Otieno,89,8,89.0,24.0,61,64,Pass into the box,,,,2,False,False,False,,,,,
24,AIK,Saku Ylätupa,Erick Ouma Otieno,89,8,89.0,24.0,61,64,Pass accurate,,0.001997570461074384,0.6095991203965646,2,False,False,False,,,,,
25,Östersund,Simon Kroon,Blair Sebastian Turgott,38,26,56.0,18.0,68,71,Pass accurate,,0.0032130276437237378,0.6949399354409659,2,False,False,False,,,,,
26,Östersund,Blair Sebastian Turgott,Felix Hörberg,55,11,38.0,9.0,69,72,Pass accurate,,-0.0035036896676580217,0.788574559668136,2,False,False,False,,,,,
27,Östersund,Felix Hörberg,Blair Sebastian Turgott,36,6,66.0,10.0,73,76,Pass accurate,,0.0063938217324273575,0.5527809196905605,2,False,False,False,,,,,
28,Östersund,Blair Sebastian Turgott,Simon Kroon,70,5,89.0,8.0,75,78,Pass accurate,,0.011797694501235093,0.5539323285043916,2,False,False,False,,,,,
29,Östersund,Blair Sebastian Turgott,,66,10,70.0,5.0,73,78,Carry,,0.004792399647438217,,2,False,False,False,,,,,
30,AIK,Alexander Milošević,,11,96,,,81,86,Clearance inaccurate,,,,2,False,False,False,,,,,
31,Östersund,Simon Kroon,,88,5,76.0,1.0,82,85,Pass inaccurate,,,0.8254985977412757,2,False,False,False,,,,,
32,Östersund,Simon Kroon,Eirik Haugan,76,1,60.0,22.0,90,93,Pass accurate,,-0.008524978027466771,0.7537829278733145,2,False,False,False,,,,,
33,Östersund,Eirik Haugan,Frank Arhin,55,19,45.0,19.0,94,97,Pass accurate,,-0.0025660339383090473,0.8498984412158876,2,False,False,False,,,,,
34,Östersund,Eirik Haugan,,60,22,55.0,19.0,90,97,Carry,,-0.0033100214364374,,2,False,False,False,,,,,
35,Östersund,Frank Arhin,Eirik Haugan,61,32,71.0,32.0,94,97,Pass accurate,,0.005150786963428557,0.7308064962218367,2,False,False,False,,,,,
36,Östersund,Eirik Haugan,Samuel Laryea Mensiro,43,21,30.0,42.0,98,101,Pass accurate,,-0.0015482873274440378,0.8913252586599802,2,False,False,False,,,,,
37,Östersund,Samuel Laryea Mensiro,Aly Keita,33,42,15.0,48.0,101,104,Pass accurate,,-0.00165119098944045,0.9387687164520605,2,False,False,False,,,,,
38,Östersund,Aly Keita,Felix Hörberg,22,40,73.0,9.0,109,112,Pass accurate,,0.011542973040878507,0.455520411532351,2,False,False,False,,,,,
39,Östersund,Felix Hörberg,Simon Kroon,75,7,70.0,9.0,117,120,Pass accurate,,-0.005796274482870466,0.5927360205628447,2,False,False,False,,,,,
40,Östersund,Simon Kroon,Nebiyou Perry,70,24,80.0,24.0,122,125,Pass accurate,,0.00504146694245295,0.6572909847629088,3,False,False,False,,,,,
41,Östersund,Simon Kroon,,70,9,70.0,24.0,117,125,Carry,,0.0029833395362104873,,2,False,False,False,,,,,
42,Östersund,Nebiyou Perry,Ludvig Fritzson,73,29,61.0,31.0,123,126,Pass accurate,,-0.005150786963428557,0.8143240173361102,3,False,False,False,,,,,
43,Östersund,Nebiyou Perry,,69,38,73.0,29.0,122,126,Carry,,-3.970949126591572e-05,,3,False,False,False,,,,,
44,Östersund,Ludvig Fritzson,Patrick Kpozo,63,34,60.0,72.0,125,128,Pass accurate,,-0.0004083112782765144,0.7900026520279938,3,False,False,False,,,,,
45,Östersund,Patrick Kpozo,,66,71,66.0,71.0,128,131,Pass inaccurate,,,0.23819106830737102,3,False,False,False,,,,,
46,Östersund,Patrick Kpozo,,60,72,66.0,71.0,125,131,Carry,,,,3,False,False,False,,,,,
47,AIK,Budimir Janosevic,Sotirios Papagiannopoulos,4,47,11.0,71.0,136,146,Pass accurate,,,,3,False,False,False,,,,,
48,AIK,Budimir Janosevic,Sotirios Papagiannopoulos,4,47,11.0,71.0,136,146,Goalkeeper kick accurate,,,,3,False,False,False,,,,,
49,AIK,Sotirios Papagiannopoulos,Ebenezer Ofori,12,68,26.0,66.0,142,145,Pass accurate,,0.0024228298661596124,0.8504925406755703,3,False,False,False,,,,,
50,AIK,Ebenezer Ofori,Erick Ouma Otieno,24,75,26.0,93.0,144,147,Pass accurate,,1.1340439885558842e-05,0.8017076796017872,3,False,False,False,,,,,
51,AIK,Erick Ouma Otieno,Ebenezer Ofori,38,92,34.0,78.0,149,152,Pass accurate,,0.0016627165462302432,0.8722207706991403,3,False,False,False,,,,,
52,AIK,Ebenezer Ofori,Mikael Lustig,42,83,63.0,52.0,153,156,Pass accurate,,0.0072814152550186514,0.6410167100544005,3,False,False,False,,,,,
53,AIK,Mikael Lustig,,62,54,93.0,51.0,153,156,Pass into the box,,,,3,False,False,False,,,,,
54,AIK,Mikael Lustig,,62,54,93.0,51.0,153,156,Pass inaccurate,,,0.4516526450818774,3,False,False,False,,,,,
55,Östersund,Aly Keita,Eirik Haugan,7,49,14.0,25.0,155,165,Pass accurate,,,,3,False,False,False,,,,,
56,Östersund,Aly Keita,Eirik Haugan,7,49,14.0,25.0,155,165,Goalkeeper throw accurate,,,,3,False,False,False,,,,,
57,Östersund,Patrick Kpozo,Aly Keita,30,60,9.0,58.0,156,159,Pass accurate,,-0.0019225201836652137,0.9414389322072737,3,False,False,False,,,,,
58,Östersund,Eirik Haugan,Samuel Laryea Mensiro,19,26,17.0,47.0,173,176,Pass accurate,,0.0002787352567244425,0.9200509365599504,3,False,False,False,,,,,
59,Östersund,Samuel Laryea Mensiro,Eirik Haugan,17,50,18.0,24.0,175,178,Pass accurate,,-0.0008346453231139091,0.926951982131718,3,False,False,False,,,,,
60,Östersund,Eirik Haugan,,23,18,77.0,1.0,179,182,Pass inaccurate,,,0.6166132592383269,3,False,False,False,,,,,
61,AIK,Erick Ouma Otieno,,23,99,37.0,91.0,200,203,Pass inaccurate,,,0.816832240831776,4,False,False,False,,,,,
62,Östersund,Ludvig Fritzson,,63,9,70.0,9.0,202,205,Pass inaccurate,,,0.6141992069651595,4,False,False,False,,,,,
63,Östersund,Simon Kroon,,70,9,,,205,208,Air challenge successful,,,,4,False,False,False,,,,,
64,Östersund,Simon Kroon,,70,9,,,205,208,Challenge successful,,,,4,False,False,False,,,,,
65,AIK,Erick Ouma Otieno,,30,91,,,205,208,Air challenge unsuccessful,,,,4,False,False,False,,,,,
66,AIK,Erick Ouma Otieno,,30,91,,,205,208,Challenge unsuccessful,,,,4,False,False,False,,,,,
67,Östersund,Simon Kroon,Nebiyou Perry,72,2,73.0,21.0,219,222,Pass accurate,,0.0029833395362104873,0.7148390731608358,4,False,False,False,,,,,
68,Östersund,Nebiyou Perry,Ludvig Fritzson,71,19,71.0,14.0,220,223,Pass accurate,,,0.5112632285925371,4,False,False,False,,,,,
69,Östersund,Ludvig Fritzson,,71,15,51.0,15.0,221,224,Pass inaccurate,,,0.8320028398142427,4,False,False,False,,,,,
70,AIK,Erick Ouma Otieno,,23,83,25.0,77.0,222,225,Pass inaccurate,,,0.7423379462164956,4,False,False,False,,,,,
71,Östersund,Nebiyou Perry,Simon Kroon,75,23,75.0,13.0,223,226,Pass accurate,,,0.724213132433492,4,False,False,False,,,,,
72,Östersund,Nebiyou Perry,,77,24,,,226,231,Lost ball,,,,4,False,False,False,,,,,
73,Östersund,Simon Kroon,Nebiyou Perry,76,13,76.0,22.0,227,230,Pass accurate,,,0.6962589863536196,4,False,False,False,,,,,
74,AIK,Sotirios Papagiannopoulos,Nicolas Stefanelli,27,63,31.0,72.0,232,235,Pass accurate,,,0.8486108649912725,4,False,False,False,,,,,
75,Östersund,Ludvig Fritzson,,68,31,,,234,237,Foul,,,,4,False,False,False,,,,,
76,AIK,Sotirios Papagiannopoulos,Bilal Hussein,33,67,32.0,50.0,270,273,Pass accurate,,0.000632147095620355,0.8588574874931381,5,False,False,False,,,,,
77,AIK,Bilal Hussein,Alexander Milošević,28,61,34.0,20.0,273,276,Pass accurate,,0.0003132403397486175,0.8456215351706754,5,False,False,False,,,,,
78,AIK,Saku Ylätupa,,79,11,,,274,299,Final third entry,,,,5,False,False,False,,,,,
79,AIK,Alexander Milošević,Ebenezer Ofori,39,26,51.0,41.0,277,280,Pass accurate,,0.004083095062029821,0.7548886942670017,5,False,False,False,,,,,
80,AIK,Ebenezer Ofori,Saku Ylätupa,55,29,74.0,6.0,279,282,Pass accurate,,0.005220769558206731,0.49744352082927823,5,False,False,False,,,,,
81,AIK,Ebenezer Ofori,,51,41,55.0,29.0,277,282,Carry,,-5.2111995479109385e-05,,5,False,False,False,,,,,
82,AIK,Mikael Lustig,Alexander Milošević,77,12,60.0,17.0,286,289,Pass accurate,,-0.008524978027466771,0.7986055097766359,5,False,False,False,,,,,
83,AIK,Bilal Hussein,,66,22,,,288,293,Lost ball,,,,5,False,False,False,,,,,
84,AIK,Bilal Hussein,,74,32,,,288,313,Final third entry,,,,5,False,False,False,,,,,
85,AIK,Alexander Milošević,Bilal Hussein,59,17,68.0,21.0,289,292,Pass accurate,,0.005712043080806792,0.6955403589244394,5,False,False,False,,,,,
86,Östersund,Frank Arhin,,32,78,,,289,294,Tackle unsuccessful,,,,5,False,False,False,,,,,
87,Östersund,Frank Arhin,,32,78,,,289,294,Challenge successful,,,,5,False,False,False,,,,,
88,AIK,Alexander Milošević,Mikael Lustig,55,15,65.0,9.0,292,295,Pass accurate,,0.0012463253335954876,0.6497909548696075,5,False,False,False,,,,,
89,AIK,Mikael Lustig,Bilal Hussein,65,8,61.0,22.0,293,296,Pass accurate,,0.0020636961028419123,0.795313378694335,5,False,False,False,,,,,
90,AIK,Bilal Hussein,Mikael Lustig,73,31,83.0,7.0,297,300,Pass accurate,,0.002862623862084447,0.7814963670086874,5,False,False,False,,,,,
91,AIK,Bilal Hussein,,61,22,73.0,31.0,293,300,Carry,,0.005662354165382324,,5,False,False,False,,,,,
92,AIK,Mikael Lustig,,93,5,99.0,2.0,305,308,Pass inaccurate,,,0.511322124552935,6,False,False,False,,,,,
93,AIK,Mikael Lustig,,83,7,93.0,5.0,297,308,Carry,,0.03199883387896518,,5,False,False,False,,,,,
94,AIK,Saku Ylätupa,Nicolas Stefanelli,99,2,94.0,3.0,328,338,Right corner accurate,,,,6,False,False,False,Corner,Cleared,,,
95,AIK,Saku Ylätupa,Nicolas Stefanelli,99,2,94.0,7.0,331,334,Pass accurate,,,0.6700867122900306,6,False,False,False,Corner,,,,
96,AIK,Nicolas Stefanelli,Saku Ylätupa,97,12,91.0,11.0,333,336,Pass accurate,,-0.02599741386060056,0.5984363610740707,6,False,False,False,Corner,,,,
97,Östersund,Felix Hörberg,,12,85,,,333,338,Clearance accurate,,,,6,False,False,False,,,,,
98,AIK,Saku Ylätupa,,89,8,97.0,29.0,334,337,Pass into the box,,,,6,False,False,False,Corner,,,,
99,AIK,Saku Ylätupa,,89,8,97.0,29.0,334,337,Pass inaccurate,,,0.42130120618659966,6,False,False,False,Corner,,,,
100,Östersund,Blair Sebastian Turgott,,3,71,,,336,341,Clearance inaccurate,,,,6,False,False,False,,,,,
101,Östersund,Blair Sebastian Turgott,,7,84,,,340,345,Clearance inaccurate,,,,6,False,False,False,,,,,
102,AIK,Nicolas Stefanelli,,92,8,99.0,2.0,341,344,Pass inaccurate,,,0.5451082122048915,6,False,False,False,Corner,,,,
103,AIK,Saku Ylätupa,,99,2,95.0,56.0,366,376,Right corner inaccurate,,,,7,False,False,False,Corner,Cleared,,,
104,Östersund,Ludvig Fritzson,,5,44,,,369,374,Clearance inaccurate,,,,7,False,False,False,,,,,
105,AIK,Nicolas Stefanelli,,80,58,,,373,376,Wide shot,0.03914154095609162,,,7,False,False,False,Corner,,,,
106,Östersund,Aly Keita,,20,42,,,373,376,Goalkeeper wide shot,,,,7,False,False,False,,,,,
107,AIK,Nicolas Stefanelli,,80,58,,,373,376,Shot,0.03914154095609162,,,7,False,False,False,Corner,,Right Foot,,
108,Östersund,Aly Keita,,6,44,54.0,57.0,377,387,Pass inaccurate,,,,7,False,False,False,,,,,
109,Östersund,Aly Keita,,6,44,54.0,57.0,377,387,Goal kick,,,,7,False,False,False,,,,,
110,AIK,Alexander Milošević,Erick Ouma Otieno,46,43,25.0,81.0,383,386,Pass accurate,,-0.004351243119119563,0.9131067459403295,7,False,False,False,,,,,
111,AIK,Erick Ouma Otieno,Ebenezer Ofori,33,95,34.0,79.0,394,397,Pass accurate,,0.0029782499871288098,0.8614678196531999,7,False,False,False,,,,,
112,AIK,Ebenezer Ofori,Erick Ouma Otieno,35,74,42.0,86.0,399,402,Pass accurate,,0.0006643376552684412,0.8489454231029975,7,False,False,False,,,,,
113,Östersund,Ludvig Fritzson,,26,22,,,404,409,Interception unsuccesful,,,,7,False,False,False,,,,,
114,Östersund,Ludvig Fritzson,,26,22,,,404,409,Challenge successful,,,,7,False,False,False,,,,,
115,AIK,Erick Ouma Otieno,,72,92,61.0,95.0,405,408,Pass inaccurate,,,0.8237588545587091,7,False,False,False,,,,,
116,AIK,Tom Strannegård,Ebenezer Ofori,61,95,57.0,86.0,409,412,Pass accurate,,-0.0008163911606975036,0.8056915551870086,7,False,False,False,,,,,
