external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,BK Häcken,Alexander Jeremejeff,Joona Toivio,51,50,32.0,53.0,0,2,pass accurate,,-0.005153687985360585,0.8786857382041054,1,False,False,False,nan,nan,nan,,nan
1,BK Häcken,Joona Toivio,Alexander Faltsetas,30,51,67.0,73.0,3,5,pass accurate,,0.012341887382152455,0.4838770736232456,1,False,False,False,nan,nan,nan,,nan
2,BK Häcken,Alexander Faltsetas,Alexander Jeremejeff,64,75,77.0,73.0,7,9,pass accurate,,0.013080447243097065,0.6705127510460971,1,False,False,False,nan,nan,nan,,nan
3,BK Häcken,Godswill Ekpolo,,77,34,,,8,33,final third entry,,,,1,False,False,False,nan,nan,nan,,nan
4,BK Häcken,Alexander Jeremejeff,Bénie Adama Traore,79,73,75.0,67.0,8,10,pass accurate,,,0.6447093805781319,1,False,False,False,nan,nan,nan,,nan
5,BK Häcken,Alexander Faltsetas,,93,36,,,9,19,penalty box entry successful,,,,1,False,False,False,nan,nan,nan,,nan
6,BK Häcken,Bénie Adama Traore,Erik Friberg,76,65,70.0,69.0,10,12,pass accurate,,-0.00748913235711093,0.7719378219276687,1,False,False,False,nan,nan,nan,,nan
7,BK Häcken,Erik Friberg,Godswill Ekpolo,70,72,73.0,44.0,11,13,pass accurate,,0.0009491716679126405,0.7362761148195203,1,False,False,False,nan,nan,nan,,nan
8,BK Häcken,Godswill Ekpolo,Alexander Faltsetas,75,29,93.0,34.0,14,16,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
9,BK Häcken,Godswill Ekpolo,Alexander Faltsetas,75,29,93.0,34.0,14,16,pass accurate,,0.023818805715770927,0.5238132956550308,1,False,False,False,nan,nan,nan,,nan
10,BK Häcken,Godswill Ekpolo,,73,44,75.0,29.0,11,16,carry,,0.0075278893165673065,,1,False,False,False,nan,nan,nan,,nan
11,Malmö FF,Franz Brorsson,,4,69,,,18,23,interception unsuccesful,,,,1,False,False,False,nan,nan,nan,,nan
12,Malmö FF,Franz Brorsson,,4,69,,,18,23,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
13,BK Häcken,Alexander Faltsetas,,97,31,95.0,11.0,19,21,pass inaccurate,,,0.5946401602270734,1,False,False,False,nan,nan,nan,,nan
14,BK Häcken,Alexander Faltsetas,,97,31,95.0,11.0,19,21,cross inacurate,,,0.5946401602270734,1,False,False,False,nan,nan,nan,,nan
15,BK Häcken,Godswill Ekpolo,,95,11,,,19,44,final third entry,,,,1,False,False,False,nan,nan,nan,,nan
16,BK Häcken,Alexander Jeremejeff,,96,32,,,19,29,penalty box entry successful,,,,1,False,False,False,nan,nan,nan,,nan
17,BK Häcken,Alexander Jeremejeff,,97,41,,,24,27,shot on target,0.19667681606343398,,,1,False,False,False,nan,nan,nan,True,-
18,Malmö FF,Marko Johansson,,3,59,,,24,27,shot on target saved,,,,1,False,False,False,nan,nan,nan,,-
