external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Östersund,Nebiyou Perry,Ronald Mukiibi,51,50,27.0,35.0,0,2,pass accurate,,-0.005388071414086634,0.9284624161632786,1,False,False,False,nan,nan,nan,,nan
1,Örebro,Agon Mehmeti,,71,58,,,2,7,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
2,Örebro,Agon Mehmeti,,71,58,,,2,7,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
3,Östersund,Ronald Mukiibi,,26,39,36.0,51.0,3,5,pass inaccurate,,,0.8236399522408552,1,False,False,False,nan,nan,nan,,nan
4,Örebro,Deniz Hümmet,,64,49,,,6,11,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
5,Östersund,Frank Arhin,,37,38,,,6,11,tackle successful,,,,1,False,False,False,nan,nan,nan,,nan
6,Östersund,Frank Arhin,,37,38,,,6,11,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
7,Östersund,Frank Arhin,Ronald Mukiibi,37,33,24.0,33.0,8,10,pass accurate,,-0.0025699556728455072,0.9292115628346259,1,False,False,False,nan,nan,nan,,nan
8,Östersund,Ronald Mukiibi,,25,33,37.0,32.0,11,13,pass inaccurate,,,0.8419115656732509,1,False,False,False,nan,nan,nan,,nan
9,Östersund,Frank Arhin,,37,32,,,11,14,foul,,,,1,False,False,False,nan,nan,nan,,nan
10,Örebro,Johan Mårtensson,Romain Gall,60,66,63.0,71.0,12,14,pass accurate,,,0.6501316339137652,1,False,False,False,nan,nan,nan,,nan
11,Örebro,Johan Mårtensson,Daniel Björnkvist,65,56,71.0,88.0,25,27,pass accurate,,-0.000402196477646808,0.7400617897309556,1,False,False,False,nan,nan,nan,,nan
12,Örebro,Daniel Björnkvist,Romain Gall,72,86,78.0,94.0,28,30,pass accurate,,0.0023032010985055418,0.7496247634699393,1,False,False,False,nan,nan,nan,,nan
13,Örebro,Deniz Hümmet,,78,76,,,29,34,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
14,Örebro,Romain Gall,Deniz Hümmet,76,95,77.0,76.0,29,31,pass accurate,,0.002596221831212355,0.7141274515536518,1,False,False,False,nan,nan,nan,,nan
15,Östersund,Isak Ssali Ssewankambo,,25,31,76.0,35.0,31,33,pass inaccurate,,,0.4066863483586121,1,False,False,False,nan,nan,nan,,nan
16,Örebro,Bobby Allain,Michael Almebäck,24,65,24.0,35.0,37,39,pass accurate,,0.000410622583821978,0.9211470923090906,1,False,False,False,nan,nan,nan,,nan
17,Örebro,Michael Almebäck,Hussein Ali,42,27,57.0,7.0,46,48,pass accurate,,0.00012992880329456766,0.7786327719387347,1,False,False,False,nan,nan,nan,,nan
18,Örebro,Michael Almebäck,,24,35,42.0,27.0,37,48,carry,,0.004009247782100829,,1,False,False,False,nan,nan,nan,,nan
19,Örebro,Hussein Ali,Agon Mehmeti,58,6,68.0,26.0,50,52,pass accurate,,0.010616182332993572,0.6375528353110712,1,False,False,False,nan,nan,nan,,nan
20,Örebro,Agon Mehmeti,,67,25,74.0,1.0,51,53,pass inaccurate,,,0.8309660616141761,1,False,False,False,nan,nan,nan,,nan
21,Östersund,Patrick Kpozo,Noah Sonko Sundberg,26,99,14.0,65.0,69,71,pass accurate,,-8.85330852858409e-05,0.9323938573555857,2,False,False,False,nan,nan,nan,,nan
22,Östersund,Noah Sonko Sundberg,Felix Hörberg,14,62,38.0,14.0,72,74,pass accurate,,0.002235760523413831,0.7226992336535151,2,False,False,False,nan,nan,nan,,nan
23,Örebro,Romain Gall,,27,85,,,77,82,interception unsuccesful,,,,2,False,False,False,nan,nan,nan,,nan
24,Örebro,Romain Gall,,27,85,,,77,82,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
25,Östersund,Felix Hörberg,,69,11,75.0,0.0,78,80,pass inaccurate,,,0.3563436809628292,2,False,False,False,nan,nan,nan,,nan
26,Östersund,Felix Hörberg,Frank Arhin,75,0,73.0,18.0,84,86,pass accurate,,-0.002812934946659979,0.7712527972270873,2,False,False,False,nan,nan,nan,,nan
27,Östersund,Frank Arhin,Felix Hörberg,77,18,80.0,2.0,85,87,pass accurate,,-0.0022285319957929713,0.8095499747215942,2,False,False,False,nan,nan,nan,,nan
28,Östersund,Felix Hörberg,Ronald Mukiibi,78,5,46.0,8.0,86,88,pass accurate,,-0.015656459945525565,0.7469032960076586,2,False,False,False,nan,nan,nan,,nan
29,Östersund,Ronald Mukiibi,Noah Sonko Sundberg,46,11,38.0,39.0,89,91,pass accurate,,0.0008728545218863581,0.8338323914141647,2,False,False,False,nan,nan,nan,,nan
30,Östersund,Noah Sonko Sundberg,Eirik Haugan,36,40,40.0,68.0,91,93,pass accurate,,-0.0005704252499917767,0.834878909332351,2,False,False,False,nan,nan,nan,,nan
31,Östersund,Eirik Haugan,Noah Sonko Sundberg,55,80,38.0,63.0,98,100,pass accurate,,-0.0028018387464630694,0.8611040822669379,2,False,False,False,nan,nan,nan,,nan
32,Östersund,Eirik Haugan,,40,68,55.0,80.0,91,100,carry,,0.0028018387464630694,,2,False,False,False,nan,nan,nan,,nan
33,Östersund,Noah Sonko Sundberg,Ronald Mukiibi,37,62,37.0,28.0,100,102,pass accurate,,-0.00017714964063689567,0.8877544952457286,2,False,False,False,nan,nan,nan,,nan
34,Östersund,Ronald Mukiibi,Felix Hörberg,35,22,55.0,6.0,104,106,pass accurate,,0.00232192688605699,0.5618465723678336,2,False,False,False,nan,nan,nan,,nan
35,Östersund,Felix Hörberg,Noah Sonko Sundberg,45,14,32.0,47.0,107,109,pass accurate,,-0.0015482873274440378,0.8483839099747308,2,False,False,False,nan,nan,nan,,nan
36,Östersund,Noah Sonko Sundberg,Eirik Haugan,34,50,44.0,50.0,110,112,pass accurate,,0.0015085281462256447,0.8103798942126422,2,False,False,False,nan,nan,nan,,nan
37,Östersund,Eirik Haugan,Noah Sonko Sundberg,34,73,30.0,61.0,113,115,pass accurate,,-0.0007599427472526447,0.8864283953222908,2,False,False,False,nan,nan,nan,,nan
38,Östersund,Noah Sonko Sundberg,Henrik Bellman,31,52,46.0,85.0,117,119,pass accurate,,0.001424280402521086,0.7120456261720438,2,False,False,False,nan,nan,nan,,nan
