external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Halmstad,Amir Al-Ammari,Alexander Berntsson,49,50,30.0,49.0,0,2,Pass accurate,,-0.0025869714088918878,0.903703020964266,1,False,False,False,,,,,
1,Halmstad,Alexander Berntsson,,30,50,30.0,50.0,2,5,Pass inaccurate,,,0.275901653839826,1,False,False,False,,,,,
2,Halmstad,Andreas Bengtsson,,42,93,70.0,17.0,10,13,Pass inaccurate,,,0.5652819319045288,1,False,False,False,,,,,
3,Östersund,Henrik Bellman,,30,83,,,11,16,Interception succesful,,,,1,False,False,False,,,,,
4,Östersund,Henrik Bellman,,30,83,,,11,16,Challenge unsuccessful,,,,1,False,False,False,,,,,
5,Halmstad,Joel Allansson,,60,35,,,13,18,Interception unsuccesful,,,,1,False,False,False,,,,,
6,Halmstad,Joel Allansson,,60,35,,,13,18,Challenge successful,,,,1,False,False,False,,,,,
7,Östersund,Henrik Bellman,,30,77,33.0,71.0,13,16,Pass inaccurate,,,0.7797079517100434,1,False,False,False,,,,,
8,Östersund,Frank Arhin,Noah Sonko Sundberg,33,71,26.0,56.0,15,18,Pass accurate,,0.000632147095620355,0.9109544843745668,1,False,False,False,,,,,
9,Östersund,Noah Sonko Sundberg,,28,37,70.0,36.0,18,21,Pass inaccurate,,,0.48676020019993843,1,False,False,False,,,,,
10,Halmstad,Alexander Berntsson,,30,64,32.0,56.0,21,24,Pass inaccurate,,,0.7763013291729887,1,False,False,False,,,,,
11,Östersund,Francis Jno-Baptiste,Frank Arhin,68,44,55.0,50.0,26,29,Pass accurate,,-0.00813737106470451,0.8419131418587554,1,False,False,False,,,,,
12,Östersund,Frank Arhin,Henrik Bellman,57,48,67.0,85.0,28,31,Pass accurate,,0.006539214968347733,0.6943772010901385,1,False,False,False,,,,,
13,Östersund,Henrik Bellman,Noah Sonko Sundberg,67,86,31.0,55.0,31,34,Pass accurate,,-0.011688256343633272,0.8993004247500541,1,False,False,False,,,,,
14,Östersund,Noah Sonko Sundberg,Sebastian Karlsson Grach,30,54,67.0,35.0,37,40,Pass accurate,,0.01325134955879918,0.49861933875570597,1,False,False,False,,,,,
15,Östersund,Sebastian Karlsson Grach,Felix Hörberg,68,32,75.0,9.0,41,44,Pass accurate,,0.002862623862084447,0.6502178156550802,1,False,False,False,,,,,
16,Östersund,Felix Hörberg,,78,8,96.0,48.0,44,47,Pass into the box,,,,1,False,False,False,,,,,
17,Östersund,Felix Hörberg,,78,8,96.0,48.0,44,47,Pass inaccurate,,,0.17585032207326268,1,False,False,False,,,,,
18,Östersund,Felix Hörberg,,78,8,96.0,48.0,44,47,Cross inacurate,,,0.17585032207326268,1,False,False,False,,,,,
19,Halmstad,Malkolm Nilsson Säfqvist,,4,52,,,44,49,Clearance inaccurate,,,,1,False,False,False,,,,,
20,Östersund,Nikolaos Dosis,,76,29,96.0,53.0,47,50,Pass into the box,,,,1,False,False,False,,,,,
21,Östersund,Nikolaos Dosis,,76,29,96.0,53.0,47,50,Pass inaccurate,,,0.22100332011498952,1,False,False,False,,,,,
22,Halmstad,Malkolm Nilsson Säfqvist,,4,47,64.0,31.0,68,78,Pass inaccurate,,,,2,False,False,False,,,,,
23,Halmstad,Malkolm Nilsson Säfqvist,,4,47,64.0,31.0,68,78,Goalkeeper kick inaccurate,,,,2,False,False,False,,,,,
24,Halmstad,Sadat Karim,,64,31,,,76,79,Air challenge successful,,,,2,False,False,False,,,,,
25,Halmstad,Sadat Karim,,64,31,,,76,79,Challenge successful,,,,2,False,False,False,,,,,
26,Östersund,Nikolaos Dosis,,33,62,,,76,79,Air challenge unsuccessful,,,,2,False,False,False,,,,,
27,Östersund,Nikolaos Dosis,,33,62,,,76,79,Challenge unsuccessful,,,,2,False,False,False,,,,,
28,Östersund,Nikolaos Dosis,Isak Ssali Ssewankambo,34,70,26.0,28.0,76,79,Pass accurate,,-0.0009943261759786937,0.9241870767905805,2,False,False,False,,,,,
29,Östersund,Isak Ssali Ssewankambo,,30,24,70.0,32.0,79,82,Pass inaccurate,,,0.44829456864326644,2,False,False,False,,,,,
30,Halmstad,Alexander Berntsson,Andreas Bengtsson,30,68,40.0,78.0,80,83,Pass accurate,,0.0006439532062550383,0.8057091075624093,2,False,False,False,,,,,
31,Östersund,Felix Hörberg,,33,20,,,83,88,Interception unsuccesful,,,,2,False,False,False,,,,,
32,Östersund,Felix Hörberg,,33,20,,,83,88,Challenge successful,,,,2,False,False,False,,,,,
33,Halmstad,Andreas Bengtsson,,42,78,42.0,78.0,84,87,Pass inaccurate,,,0.2531889771608074,2,False,False,False,,,,,
34,Östersund,Felix Hörberg,Isak Ssali Ssewankambo,30,2,24.0,17.0,89,92,Pass accurate,,-8.659304327562553e-05,0.9019165477124603,2,False,False,False,,,,,
35,Östersund,Isak Ssali Ssewankambo,Aly Keita,21,18,9.0,42.0,92,95,Pass accurate,,0.0009148976376581169,0.9286738715780294,2,False,False,False,,,,,
36,Östersund,Aly Keita,,8,42,61.0,21.0,93,96,Pass inaccurate,,,0.6312218615032961,2,False,False,False,,,,,
37,Halmstad,Alexander Berntsson,,39,79,74.0,81.0,97,100,Pass inaccurate,,,0.49544796696860727,2,False,False,False,,,,,
38,Östersund,Isak Ssali Ssewankambo,,26,19,42.0,13.0,99,102,Pass inaccurate,,,0.7719151136731363,2,False,False,False,,,,,
39,Halmstad,Andreas Bengtsson,,58,87,72.0,83.0,102,105,Pass inaccurate,,,0.7013283958176538,2,False,False,False,,,,,
40,Östersund,Isak Ssali Ssewankambo,,28,17,,,103,106,Air challenge unsuccessful,,,,2,False,False,False,,,,,
41,Östersund,Isak Ssali Ssewankambo,,28,17,,,103,106,Challenge unsuccessful,,,,2,False,False,False,,,,,
