external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IK Sirius FK,home,Christian Kouakou,Adam Hellborg,51,48,37.0,51.0,0,3,pass accurate,,-0.003905945421392925,0.8821105643271655,1,False,False,False,nan,nan,nan,,nan
1,IK Sirius FK,home,Adam Hellborg,,37,51,37.0,51.0,2,5,pass inaccurate,,,0.2781914621651016,1,False,False,False,nan,nan,nan,,nan
2,Halmstad,away,Andreas Bengtsson,Marcus Antonsson,69,99,77.0,92.0,14,17,pass accurate,,0.005687958262245885,0.6921231817122308,1,False,False,False,nan,nan,nan,,nan
3,IK Sirius FK,home,Axel Björnström,,27,7,,,15,20,tackle successful,,,,1,False,False,False,nan,nan,nan,,nan
4,IK Sirius FK,home,Axel Björnström,,27,7,,,15,20,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
5,IK Sirius FK,home,Nahom Girmai Netabay,Tim Björkström,27,9,19.0,10.0,17,20,pass accurate,,-0.0013203561167510723,0.9371982354100066,1,False,False,False,nan,nan,nan,,nan
6,IK Sirius FK,home,Tim Björkström,Joseph Colley,17,8,9.0,17.0,19,22,pass accurate,,0.0001327303990012029,0.9027793323993514,1,False,False,False,nan,nan,nan,,nan
7,IK Sirius FK,home,Joseph Colley,Nahom Girmai Netabay,10,18,31.0,9.0,20,23,pass accurate,,0.0011876257177498694,0.6638905775837647,1,False,False,False,nan,nan,nan,,nan
8,IK Sirius FK,home,Nahom Girmai Netabay,,30,11,30.0,11.0,21,24,pass inaccurate,,,0.2550884507161913,1,False,False,False,nan,nan,nan,,nan
9,Halmstad,away,Edvin Kurtulus,,77,10,,,21,46,final third entry,,,,1,False,False,False,nan,nan,nan,,nan
10,Halmstad,away,Joel Allansson,Sadat Karim,69,76,74.0,60.0,23,26,pass accurate,,0.0013643504669552074,0.7112078175904984,1,False,False,False,nan,nan,nan,,nan
11,Halmstad,away,Sadat Karim,Thomas Boakye,72,56,71.0,26.0,26,29,pass accurate,,0.0001987427482107,0.8006183809335841,1,False,False,False,nan,nan,nan,,nan
12,Halmstad,away,Thomas Boakye,Edvin Kurtulus,71,26,85.0,10.0,28,31,pass accurate,,0.008864043880449073,0.7156019504257338,1,False,False,False,nan,nan,nan,,nan
13,IK Sirius FK,home,Jamie Roche,,11,67,,,30,35,clearance accurate,,,,1,False,False,False,nan,nan,nan,,nan
