external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Örebro,away,Nahir Besara,Andreas Skovgaard Larsen,49,50,28.0,50.0,0,2,pass accurate,,-0.0027516241001182586,0.9161791357261458,1,False,False,False,nan,nan,nan,,nan
1,Örebro,away,Andreas Skovgaard Larsen,,28,52,64.0,8.0,2,4,pass inaccurate,,,0.6244950023432255,1,False,False,False,nan,nan,nan,,nan
2,IFK Göteborg,home,Tobias Sana,,36,92,,,4,9,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
3,IFK Göteborg,home,Tobias Sana,,36,92,,,4,9,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
4,Örebro,away,Daniel Björnkvist,,64,10,,,4,7,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
5,Örebro,away,Daniel Björnkvist,,64,10,,,4,7,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
6,IFK Göteborg,home,Tobias Sana,,36,90,,,4,7,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
7,IFK Göteborg,home,Tobias Sana,,36,90,,,4,7,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
8,IFK Göteborg,home,Oscar Wendt,,32,96,67.0,77.0,7,9,pass inaccurate,,,0.5072639414399502,1,False,False,False,nan,nan,nan,,nan
9,IFK Göteborg,home,Marcus Berg,,67,77,,,8,11,foul,,,,1,False,False,False,nan,nan,nan,,nan
10,Örebro,away,Nasiru Moro,,34,23,,,9,12,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
11,Örebro,away,Nasiru Moro,,34,23,,,9,12,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
12,IFK Göteborg,home,Marcus Berg,,66,77,,,9,12,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
13,IFK Göteborg,home,Marcus Berg,,66,77,,,9,12,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
14,IFK Göteborg,home,Oscar Wendt,,26,79,,,30,35,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
15,Örebro,away,Jiloan Mohamed Hamad,,69,27,,,32,37,interception unsuccesful,,,,1,False,False,False,free-kick,nan,nan,,nan
16,Örebro,away,Jiloan Mohamed Hamad,,69,27,,,32,37,challenge successful,,,,1,False,False,False,free-kick,nan,nan,,nan
17,IFK Göteborg,home,Gustav Svensson,Carl Johansson,31,67,22.0,69.0,33,35,pass accurate,,-0.0012824848477914121,0.9295458084424533,1,False,False,False,nan,nan,nan,,nan
18,IFK Göteborg,home,Carl Johansson,,21,70,31.0,98.0,34,36,pass inaccurate,,,0.6432366555384438,1,False,False,False,nan,nan,nan,,nan
19,Örebro,away,Daniel Björnkvist,Jiloan Mohamed Hamad,69,2,77.0,11.0,42,44,pass accurate,,0.005796274482870466,0.6426826894470146,1,False,False,False,nan,nan,nan,,nan
20,IFK Göteborg,home,Oscar Wendt,,29,95,,,45,50,tackle unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
21,IFK Göteborg,home,Oscar Wendt,,29,95,,,45,50,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
22,Örebro,away,Daniel Björnkvist,Kevin Walker,72,1,70.0,10.0,54,56,pass accurate,,,0.729562976581827,1,False,False,False,nan,nan,nan,,nan
23,Örebro,away,Kevin Walker,,71,10,85.0,7.0,54,56,pass inaccurate,,,0.7262124386496709,1,False,False,False,nan,nan,nan,,nan
24,IFK Göteborg,home,Oscar Wendt,,15,93,28.0,89.0,56,58,pass inaccurate,,,0.7960106514279324,1,False,False,False,nan,nan,nan,,nan
25,Örebro,away,Kevin Walker,,72,11,72.0,11.0,57,59,pass inaccurate,,,0.2393394821176252,1,False,False,False,nan,nan,nan,,nan
26,IFK Göteborg,home,Ioannis Anestis,Mattias Bjärsmyr,4,48,12.0,27.0,65,75,pass accurate,,,,2,False,False,False,nan,nan,nan,,nan
27,IFK Göteborg,home,Ioannis Anestis,Mattias Bjärsmyr,4,48,12.0,27.0,65,75,goalkeeper kick accurate,,,,2,False,False,False,nan,nan,nan,,nan
28,IFK Göteborg,home,Mattias Bjärsmyr,Alexander Jallow,11,26,32.0,10.0,69,71,pass accurate,,-1.9274029212415153e-05,0.7675732520243806,2,False,False,False,nan,nan,nan,,nan
29,IFK Göteborg,home,Alexander Jallow,Hosam Aiesh,67,6,71.0,12.0,77,79,pass accurate,,,0.6269759540772323,2,False,False,False,nan,nan,nan,,nan
30,IFK Göteborg,home,Alexander Jallow,,32,10,67.0,6.0,69,79,carry,,0.012632541830609731,,2,False,False,False,nan,nan,nan,,nan
31,Örebro,away,David Seger,,26,93,,,78,83,tackle unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
32,Örebro,away,David Seger,,26,93,,,78,83,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
33,IFK Göteborg,home,Alexander Jallow,Marcus Berg,72,0,71.0,14.0,85,87,pass accurate,,0.0029833395362104873,0.7781213523312739,2,False,False,False,nan,nan,nan,,nan
34,IFK Göteborg,home,Marcus Berg,Alexander Jallow,69,19,71.0,2.0,87,89,pass accurate,,-0.0029833395362104873,0.8435032838127995,2,False,False,False,nan,nan,nan,,nan
35,IFK Göteborg,home,Alexander Jallow,Gustav Svensson,70,4,57.0,9.0,89,91,pass accurate,,-0.007682531712207553,0.6849524984133354,2,False,False,False,nan,nan,nan,,nan
36,IFK Göteborg,home,Gustav Svensson,Mattias Bjärsmyr,47,14,35.0,22.0,91,93,pass accurate,,-0.001399699678921791,0.8683658887932522,2,False,False,False,nan,nan,nan,,nan
37,IFK Göteborg,home,Mattias Bjärsmyr,Carl Johansson,34,28,36.0,66.0,94,96,pass accurate,,-0.0003060035660030734,0.8489984916860633,2,False,False,False,nan,nan,nan,,nan
38,IFK Göteborg,home,Carl Johansson,Oscar Wendt,36,72,38.0,93.0,96,98,pass accurate,,-0.0024108531828482046,0.7212244833464095,2,False,False,False,nan,nan,nan,,nan
39,IFK Göteborg,home,Oscar Wendt,Tobias Sana,48,96,65.0,81.0,100,102,pass accurate,,0.006950010978083688,0.7315696289600114,2,False,False,False,nan,nan,nan,,nan
40,Örebro,away,Kevin Walker,,47,16,,,102,107,tackle unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
41,Örebro,away,Kevin Walker,,47,16,,,102,107,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
42,IFK Göteborg,home,August Erlingmark,Carl Johansson,38,87,33.0,78.0,104,106,pass accurate,,-0.0015837992739677984,0.8722207706991403,2,False,False,False,nan,nan,nan,,nan
43,IFK Göteborg,home,Carl Johansson,Mattias Bjärsmyr,29,81,28.0,49.0,106,108,pass accurate,,0.0017366458545594859,0.8912743207064261,2,False,False,False,nan,nan,nan,,nan
44,IFK Göteborg,home,Mattias Bjärsmyr,Alexander Jallow,32,33,46.0,10.0,111,113,pass accurate,,0.0006918969040841123,0.786964833288478,2,False,False,False,nan,nan,nan,,nan
45,IFK Göteborg,home,Alexander Jallow,Mattias Bjärsmyr,67,10,38.0,19.0,118,120,pass accurate,,-0.010004458598264543,0.8504936611770607,2,False,False,False,nan,nan,nan,,nan
46,IFK Göteborg,home,Alexander Jallow,,46,10,67.0,10.0,111,120,carry,,0.009860185462655097,,2,False,False,False,nan,nan,nan,,nan
47,IFK Göteborg,home,Mattias Bjärsmyr,Marcus Berg,45,13,79.0,28.0,123,125,pass accurate,,0.019106008347961993,0.3999342462734993,3,False,False,False,nan,nan,nan,,nan
48,Örebro,away,Andreas Skovgaard Larsen,,19,71,,,124,127,air challenge successful,,,,3,False,False,False,nan,nan,nan,,nan
49,Örebro,away,Andreas Skovgaard Larsen,,19,71,,,124,127,challenge successful,,,,3,False,False,False,nan,nan,nan,,nan
50,IFK Göteborg,home,Marcus Berg,,81,29,,,124,127,air challenge unsuccessful,,,,3,False,False,False,nan,nan,nan,,nan
51,IFK Göteborg,home,Marcus Berg,,81,29,,,124,127,challenge unsuccessful,,,,3,False,False,False,nan,nan,nan,,nan
52,IFK Göteborg,home,Marcus Berg,,81,27,90.0,39.0,125,127,pass into the box,,,,3,False,False,False,nan,nan,nan,,nan
53,IFK Göteborg,home,Marcus Berg,,81,27,90.0,39.0,125,127,pass inaccurate,,,0.5670902162038398,3,False,False,False,nan,nan,nan,,nan
54,Örebro,away,Nasiru Moro,,10,61,,,125,130,clearance inaccurate,,,,3,False,False,False,nan,nan,nan,,nan
55,IFK Göteborg,home,Oscar Wendt,,100,0,97.0,38.0,151,161,right corner inaccurate,,,,3,False,False,False,corner,cleared,nan,,nan
56,Örebro,away,Benjamin Hjertstrand,,3,62,,,155,160,clearance inaccurate,,,,3,False,False,False,nan,nan,nan,,nan
57,IFK Göteborg,home,Hosam Aiesh,,72,36,83.0,64.0,159,161,pass inaccurate,,,0.6228179980646705,3,False,False,False,corner,nan,nan,,nan
58,Örebro,away,Agon Mehmeti,,17,36,,,159,164,interception succesful,,,,3,False,False,False,nan,nan,nan,,nan
59,Örebro,away,Agon Mehmeti,,17,36,,,159,164,challenge unsuccessful,,,,3,False,False,False,nan,nan,nan,,nan
60,IFK Göteborg,home,Marcus Berg,,74,72,,,161,164,foul,,,,3,False,False,False,corner,nan,nan,,nan
61,IFK Göteborg,home,Mattias Bjärsmyr,,31,53,,,183,188,clearance accurate,,,,4,False,False,False,nan,nan,nan,,nan
62,IFK Göteborg,home,Mattias Bjärsmyr,Marcus Berg,31,53,47.0,48.0,185,187,pass accurate,,0.0027792499557864475,0.7139166410053571,4,False,False,False,nan,nan,nan,,nan
