external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,BK Häcken,away,Rasmus Lindgren,Joona Toivio,50,50,25.0,48.0,0,3,pass accurate,,-0.0049890352941342146,0.9230545133006863,1,False,False,False,nan,nan,nan,,nan
1,BK Häcken,away,Joona Toivio,Godswill Ekpolo,26,46,30.0,17.0,3,6,pass accurate,,-0.0011306395095190824,0.8860334943159908,1,False,False,False,nan,nan,nan,,nan
2,BK Häcken,away,Godswill Ekpolo,,25,12,60.0,46.0,6,9,pass inaccurate,,,0.4798200075902928,1,False,False,False,nan,nan,nan,,nan
3,Mjällby AIF,home,Viktor Gustafson,Jacob Bergström,40,54,66.0,57.0,8,11,pass accurate,,0.0074625997036471235,0.6483134913598567,1,False,False,False,nan,nan,nan,,nan
4,Mjällby AIF,home,Jacob Bergström,Mamudu Moro,68,54,64.0,56.0,10,13,pass accurate,,-0.004346911153048742,0.6658624100797018,1,False,False,False,nan,nan,nan,,nan
5,Mjällby AIF,home,Mamudu Moro,,66,49,,,10,15,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
6,Mjällby AIF,home,Mamudu Moro,,64,56,66.0,49.0,10,15,carry,,0.0001181880095496371,,1,False,False,False,nan,nan,nan,,nan
7,BK Häcken,away,Gustav Berggren,Martin Olsson,28,65,30.0,78.0,13,16,pass accurate,,-0.0009398460677127601,0.8787506339010136,1,False,False,False,nan,nan,nan,,nan
8,BK Häcken,away,Martin Olsson,,31,89,65.0,77.0,19,22,pass inaccurate,,,0.5498062767781429,1,False,False,False,nan,nan,nan,,nan
9,Mjällby AIF,home,Max Watson,,35,23,56.0,42.0,20,23,pass inaccurate,,,0.6526212855346923,1,False,False,False,nan,nan,nan,,nan
10,BK Häcken,away,Rasmus Lindgren,Patrik Wålemark,44,58,54.0,48.0,25,28,pass accurate,,0.0023974172751672802,0.7812723195760852,1,False,False,False,nan,nan,nan,,nan
11,BK Häcken,away,Patrik Wålemark,,54,47,,,27,30,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
12,BK Häcken,away,Patrik Wålemark,,54,47,,,27,30,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
13,Mjällby AIF,home,David Löfquist,,46,53,,,27,30,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
14,Mjällby AIF,home,David Löfquist,,46,53,,,27,30,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
15,BK Häcken,away,Alexander Jeremejeff,,52,26,64.0,7.0,30,33,pass inaccurate,,,0.8002296580375593,1,False,False,False,nan,nan,nan,,nan
16,Mjällby AIF,home,Daan Klinkenberg,,36,93,61.0,77.0,33,36,pass inaccurate,,,0.6253464590420961,1,False,False,False,nan,nan,nan,,nan
17,BK Häcken,away,Joona Toivio,,39,23,,,37,40,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
18,BK Häcken,away,Joona Toivio,,39,23,,,37,40,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
19,Mjällby AIF,home,Mamudu Moro,,61,77,,,37,40,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
20,Mjällby AIF,home,Mamudu Moro,,61,77,,,37,40,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
21,Mjällby AIF,home,Kadir Hodzic,Jacob Bergström,55,98,69.0,89.0,51,54,pass accurate,,0.006608750615073319,0.6769983834504361,1,False,False,False,nan,nan,nan,,nan
22,Mjällby AIF,home,Eric Björkander,Kadir Hodzic,72,91,58.0,90.0,52,55,pass accurate,,-0.006608750615073319,0.8158308263378226,1,False,False,False,nan,nan,nan,,nan
23,Mjällby AIF,home,Kadir Hodzic,Mamudu Moro,59,93,75.0,89.0,54,57,pass accurate,,0.009613284787725596,0.6643599899497,1,False,False,False,nan,nan,nan,,nan
24,Mjällby AIF,home,Mamudu Moro,,77,89,,,55,60,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
25,BK Häcken,away,Pontus Dahlberg,Johan Hammar,6,47,10.0,67.0,61,71,pass accurate,,,,2,False,False,False,nan,nan,nan,,nan
26,BK Häcken,away,Pontus Dahlberg,Johan Hammar,6,47,10.0,67.0,61,71,goalkeeper kick accurate,,,,2,False,False,False,nan,nan,nan,,nan
27,BK Häcken,away,Johan Hammar,Martin Olsson,9,70,19.0,90.0,67,70,pass accurate,,-0.0011065571532435734,0.9178007706082371,2,False,False,False,nan,nan,nan,,nan
28,BK Häcken,away,Martin Olsson,,18,88,,,67,72,lost ball,,,,2,False,False,False,nan,nan,nan,,nan
29,Mjällby AIF,home,Joel Nilsson,,81,11,,,68,73,tackle unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
30,Mjällby AIF,home,Joel Nilsson,,81,11,,,68,73,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
31,Mjällby AIF,home,Kadir Hodzic,,99,2,96.0,44.0,96,106,right corner inaccurate,,,,2,False,False,False,corner,cleared,nan,,nan
32,BK Häcken,away,Godswill Ekpolo,,4,56,,,98,103,clearance inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
33,BK Häcken,away,Joona Toivio,,6,44,,,101,106,clearance inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
34,Mjällby AIF,home,Mamudu Moro,,91,49,88.0,76.0,102,105,pass inaccurate,,,0.6238604545764816,2,False,False,False,corner,nan,nan,,nan
35,Mjällby AIF,home,Kadir Hodzic,,88,76,,,107,117,penalty box entry unsuccessful,,,,2,False,False,False,corner,nan,nan,,nan
36,Mjällby AIF,home,David Löfquist,Mamudu Moro,76,98,92.0,92.0,110,113,pass accurate,,0.019699728366354242,0.5987880009582053,2,False,False,False,corner,nan,nan,,nan
37,Mjällby AIF,home,Mamudu Moro,Kadir Hodzic,82,91,90.0,73.0,114,117,pass into the box,,,,2,False,False,False,nan,nan,nan,,nan
38,Mjällby AIF,home,Mamudu Moro,Kadir Hodzic,82,91,90.0,73.0,114,117,pass accurate,,0.0323030432214778,0.6129606732810837,2,False,False,False,nan,nan,nan,,nan
39,Mjällby AIF,home,Mamudu Moro,,92,92,82.0,91.0,110,117,carry,,-0.019699728366354242,,2,False,False,False,corner,nan,nan,,nan
40,BK Häcken,away,Gustav Berggren,,10,29,,,115,120,clearance inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
41,Mjällby AIF,home,Kadir Hodzic,,90,73,98.0,98.0,116,119,pass inaccurate,,,0.4172832821578733,2,False,False,False,nan,nan,nan,,nan
42,Mjällby AIF,home,David Löfquist,,98,98,95.0,44.0,140,150,left corner inaccurate,,,,3,False,False,False,corner,over hit,nan,,nan
43,BK Häcken,away,Pontus Dahlberg,,5,56,57.0,73.0,165,175,pass inaccurate,,,,3,False,False,False,nan,nan,nan,,nan
44,BK Häcken,away,Pontus Dahlberg,,5,56,57.0,73.0,165,175,goalkeeper kick inaccurate,,,,3,False,False,False,nan,nan,nan,,nan
45,BK Häcken,away,Gustav Berggren,,57,73,,,172,175,air challenge successful,,,,3,False,False,False,nan,nan,nan,,nan
46,BK Häcken,away,Gustav Berggren,,57,73,,,172,175,challenge successful,,,,3,False,False,False,nan,nan,nan,,nan
47,Mjällby AIF,home,Jesper Gustavsson,,43,27,,,172,175,air challenge unsuccessful,,,,3,False,False,False,nan,nan,nan,,nan
48,Mjällby AIF,home,Jesper Gustavsson,,43,27,,,172,175,challenge unsuccessful,,,,3,False,False,False,nan,nan,nan,,nan
49,BK Häcken,away,Martin Olsson,Alexander Jeremejeff,58,99,63.0,80.0,185,188,pass accurate,,0.005055823931346709,0.7737861152828883,4,False,False,False,nan,nan,nan,,nan
50,BK Häcken,away,Alexander Jeremejeff,,64,76,61.0,74.0,187,190,pass inaccurate,,,0.574026388672467,4,False,False,False,nan,nan,nan,,nan
51,Mjällby AIF,home,Mamudu Moro,David Löfquist,39,26,38.0,33.0,188,191,pass accurate,,,0.6971186301524871,4,False,False,False,nan,nan,nan,,nan
52,Mjällby AIF,home,David Löfquist,,39,40,69.0,34.0,190,193,pass inaccurate,,,0.5410625603260488,4,False,False,False,nan,nan,nan,,nan
53,BK Häcken,away,Johan Hammar,,31,66,51.0,69.0,191,194,pass inaccurate,,,0.7112946489843813,4,False,False,False,nan,nan,nan,,nan
54,Mjällby AIF,home,Viktor Gustafson,,49,31,56.0,30.0,193,196,pass inaccurate,,,0.780552758199832,4,False,False,False,nan,nan,nan,,nan
55,BK Häcken,away,Gustav Berggren,,44,70,61.0,96.0,195,198,pass inaccurate,,,0.46738547115749485,4,False,False,False,nan,nan,nan,,nan
56,Mjällby AIF,home,Max Watson,,39,4,73.0,9.0,205,208,pass inaccurate,,,0.3283223841806404,4,False,False,False,nan,nan,nan,,nan
57,BK Häcken,away,Johan Hammar,,27,91,47.0,91.0,207,210,pass inaccurate,,,0.7064267162878345,4,False,False,False,nan,nan,nan,,nan
58,Mjällby AIF,home,Mamudu Moro,,88,11,,,210,215,lost ball,,,,4,False,False,False,nan,nan,nan,,nan
59,Mjällby AIF,home,Joel Nilsson,Mamudu Moro,67,1,87.0,9.0,210,213,pass accurate,,0.011797694501235093,0.4375515170588772,4,False,False,False,nan,nan,nan,,nan
60,BK Häcken,away,Johan Hammar,,7,73,,,214,219,clearance inaccurate,,,,4,False,False,False,nan,nan,nan,,nan
