external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Hammarby,away,Darijan Bojanic,Jón Gudni Fjóluson,51,49,34.0,60.0,0,2,pass accurate,,-0.003905945421392925,0.8821105643271655,1,False,False,False,nan,nan,nan,,nan
1,Hammarby,away,Jón Gudni Fjóluson,,36,63,94.0,50.0,2,4,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
2,Hammarby,away,Jón Gudni Fjóluson,,36,63,94.0,50.0,2,4,pass inaccurate,,,0.3429487282334696,1,False,False,False,nan,nan,nan,,nan
3,Örebro,home,Mergim Krasniqi,Michael Almebäck,6,50,8.0,31.0,10,20,pass accurate,,,,1,False,False,False,nan,nan,nan,,nan
4,Örebro,home,Mergim Krasniqi,Michael Almebäck,6,50,8.0,31.0,10,20,goalkeeper kick accurate,,,,1,False,False,False,nan,nan,nan,,nan
5,Hammarby,away,David Accam,,84,49,,,15,40,final third entry,,,,1,False,False,False,nan,nan,nan,,nan
6,Örebro,home,Michael Almebäck,Benjamin Hjertstrand,7,34,10.0,70.0,17,19,pass accurate,,0.0003429458230684423,0.9153533935509829,1,False,False,False,nan,nan,nan,,nan
7,Hammarby,away,David Accam,,89,41,,,17,27,penalty box entry successful,,,,1,False,False,False,nan,nan,nan,,nan
8,Örebro,home,Benjamin Hjertstrand,,13,73,33.0,73.0,20,22,pass inaccurate,,,0.7567902173682929,1,False,False,False,nan,nan,nan,,nan
9,Hammarby,away,Mads Fenger Nielsen,David Accam,70,35,82.0,49.0,22,24,pass accurate,,0.01721930266869155,0.6225240173795262,1,False,False,False,nan,nan,nan,,nan
10,Hammarby,away,Astrit Selmani,,94,43,,,23,28,goal,0.17824367153621284,,,1,False,False,False,nan,nan,nan,,bottom-left
11,Örebro,home,Mergim Krasniqi,,6,57,,,23,28,goal conceded,0.17824367153621284,,,1,False,False,False,nan,nan,nan,,bottom-left
