external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Östersund,Francis Jno-Baptiste,Noah Sonko Sundberg,50,50,33.0,55.0,0,2,Pass accurate,,-0.005153687985360585,0.8821105643271655,1,False,False,False,,,,,
1,Östersund,Noah Sonko Sundberg,,31,52,71.0,69.0,1,4,Pass inaccurate,,,0.4720384548819866,1,False,False,False,,,,,
2,Degerfors IF,Adam Carlén,,29,31,,,4,9,Clearance inaccurate,,,,1,False,False,False,,,,,
3,Östersund,Eirik Haugan,,57,78,77.0,33.0,10,13,Pass inaccurate,,,0.517185060419582,1,False,False,False,,,,,
4,Degerfors IF,Anton Kralj,,23,67,,,11,16,Clearance inaccurate,,,,1,False,False,False,,,,,
5,Östersund,Ludvig Fritzson,,66,30,75.0,36.0,13,16,Pass inaccurate,,,0.6408506262586434,1,False,False,False,,,,,
6,Degerfors IF,Christos Gravius,Sebastian Olsson,25,64,13.0,70.0,15,18,Pass accurate,,-0.0024228298661596124,0.9350422345217246,1,False,False,False,,,,,
7,Degerfors IF,Sebastian Olsson,,13,65,35.0,79.0,16,19,Pass inaccurate,,,0.7525397249373994,1,False,False,False,,,,,
8,Östersund,Samuel Laryea Mensiro,,65,21,79.0,24.0,19,22,Pass inaccurate,,,0.6413121064424548,1,False,False,False,,,,,
9,Degerfors IF,Sebastian Olsson,,21,76,,,19,24,Clearance inaccurate,,,,1,False,False,False,,,,,
10,Östersund,Samuel Laryea Mensiro,Francis Jno-Baptiste,67,8,73.0,24.0,23,26,Pass accurate,,0.0029833395362104873,0.7193126263074348,1,False,False,False,,,,,
11,Östersund,Francis Jno-Baptiste,Felix Hörberg,77,17,73.0,17.0,25,28,Pass accurate,,-0.00504146694245295,0.6437930371985671,1,False,False,False,,,,,
12,Östersund,Francis Jno-Baptiste,,73,24,77.0,17.0,23,28,Carry,,0.00504146694245295,,1,False,False,False,,,,,
13,Östersund,Felix Hörberg,Samuel Laryea Mensiro,71,12,67.0,19.0,28,31,Pass accurate,,0.0029833395362104873,0.7479769900127826,1,False,False,False,,,,,
14,Östersund,Samuel Laryea Mensiro,Noah Sonko Sundberg,62,15,34.0,27.0,30,33,Pass accurate,,-0.006523049080161138,0.8653274196513555,1,False,False,False,,,,,
15,Östersund,Samuel Laryea Mensiro,,67,19,62.0,15.0,28,33,Carry,,-0.005712043080806792,,1,False,False,False,,,,,
16,Östersund,Noah Sonko Sundberg,Aly Keita,33,25,12.0,47.0,36,39,Pass accurate,,-0.0012521548694880303,0.9335517289628255,1,False,False,False,,,,,
17,Östersund,Aly Keita,Noah Sonko Sundberg,14,39,19.0,15.0,40,43,Pass accurate,,-0.0009148976376581169,0.9240728564160661,1,False,False,False,,,,,
18,Östersund,Noah Sonko Sundberg,Samuel Laryea Mensiro,15,18,26.0,7.0,42,45,Pass accurate,,0.0011876257177498694,0.8810474655168915,1,False,False,False,,,,,
19,Östersund,Samuel Laryea Mensiro,,27,7,37.0,7.0,44,47,Pass inaccurate,,,0.8492748126150813,1,False,False,False,,,,,
20,Östersund,Noah Sonko Sundberg,,12,11,,,45,50,Clearance inaccurate,,,,1,False,False,False,,,,,
21,Degerfors IF,Anton Kralj,Sebastian Olsson,62,99,33.0,91.0,59,62,Pass accurate,,-0.007344616530907344,0.8798854891368199,1,False,False,False,,,,,
22,Degerfors IF,Sebastian Olsson,Oliver Ekroth,30,95,28.0,60.0,61,64,Pass accurate,,0.0029664438764941264,0.8923882305237055,2,False,False,False,,,,,
23,Degerfors IF,Oliver Ekroth,Sean Sabetkar,26,54,31.0,17.0,65,68,Pass accurate,,-0.0009659868182927116,0.8563303480177524,2,False,False,False,,,,,
24,Degerfors IF,Sean Sabetkar,Sebastian Olsson,31,23,29.0,71.0,68,71,Pass accurate,,0.0003338397226723567,0.8703890969824417,2,False,False,False,,,,,
25,Degerfors IF,Sebastian Olsson,Christos Gravius,33,69,30.0,80.0,73,76,Pass accurate,,-0.0009398460677127601,0.8883990316606439,2,False,False,False,,,,,
