external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IFK Norrköping FK,home,Alexander Fransson,Linus Wahlqvist,51,49,34.0,48.0,0,3,pass accurate,,-0.0038186733780411174,0.8821105643271655,1,False,False,False,nan,nan,nan,,nan
1,IFK Norrköping FK,home,Linus Wahlqvist,,33,41,71.0,74.0,3,6,pass inaccurate,,,0.494907968803709,1,False,False,False,nan,nan,nan,,nan
2,IF Elfsborg,away,Rasmus Alm,,29,26,39.0,26.0,6,9,pass inaccurate,,,0.19732375781543504,1,False,False,False,nan,nan,nan,,nan
3,IFK Norrköping FK,home,Samuel Adeniyi Adegbenro,,72,76,,,6,9,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
4,IFK Norrköping FK,home,Samuel Adeniyi Adegbenro,,72,76,,,6,9,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
5,IF Elfsborg,away,Rasmus Alm,,28,24,,,6,9,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
6,IF Elfsborg,away,Rasmus Alm,,28,24,,,6,9,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
7,IFK Norrköping FK,home,Ari Freyr Skúlason,Carl Björk,64,80,68.0,90.0,8,11,pass accurate,,0.0015529266837266097,0.7382427241379836,1,False,False,False,nan,nan,nan,,nan
8,IFK Norrköping FK,home,Carl Björk,,91,89,88.0,62.0,14,17,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
9,IFK Norrköping FK,home,Carl Björk,,91,89,88.0,62.0,14,17,pass inaccurate,,,0.5841284218389954,1,False,False,False,nan,nan,nan,,nan
10,IFK Norrköping FK,home,Carl Björk,,91,89,88.0,62.0,14,17,cross inacurate,,,0.5841284218389954,1,False,False,False,nan,nan,nan,,nan
11,IFK Norrköping FK,home,Carl Björk,,68,90,91.0,89.0,8,17,carry,,0.01190239406509774,,1,False,False,False,nan,nan,nan,,nan
12,IF Elfsborg,away,Andrè Ibsen Rømer,Johan Larsson,12,38,24.0,13.0,15,18,pass accurate,,-0.0009148976376581169,0.9074736549679235,1,False,False,False,nan,nan,nan,,nan
13,IF Elfsborg,away,Johan Larsson,,30,11,43.0,12.0,18,21,pass inaccurate,,,0.771592344158865,1,False,False,False,nan,nan,nan,,nan
14,IFK Norrköping FK,home,Henrik Castegren,Oscar Jansson,57,88,22.0,66.0,21,24,pass accurate,,-0.0036093805082313777,0.9313826619129517,1,False,False,False,nan,nan,nan,,nan
15,IFK Norrköping FK,home,Oscar Jansson,Linus Wahlqvist,23,64,32.0,28.0,25,28,pass accurate,,0.0016802485146857182,0.8300147511629843,1,False,False,False,nan,nan,nan,,nan
16,IFK Norrköping FK,home,Linus Wahlqvist,,43,15,67.0,11.0,30,33,pass inaccurate,,,0.5553499431519503,1,False,False,False,nan,nan,nan,,nan
17,IF Elfsborg,away,Simon Strand,Simon Olsson,33,89,46.0,72.0,33,36,pass accurate,,0.005124533003595121,0.7489365228574891,1,False,False,False,nan,nan,nan,,nan
18,IFK Norrköping FK,home,Abdulrazaq Ishaq,Dino Salihovic,55,25,56.0,12.0,37,40,pass accurate,,-0.002461762154000822,0.7709740552017416,1,False,False,False,nan,nan,nan,,nan
19,IFK Norrköping FK,home,Dino Salihovic,Linus Wahlqvist,64,8,53.0,9.0,42,45,pass accurate,,-0.002890132064769336,0.7514519466191079,1,False,False,False,nan,nan,nan,,nan
20,IFK Norrköping FK,home,Dino Salihovic,,56,12,64.0,8.0,37,45,carry,,0.002890132064769336,,1,False,False,False,nan,nan,nan,,nan
21,IFK Norrköping FK,home,Linus Wahlqvist,Alexander Fransson,70,6,72.0,21.0,47,50,pass accurate,,0.0029833395362104873,0.6960088075368308,1,False,False,False,nan,nan,nan,,nan
22,IFK Norrköping FK,home,Linus Wahlqvist,,53,9,70.0,6.0,42,50,carry,,0.007682531712207553,,1,False,False,False,nan,nan,nan,,nan
23,IFK Norrköping FK,home,Jonathan Levi,,83,14,,,48,53,offside,,,,1,False,False,False,nan,nan,nan,,nan
24,IFK Norrköping FK,home,Alexander Fransson,Jonathan Levi,71,23,83.0,20.0,48,51,pass accurate,,0.00504146694245295,0.6572909847629088,1,False,False,False,nan,nan,nan,,nan
25,IF Elfsborg,away,Simon Strand,Christopher Mc Vey,20,90,16.0,74.0,61,64,pass accurate,,0.0011065571532435734,0.9262794479661076,2,False,False,False,nan,nan,nan,,nan
26,IF Elfsborg,away,Christopher Mc Vey,Simon Strand,24,69,24.0,89.0,65,68,pass accurate,,-0.0022469021716117737,0.9203569338054608,2,False,False,False,nan,nan,nan,,nan
27,IF Elfsborg,away,Simon Strand,Hákon Valdimarsson,25,88,10.0,67.0,69,72,pass accurate,,-8.85330852858409e-05,0.9362531938540777,2,False,False,False,nan,nan,nan,,nan
