external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Halmstad,home,Amir Al-Ammari,Joseph Baffoe,51,50,30.0,48.0,0,3,pass accurate,,-0.0049890352941342146,0.9077521422162625,1,False,False,False,nan,nan,nan,,nan
1,Halmstad,home,Joseph Baffoe,,31,49,93.0,1.0,3,6,pass inaccurate,,,0.6551061686149235,1,False,False,False,nan,nan,nan,,nan
2,IFK Göteborg,away,Sebastian Eriksson,Kolbeinn Sigþórsson,7,99,26.0,92.0,25,28,pass accurate,,0.003843112430935382,0.8559582847374669,1,False,False,False,nan,nan,nan,,nan
3,IFK Göteborg,away,Kolbeinn Sigþórsson,,25,93,28.0,81.0,27,30,pass inaccurate,,,0.8752068214928564,1,False,False,False,nan,nan,nan,,nan
4,Halmstad,home,Andreas Johansson,Joseph Baffoe,72,19,59.0,19.0,29,32,pass accurate,,-0.005712043080806792,0.8106658835774543,1,False,False,False,nan,nan,nan,,nan
5,Halmstad,home,Joseph Baffoe,Andreas Bengtsson,61,21,57.0,79.0,30,33,pass accurate,,-0.004027213899701142,0.7257983015485666,1,False,False,False,nan,nan,nan,,nan
6,Halmstad,home,Andreas Bengtsson,,57,75,90.0,57.0,34,37,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
7,Halmstad,home,Andreas Bengtsson,,57,75,90.0,57.0,34,37,pass inaccurate,,,0.43719042927151175,1,False,False,False,nan,nan,nan,,nan
8,IFK Göteborg,away,Ioannis Anestis,,10,43,,,36,41,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
9,IFK Göteborg,away,Ioannis Anestis,,10,43,,,36,41,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
10,IFK Göteborg,away,Sebastian Eriksson,Alexander Jallow,10,70,25.0,91.0,45,48,pass accurate,,8.85330852858409e-05,0.8719948268648562,1,False,False,False,nan,nan,nan,,nan
11,IFK Göteborg,away,Alexander Jallow,Marek Hamšík,25,95,25.0,85.0,47,50,pass accurate,,0.0013944507131610114,0.8878153794188592,1,False,False,False,nan,nan,nan,,nan
12,IFK Göteborg,away,Marek Hamšík,Sebastian Eriksson,25,86,9.0,78.0,48,51,pass accurate,,-0.002449330172017008,0.9351622542353322,1,False,False,False,nan,nan,nan,,nan
13,IFK Göteborg,away,Sebastian Eriksson,Tobias Sana,9,81,32.0,74.0,50,53,pass accurate,,0.003389176239729768,0.7525397249373994,1,False,False,False,nan,nan,nan,,nan
14,IFK Göteborg,away,Tobias Sana,,31,74,36.0,84.0,52,55,pass inaccurate,,,0.7703266507352738,1,False,False,False,nan,nan,nan,,nan
15,Halmstad,home,Andreas Johansson,,64,16,,,53,58,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
16,Halmstad,home,Andreas Johansson,,64,16,,,53,58,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
17,Halmstad,home,Edvin Kurtulus,,61,5,74.0,21.0,56,59,pass inaccurate,,,0.6262256830346373,1,False,False,False,nan,nan,nan,,nan
18,IFK Göteborg,away,Sebastian Eriksson,,26,79,,,56,61,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
19,IFK Göteborg,away,Sebastian Eriksson,,26,79,,,56,61,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
20,IFK Göteborg,away,Sebastian Eriksson,August Erlingmark,25,80,28.0,80.0,57,60,pass accurate,,,0.5617476364727098,1,False,False,False,nan,nan,nan,,nan
21,IFK Göteborg,away,August Erlingmark,Marek Hamšík,29,80,33.0,87.0,59,62,pass accurate,,,0.8351955602030645,1,False,False,False,nan,nan,nan,,nan
22,IFK Göteborg,away,Marek Hamšík,Sebastian Eriksson,31,87,24.0,81.0,59,62,pass accurate,,-0.0014057911530465702,0.9250350679202979,1,False,False,False,nan,nan,nan,,nan
23,IFK Göteborg,away,Sebastian Eriksson,Tobias Sana,30,80,72.0,93.0,64,67,pass accurate,,0.009875492343226044,0.31058783468487194,2,False,False,False,nan,nan,nan,,nan
24,Halmstad,home,Edvin Kurtulus,,26,4,,,67,72,tackle successful,,,,2,False,False,False,nan,nan,nan,,nan
25,Halmstad,home,Edvin Kurtulus,,26,4,,,67,72,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
26,IFK Göteborg,away,Tobias Sana,August Erlingmark,69,99,67.0,85.0,72,75,pass accurate,,0.003384757163740343,0.7840326657409246,2,False,False,False,nan,nan,nan,,nan
27,IFK Göteborg,away,August Erlingmark,Alhassan Yusuf Abdullahi,68,85,71.0,70.0,75,78,pass accurate,,0.0006536310385191826,0.754446861993579,2,False,False,False,nan,nan,nan,,nan
