external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Degerfors IF,Victor Edvardsen,Sebastian Olsson,51,50,33.0,68.0,0,2,pass accurate,,-0.00578583508098094,0.879702105107301,1,False,False,False,nan,nan,nan,,nan
1,Degerfors IF,Sebastian Olsson,Karl Axel Lindahl,37,56,66.0,90.0,4,6,pass accurate,,0.003135076700520604,0.6009946618448364,1,False,False,False,nan,nan,nan,,nan
2,Degerfors IF,Karl Axel Lindahl,Sebastian Olsson,67,89,47.0,79.0,10,12,pass accurate,,-0.006879218777371843,0.8452592820105833,1,False,False,False,nan,nan,nan,,nan
3,Degerfors IF,Sebastian Olsson,Oliver Ekroth,42,78,34.0,54.0,12,14,pass accurate,,-0.00018118444862847208,0.87230301542333,1,False,False,False,nan,nan,nan,,nan
4,Kalmar FF,Carl Gustafsson,,56,69,,,15,20,interception unsuccesful,,,,1,False,False,False,nan,nan,nan,,nan
5,Kalmar FF,Carl Gustafsson,,56,69,,,15,20,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
6,Degerfors IF,Oliver Ekroth,,34,50,53.0,17.0,16,18,pass inaccurate,,,0.7159919347684038,1,False,False,False,nan,nan,nan,,nan
7,Degerfors IF,Adam Carlén,Erik Lindell,53,17,70.0,5.0,20,22,pass accurate,,0.0060387249810337044,0.7558647117969779,1,False,False,False,nan,nan,nan,,nan
8,Degerfors IF,Erik Lindell,,70,6,69.0,31.0,21,23,pass inaccurate,,,0.7015805272047297,1,False,False,False,nan,nan,nan,,nan
9,Kalmar FF,Romario Pereira Sipiao,Noah Shamoun,31,69,44.0,80.0,23,25,pass accurate,,0.002056427498141441,0.7937112275205968,1,False,False,False,nan,nan,nan,,nan
10,Kalmar FF,Noah Shamoun,Carl Gustafsson,45,78,39.0,82.0,25,27,pass accurate,,-0.0014124742918864026,0.8391560629996576,1,False,False,False,nan,nan,nan,,nan
