external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,BK Häcken,Tobias Heintz,Rasmus Lindgren,51,50,32.0,62.0,0,2,Pass accurate,,-0.005153687985360585,0.8786857382041054,1,False,False,False,,,,,
1,BK Häcken,Rasmus Lindgren,Martin Olsson,33,69,35.0,85.0,3,5,Pass accurate,,0.0006439532062550383,0.871196434219994,1,False,False,False,,,,,
2,BK Häcken,Martin Olsson,,38,85,78.0,48.0,8,10,Pass inaccurate,,,0.42144062460285225,1,False,False,False,,,,,
3,IFK Göteborg,Sebastian Eriksson,,22,52,,,9,14,Clearance accurate,,,,1,False,False,False,,,,,
4,IFK Göteborg,Alexander Jallow,Marek Hamšík,18,65,26.0,68.0,11,13,Pass accurate,,0.0012824848477914121,0.870394515510813,1,False,False,False,,,,,
5,IFK Göteborg,Marek Hamšík,Alexander Jallow,22,65,22.0,80.0,14,16,Pass accurate,,-0.0010631523729679182,0.9173728454719491,1,False,False,False,,,,,
6,IFK Göteborg,Alexander Jallow,,23,85,46.0,28.0,16,18,Pass inaccurate,,,0.6602619072722894,1,False,False,False,,,,,
7,BK Häcken,Rasmus Lindgren,Martin Olsson,54,72,66.0,85.0,25,27,Pass accurate,,0.002285596281785481,0.7587840810077576,1,False,False,False,,,,,
8,BK Häcken,Leo Bengtsson,,78,67,,,25,50,Final third entry,,,,1,False,False,False,,,,,
9,BK Häcken,Martin Olsson,Leo Bengtsson,66,89,72.0,91.0,27,29,Pass accurate,,0.003925326525479712,0.727618569240706,1,False,False,False,,,,,
10,BK Häcken,Martin Olsson,Leo Bengtsson,66,89,72.0,91.0,27,29,Key pass,,,0.727618569240706,1,False,False,False,,,,,
11,BK Häcken,Leo Bengtsson,,79,66,,,30,33,Wide shot,0.03206237960182807,,,1,False,False,False,,,,,
12,IFK Göteborg,Ioannis Anestis,,21,34,,,30,33,Goalkeeper wide shot,,,,1,False,False,False,,,,,
13,BK Häcken,Leo Bengtsson,,79,66,,,30,33,Shot,0.03206237960182807,,,1,False,False,False,,,Right Foot,,
14,BK Häcken,Leo Bengtsson,,72,91,79.0,66.0,27,33,Carry,,0.011527520559370456,,1,False,False,False,,,,,
15,IFK Göteborg,August Erlingmark,,18,36,,,34,39,Block unsuccessful,,,,1,False,False,False,,,,,
16,BK Häcken,Martin Olsson,Rasmus Lindgren,65,81,39.0,73.0,38,40,Pass accurate,,-0.005990629748913675,0.8747779121743358,1,False,False,False,,,,,
17,BK Häcken,Rasmus Lindgren,Martin Olsson,41,78,58.0,92.0,42,44,Pass accurate,,0.0016829424541849273,0.7324095862546127,1,False,False,False,,,,,
18,IFK Göteborg,Hosam Aiesh,,31,5,,,47,52,Interception unsuccesful,,,,1,False,False,False,,,,,
19,IFK Göteborg,Hosam Aiesh,,31,5,,,47,52,Challenge successful,,,,1,False,False,False,,,,,
20,BK Häcken,Martin Olsson,,69,95,69.0,99.0,47,49,Pass inaccurate,,,0.04909429458123059,1,False,False,False,,,,,
21,BK Häcken,Martin Olsson,Gustav Berggren,69,99,69.0,86.0,62,64,Pass accurate,,0.003384757163740343,0.7609845131717222,2,False,False,False,,,,,
22,BK Häcken,Gustav Berggren,Martin Olsson,69,88,72.0,96.0,63,65,Pass accurate,,,0.4971774723171119,2,False,False,False,,,,,
23,BK Häcken,Martin Olsson,,70,96,87.0,95.0,65,67,Pass inaccurate,,,0.6175299118504556,2,False,False,False,,,,,
24,IFK Göteborg,Jesper Tolinsson,,13,5,23.0,5.0,69,71,Pass inaccurate,,,0.6089183130194229,2,False,False,False,,,,,
25,BK Häcken,Martin Olsson,,92,96,,,76,101,Final third entry,,,,2,False,False,False,,,,,
26,BK Häcken,Martin Olsson,Tobias Heintz,84,98,95.0,88.0,79,81,Pass accurate,,0.013485292563502387,0.4534130464915089,2,False,False,False,,,,,
27,BK Häcken,Tobias Heintz,Martin Olsson,97,94,91.0,95.0,82,84,Pass accurate,,-0.013485292563502387,0.6041353583878495,2,False,False,False,,,,,
28,BK Häcken,Martin Olsson,,92,95,93.0,49.0,83,85,Pass into the box,,,,2,False,False,False,,,,,
29,BK Häcken,Martin Olsson,,92,95,93.0,49.0,83,85,Pass inaccurate,,,0.4511533129383647,2,False,False,False,,,,,
30,BK Häcken,Martin Olsson,,92,95,93.0,49.0,83,85,Cross inacurate,,,0.4511533129383647,2,False,False,False,,,,,
31,IFK Göteborg,Ioannis Anestis,,7,51,,,84,89,Interception succesful,,,,2,False,False,False,,,,,
32,IFK Göteborg,Ioannis Anestis,,7,51,,,84,89,Challenge unsuccessful,,,,2,False,False,False,,,,,
33,IFK Göteborg,Ioannis Anestis,Kolbeinn Sigþórsson,13,31,66.0,32.0,96,106,Pass accurate,,,,2,False,False,False,,,,,
34,IFK Göteborg,Ioannis Anestis,Kolbeinn Sigþórsson,13,31,66.0,32.0,96,106,Goalkeeper kick accurate,,,,2,False,False,False,,,,,
