external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Östersund,Francis Jno-Baptiste,Noah Sonko Sundberg,51,49,31.0,47.0,0,2,pass accurate,,-0.004984388684059168,0.8913926315812905,1,False,False,False,nan,nan,nan,,nan
1,Östersund,Noah Sonko Sundberg,Eirik Haugan,29,33,28.0,75.0,3,5,pass accurate,,-0.0013376097346070662,0.8885134255582436,1,False,False,False,nan,nan,nan,,nan
2,Östersund,Eirik Haugan,Frank Arhin,29,68,47.0,75.0,5,7,pass accurate,,0.002056427498141441,0.7179280985100239,1,False,False,False,nan,nan,nan,,nan
3,Östersund,Frank Arhin,Eirik Haugan,40,78,33.0,71.0,7,9,pass accurate,,-0.0006439532062550383,0.874484043114252,1,False,False,False,nan,nan,nan,,nan
4,Östersund,Eirik Haugan,Noah Sonko Sundberg,29,72,32.0,24.0,9,11,pass accurate,,-0.0003338397226723567,0.8456215351706754,1,False,False,False,nan,nan,nan,,nan
5,IFK Göteborg,Hosam Aiesh,,71,46,,,11,36,final third entry,,,,1,False,False,False,nan,nan,nan,,nan
6,Östersund,Frank Arhin,,30,59,,,14,19,yellow card,,,,1,False,False,False,nan,nan,nan,,nan
7,Östersund,Frank Arhin,,30,59,,,14,19,foul,,,,1,False,False,False,nan,nan,nan,,nan
8,Östersund,Noah Sonko Sundberg,Frank Arhin,29,30,48.0,43.0,15,17,pass accurate,,0.0030136333845124964,0.7052207076790612,1,False,False,False,nan,nan,nan,,nan
9,Östersund,Frank Arhin,,47,43,39.0,63.0,16,18,pass inaccurate,,,0.8540543738330477,1,False,False,False,nan,nan,nan,,nan
10,IFK Göteborg,Hosam Aiesh,,61,37,,,17,22,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
11,IFK Göteborg,Hosam Aiesh,,61,37,,,17,22,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
12,Östersund,Frank Arhin,,30,56,,,18,21,foul,,,,1,False,False,False,nan,nan,nan,,nan
13,IFK Göteborg,Tobias Sana,,70,55,,,69,72,wide shot,0.015760954739040243,,,2,False,False,False,free-kick,nan,nan,True,nan
14,Östersund,Aly Keita,,30,45,,,69,72,goalkeeper wide shot,,,,2,False,False,False,nan,nan,nan,,nan
15,IFK Göteborg,Tobias Sana,,70,55,,,69,72,shot,0.015760954739040243,,,2,False,False,False,free-kick,nan,right foot,True,nan
16,Östersund,Eirik Haugan,,21,51,,,73,78,block unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
17,IFK Göteborg,Sebastian Eriksson,,98,1,96.0,45.0,93,103,right corner inaccurate,,,,2,False,False,False,corner,cleared,nan,,nan
18,Östersund,Noah Sonko Sundberg,,4,55,,,110,115,clearance accurate,,,,2,False,False,False,nan,nan,nan,,nan
19,Östersund,Patrick Kpozo,,11,65,,,111,116,interception succesful,,,,2,False,False,False,nan,nan,nan,,nan
20,Östersund,Patrick Kpozo,,11,65,,,111,116,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
21,IFK Göteborg,Sebastian Eriksson,,80,24,81.0,29.0,112,114,pass inaccurate,,,0.4602905336031536,2,False,False,False,nan,nan,nan,,nan
22,IFK Göteborg,Sebastian Eriksson,,80,24,81.0,29.0,112,114,cross inacurate,,,0.4602905336031536,2,False,False,False,nan,nan,nan,,nan
23,Östersund,Simon Kroon,Frank Arhin,19,71,18.0,88.0,114,116,pass accurate,,-0.0022469021716117737,0.9294857417419438,2,False,False,False,nan,nan,nan,,nan
24,Östersund,Frank Arhin,,17,96,,,115,120,lost ball,,,,2,False,False,False,nan,nan,nan,,nan
25,IFK Göteborg,Alhassan Yusuf Abdullahi,,81,6,,,116,121,tackle successful,,,,2,False,False,False,nan,nan,nan,,nan
26,IFK Göteborg,Alhassan Yusuf Abdullahi,,81,6,,,116,121,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
27,IFK Göteborg,Alhassan Yusuf Abdullahi,August Erlingmark,81,5,85.0,23.0,118,120,pass into the box,,,,2,False,False,False,nan,nan,nan,,nan
28,IFK Göteborg,Alhassan Yusuf Abdullahi,August Erlingmark,81,5,85.0,23.0,118,120,pass accurate,,0.00799899047943901,0.6462672158570496,2,False,False,False,nan,nan,nan,,nan
29,IFK Göteborg,August Erlingmark,,87,21,94.0,15.0,120,122,pass inaccurate,,,0.6444917501006693,3,False,False,False,nan,nan,nan,,nan
30,Östersund,Patrick Kpozo,,6,85,,,120,125,interception succesful,,,,3,False,False,False,nan,nan,nan,,nan
31,Östersund,Patrick Kpozo,,6,85,,,120,125,challenge unsuccessful,,,,3,False,False,False,nan,nan,nan,,nan
32,Östersund,Patrick Kpozo,Henrik Bellman,9,93,24.0,93.0,123,125,pass accurate,,0.001202028009749504,0.7704139720200148,3,False,False,False,nan,nan,nan,,nan
33,Östersund,Henrik Bellman,Patrick Kpozo,17,96,26.0,96.0,125,127,pass accurate,,0.0011950902385294143,0.6558054706419568,3,False,False,False,nan,nan,nan,,nan
34,Östersund,Patrick Kpozo,,25,93,33.0,98.0,128,130,pass inaccurate,,,0.5258761824371436,3,False,False,False,nan,nan,nan,,nan
35,IFK Göteborg,Alexander Jallow,Mattias Bjärsmyr,67,2,28.0,16.0,138,140,pass accurate,,-0.011283685756305872,0.8965764709802426,3,False,False,False,nan,nan,nan,,nan
36,IFK Göteborg,Mattias Bjärsmyr,Carl Johansson,31,21,30.0,64.0,142,144,pass accurate,,0.0003338397226723567,0.8703890969824417,3,False,False,False,nan,nan,nan,,nan
