external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Örebro,David Seger,Andreas Skovgaard Larsen,49,51,26.0,50.0,0,3,Pass accurate,,-0.0027516241001182586,0.9280471007624863,1,False,False,False,,,,,
1,Örebro,Andreas Skovgaard Larsen,,27,52,65.0,17.0,3,6,Pass inaccurate,,,0.581256416887645,1,False,False,False,,,,,
2,Örebro,Dennis Collander,Deniz Hümmet,65,17,71.0,23.0,6,9,Pass accurate,,0.005712043080806792,0.7104804860784053,1,False,False,False,,,,,
3,IK Sirius FK,Marcus Klingenberg Mathisen,,35,82,,,6,9,Air challenge successful,,,,1,False,False,False,,,,,
4,IK Sirius FK,Marcus Klingenberg Mathisen,,35,82,,,6,9,Challenge successful,,,,1,False,False,False,,,,,
5,Örebro,Dennis Collander,,65,19,,,6,9,Air challenge unsuccessful,,,,1,False,False,False,,,,,
6,Örebro,Dennis Collander,,65,19,,,6,9,Challenge unsuccessful,,,,1,False,False,False,,,,,
7,Örebro,Deniz Hümmet,Benjamin Hjertstrand,72,16,65.0,6.0,9,12,Pass accurate,,-0.007775739183648704,0.6628000579947866,1,False,False,False,,,,,
8,Örebro,Benjamin Hjertstrand,Dennis Collander,63,5,77.0,7.0,10,13,Pass accurate,,0.010588674130308683,0.7064664346016433,1,False,False,False,,,,,
9,IK Sirius FK,Patrick Nwadike,,4,89,,,13,18,Tackle successful,,,,1,False,False,False,,,,,
10,IK Sirius FK,Patrick Nwadike,,4,89,,,13,18,Challenge unsuccessful,,,,1,False,False,False,,,,,
11,IK Sirius FK,David Mitov Nilsson,Marcus Klingenberg Mathisen,4,52,9.0,69.0,28,38,Pass accurate,,,,1,False,False,False,,,,,
12,IK Sirius FK,David Mitov Nilsson,Marcus Klingenberg Mathisen,4,52,9.0,69.0,28,38,Goalkeeper kick accurate,,,,1,False,False,False,,,,,
13,IK Sirius FK,Marcus Klingenberg Mathisen,Moustafa Zeidan,8,70,31.0,68.0,35,38,Pass accurate,,0.0042161764862570904,0.7643824891769997,1,False,False,False,,,,,
14,IK Sirius FK,Moustafa Zeidan,Dennis Widgren,31,72,23.0,94.0,36,39,Pass accurate,,-0.003529387019403186,0.9500521979947483,1,False,False,False,,,,,
15,Örebro,Dennis Collander,,75,8,,,37,42,Interception unsuccesful,,,,1,False,False,False,,,,,
16,Örebro,Dennis Collander,,75,8,,,37,42,Challenge successful,,,,1,False,False,False,,,,,
17,IK Sirius FK,Dennis Widgren,,25,93,29.0,99.0,38,41,Pass inaccurate,,,0.11212296104133371,1,False,False,False,,,,,
18,IK Sirius FK,Dennis Widgren,Moustafa Zeidan,29,99,39.0,99.0,50,53,Pass accurate,,0.0013155334408985666,0.14407567931535467,1,False,False,False,,,,,
19,Örebro,Dennis Collander,,70,6,,,51,56,Tackle successful,,,,1,False,False,False,,,,,
20,Örebro,Dennis Collander,,70,6,,,51,56,Challenge unsuccessful,,,,1,False,False,False,,,,,
21,Örebro,Benjamin Hjertstrand,Nasiru Moro,69,1,30.0,10.0,58,61,Pass accurate,,-0.012632541830609731,0.8986121574675049,1,False,False,False,,,,,
22,Örebro,Nasiru Moro,Bobby Allain,33,18,10.0,40.0,63,66,Pass accurate,,-0.0005205514799213676,0.9332305564171144,2,False,False,False,,,,,
23,Örebro,Bobby Allain,,9,43,62.0,28.0,68,71,Pass inaccurate,,,0.6265392409199008,2,False,False,False,,,,,
24,IK Sirius FK,Marcus Klingenberg Mathisen,,38,72,,,70,75,Clearance inaccurate,,,,2,False,False,False,,,,,
25,IK Sirius FK,Marcus Klingenberg Mathisen,,39,70,,,71,74,Air challenge unsuccessful,,,,2,False,False,False,,,,,
26,IK Sirius FK,Marcus Klingenberg Mathisen,,39,70,,,71,74,Challenge unsuccessful,,,,2,False,False,False,,,,,
27,Örebro,Deniz Hümmet,,59,29,,,72,75,Air challenge successful,,,,2,False,False,False,,,,,
28,Örebro,Deniz Hümmet,,59,29,,,72,75,Challenge successful,,,,2,False,False,False,,,,,
29,IK Sirius FK,Dennis Widgren,,45,84,,,73,78,Interception unsuccesful,,,,2,False,False,False,,,,,
30,IK Sirius FK,Dennis Widgren,,45,84,,,73,78,Challenge successful,,,,2,False,False,False,,,,,
31,Örebro,Andreas Skovgaard Larsen,,39,17,57.0,11.0,74,77,Pass inaccurate,,,0.6968131119959151,2,False,False,False,,,,,
32,IK Sirius FK,Moustafa Zeidan,,43,89,,,75,80,Interception unsuccesful,,,,2,False,False,False,,,,,
33,IK Sirius FK,Moustafa Zeidan,,43,89,,,75,80,Challenge successful,,,,2,False,False,False,,,,,
34,Örebro,Johan Mårtensson,,42,16,42.0,1.0,76,79,Pass inaccurate,,,0.9056347692287743,2,False,False,False,,,,,
35,Örebro,Andreas Skovgaard Larsen,Johan Mårtensson,42,1,57.0,13.0,83,86,Pass accurate,,0.0038214604816213926,0.6490926751321902,2,False,False,False,,,,,
36,Örebro,Johan Mårtensson,Andreas Skovgaard Larsen,58,13,45.0,5.0,84,87,Pass accurate,,-0.0038214604816213926,0.8839596493202831,2,False,False,False,,,,,
37,Örebro,Andreas Skovgaard Larsen,,59,5,,,84,94,Dribble unsuccessful,,,,2,False,False,False,,,,,
38,Örebro,Andreas Skovgaard Larsen,,45,5,59.0,5.0,84,94,Carry,,0.00506778581521688,,2,False,False,False,,,,,
39,IK Sirius FK,Marcus Klingenberg Mathisen,,36,88,,,88,93,Clearance inaccurate,,,,2,False,False,False,,,,,
40,Örebro,Nasiru Moro,Johan Mårtensson,27,21,35.0,17.0,95,98,Pass accurate,,0.0012792271580413291,0.8313561737880049,2,False,False,False,,,,,
41,Örebro,Deniz Hümmet,,89,28,,,97,107,Penalty box entry successful,,,,2,False,False,False,,,,,
42,Örebro,Johan Mårtensson,Nasiru Moro,33,14,28.0,17.0,97,100,Pass accurate,,,0.792492275031457,2,False,False,False,,,,,
