external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IFK Norrköping FK,Sead Haksabanovic,Marco Lund Nielsen,52,48,33.0,53.0,0,3,Pass accurate,,-0.005149041375285539,0.8786857382041054,1,False,False,False,,,,,
1,IFK Norrköping FK,Marco Lund Nielsen,,32,46,70.0,13.0,2,5,Pass inaccurate,,,0.5378860113823409,1,False,False,False,,,,,
2,Varbergs BoIS FC,Adama Fofana,,30,87,30.0,84.0,5,8,Pass inaccurate,,,0.2802583267101338,1,False,False,False,,,,,
3,IFK Norrköping FK,Kevin Javier Alvarez Hernandez,,70,16,,,5,8,Air challenge successful,,,,1,False,False,False,,,,,
4,IFK Norrköping FK,Kevin Javier Alvarez Hernandez,,70,16,,,5,8,Challenge successful,,,,1,False,False,False,,,,,
5,Varbergs BoIS FC,Adama Fofana,,30,65,,,5,8,Air challenge unsuccessful,,,,1,False,False,False,,,,,
6,Varbergs BoIS FC,Adama Fofana,,30,65,,,5,8,Challenge unsuccessful,,,,1,False,False,False,,,,,
7,Varbergs BoIS FC,Luke Le Roux,,32,78,,,15,20,Interception succesful,,,,1,False,False,False,,,,,
8,Varbergs BoIS FC,Luke Le Roux,,32,78,,,15,20,Challenge unsuccessful,,,,1,False,False,False,,,,,
9,IFK Norrköping FK,Linus Wahlqvist,,64,6,69.0,22.0,15,18,Pass inaccurate,,,0.6579106627672747,1,False,False,False,,,,,
10,Varbergs BoIS FC,Luke Le Roux,,31,78,31.0,78.0,16,19,Pass inaccurate,,,0.26936147417997536,1,False,False,False,,,,,
11,Varbergs BoIS FC,Tashreeq Matthews,,73,66,,,17,42,Final third entry,,,,1,False,False,False,,,,,
12,IFK Norrköping FK,Linus Wahlqvist,,62,17,73.0,21.0,18,21,Pass inaccurate,,,0.7048058785213529,1,False,False,False,,,,,
13,Varbergs BoIS FC,Joakim Lindner,Adama Fofana,27,79,30.0,91.0,20,23,Pass accurate,,-0.0013944507131610114,0.8870674954504294,1,False,False,False,,,,,
14,Varbergs BoIS FC,Joakim Lindner,Adama Fofana,26,82,36.0,89.0,20,23,Pass accurate,,-7.891727226244476e-05,0.8295423766030667,1,False,False,False,,,,,
15,Varbergs BoIS FC,Adama Fofana,Joakim Lindner,30,91,24.0,78.0,22,25,Pass accurate,,-1.1340439885558842e-05,0.9250350679202979,1,False,False,False,,,,,
16,Varbergs BoIS FC,Adama Fofana,Joakim Lindner,29,91,24.0,81.0,22,25,Pass accurate,,-1.1340439885558842e-05,0.9250350679202979,1,False,False,False,,,,,
17,IFK Norrköping FK,Alexander Fransson,,67,35,,,22,27,Interception succesful,,,,1,False,False,False,,,,,
18,IFK Norrköping FK,Alexander Fransson,,67,35,,,22,27,Challenge unsuccessful,,,,1,False,False,False,,,,,
19,Varbergs BoIS FC,Joakim Lindner,,18,86,33.0,69.0,23,26,Pass inaccurate,,,0.7881137852646195,1,False,False,False,,,,,
20,IFK Norrköping FK,Ísak Bergmann Jóhannesson,Kevin Javier Alvarez Hernandez,67,31,69.0,12.0,23,26,Pass accurate,,-0.0029336506207860193,0.7739554111105621,1,False,False,False,,,,,
21,IFK Norrköping FK,Kevin Javier Alvarez Hernandez,Ísak Bergmann Jóhannesson,74,12,76.0,22.0,26,29,Pass accurate,,0.008024806478663438,0.7058464995463785,1,False,False,False,,,,,
22,IFK Norrköping FK,Kevin Javier Alvarez Hernandez,,69,12,74.0,12.0,23,29,Carry,,,,1,False,False,False,,,,,
23,IFK Norrköping FK,Kevin Javier Alvarez Hernandez,Ísak Bergmann Jóhannesson,74,16,73.0,35.0,26,29,Pass accurate,,-4.968891542446799e-05,0.7474190963419686,1,False,False,False,,,,,
24,IFK Norrköping FK,Ísak Bergmann Jóhannesson,Kevin Javier Alvarez Hernandez,72,30,90.0,13.0,27,30,Pass accurate,,0.010861614341523457,0.6607585635243942,1,False,False,False,,,,,
25,Varbergs BoIS FC,Adama Fofana,,13,68,,,28,33,Interception unsuccesful,,,,1,False,False,False,,,,,
26,Varbergs BoIS FC,Adama Fofana,,13,68,,,28,33,Challenge successful,,,,1,False,False,False,,,,,
27,IFK Norrköping FK,Kevin Javier Alvarez Hernandez,,89,14,85.0,14.0,28,31,Pass inaccurate,,,0.5938088202915396,1,False,False,False,,,,,
28,IFK Norrköping FK,Kevin Javier Alvarez Hernandez,Henrik Castegren,85,14,71.0,48.0,31,34,Pass accurate,,-0.010821904850257542,0.7346895161691734,1,False,False,False,,,,,
29,IFK Norrköping FK,Henrik Castegren,Viktor Agardius,71,51,66.0,80.0,33,36,Pass accurate,,-0.00630203431442216,0.8035686426550009,1,False,False,False,,,,,
30,IFK Norrköping FK,Viktor Agardius,Sead Haksabanovic,64,89,76.0,94.0,36,39,Pass accurate,,0.009613284787725596,0.7271419830775301,1,False,False,False,,,,,
31,IFK Norrköping FK,Viktor Agardius,,66,80,64.0,89.0,33,39,Carry,,-0.002372399841753102,,1,False,False,False,,,,,
32,IFK Norrköping FK,Sead Haksabanovic,,77,95,85.0,3.0,39,42,Pass inaccurate,,,0.670210176368798,1,False,False,False,,,,,
33,IFK Norrköping FK,Sead Haksabanovic,,77,95,85.0,3.0,39,42,Cross inacurate,,,0.670210176368798,1,False,False,False,,,,,
34,IFK Norrköping FK,Kevin Javier Alvarez Hernandez,Linus Wahlqvist,85,3,69.0,12.0,54,57,Pass accurate,,-0.011797694501235093,0.741876864545879,1,False,False,False,,,,,
35,IFK Norrköping FK,Linus Wahlqvist,Kevin Javier Alvarez Hernandez,66,11,77.0,12.0,57,60,Pass accurate,,0.010588674130308683,0.6612544732149744,1,False,False,False,,,,,
36,IFK Norrköping FK,Kevin Javier Alvarez Hernandez,Marco Lund Nielsen,74,13,39.0,20.0,58,61,Pass accurate,,-0.01298779813447503,0.8119848377262586,1,False,False,False,,,,,
37,IFK Norrköping FK,Marco Lund Nielsen,,43,21,93.0,45.0,62,65,Pass into the box,,,,2,False,False,False,,,,,
38,IFK Norrköping FK,Marco Lund Nielsen,,43,21,93.0,45.0,62,65,Pass inaccurate,,,0.33318156831722745,2,False,False,False,,,,,
