external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Malmö FF,Anders Bleg Christiansen,Franz Brorsson,49,51,30.0,57.0,0,2,Pass accurate,,-0.0027516241001182586,0.9069476952091619,1,False,False,False,,,,,
1,Malmö FF,Franz Brorsson,Jonas Bruun Knudsen,29,56,29.0,49.0,1,3,Pass accurate,,0.0001646526912263708,0.7360873648043381,1,False,False,False,,,,,
2,Malmö FF,Jonas Bruun Knudsen,,31,43,62.0,13.0,2,4,Pass inaccurate,,,0.6084706732509422,1,False,False,False,,,,,
3,Malmö FF,Eric Larsson,,62,13,,,11,16,Interception succesful,,,,1,False,False,False,,,,,
4,Malmö FF,Eric Larsson,,62,13,,,11,16,Challenge unsuccessful,,,,1,False,False,False,,,,,
5,Malmö FF,Eric Larsson,,63,13,,,11,14,Air challenge unsuccessful,,,,1,False,False,False,,,,,
6,Malmö FF,Eric Larsson,,63,13,,,11,14,Challenge unsuccessful,,,,1,False,False,False,,,,,
7,Djurgården,Kalle Holmberg,,36,87,,,11,14,Air challenge successful,,,,1,False,False,False,,,,,
8,Djurgården,Kalle Holmberg,,36,87,,,11,14,Challenge successful,,,,1,False,False,False,,,,,
9,Malmö FF,Antonio Colak,,90,24,,,11,36,Final third entry,,,,1,False,False,False,,,,,
10,Djurgården,Elliot Käck,,28,98,37.0,87.0,11,13,Pass inaccurate,,,0.8389211348235887,1,False,False,False,,,,,
11,Malmö FF,Eric Larsson,Erdal Rakip,63,13,63.0,25.0,12,14,Pass accurate,,0.0005115672019537672,0.7767712605136669,1,False,False,False,,,,,
12,Malmö FF,Erdal Rakip,Ola Toivonen,63,21,66.0,21.0,14,16,Pass accurate,,,0.4972267463020254,1,False,False,False,,,,,
13,Malmö FF,Ola Toivonen,Jo Inge Berget,68,21,66.0,6.0,14,16,Pass accurate,,-0.007775739183648704,0.6709821562142404,1,False,False,False,,,,,
14,Malmö FF,Jo Inge Berget,Antonio Colak,68,6,80.0,30.0,15,17,Pass accurate,,0.010501249428619241,0.5510747457421613,1,False,False,False,,,,,
15,Malmö FF,Antonio Colak,,91,24,95.0,54.0,20,22,Pass inaccurate,,,0.4059665420424799,1,False,False,False,,,,,
16,Malmö FF,Antonio Colak,,91,24,95.0,54.0,20,22,Cross inacurate,,,0.4059665420424799,1,False,False,False,,,,,
17,Malmö FF,Antonio Colak,,80,30,91.0,24.0,15,22,Carry,,0.003294015533690235,,1,False,False,False,,,,,
18,Djurgården,Aslak Fonn Witry,,5,46,,,21,26,Clearance inaccurate,,,,1,False,False,False,,,,,
19,Djurgården,Edward Chilufya,,11,6,,,31,36,Interception unsuccesful,,,,1,False,False,False,,,,,
20,Djurgården,Edward Chilufya,,11,6,,,31,36,Challenge successful,,,,1,False,False,False,,,,,
21,Malmö FF,Søren Rieks,,89,94,79.0,94.0,32,34,Pass inaccurate,,,0.274045405988375,1,False,False,False,,,,,
22,Malmö FF,Jonas Bruun Knudsen,,91,91,,,47,72,Final third entry,,,,1,False,False,False,,,,,
23,Malmö FF,Jonas Bruun Knudsen,Anel Ahmedhodzic,84,100,89.0,60.0,51,53,Pass into the box,,,,1,False,False,False,,,,,
24,Malmö FF,Jonas Bruun Knudsen,Anel Ahmedhodzic,84,100,89.0,60.0,51,53,Pass accurate,,0.09110167066801347,0.6036525880709679,1,False,False,False,,,,,
25,Malmö FF,Anel Ahmedhodzic,,91,59,,,52,55,Air challenge unsuccessful,,,,1,False,False,False,,,,,
26,Malmö FF,Anel Ahmedhodzic,,91,59,,,52,55,Challenge unsuccessful,,,,1,False,False,False,,,,,
27,Djurgården,Hampus Finndell,,9,41,,,52,55,Air challenge successful,,,,1,False,False,False,,,,,
28,Djurgården,Hampus Finndell,,9,41,,,52,55,Challenge successful,,,,1,False,False,False,,,,,
29,Malmö FF,Anel Ahmedhodzic,Jonas Bruun Knudsen,91,59,91.0,91.0,53,55,Pass accurate,,-0.09110167066801347,0.6336550417182463,1,False,False,False,,,,,
30,Malmö FF,Jonas Bruun Knudsen,,91,90,90.0,49.0,56,58,Pass into the box,,,,1,False,False,False,,,,,
31,Malmö FF,Jonas Bruun Knudsen,,91,90,90.0,49.0,56,58,Pass inaccurate,,,0.5361081442100412,1,False,False,False,,,,,
32,Malmö FF,Jonas Bruun Knudsen,,91,90,90.0,49.0,56,58,Cross inacurate,,,0.5361081442100412,1,False,False,False,,,,,
33,Djurgården,Magnus Eriksson,,10,51,,,57,62,Clearance inaccurate,,,,1,False,False,False,,,,,
34,Malmö FF,Søren Rieks,,74,52,,,60,65,Lost ball,,,,2,False,False,False,,,,,
35,Djurgården,Nicklas Bärkroth,,27,48,,,60,65,Tackle successful,,,,2,False,False,False,,,,,
36,Djurgården,Nicklas Bärkroth,,27,48,,,60,65,Challenge unsuccessful,,,,2,False,False,False,,,,,
37,Djurgården,Kalle Holmberg,,37,33,37.0,33.0,65,67,Pass inaccurate,,,0.27625352859831964,2,False,False,False,,,,,
38,Malmö FF,Erdal Rakip,Marko Johansson,29,88,7.0,55.0,69,71,Pass accurate,,0.0013821788125977594,0.9379211625077785,2,False,False,False,,,,,
39,Malmö FF,Marko Johansson,,8,57,30.0,77.0,73,75,Pass inaccurate,,,0.7827948593419022,2,False,False,False,,,,,
40,Djurgården,Hampus Finndell,,70,23,98.0,49.0,75,77,Pass into the box,,,,2,False,False,False,,,,,
41,Djurgården,Hampus Finndell,,70,23,98.0,49.0,75,77,Pass inaccurate,,,0.1862053761182143,2,False,False,False,,,,,
42,Malmö FF,Marko Johansson,Franz Brorsson,2,51,6.0,68.0,80,90,Pass accurate,,,,2,False,False,False,,,,,
43,Malmö FF,Marko Johansson,Franz Brorsson,2,51,6.0,68.0,80,90,Goalkeeper kick accurate,,,,2,False,False,False,,,,,
44,Malmö FF,Franz Brorsson,Anel Ahmedhodzic,6,67,9.0,32.0,86,88,Pass accurate,,0.00255275471849329,0.9291838138548909,2,False,False,False,,,,,
45,Malmö FF,Anel Ahmedhodzic,Franz Brorsson,10,35,10.0,65.0,89,91,Pass accurate,,-0.0007594080983958119,0.9146089977232003,2,False,False,False,,,,,
