external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Malmö FF,away,Antonio Mirko Colak,Franz Brorsson,49,50,29.0,60.0,0,2,pass accurate,,-0.0027516241001182586,0.9077521422162625,1,False,False,False,nan,nan,nan,,nan
1,Malmö FF,away,Franz Brorsson,Anel Ahmedhodzic,30,44,32.0,27.0,4,6,pass accurate,,-0.0003990361199524197,0.8668049043636734,1,False,False,False,nan,nan,nan,,nan
2,Malmö FF,away,Anel Ahmedhodzic,Eric Larsson,33,25,35.0,9.0,6,8,pass accurate,,-0.0006341390131263652,0.7950273714942921,1,False,False,False,nan,nan,nan,,nan
3,Malmö FF,away,Eric Larsson,Bonke Innocent,35,12,46.0,21.0,8,10,pass accurate,,0.0025814624605228226,0.7249117504049264,1,False,False,False,nan,nan,nan,,nan
4,Malmö FF,away,Bonke Innocent,,47,23,31.0,3.0,8,10,pass inaccurate,,,0.8875421188462129,1,False,False,False,nan,nan,nan,,nan
5,Degerfors IF,home,Anton Kralj,Sean Sabetkar,69,97,44.0,94.0,19,21,pass accurate,,-0.008502937661810298,0.8915932520019112,1,False,False,False,nan,nan,nan,,nan
6,Degerfors IF,home,Sean Sabetkar,Oliver Ekroth,38,92,34.0,74.0,22,24,pass accurate,,0.0024108531828482046,0.8722207706991403,1,False,False,False,nan,nan,nan,,nan
7,Degerfors IF,home,Oliver Ekroth,Ismael Diawara,31,77,11.0,56.0,24,26,pass accurate,,-0.00035052702033209863,0.9373127959400711,1,False,False,False,nan,nan,nan,,nan
8,Degerfors IF,home,Ismael Diawara,,11,54,40.0,20.0,27,29,pass inaccurate,,,0.7238386580019739,1,False,False,False,nan,nan,nan,,nan
9,Malmö FF,away,Jonas Bruun Knudsen,Søren Rieks,60,80,66.0,74.0,30,32,pass accurate,,0.0009416788209277889,0.7634851655147251,1,False,False,False,nan,nan,nan,,nan
10,Malmö FF,away,Søren Rieks,Antonio Mirko Colak,67,71,75.0,73.0,32,34,pass accurate,,0.00748913235711093,0.7022450634532037,1,False,False,False,nan,nan,nan,,nan
11,Malmö FF,away,Antonio Mirko Colak,,73,89,75.0,91.0,38,40,pass inaccurate,,,0.2347639787404205,1,False,False,False,nan,nan,nan,,nan
12,Malmö FF,away,Antonio Mirko Colak,,75,73,73.0,89.0,32,40,carry,,-0.011527520559370456,,1,False,False,False,nan,nan,nan,,nan
13,Degerfors IF,home,Oliver Ekroth,,25,9,,,38,43,interception unsuccesful,,,,1,False,False,False,nan,nan,nan,,nan
14,Degerfors IF,home,Oliver Ekroth,,25,9,,,38,43,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
