external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IK Sirius FK,home,Marcus Klingenberg Mathisen,,32,77,,,0,3,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
1,IK Sirius FK,home,Marcus Klingenberg Mathisen,,32,77,,,0,3,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
2,Degerfors IF,away,Erik Lindell,,68,18,,,0,3,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
3,Degerfors IF,away,Erik Lindell,,68,18,,,0,3,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
4,Degerfors IF,away,Justin Salmon,Gustav Granath,60,20,37.0,19.0,2,5,pass accurate,,-0.007275755053668238,0.8813139854620619,1,False,False,False,nan,nan,nan,,nan
5,Degerfors IF,away,Gustav Granath,Oliver Ekroth,34,22,29.0,47.0,6,9,pass accurate,,-0.0001485876485222467,0.881962430638653,1,False,False,False,nan,nan,nan,,nan
6,Degerfors IF,away,Oliver Ekroth,Sebastian Olsson,28,34,38.0,34.0,8,11,pass accurate,,0.001300329741981767,0.8031480761273104,1,False,False,False,nan,nan,nan,,nan
7,Degerfors IF,away,Sebastian Olsson,Victor Edvardsen,29,74,37.0,75.0,11,14,pass accurate,,0.0006439532062550383,0.8456385493327376,1,False,False,False,nan,nan,nan,,nan
8,Degerfors IF,away,Victor Edvardsen,Sebastian Olsson,37,64,30.0,72.0,12,15,pass accurate,,-0.0013920898428729997,0.8973107490925579,1,False,False,False,nan,nan,nan,,nan
9,IK Sirius FK,home,Tim Björkström,,68,30,,,12,17,interception unsuccesful,,,,1,False,False,False,nan,nan,nan,,nan
10,IK Sirius FK,home,Tim Björkström,,68,30,,,12,17,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
11,Degerfors IF,away,Sebastian Olsson,Victor Edvardsen,31,73,32.0,66.0,13,16,pass accurate,,,0.7101201696860117,1,False,False,False,nan,nan,nan,,nan
12,Degerfors IF,away,Victor Edvardsen,,33,66,33.0,66.0,13,16,pass inaccurate,,,0.25986817229553283,1,False,False,False,nan,nan,nan,,nan
13,IK Sirius FK,home,Tim Björkström,,98,10,,,19,24,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
14,Degerfors IF,away,Oliver Ekroth,Sebastian Olsson,9,56,17.0,90.0,39,42,pass accurate,,-0.002239013931358327,0.9213087236089622,1,False,False,False,nan,nan,nan,,nan
15,Degerfors IF,away,Sebastian Olsson,Gustav Granath,18,88,21.0,19.0,45,48,pass accurate,,0.0017600981791513447,0.9165271895513828,1,False,False,False,nan,nan,nan,,nan
16,Degerfors IF,away,Gustav Granath,Justin Salmon,23,18,30.0,21.0,49,52,pass accurate,,0.0014354491175794844,0.8472966808745795,1,False,False,False,nan,nan,nan,,nan
17,IK Sirius FK,home,Jacob Ortmark,,73,67,,,51,54,foul,,,,1,False,False,False,nan,nan,nan,,nan
18,Degerfors IF,away,Victor Edvardsen,Sebastian Olsson,30,85,23.0,84.0,69,72,pass accurate,,-0.0014057911530465702,0.9288916579463266,2,False,False,False,nan,nan,nan,,nan
19,Degerfors IF,away,Sebastian Olsson,,22,86,73.0,67.0,71,74,pass inaccurate,,,0.48152477150652756,2,False,False,False,nan,nan,nan,,nan
20,IK Sirius FK,home,Patrick Nwadike,Jacob Ortmark,27,33,31.0,28.0,74,77,pass accurate,,,0.8060957687324226,2,False,False,False,nan,nan,nan,,nan
21,IK Sirius FK,home,Jacob Ortmark,Dennis Widgren,31,33,31.0,77.0,77,80,pass accurate,,-0.0013376097346070662,0.8541848390311602,2,False,False,False,nan,nan,nan,,nan
22,IK Sirius FK,home,Dennis Widgren,David Mitov Nilsson,31,66,12.0,59.0,78,81,pass accurate,,-0.0012903730880448588,0.9409091277864859,2,False,False,False,nan,nan,nan,,nan
23,IK Sirius FK,home,David Mitov Nilsson,Patrick Nwadike,8,48,11.0,32.0,82,85,pass accurate,,-0.0010161855452202016,0.9259987240610346,2,False,False,False,nan,nan,nan,,nan
24,IK Sirius FK,home,Patrick Nwadike,Jacob Ortmark,11,32,26.0,30.0,85,88,pass accurate,,0.0020611854346581065,0.85842693650038,2,False,False,False,nan,nan,nan,,nan
25,IK Sirius FK,home,Jacob Ortmark,Nahom Girmai Netabay,27,35,28.0,27.0,86,89,pass accurate,,,0.8102893887032149,2,False,False,False,nan,nan,nan,,nan
26,IK Sirius FK,home,Nahom Girmai Netabay,Yukiya Sugita,30,18,29.0,35.0,87,90,pass accurate,,0.0007316033895666627,0.8718378380472132,2,False,False,False,nan,nan,nan,,nan
27,IK Sirius FK,home,Yukiya Sugita,Laorent Shabani,32,30,32.0,5.0,89,92,pass accurate,,-0.0020804594638705216,0.9074411063353746,2,False,False,False,nan,nan,nan,,nan
28,IK Sirius FK,home,Laorent Shabani,Nahom Girmai Netabay,27,9,30.0,21.0,91,94,pass accurate,,0.001348856074303859,0.8579522141742747,2,False,False,False,nan,nan,nan,,nan
29,IK Sirius FK,home,Nahom Girmai Netabay,Patrick Nwadike,30,24,28.0,29.0,93,96,pass accurate,,0.0007316033895666627,0.5701827612805267,2,False,False,False,nan,nan,nan,,nan
30,IK Sirius FK,home,Patrick Nwadike,Marcus Klingenberg Mathisen,26,32,17.0,69.0,95,98,pass accurate,,-0.0016802485146857182,0.933911514001559,2,False,False,False,nan,nan,nan,,nan
31,IK Sirius FK,home,Marcus Klingenberg Mathisen,Nahom Girmai Netabay,16,67,28.0,31.0,98,101,pass accurate,,0.0028205935330539184,0.753449318633657,2,False,False,False,nan,nan,nan,,nan
32,IK Sirius FK,home,Laorent Shabani,,93,15,,,103,128,final third entry,,,,2,False,False,False,nan,nan,nan,,nan
33,IK Sirius FK,home,Nahom Girmai Netabay,Yukiya Sugita,27,21,38.0,31.0,104,107,pass accurate,,0.00203193313154843,0.7946059193763229,2,False,False,False,nan,nan,nan,,nan
34,IK Sirius FK,home,Yukiya Sugita,Laorent Shabani,59,25,93.0,11.0,109,112,pass accurate,,0.040012244704478186,0.5186702099551229,2,False,False,False,nan,nan,nan,,nan
