external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Djurgården,Kalle Holmberg,Elliot Käck,50,49,39.0,75.0,0,3,Pass accurate,,-0.0051372352646508555,0.8616874861721165,1,False,False,False,,,,,
1,Djurgården,Elliot Käck,,35,74,68.0,36.0,2,5,Pass inaccurate,,,0.5181689320448756,1,False,False,False,,,,,
2,Djurgården,Hampus Finndell,,68,36,,,5,10,Lost ball,,,,1,False,False,False,,,,,
3,Örebro,Johan Mårtensson,,31,73,32.0,66.0,5,8,Pass inaccurate,,,0.7101201696860117,1,False,False,False,,,,,
4,Djurgården,Hampus Finndell,,68,34,,,5,10,Interception unsuccesful,,,,1,False,False,False,,,,,
5,Djurgården,Hampus Finndell,,68,34,,,5,10,Challenge successful,,,,1,False,False,False,,,,,
6,Örebro,Nordin Gerzic,,31,69,,,7,12,Tackle successful,,,,1,False,False,False,,,,,
7,Örebro,Nordin Gerzic,,31,69,,,7,12,Challenge unsuccessful,,,,1,False,False,False,,,,,
8,Djurgården,Rasmus Schüller,Magnus Eriksson,67,33,68.0,40.0,9,12,Pass accurate,,3.970949126591572e-05,0.6368332415431799,1,False,False,False,,,,,
9,Djurgården,Magnus Eriksson,Elliot Käck,67,54,67.0,31.0,9,12,Pass accurate,,0.0001987427482107,0.7258904494818208,1,False,False,False,,,,,
10,Djurgården,Magnus Eriksson,,68,40,67.0,54.0,9,12,Carry,,-0.00023845223947661573,,1,False,False,False,,,,,
11,Djurgården,Elliot Käck,Elliot Käck,68,44,62.0,75.0,10,13,Pass accurate,,-0.006540486553898776,0.813538184945492,1,False,False,False,,,,,
12,Djurgården,Elliot Käck,,67,31,68.0,44.0,9,13,Carry,,3.970949126591572e-05,,1,False,False,False,,,,,
13,Djurgården,Elliot Käck,,69,76,91.0,27.0,16,19,Pass into the box,,,,1,False,False,False,,,,,
14,Djurgården,Elliot Käck,,69,76,91.0,27.0,16,19,Pass inaccurate,,,0.5771505811058303,1,False,False,False,,,,,
15,Djurgården,Elliot Käck,,69,76,91.0,27.0,16,19,Cross inacurate,,,0.5771505811058303,1,False,False,False,,,,,
16,Djurgården,Elliot Käck,,62,75,69.0,76.0,10,19,Carry,,0.0049376838474669525,,1,False,False,False,,,,,
17,Örebro,Benjamin Hjertstrand,,9,73,,,17,22,Clearance inaccurate,,,,1,False,False,False,,,,,
18,Djurgården,Aslak Fonn Witry,Edward Chilufya,70,17,87.0,10.0,20,23,Pass accurate,,0.008814354965024605,0.6530011924019318,1,False,False,False,,,,,
19,Djurgården,Edward Chilufya,Aslak Fonn Witry,87,9,77.0,6.0,22,25,Pass accurate,,-0.006001420018364626,0.5655535283607653,1,False,False,False,,,,,
20,Djurgården,Aslak Fonn Witry,Magnus Eriksson,75,6,71.0,29.0,24,27,Pass accurate,,-0.002862623862084447,0.7227927152926804,1,False,False,False,,,,,
21,Djurgården,Magnus Eriksson,,73,24,83.0,24.0,27,30,Pass inaccurate,,,0.6788769346834977,1,False,False,False,,,,,
22,Djurgården,Hampus Finndell,,72,35,,,32,35,Foul,,,,1,False,False,False,,,,,
23,Örebro,Andreas Skovgaard Larsen,Michael Almebäck,24,69,24.0,36.0,43,46,Pass accurate,,0.000410622583821978,0.9218393630630314,1,False,False,False,,,,,
24,Örebro,Michael Almebäck,Hussein Ali,25,37,32.0,6.0,46,49,Pass accurate,,-0.0020804594638705216,0.8215296189961078,1,False,False,False,,,,,
