external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Varbergs BoIS FC,home,Tashreeq Matthews,Oliver Stanisic,51,50,29.0,51.0,0,3,pass accurate,,-0.005153687985360585,0.9077521422162625,1,False,False,False,nan,nan,nan,,nan
1,Varbergs BoIS FC,home,Oliver Stanisic,Ryan Moon,30,50,68.0,83.0,4,7,pass accurate,,0.011688256343633272,0.4720384548819866,1,False,False,False,nan,nan,nan,,nan
2,Varbergs BoIS FC,home,Ryan Moon,,67,83,68.0,86.0,6,9,pass inaccurate,,,0.2629527796586184,1,False,False,False,nan,nan,nan,,nan
3,IK Sirius FK,away,Nahom Girmai Netabay,,32,14,,,7,10,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
4,IK Sirius FK,away,Nahom Girmai Netabay,,32,14,,,7,10,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
5,Varbergs BoIS FC,home,Ryan Moon,,68,86,,,7,10,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
6,Varbergs BoIS FC,home,Ryan Moon,,68,86,,,7,10,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
7,IK Sirius FK,away,Patrick Nwadike,,20,19,,,8,13,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
8,Varbergs BoIS FC,home,Jean Carlos De Brito,,91,95,,,11,36,final third entry,,,,1,False,False,False,nan,nan,nan,,nan
9,Varbergs BoIS FC,home,Hampus Zackrisson,Jean Carlos De Brito,48,83,56.0,94.0,12,15,pass accurate,,0.0002704681622985247,0.8262385436530236,1,False,False,False,nan,nan,nan,,nan
10,Varbergs BoIS FC,home,Jean Carlos De Brito,,72,94,,,16,26,dribble successful,,,,1,False,False,False,nan,nan,nan,,nan
11,Varbergs BoIS FC,home,Jean Carlos De Brito,,56,94,72.0,94.0,12,26,carry,,0.006608750615073319,,1,False,False,False,nan,nan,nan,,nan
12,Varbergs BoIS FC,home,Jean Carlos De Brito,,91,95,91.0,58.0,20,23,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
13,Varbergs BoIS FC,home,Jean Carlos De Brito,,91,95,91.0,58.0,20,23,pass inaccurate,,,0.5361081442100412,1,False,False,False,nan,nan,nan,,nan
14,Varbergs BoIS FC,home,Jean Carlos De Brito,,91,95,91.0,58.0,20,23,cross inacurate,,,0.5361081442100412,1,False,False,False,nan,nan,nan,,nan
15,IK Sirius FK,away,Patrick Nwadike,,9,42,,,21,26,interception unsuccesful,,,,1,False,False,False,nan,nan,nan,,nan
16,IK Sirius FK,away,Patrick Nwadike,,9,42,,,21,26,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
17,IK Sirius FK,away,Patrick Nwadike,,9,55,,,23,28,block unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
18,Varbergs BoIS FC,home,Luke Le Roux,,80,34,,,24,27,blocked shot,0.025011366510389165,,,1,False,False,False,nan,nan,nan,True,nan
19,Varbergs BoIS FC,home,Luke Le Roux,,80,34,,,24,27,shot,0.025011366510389165,,,1,False,False,False,nan,nan,right foot,True,nan
20,Varbergs BoIS FC,home,Jean Carlos De Brito,,100,0,95.0,48.0,114,124,right corner inaccurate,,,,2,False,False,False,corner,cleared,nan,,nan
21,IK Sirius FK,away,Marcus Klingenberg Mathisen,,5,52,,,117,122,clearance inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
22,Varbergs BoIS FC,home,Tashreeq Matthews,Robin Tranberg,70,73,80.0,34.0,122,125,pass accurate,,0.008477060984479947,0.5708151726235432,3,False,False,False,corner,nan,nan,,nan
23,IK Sirius FK,away,Laorent Shabani,,19,64,,,125,128,air challenge successful,,,,3,False,False,False,nan,nan,nan,,nan
24,IK Sirius FK,away,Laorent Shabani,,19,64,,,125,128,challenge successful,,,,3,False,False,False,nan,nan,nan,,nan
