external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,BK Häcken,Alexander Faltsetas,Johan Hammar,50,51,31.0,47.0,0,3,Pass accurate,,-0.0049890352941342146,0.8913926315812905,1,False,False,False,,,,,
1,BK Häcken,Johan Hammar,Leo Bengtsson,33,46,67.0,88.0,2,5,Pass accurate,,0.008138846488666559,0.5282453311935719,1,False,False,False,,,,,
2,BK Häcken,Leo Bengtsson,,67,88,,,6,9,Air challenge unsuccessful,,,,1,False,False,False,,,,,
3,BK Häcken,Leo Bengtsson,,67,88,,,6,9,Challenge unsuccessful,,,,1,False,False,False,,,,,
4,IK Sirius FK,Tim Björkström,,32,13,,,6,9,Air challenge successful,,,,1,False,False,False,,,,,
5,IK Sirius FK,Tim Björkström,,32,13,,,6,9,Challenge successful,,,,1,False,False,False,,,,,
6,IK Sirius FK,Tim Björkström,,30,15,16.0,1.0,7,10,Pass inaccurate,,,0.9604722061240341,1,False,False,False,,,,,
7,BK Häcken,Martin Olsson,Alexander Jeremejeff,84,99,83.0,90.0,27,30,Pass accurate,,-0.006214435802851855,0.6668840895190022,1,False,False,False,,,,,
8,BK Häcken,Alexander Jeremejeff,Rasmus Lindgren,82,90,62.0,89.0,28,31,Pass accurate,,-0.009613284787725596,0.8167612774138513,1,False,False,False,,,,,
9,BK Häcken,Rasmus Lindgren,Johan Hammar,63,82,49.0,53.0,32,35,Pass accurate,,-0.003998948396048061,0.8281573338949886,1,False,False,False,,,,,
10,BK Häcken,Johan Hammar,Godswill Ekpolo,49,55,55.0,25.0,35,38,Pass accurate,,0.002345305279688171,0.8272214542435061,1,False,False,False,,,,,
11,BK Häcken,Godswill Ekpolo,Johan Hammar,55,26,36.0,53.0,36,39,Pass accurate,,-0.0038538334259138156,0.8646950098923822,1,False,False,False,,,,,
12,BK Häcken,Johan Hammar,Rasmus Lindgren,38,57,37.0,80.0,38,41,Pass accurate,,-0.0012312898432579305,0.8720001885852388,1,False,False,False,,,,,
13,BK Häcken,Rasmus Lindgren,Pontus Dahlberg,33,80,10.0,59.0,41,44,Pass accurate,,-0.00035052702033209863,0.9378059101039934,1,False,False,False,,,,,
14,BK Häcken,Pontus Dahlberg,,15,55,45.0,38.0,46,49,Pass inaccurate,,,0.6848086219482209,1,False,False,False,,,,,
15,IK Sirius FK,Marcus Klingenberg Mathisen,,55,62,56.0,60.0,49,52,Pass inaccurate,,,0.2330256050685722,1,False,False,False,,,,,
16,BK Häcken,Bénie Adama Traore,,44,40,,,50,53,Air challenge successful,,,,1,False,False,False,,,,,
17,BK Häcken,Bénie Adama Traore,,44,40,,,50,53,Challenge successful,,,,1,False,False,False,,,,,
18,IK Sirius FK,Marcus Klingenberg Mathisen,,54,62,,,50,53,Air challenge unsuccessful,,,,1,False,False,False,,,,,
19,IK Sirius FK,Marcus Klingenberg Mathisen,,54,62,,,50,53,Challenge unsuccessful,,,,1,False,False,False,,,,,
