external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Kalmar FF,Oliver Berg,Carl Gustafsson,48,50,43.0,48.0,0,3,Pass accurate,,2.7625855668188953e-05,0.7947400708406895,1,False,False,False,,,,,
1,Kalmar FF,Carl Gustafsson,Lars Saetra,42,39,32.0,24.0,1,4,Pass accurate,,-0.003745236774079159,0.8921992679691876,1,False,False,False,,,,,
2,Kalmar FF,Lars Saetra,Rasmus Sjöstedt,32,22,29.0,44.0,4,7,Pass accurate,,0.0011306395095190824,0.881962430638653,1,False,False,False,,,,,
3,Kalmar FF,Rasmus Sjöstedt,Douglas Bergqvist,31,44,29.0,74.0,6,9,Pass accurate,,-0.0007967997868467257,0.8827269606531181,1,False,False,False,,,,,
4,Kalmar FF,Douglas Bergqvist,Sebastian Ring,30,72,35.0,87.0,9,12,Pass accurate,,0.0006439532062550383,0.8565365547329258,1,False,False,False,,,,,
5,Kalmar FF,Sebastian Ring,Rasmus Sjöstedt,36,88,28.0,43.0,11,14,Pass accurate,,0.0018155631268219306,0.9036415632148188,1,False,False,False,,,,,
6,Kalmar FF,Rasmus Sjöstedt,Piotr Johansson,30,48,35.0,14.0,14,17,Pass accurate,,0.0001485876485222467,0.8641319160685494,1,False,False,False,,,,,
7,Kalmar FF,Piotr Johansson,Lars Saetra,39,12,31.0,14.0,18,21,Pass accurate,,-9.746437644029757e-05,0.864798640323335,1,False,False,False,,,,,
8,Kalmar FF,Lars Saetra,Rasmus Sjöstedt,35,19,27.0,30.0,20,23,Pass accurate,,-0.0005476237684746664,0.9148953851286727,1,False,False,False,,,,,
9,Kalmar FF,Rasmus Sjöstedt,Romario Pereira Sipiao,31,29,41.0,29.0,22,25,Pass accurate,,0.001300329741981767,0.8057704851399965,1,False,False,False,,,,,
10,Kalmar FF,Romario Pereira Sipiao,Lars Saetra,32,47,30.0,28.0,23,26,Pass accurate,,-0.0003990361199524197,0.9043650864734263,1,False,False,False,,,,,
11,Kalmar FF,Lars Saetra,Piotr Johansson,33,20,45.0,12.0,26,29,Pass accurate,,0.001423500293650775,0.8035861023364038,1,False,False,False,,,,,
12,Kalmar FF,Piotr Johansson,Lars Saetra,48,13,35.0,14.0,28,31,Pass accurate,,-0.001399699678921791,0.8690071511581701,1,False,False,False,,,,,
13,Kalmar FF,Lars Saetra,Rasmus Sjöstedt,35,16,30.0,35.0,32,35,Pass accurate,,-0.0005476237684746664,0.8885652553011086,1,False,False,False,,,,,
14,Kalmar FF,Rasmus Sjöstedt,Douglas Bergqvist,30,44,29.0,67.0,33,36,Pass accurate,,-0.0007967997868467257,0.8766332856334041,1,False,False,False,,,,,
15,Kalmar FF,Douglas Bergqvist,Sebastian Ring,29,74,35.0,81.0,36,39,Pass accurate,,0.0006439532062550383,0.8440756891669933,1,False,False,False,,,,,
16,Kalmar FF,Sebastian Ring,Filip Sachpekidis,33,89,57.0,95.0,38,41,Pass accurate,,0.004661192441313737,0.6612278867837007,1,False,False,False,,,,,
17,Kalmar FF,Filip Sachpekidis,Romario Pereira Sipiao,35,87,33.0,77.0,44,47,Pass accurate,,-0.0015837992739677984,0.870885954620268,1,False,False,False,,,,,
18,Kalmar FF,Romario Pereira Sipiao,Lars Saetra,31,77,35.0,26.0,48,51,Pass accurate,,0.0026379394765888332,0.8363328360891038,1,False,False,False,,,,,
19,Kalmar FF,Lars Saetra,,42,14,96.0,11.0,53,56,Pass inaccurate,,,0.2980612851644424,1,False,False,False,,,,,
20,IFK Göteborg,Alexander Jallow,,4,89,,,57,62,Clearance inaccurate,,,,1,False,False,False,,,,,
21,Kalmar FF,Carl Gustafsson,,97,5,95.0,45.0,93,103,Right corner inaccurate,,,,2,False,False,False,Corner,Cleared,,,
22,IFK Göteborg,Kolbeinn Sigþórsson,,5,55,,,96,101,Clearance accurate,,,,2,False,False,False,,,,,
23,IFK Göteborg,Alhassan Yusuf Abdullahi,Simon Thern,64,68,65.0,53.0,107,110,Pass accurate,,0.0010134443404456288,0.7684317022145221,2,False,False,False,,,,,
