external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Djurgården,Curtis Edwards,Jacob Une Larsson,51,50,32.0,49.0,0,2,pass accurate,,-0.0049890352941342146,0.8821105643271655,1,False,False,False,nan,nan,nan,,nan
1,Djurgården,Jacob Une Larsson,,32,50,93.0,87.0,2,4,pass inaccurate,,,0.3973934424033201,1,False,False,False,nan,nan,nan,,nan
2,IF Elfsborg,Johan Larsson,,7,13,0.0,3.0,7,9,pass inaccurate,,,0.907241963256775,1,False,False,False,nan,nan,nan,,nan
3,Djurgården,Magnus Eriksson,,100,97,97.0,66.0,26,36,left corner inaccurate,,,,1,False,False,False,corner,cleared,nan,,nan
4,IF Elfsborg,Frederik Holst,,3,34,,,30,35,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
5,Djurgården,Magnus Eriksson,,100,97,91.0,39.0,48,58,left corner inaccurate,,,,1,False,False,False,corner,cleared,nan,,nan
6,IF Elfsborg,Simon Strand,,9,61,,,53,58,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
7,Djurgården,Curtis Edwards,Elliot Käck,76,28,70.0,34.0,56,58,pass accurate,,-0.007567598807833222,0.7730656462802132,1,False,False,False,corner,nan,nan,,nan
8,Djurgården,Elliot Käck,,70,46,85.0,97.0,59,61,pass inaccurate,,,0.7455232927775916,1,False,False,False,corner,nan,nan,,nan
9,Djurgården,Elliot Käck,,70,34,70.0,46.0,56,61,carry,,3.970949126591572e-05,,1,False,False,False,corner,nan,nan,,nan
10,IF Elfsborg,Johan Larsson,Per Frick,15,3,29.0,11.0,77,79,pass accurate,,0.00253709897169678,0.7339876453620464,2,False,False,False,nan,nan,nan,,nan
11,IF Elfsborg,Per Frick,Frederik Holst,31,10,28.0,15.0,78,80,pass accurate,,0.001348856074303859,0.7067634250443647,2,False,False,False,nan,nan,nan,,nan
12,IF Elfsborg,Frederik Holst,,29,16,35.0,24.0,79,81,pass inaccurate,,,0.8333099023680604,2,False,False,False,nan,nan,nan,,nan
13,Djurgården,Jacob Une Larsson,Rasmus Schüller,65,76,66.0,82.0,81,83,pass accurate,,,0.6417540330846547,2,False,False,False,nan,nan,nan,,nan
14,Djurgården,Rasmus Schüller,Aslak Fonn Witry,64,77,61.0,35.0,82,84,pass accurate,,0.0013499900992043033,0.7577266152772762,2,False,False,False,nan,nan,nan,,nan
15,Djurgården,Aslak Fonn Witry,,61,33,90.0,52.0,85,87,pass into the box,,,,2,False,False,False,nan,nan,nan,,nan
16,Djurgården,Aslak Fonn Witry,,61,33,90.0,52.0,85,87,pass inaccurate,,,0.47607209324641825,2,False,False,False,nan,nan,nan,,nan
17,IF Elfsborg,Tim Rönning,André Rømer,10,48,23.0,51.0,92,102,pass accurate,,,,2,False,False,False,nan,nan,nan,,nan
18,IF Elfsborg,Tim Rönning,André Rømer,10,48,23.0,51.0,92,102,goalkeeper throw accurate,,,,2,False,False,False,nan,nan,nan,,nan
19,IF Elfsborg,André Rømer,Joseph Stanley Okumu,22,50,7.0,56.0,97,99,pass accurate,,-1.747445113807998e-05,0.929054541285468,2,False,False,False,nan,nan,nan,,nan
20,IF Elfsborg,Joseph Stanley Okumu,Johan Larsson,7,50,31.0,9.0,99,101,pass accurate,,-0.0007305778287002036,0.6931645694020401,2,False,False,False,nan,nan,nan,,nan
21,IF Elfsborg,Johan Larsson,,31,4,31.0,4.0,102,104,pass inaccurate,,,0.38097149078304937,2,False,False,False,nan,nan,nan,,nan
22,Djurgården,Elliot Käck,,37,98,53.0,94.0,122,124,pass inaccurate,,,0.7992132058772511,3,False,False,False,nan,nan,nan,,nan
23,IF Elfsborg,Rasmus Alm,,47,6,,,123,128,interception succesful,,,,3,False,False,False,nan,nan,nan,,nan
24,IF Elfsborg,Rasmus Alm,,47,6,,,123,128,challenge unsuccessful,,,,3,False,False,False,nan,nan,nan,,nan
25,IF Elfsborg,Rasmus Alm,Robert Gojani,47,6,52.0,20.0,123,125,pass accurate,,0.0038214604816213926,0.758380713813591,3,False,False,False,nan,nan,nan,,nan
26,IF Elfsborg,Robert Gojani,,52,16,77.0,54.0,125,127,pass inaccurate,,,0.45067115964815346,3,False,False,False,nan,nan,nan,,nan
27,Djurgården,Aleksandr Vasiutin,Aslak Fonn Witry,23,46,31.0,30.0,129,131,pass accurate,,0.0009908906741392977,0.8479357473668488,3,False,False,False,nan,nan,nan,,nan
