external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IF Elfsborg,Simon Olsson,Christopher Mc Vey,51,50,34.0,63.0,0,2,Pass accurate,,-0.004393745238107941,0.8821105643271655,1,False,False,False,,,,,
1,IF Elfsborg,Christopher Mc Vey,Per Frick,32,58,73.0,13.0,2,4,Pass accurate,,0.013301038474223648,0.5619870100147254,1,False,False,False,,,,,
2,IF Elfsborg,Per Frick,,73,13,,,4,7,Air challenge unsuccessful,,,,1,False,False,False,,,,,
3,IF Elfsborg,Per Frick,,73,13,,,4,7,Challenge unsuccessful,,,,1,False,False,False,,,,,
4,Kalmar FF,Sebastian Ring,,27,87,,,4,7,Air challenge successful,,,,1,False,False,False,,,,,
5,Kalmar FF,Sebastian Ring,,27,87,,,4,7,Challenge successful,,,,1,False,False,False,,,,,
6,IF Elfsborg,Per Frick,,73,11,81.0,2.0,5,7,Pass inaccurate,,,0.8019502837040924,1,False,False,False,,,,,
7,Kalmar FF,Sebastian Ring,Oliver Berg,19,98,27.0,91.0,17,19,Pass accurate,,0.0011950902385294143,0.8639528993017126,1,False,False,False,,,,,
8,Kalmar FF,Oliver Berg,Sebastian Ring,26,92,16.0,97.0,18,20,Pass accurate,,-0.0023971182482789184,0.9572444849726908,1,False,False,False,,,,,
9,Kalmar FF,Sebastian Ring,Noah Shamoun,19,96,59.0,91.0,18,20,Pass accurate,,0.008539706769436758,0.5542184732000613,1,False,False,False,,,,,
10,IF Elfsborg,Per Frick,,68,19,,,19,23,Offside,,,,1,False,False,False,,,,,
11,Kalmar FF,Noah Shamoun,,61,96,58.0,79.0,24,26,Pass inaccurate,,,0.81263528137597,1,False,False,False,,,,,
12,IF Elfsborg,Andrè Ibsen Rømer,Per Frick,42,21,69.0,20.0,25,27,Pass accurate,,0.011588098455553239,0.5155743379187853,1,False,False,False,,,,,
13,Kalmar FF,Sebastian Ring,Carl Gustafsson,34,82,31.0,76.0,30,32,Pass accurate,,-0.0015837992739677984,0.8077427680964214,1,False,False,False,,,,,
14,Kalmar FF,Carl Gustafsson,Piotr Johansson,31,66,32.0,26.0,33,35,Pass accurate,,0.00039776366689430603,0.8553954773628953,1,False,False,False,,,,,
15,Kalmar FF,Jonathan Ring,,47,13,,,37,42,Lost ball,,,,1,False,False,False,,,,,
16,Kalmar FF,Piotr Johansson,Carl Gustafsson,33,22,33.0,31.0,37,39,Pass accurate,,0.0007316033895666627,0.8379921553346255,1,False,False,False,,,,,
17,Kalmar FF,Carl Gustafsson,,34,26,34.0,26.0,38,40,Pass inaccurate,,,0.2541338654625296,1,False,False,False,,,,,
18,IF Elfsborg,Simon Strand,Christopher Mc Vey,38,98,20.0,93.0,49,51,Pass accurate,,-0.002510623679427981,0.8641681468583241,1,False,False,False,,,,,
19,IF Elfsborg,Christopher Mc Vey,Alexander Bernhardsson,18,94,48.0,48.0,52,54,Pass accurate,,0.006940784070809988,0.6083858337664951,1,False,False,False,,,,,
20,Kalmar FF,Carl Gustafsson,,53,53,,,54,57,Air challenge successful,,,,1,False,False,False,,,,,
21,Kalmar FF,Carl Gustafsson,,53,53,,,54,57,Challenge successful,,,,1,False,False,False,,,,,
22,IF Elfsborg,Alexander Bernhardsson,,47,47,,,54,57,Air challenge unsuccessful,,,,1,False,False,False,,,,,
23,IF Elfsborg,Alexander Bernhardsson,,47,47,,,54,57,Challenge unsuccessful,,,,1,False,False,False,,,,,
24,IF Elfsborg,Alexander Bernhardsson,Per Frick,47,49,57.0,53.0,55,57,Pass accurate,,0.002374438029574138,0.7571517796960572,1,False,False,False,,,,,
25,IF Elfsborg,Per Frick,Simon Olsson,56,53,61.0,71.0,56,58,Pass accurate,,0.0025385633317335232,0.7796409118478956,1,False,False,False,,,,,
26,IF Elfsborg,Simon Olsson,Jeppe Møldrup Okkels,77,68,81.0,80.0,60,62,Pass accurate,,-0.003243340465912216,0.6778998099024323,2,False,False,False,,,,,
27,IF Elfsborg,Simon Olsson,,61,71,77.0,68.0,56,62,Carry,,0.012138768422169276,,1,False,False,False,,,,,
28,IF Elfsborg,Jeppe Møldrup Okkels,Robert Gojani,78,65,74.0,35.0,64,66,Pass accurate,,-0.006579670180464205,0.7460090820726986,2,False,False,False,,,,,
29,IF Elfsborg,Jeppe Møldrup Okkels,,81,80,78.0,65.0,60,66,Carry,,0.003243340465912216,,2,False,False,False,,,,,
30,IF Elfsborg,Robert Gojani,Simon Strand,75,37,72.0,93.0,65,67,Pass accurate,,-0.012515449186739473,0.4880830088509065,2,False,False,False,,,,,
31,IF Elfsborg,Simon Strand,,67,86,97.0,56.0,71,73,Pass into the box,,,,2,False,False,False,,,,,
