external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Mjällby AIF,David Löfquist,Elias Andersson,51,49,44.0,50.0,0,2,Pass accurate,,-0.0023974172751672802,0.8538973399858191,1,False,False,False,,,,,
1,Mjällby AIF,Elias Andersson,,46,51,89.0,8.0,1,3,Pass inaccurate,,,0.5623555367354259,1,False,False,False,,,,,
2,Mjällby AIF,Joel Nilsson,,89,8,,,1,26,Final third entry,,,,1,False,False,False,,,,,
3,Halmstad,Joseph Baffoe,,16,71,,,4,9,Clearance accurate,,,,1,False,False,False,,,,,
4,Mjällby AIF,Jesper Gustavsson,,76,31,,,5,8,Air challenge successful,,,,1,False,False,False,,,,,
5,Mjällby AIF,Jesper Gustavsson,,76,31,,,5,8,Challenge successful,,,,1,False,False,False,,,,,
6,Halmstad,Joel Allansson,,24,69,,,5,8,Air challenge unsuccessful,,,,1,False,False,False,,,,,
7,Halmstad,Joel Allansson,,24,69,,,5,8,Challenge unsuccessful,,,,1,False,False,False,,,,,
8,Halmstad,Joel Allansson,,24,68,10.0,91.0,6,8,Pass inaccurate,,,0.9413323999144418,1,False,False,False,,,,,
9,Mjällby AIF,Joel Nilsson,,90,9,98.0,49.0,10,12,Pass into the box,,,,1,False,False,False,,,,,
10,Mjällby AIF,Joel Nilsson,,90,9,98.0,49.0,10,12,Pass inaccurate,,,0.1778737035750041,1,False,False,False,,,,,
11,Mjällby AIF,Joel Nilsson,,90,9,98.0,49.0,10,12,Cross inacurate,,,0.1778737035750041,1,False,False,False,,,,,
12,Halmstad,Malkolm Nilsson Säfqvist,,2,51,,,11,16,Interception succesful,,,,1,False,False,False,,,,,
13,Halmstad,Malkolm Nilsson Säfqvist,,2,51,,,11,16,Challenge unsuccessful,,,,1,False,False,False,,,,,
14,Halmstad,Malkolm Nilsson Säfqvist,,17,30,66.0,25.0,25,35,Pass inaccurate,,,,1,False,False,False,,,,,
15,Halmstad,Malkolm Nilsson Säfqvist,,17,30,66.0,25.0,25,35,Goalkeeper kick inaccurate,,,,1,False,False,False,,,,,
16,Halmstad,Sadat Karim,,66,25,,,31,34,Air challenge successful,,,,1,False,False,False,,,,,
17,Halmstad,Sadat Karim,,66,25,,,31,34,Challenge successful,,,,1,False,False,False,,,,,
18,Mjällby AIF,Carlos Moros Gracia,,34,76,,,31,36,Clearance inaccurate,,,,1,False,False,False,,,,,
19,Mjällby AIF,Carlos Moros Gracia,,34,75,,,31,34,Air challenge unsuccessful,,,,1,False,False,False,,,,,
20,Mjällby AIF,Carlos Moros Gracia,,34,75,,,31,34,Challenge unsuccessful,,,,1,False,False,False,,,,,
21,Halmstad,Samuel Kroon,Sadat Karim,62,18,66.0,19.0,34,36,Pass accurate,,,0.6094668108527248,1,False,False,False,,,,,
22,Halmstad,Sadat Karim,Edvin Kurtulus,67,4,64.0,7.0,40,42,Pass accurate,,-0.004792399647438217,0.5080523555133325,1,False,False,False,,,,,
23,Halmstad,Sadat Karim,,66,19,67.0,4.0,34,42,Carry,,0.0027287035445963045,,1,False,False,False,,,,,
24,Halmstad,Edvin Kurtulus,,66,4,95.0,43.0,41,43,Pass into the box,,,,1,False,False,False,,,,,
25,Halmstad,Edvin Kurtulus,,66,4,95.0,43.0,41,43,Pass inaccurate,,,0.2825178418183285,1,False,False,False,,,,,
26,Mjällby AIF,Carljohan Eriksson,Jacob Bergström,5,57,44.0,83.0,53,63,Pass accurate,,,,1,False,False,False,,,,,
27,Mjällby AIF,Carljohan Eriksson,Jacob Bergström,5,57,44.0,83.0,53,63,Goalkeeper kick accurate,,,,1,False,False,False,,,,,
28,Mjällby AIF,Jacob Bergström,,43,83,55.0,99.0,60,62,Pass inaccurate,,,0.18202404933541844,2,False,False,False,,,,,
29,Halmstad,Edvin Kurtulus,,45,1,72.0,7.0,67,69,Pass inaccurate,,,0.537739648797783,2,False,False,False,,,,,
30,Mjällby AIF,Ivan Kričak,,28,93,,,69,74,Interception succesful,,,,2,False,False,False,,,,,
31,Mjällby AIF,Ivan Kričak,,28,93,,,69,74,Challenge unsuccessful,,,,2,False,False,False,,,,,
32,Mjällby AIF,Jesper Gustavsson,,31,84,12.0,97.0,71,73,Pass inaccurate,,,0.9644709975297489,2,False,False,False,,,,,
33,Halmstad,Sadat Karim,,88,3,89.0,53.0,76,78,Pass into the box,,,,2,False,False,False,,,,,
34,Halmstad,Sadat Karim,,88,3,89.0,53.0,76,78,Pass inaccurate,,,0.43498739252180196,2,False,False,False,,,,,
35,Halmstad,Sadat Karim,,88,3,89.0,53.0,76,78,Cross inacurate,,,0.43498739252180196,2,False,False,False,,,,,
36,Mjällby AIF,Carljohan Eriksson,Carlos Moros Gracia,11,47,12.0,60.0,81,91,Pass accurate,,,,2,False,False,False,,,,,
37,Mjällby AIF,Carljohan Eriksson,Carlos Moros Gracia,11,47,12.0,60.0,81,91,Goalkeeper throw accurate,,,,2,False,False,False,,,,,
38,Mjällby AIF,Carlos Moros Gracia,Ivan Kričak,12,62,15.0,87.0,87,89,Pass accurate,,-0.002098803151684909,0.9178007706082371,2,False,False,False,,,,,
39,Mjällby AIF,Ivan Kričak,Noah Persson,21,87,27.0,94.0,89,91,Pass accurate,,1.1340439885558842e-05,0.9055225940114293,2,False,False,False,,,,,
40,Halmstad,Edvin Kurtulus,,72,6,,,89,94,Interception unsuccesful,,,,2,False,False,False,,,,,
41,Halmstad,Edvin Kurtulus,,72,6,,,89,94,Challenge successful,,,,2,False,False,False,,,,,
42,Mjällby AIF,Noah Persson,,24,96,34.0,96.0,90,92,Pass inaccurate,,,0.08746040665492902,2,False,False,False,,,,,
43,Mjällby AIF,Ivan Kričak,Elias Andersson,23,97,24.0,86.0,98,100,Pass accurate,,0.0011837497986438555,0.9103724873772946,2,False,False,False,,,,,
44,Mjällby AIF,Elias Andersson,,24,88,31.0,75.0,99,101,Pass inaccurate,,,0.8303345226944686,2,False,False,False,,,,,
45,Mjällby AIF,Carlos Moros Gracia,,31,75,,,102,107,Interception succesful,,,,2,False,False,False,,,,,
46,Mjällby AIF,Carlos Moros Gracia,,31,75,,,102,107,Challenge unsuccessful,,,,2,False,False,False,,,,,
47,Halmstad,Edvin Kurtulus,,64,20,69.0,17.0,102,104,Pass inaccurate,,,0.6396128837187968,2,False,False,False,,,,,
48,Mjällby AIF,Ivan Kričak,Jesper Gustavsson,31,83,34.0,69.0,104,106,Pass accurate,,0.00233193591058576,0.8456385493327376,2,False,False,False,,,,,
49,Halmstad,Emil Tot Wikström,,68,59,,,106,111,Interception unsuccesful,,,,2,False,False,False,,,,,
50,Halmstad,Emil Tot Wikström,,68,59,,,106,111,Challenge successful,,,,2,False,False,False,,,,,
51,Mjällby AIF,Jesper Gustavsson,,32,66,42.0,66.0,107,109,Pass inaccurate,,,0.8216261849632146,2,False,False,False,,,,,
52,Mjällby AIF,Jesper Gustavsson,Joel Nilsson,31,49,36.0,20.0,109,111,Pass accurate,,0.0001485876485222467,0.8630044865185494,2,False,False,False,,,,,
53,Mjällby AIF,Joel Nilsson,Jesper Gustavsson,49,11,37.0,21.0,114,116,Pass accurate,,-0.00014427313560944587,0.8690071511581701,2,False,False,False,,,,,
54,Mjällby AIF,Jesper Gustavsson,Elias Andersson,39,19,41.0,31.0,115,117,Pass accurate,,0.0007527059735071007,0.8319383658348596,2,False,False,False,,,,,
55,Mjällby AIF,Noah Persson,,85,97,,,118,143,Final third entry,,,,2,False,False,False,,,,,
56,Mjällby AIF,Elias Andersson,Ivan Kričak,39,39,38.0,81.0,119,121,Pass accurate,,-0.001318561886609738,0.8245886113356217,2,False,False,False,,,,,
57,Mjällby AIF,Ivan Kričak,Noah Persson,68,85,75.0,94.0,125,127,Pass accurate,,0.0023032010985055418,0.7554098998968806,3,False,False,False,,,,,
58,Mjällby AIF,Ivan Kričak,,38,81,68.0,85.0,119,127,Carry,,0.011676450232998589,,2,False,False,False,,,,,
