external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Varbergs BoIS FC,Albin Mörfelt,Joakim Lindner,49,50,29.0,45.0,0,2,Pass accurate,,-0.0025869714088918878,0.9069476952091619,1,False,False,False,,,,,
1,Varbergs BoIS FC,Joakim Lindner,,29,48,75.0,72.0,2,4,Pass inaccurate,,,0.41484269811482455,1,False,False,False,,,,,
2,Mjällby AIF,Max Watson,,25,28,,,4,9,Clearance inaccurate,,,,1,False,False,False,,,,,
3,Varbergs BoIS FC,Albin Mörfelt,Robin Simovic,69,71,74.0,71.0,7,9,Pass accurate,,,0.6483703340195754,1,False,False,False,,,,,
4,Varbergs BoIS FC,Robin Simovic,Albin Mörfelt,76,68,74.0,76.0,7,9,Pass accurate,,-0.008142763395630113,0.6820294524326693,1,False,False,False,,,,,
5,Varbergs BoIS FC,Albin Mörfelt,Adama Fofana,85,85,91.0,95.0,10,12,Pass accurate,,-0.001191926604358462,0.6132268669322736,1,False,False,False,,,,,
6,Varbergs BoIS FC,Albin Mörfelt,,74,76,85.0,85.0,7,12,Carry,,0.009709563505715859,,1,False,False,False,,,,,
7,Varbergs BoIS FC,Adama Fofana,,93,94,,,11,16,Lost ball,,,,1,False,False,False,,,,,
8,Mjällby AIF,Joel Nilsson,,8,4,,,12,17,Tackle successful,,,,1,False,False,False,,,,,
9,Mjällby AIF,Joel Nilsson,,8,4,,,12,17,Challenge unsuccessful,,,,1,False,False,False,,,,,
10,Mjällby AIF,Max Watson,Jacob Bergström,10,1,34.0,16.0,28,30,Pass accurate,,0.005165182204041968,0.6570965440760478,1,False,False,False,,,,,
11,Varbergs BoIS FC,Albert Ejupi,,69,83,,,29,32,Air challenge successful,,,,1,False,False,False,,,,,
12,Varbergs BoIS FC,Albert Ejupi,,69,83,,,29,32,Challenge successful,,,,1,False,False,False,,,,,
13,Mjällby AIF,Jacob Bergström,,31,17,,,29,32,Air challenge unsuccessful,,,,1,False,False,False,,,,,
14,Mjällby AIF,Jacob Bergström,,31,17,,,29,32,Challenge unsuccessful,,,,1,False,False,False,,,,,
15,Mjällby AIF,Jacob Bergström,Joel Nilsson,32,22,30.0,8.0,31,33,Pass accurate,,-0.001348856074303859,0.8868058699481887,1,False,False,False,,,,,
16,Mjällby AIF,Joel Nilsson,,29,8,80.0,21.0,31,33,Pass inaccurate,,,0.38644568688017844,1,False,False,False,,,,,
17,Varbergs BoIS FC,August Strömberg,Jon Birkfeldt,20,79,20.0,70.0,38,40,Pass accurate,,0.0010631523729679182,0.9066614280991511,1,False,False,False,,,,,
18,Varbergs BoIS FC,Jon Birkfeldt,,27,65,64.0,100.0,42,44,Pass inaccurate,,,0.11342707522328252,1,False,False,False,,,,,
19,Mjällby AIF,Max Watson,Jesper Gustavsson,36,0,35.0,20.0,53,55,Pass accurate,,0.0011817627816010316,0.860222770001047,1,False,False,False,,,,,
20,Mjällby AIF,Jesper Gustavsson,Max Watson,34,21,35.0,5.0,54,56,Pass accurate,,-0.0011817627816010316,0.8943175917027211,1,False,False,False,,,,,
21,Mjällby AIF,Max Watson,,34,4,43.0,14.0,55,57,Pass inaccurate,,,0.7781639024924196,1,False,False,False,,,,,
22,Varbergs BoIS FC,Adama Fofana,,57,86,,,55,60,Interception unsuccesful,,,,1,False,False,False,,,,,
23,Varbergs BoIS FC,Adama Fofana,,57,86,,,55,60,Challenge successful,,,,1,False,False,False,,,,,
24,Mjällby AIF,Joel Nilsson,,38,4,50.0,10.0,58,60,Pass inaccurate,,,0.713429217028602,1,False,False,False,,,,,
