external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Malmö FF,away,Antonio Mirko Colak,Lasse Ladegaard Nielsen,49,51,29.0,64.0,0,1,pass accurate,,-0.0033837711957386135,0.9077521422162625,1,False,False,False,nan,nan,nan,,nan
1,Malmö FF,away,Lasse Ladegaard Nielsen,Eric Larsson,30,52,53.0,20.0,1,3,pass accurate,,0.004278973956979456,0.6899539487422657,1,False,False,False,nan,nan,nan,,nan
2,Malmö FF,away,Eric Larsson,Jo Inge Berget,59,21,66.0,7.0,4,6,pass accurate,,-0.0020636961028419123,0.8172676874579978,1,False,False,False,nan,nan,nan,,nan
3,Malmö FF,away,Eric Larsson,,53,20,59.0,21.0,1,6,carry,,0.0033100214364374,,1,False,False,False,nan,nan,nan,,nan
4,Malmö FF,away,Jo Inge Berget,,68,4,76.0,28.0,5,7,pass inaccurate,,,0.6221171696141018,1,False,False,False,nan,nan,nan,,nan
5,Östersund,home,Eirik Haugan,,24,72,,,6,11,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
6,Malmö FF,away,Jo Inge Berget,Veljko Birmančević,69,2,91.0,7.0,11,13,pass accurate,,0.011797694501235093,0.5993110586282856,1,False,False,False,nan,nan,nan,,nan
7,Östersund,home,Patrick Kpozo,,7,92,,,13,18,tackle unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
8,Östersund,home,Patrick Kpozo,,7,92,,,13,18,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
9,Malmö FF,away,Jo Inge Berget,Eric Larsson,94,2,82.0,7.0,22,24,pass accurate,,-0.03199883387896518,0.7175005931770672,1,False,False,False,nan,nan,nan,,nan
10,Malmö FF,away,Eric Larsson,Jo Inge Berget,88,4,77.0,9.0,25,27,pass accurate,,-0.006001420018364626,0.5818456244519936,1,False,False,False,nan,nan,nan,,nan
11,Malmö FF,away,Eric Larsson,,82,7,88.0,4.0,22,27,carry,,0.006001420018364626,,1,False,False,False,nan,nan,nan,,nan
12,Malmö FF,away,Jo Inge Berget,Lasse Ladegaard Nielsen,76,4,66.0,12.0,27,29,pass accurate,,-0.010588674130308683,0.7538509256282356,1,False,False,False,nan,nan,nan,,nan
13,Malmö FF,away,Lasse Ladegaard Nielsen,Bonke Innocent,66,10,65.0,30.0,29,31,pass accurate,,0.0025752633047956795,0.7562902017316454,1,False,False,False,nan,nan,nan,,nan
14,Malmö FF,away,Bonke Innocent,Franz Brorsson,64,31,45.0,48.0,31,33,pass accurate,,-0.0053213126395841755,0.86025694036551,1,False,False,False,nan,nan,nan,,nan
15,Malmö FF,away,Franz Brorsson,Lasse Ladegaard Nielsen,45,48,40.0,22.0,35,37,pass accurate,,-0.00246600961603783,0.8723365048389043,1,False,False,False,nan,nan,nan,,nan
16,Malmö FF,away,Lasse Ladegaard Nielsen,Eric Larsson,40,20,51.0,8.0,38,40,pass accurate,,0.00232192688605699,0.7610862334007079,1,False,False,False,nan,nan,nan,,nan
17,Malmö FF,away,Eric Larsson,Erdal Rakip,52,6,61.0,22.0,40,42,pass accurate,,0.004953828167611248,0.7254073905338217,1,False,False,False,nan,nan,nan,,nan
18,Malmö FF,away,Erdal Rakip,,61,22,69.0,3.0,40,42,pass inaccurate,,,0.7473905776580335,1,False,False,False,nan,nan,nan,,nan
19,Östersund,home,Patrick Kpozo,,31,97,47.0,96.0,64,66,pass inaccurate,,,0.4449497607292854,2,False,False,False,nan,nan,nan,,nan
20,Östersund,home,Blair Sebastian Turgott,,47,96,,,65,68,air challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
21,Östersund,home,Blair Sebastian Turgott,,47,96,,,65,68,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
22,Malmö FF,away,Bonke Innocent,,53,4,,,65,68,air challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
23,Malmö FF,away,Bonke Innocent,,53,4,,,65,68,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
24,Malmö FF,away,Bonke Innocent,,54,3,,,65,70,interception unsuccesful,,,,2,False,False,False,nan,nan,nan,,nan
25,Malmö FF,away,Bonke Innocent,,54,3,,,65,70,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
26,Östersund,home,Blair Sebastian Turgott,,62,85,,,66,76,dribble unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
27,Östersund,home,Blair Sebastian Turgott,,62,84,,,68,73,lost ball,,,,2,False,False,False,nan,nan,nan,,nan
28,Malmö FF,away,Anders Bleg Christiansen,Lasse Ladegaard Nielsen,33,18,28.0,26.0,70,72,pass accurate,,0.0007316033895666627,0.8913165903199064,2,False,False,False,nan,nan,nan,,nan
29,Malmö FF,away,Lasse Ladegaard Nielsen,Johan Dahlin,29,24,8.0,50.0,73,75,pass accurate,,-0.0006182782456036554,0.9332305564171144,2,False,False,False,nan,nan,nan,,nan
30,Malmö FF,away,Johan Dahlin,Lasse Ladegaard Nielsen,6,49,8.0,21.0,76,78,pass accurate,,-0.0035974943089449717,0.9240728564160661,2,False,False,False,nan,nan,nan,,nan
31,Malmö FF,away,Lasse Ladegaard Nielsen,Franz Brorsson,10,26,18.0,73.0,78,80,pass accurate,,0.0003809369199723883,0.8997708070081679,2,False,False,False,nan,nan,nan,,nan
32,Malmö FF,away,Franz Brorsson,,36,79,75.0,99.0,88,90,pass inaccurate,,,0.1293304654845962,2,False,False,False,nan,nan,nan,,nan
33,Malmö FF,away,Franz Brorsson,,18,73,36.0,79.0,78,90,carry,,0.0019264380540464504,,2,False,False,False,nan,nan,nan,,nan
34,Östersund,home,Samuel Laryea Mensiro,Nikolaos Dosis,25,1,27.0,9.0,98,100,pass accurate,,,0.6289881435750175,2,False,False,False,nan,nan,nan,,nan
35,Östersund,home,Nikolaos Dosis,Samuel Laryea Mensiro,25,11,23.0,2.0,99,101,pass accurate,,-0.0013203561167510723,0.9412964277085665,2,False,False,False,nan,nan,nan,,nan
36,Malmö FF,away,Anders Bleg Christiansen,,75,94,,,99,104,interception unsuccesful,,,,2,False,False,False,nan,nan,nan,,nan
37,Malmö FF,away,Anders Bleg Christiansen,,75,94,,,99,104,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
38,Östersund,home,Samuel Laryea Mensiro,,21,4,25.0,1.0,100,102,pass inaccurate,,,0.8700764402554292,2,False,False,False,nan,nan,nan,,nan
39,Östersund,home,Samuel Laryea Mensiro,Blair Sebastian Turgott,25,1,33.0,9.0,112,114,pass accurate,,,0.678363404560434,2,False,False,False,nan,nan,nan,,nan
40,Östersund,home,Blair Sebastian Turgott,,34,9,46.0,18.0,113,115,pass inaccurate,,,0.7059416686568619,2,False,False,False,nan,nan,nan,,nan
41,Malmö FF,away,Lasse Ladegaard Nielsen,Eric Larsson,54,82,44.0,58.0,116,118,pass accurate,,-0.0008101573935974556,0.8553786229621089,2,False,False,False,nan,nan,nan,,nan
42,Malmö FF,away,Eric Larsson,Franz Brorsson,45,58,54.0,88.0,119,121,pass accurate,,-0.001056875535298648,0.790123353549014,2,False,False,False,nan,nan,nan,,nan
43,Malmö FF,away,Franz Brorsson,Søren Rieks,66,78,66.0,95.0,125,127,pass accurate,,-0.002372399841753102,0.8074405170226766,3,False,False,False,nan,nan,nan,,nan
44,Malmö FF,away,Franz Brorsson,,54,88,66.0,78.0,119,127,carry,,0.005055823931346709,,2,False,False,False,nan,nan,nan,,nan
45,Malmö FF,away,Søren Rieks,,68,96,74.0,90.0,126,128,pass inaccurate,,,0.7190349624557482,3,False,False,False,nan,nan,nan,,nan
46,Östersund,home,Samuel Laryea Mensiro,,26,10,,,127,132,clearance inaccurate,,,,3,False,False,False,nan,nan,nan,,nan
47,Malmö FF,away,Søren Rieks,,73,99,90.0,73.0,132,134,pass into the box,,,,3,False,False,False,nan,nan,nan,,nan
48,Malmö FF,away,Søren Rieks,,73,99,90.0,73.0,132,134,pass inaccurate,,,0.5798900334212664,3,False,False,False,nan,nan,nan,,nan
49,Östersund,home,Noah Sonko Sundberg,,10,27,,,134,139,clearance inaccurate,,,,3,False,False,False,nan,nan,nan,,nan
50,Malmö FF,away,Anders Bleg Christiansen,,98,100,91.0,49.0,152,162,left corner inaccurate,,,,3,False,False,False,corner,cleared,nan,,nan
51,Östersund,home,Eirik Haugan,,9,51,,,157,162,clearance inaccurate,,,,3,False,False,False,nan,nan,nan,,nan
52,Malmö FF,away,Eric Larsson,,72,34,84.0,38.0,161,163,pass into the box,,,,3,False,False,False,corner,nan,nan,,nan
53,Malmö FF,away,Eric Larsson,,72,34,84.0,38.0,161,163,pass inaccurate,,,0.6379009416445426,3,False,False,False,corner,nan,nan,,nan
54,Östersund,home,Marco Weymans,,16,62,,,162,167,clearance accurate,,,,3,False,False,False,nan,nan,nan,,nan
55,Östersund,home,Frank Arhin,,20,71,28.0,61.0,164,166,pass inaccurate,,,0.8470395170428978,3,False,False,False,nan,nan,nan,,nan
56,Malmö FF,away,Eric Larsson,Bonke Innocent,72,39,51.0,48.0,166,168,pass accurate,,-0.008142017674779557,0.8383904872957763,3,False,False,False,corner,nan,nan,,nan
57,Malmö FF,away,Bonke Innocent,Lasse Ladegaard Nielsen,51,45,67.0,7.0,169,171,pass accurate,,0.0051686575627276216,0.7226544198515978,3,False,False,False,nan,nan,nan,,nan
58,Malmö FF,away,Lasse Ladegaard Nielsen,Erdal Rakip,68,6,72.0,6.0,172,174,pass accurate,,,0.32364260903867703,3,False,False,False,nan,nan,nan,,nan
59,Malmö FF,away,Erdal Rakip,Veljko Birmančević,72,4,70.0,15.0,175,177,pass accurate,,0.0029833395362104873,0.7256982048162135,3,False,False,False,nan,nan,nan,,nan
60,Malmö FF,away,Veljko Birmančević,,74,31,,,177,182,lost ball,,,,3,False,False,False,nan,nan,nan,,nan
61,Malmö FF,away,Veljko Birmančević,,70,15,74.0,31.0,175,182,carry,,-4.968891542446799e-05,,3,False,False,False,nan,nan,nan,,nan
62,Östersund,home,Charlie Colkett,,27,70,,,177,182,tackle successful,,,,3,False,False,False,nan,nan,nan,,nan
63,Östersund,home,Charlie Colkett,,27,70,,,177,182,challenge unsuccessful,,,,3,False,False,False,nan,nan,nan,,nan
64,Östersund,home,Blair Sebastian Turgott,,74,69,,,178,203,final third entry,,,,3,False,False,False,nan,nan,nan,,nan
65,Östersund,home,Charlie Colkett,Blair Sebastian Turgott,31,75,68.0,80.0,181,183,pass accurate,,0.013260249506966387,0.4720384548819866,4,False,False,False,nan,nan,nan,,nan
66,Östersund,home,Charlie Colkett,Blair Sebastian Turgott,31,75,68.0,80.0,181,183,key pass,,,0.4720384548819866,4,False,False,False,nan,nan,nan,,nan
67,Östersund,home,Blair Sebastian Turgott,,74,68,,,183,186,shot on target,0.01532496372341343,,,4,False,False,False,nan,nan,nan,,-
68,Malmö FF,away,Johan Dahlin,,26,32,,,183,186,shot on target saved,,,,4,False,False,False,nan,nan,nan,,-
69,Östersund,home,Blair Sebastian Turgott,,74,68,,,183,186,shot,0.01532496372341343,,,4,False,False,False,nan,nan,right foot,,nan
70,Malmö FF,away,Johan Dahlin,,1,48,,,183,186,save,0.01532496372341343,,,4,False,False,False,nan,nan,low saves,,-
71,Östersund,home,Blair Sebastian Turgott,,68,80,74.0,68.0,181,186,carry,,0.0006536310385191826,,4,False,False,False,nan,nan,nan,,nan
72,Malmö FF,away,Johan Dahlin,Jo Inge Berget,6,32,27.0,8.0,188,198,pass accurate,,,,4,False,False,False,nan,nan,nan,,nan
73,Malmö FF,away,Johan Dahlin,Jo Inge Berget,6,32,27.0,8.0,188,198,goalkeeper throw accurate,,,,4,False,False,False,nan,nan,nan,,nan
74,Malmö FF,away,Jo Inge Berget,Bonke Innocent,64,5,54.0,25.0,203,205,pass accurate,,-0.00042836991076851405,0.7981269408287128,4,False,False,False,nan,nan,nan,,nan
