external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Mjällby AIF,David Löfquist,Jesper Gustavsson,51,48,41.0,51.0,0,3,pass accurate,,-0.003905945421392925,0.8606791863384019,1,False,False,False,nan,nan,nan,,nan
1,Mjällby AIF,Jesper Gustavsson,,42,51,81.0,31.0,1,4,pass inaccurate,,,0.3690891007107752,1,False,False,False,nan,nan,nan,,nan
2,AIK,Sotirios Papagiannopoulos,,19,69,,,3,8,interception unsuccesful,,,,1,False,False,False,nan,nan,nan,,nan
3,AIK,Sotirios Papagiannopoulos,,19,69,,,3,8,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
4,AIK,Sotirios Papagiannopoulos,,18,68,,,5,8,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
5,AIK,Sotirios Papagiannopoulos,,18,68,,,5,8,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
6,Mjällby AIF,Jacob Bergström,,81,29,,,5,8,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
7,Mjällby AIF,Jacob Bergström,,81,29,,,5,8,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
8,Mjällby AIF,Carlos Moros Gracia,Ivan Kričak,27,29,29.0,77.0,17,20,pass accurate,,-0.0013376097346070662,0.8719700593749726,1,False,False,False,nan,nan,nan,,nan
9,Mjällby AIF,Ivan Kričak,Carlos Moros Gracia,30,77,26.0,52.0,20,23,pass accurate,,0.001571993163333115,0.9084596437917314,1,False,False,False,nan,nan,nan,,nan
10,Mjällby AIF,Carlos Moros Gracia,Max Watson,28,49,26.0,26.0,24,27,pass accurate,,-0.0003990361199524197,0.923218264307882,1,False,False,False,nan,nan,nan,,nan
11,Mjällby AIF,Max Watson,Viktor Gustafson,25,27,34.0,5.0,26,29,pass accurate,,-0.0006341390131263652,0.8737722973283529,1,False,False,False,nan,nan,nan,,nan
12,AIK,Erick Ouma Otieno,,66,97,,,27,32,block unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
13,Mjällby AIF,Viktor Gustafson,,32,3,33.0,0.0,28,31,pass inaccurate,,,0.29168654089805224,1,False,False,False,nan,nan,nan,,nan
14,Mjällby AIF,Max Watson,Carlos Moros Gracia,33,0,16.0,20.0,36,39,pass accurate,,-0.0011876257177498694,0.9367572939019517,1,False,False,False,nan,nan,nan,,nan
15,Mjällby AIF,Carlos Moros Gracia,Ivan Kričak,18,30,21.0,77.0,40,43,pass accurate,,-0.0014737749567898962,0.9087067912568244,1,False,False,False,nan,nan,nan,,nan
16,Mjällby AIF,Ivan Kričak,Kadir Hodzic,25,76,32.0,95.0,43,46,pass accurate,,-0.0013944507131610114,0.8456162563326517,1,False,False,False,nan,nan,nan,,nan
17,Mjällby AIF,Elias Andersson,,33,75,74.0,78.0,46,49,pass inaccurate,,,0.47602556666901563,1,False,False,False,nan,nan,nan,,nan
18,AIK,Alexander Milošević,,26,22,,,48,53,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
19,AIK,Alexander Milošević,,26,22,,,48,53,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
20,AIK,Bilal Hussein,Alexander Milošević,26,35,16.0,27.0,51,54,pass accurate,,-0.0020611854346581065,0.9399512146579664,1,False,False,False,nan,nan,nan,,nan
21,AIK,Alexander Milošević,Kristoffer Nordfeldt,17,30,2.0,33.0,53,56,pass accurate,,-0.0018939134252586205,0.9181266874675421,1,False,False,False,nan,nan,nan,,nan
22,AIK,Kristoffer Nordfeldt,Sotirios Papagiannopoulos,14,42,18.0,66.0,65,68,pass accurate,,-0.00042809364519768786,0.9094623924330689,2,False,False,False,nan,nan,nan,,nan
23,AIK,Sotirios Papagiannopoulos,Erick Ouma Otieno,40,79,41.0,91.0,73,76,pass accurate,,-0.0016627165462302432,0.858958860960426,2,False,False,False,nan,nan,nan,,nan
24,AIK,Sotirios Papagiannopoulos,,18,66,40.0,79.0,65,76,carry,,0.0019264380540464504,,2,False,False,False,nan,nan,nan,,nan
25,AIK,Erick Ouma Otieno,Sotirios Papagiannopoulos,43,94,34.0,81.0,74,77,pass accurate,,0.00021124459255205189,0.8770100816466764,2,False,False,False,nan,nan,nan,,nan
26,AIK,Sotirios Papagiannopoulos,Alexander Milošević,32,78,24.0,43.0,76,79,pass accurate,,0.0003467190604677685,0.921727828704776,2,False,False,False,nan,nan,nan,,nan
27,AIK,Alexander Milošević,Mikael Lustig,25,41,33.0,8.0,80,83,pass accurate,,-0.0024794955838229413,0.8529027358632675,2,False,False,False,nan,nan,nan,,nan
28,AIK,Mikael Lustig,,35,8,74.0,13.0,83,86,pass inaccurate,,,0.4463387302606215,2,False,False,False,nan,nan,nan,,nan
29,Mjällby AIF,Ivan Kričak,,26,87,,,84,89,interception succesful,,,,2,False,False,False,nan,nan,nan,,nan
30,Mjällby AIF,Ivan Kričak,,26,87,,,84,89,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
