external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Mjällby AIF,David Löfquist,Enock Kofi Adu,51,49,35.0,50.0,0,2,pass accurate,,-0.003905945421392925,0.8821105643271655,1,False,False,False,nan,nan,nan,,nan
1,Hammarby,Astrit Selmani,,59,67,,,2,7,interception unsuccesful,,,,1,False,False,False,nan,nan,nan,,nan
2,Hammarby,Astrit Selmani,,59,67,,,2,7,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
3,Mjällby AIF,Enock Kofi Adu,,37,39,47.0,39.0,3,5,pass inaccurate,,,0.7282097666863979,1,False,False,False,nan,nan,nan,,nan
4,Mjällby AIF,Max Watson,Jacob Bergström,36,1,66.0,20.0,14,16,pass accurate,,0.00845751783526927,0.48102742678976496,1,False,False,False,nan,nan,nan,,nan
5,Mjällby AIF,Jacob Bergström,,61,7,69.0,27.0,18,20,pass inaccurate,,,0.6843543964484686,1,False,False,False,nan,nan,nan,,nan
6,Mjällby AIF,Jacob Bergström,,66,20,61.0,7.0,14,20,carry,,-0.0020636961028419123,,1,False,False,False,nan,nan,nan,,nan
7,Hammarby,Mads Fenger Nielsen,,31,73,,,19,24,interception unsuccesful,,,,1,False,False,False,nan,nan,nan,,nan
8,Hammarby,Mads Fenger Nielsen,,31,73,,,19,24,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
9,Mjällby AIF,Joel Nilsson,,66,19,,,20,25,interception unsuccesful,,,,1,False,False,False,nan,nan,nan,,nan
10,Mjällby AIF,Joel Nilsson,,66,19,,,20,25,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
11,Hammarby,Mohanad Jeahze,,32,99,32.0,99.0,33,35,pass inaccurate,,,0.026054547923286982,1,False,False,False,nan,nan,nan,,nan
12,Mjällby AIF,Max Watson,,37,16,,,34,37,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
