external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Halmstad,Marcus Antonsson,,98,25,,,0,10,Penalty box entry unsuccessful,,,,1,False,False,False,,,,,
1,Halmstad,Amir Al-Ammari,Joseph Baffoe,51,48,30.0,50.0,0,3,Pass accurate,,-0.005149041375285539,0.9077521422162625,1,False,False,False,,,,,
2,Halmstad,Joseph Baffoe,Sadat Karim,30,49,74.0,20.0,4,7,Pass accurate,,0.013136385782997277,0.5048378549439327,1,False,False,False,,,,,
3,Djurgården,Hjalmar Ekdal,,26,78,,,6,9,Air challenge successful,,,,1,False,False,False,,,,,
4,Djurgården,Hjalmar Ekdal,,26,78,,,6,9,Challenge successful,,,,1,False,False,False,,,,,
5,Halmstad,Sadat Karim,,74,22,,,6,9,Air challenge unsuccessful,,,,1,False,False,False,,,,,
6,Halmstad,Sadat Karim,,74,22,,,6,9,Challenge unsuccessful,,,,1,False,False,False,,,,,
7,Djurgården,Jacob Une Larsson,,2,69,,,8,13,Clearance inaccurate,,,,1,False,False,False,,,,,
8,Halmstad,Marcus Antonsson,,98,25,99.0,1.0,8,11,Pass inaccurate,,,0.5484757438461568,1,False,False,False,,,,,
9,Halmstad,Simon Lundevall,Amir Al-Ammari,99,1,89.0,33.0,32,42,Right corner accurate,,,,1,False,False,False,Corner,Chance Created,,,
10,Halmstad,Simon Lundevall,Amir Al-Ammari,99,3,89.0,33.0,34,37,Pass into the box,,,,1,False,False,False,Corner,,,,
11,Halmstad,Simon Lundevall,Amir Al-Ammari,99,3,89.0,33.0,34,37,Pass accurate,,0.001639738174780303,0.558867645706152,1,False,False,False,Corner,,,,
12,Halmstad,Simon Lundevall,Amir Al-Ammari,99,3,89.0,33.0,34,37,Key pass,,,0.558867645706152,1,False,False,False,Corner,,,,
13,Djurgården,Rasmus Schüller,,9,55,,,36,41,Block unsuccessful,,,,1,False,False,False,,,,,
14,Halmstad,Amir Al-Ammari,,89,32,,,37,40,Wide shot,0.05159888203823094,,,1,False,False,False,Corner,,,,
15,Djurgården,Jacob Widell Zetterström,,11,68,,,37,40,Goalkeeper wide shot,,,,1,False,False,False,,,,,
16,Halmstad,Amir Al-Ammari,,89,32,,,37,40,Shot,0.05159888203823094,,,1,False,False,False,Corner,,Left Foot,,
17,Halmstad,Amir Al-Ammari,,99,4,98.0,39.0,66,76,Right corner inaccurate,,,,2,False,False,False,Corner,Cleared,,,
18,Djurgården,Elliot Käck,,2,61,,,68,73,Clearance inaccurate,,,,2,False,False,False,,,,,
19,Halmstad,Amir Al-Ammari,,99,2,98.0,38.0,85,95,Right corner inaccurate,,,,2,False,False,False,Corner,Cleared,,,
20,Djurgården,Elliot Käck,,2,62,,,87,92,Clearance inaccurate,,,,2,False,False,False,,,,,
21,Halmstad,Simon Lundevall,,99,98,96.0,49.0,108,118,Left corner inaccurate,,,,2,False,False,False,Corner,Cleared,,,
22,Djurgården,Jacob Une Larsson,,4,51,,,111,116,Clearance inaccurate,,,,2,False,False,False,,,,,
23,Halmstad,Simon Lundevall,Samuel Kroon,69,36,72.0,24.0,114,117,Pass accurate,,4.968891542446799e-05,0.7846034465164184,2,False,False,False,Corner,,,,
24,Djurgården,Jacob Widell Zetterström,Aslak Fonn Witry,13,51,25.0,8.0,115,125,Pass accurate,,,,2,False,False,False,,,,,
25,Djurgården,Jacob Widell Zetterström,Aslak Fonn Witry,13,51,25.0,8.0,115,125,Goalkeeper throw accurate,,,,2,False,False,False,,,,,
26,Halmstad,Samuel Kroon,Marcus Antonsson,74,24,78.0,40.0,117,120,Pass accurate,,0.01716961375326708,0.6582669946521243,2,False,False,False,Corner,,,,
27,Halmstad,Marcus Antonsson,,79,40,99.0,40.0,118,121,Pass into the box,,,,2,False,False,False,Corner,,,,
28,Halmstad,Marcus Antonsson,,79,40,99.0,40.0,118,121,Pass inaccurate,,,0.16774327616838577,2,False,False,False,Corner,,,,
29,Djurgården,Aslak Fonn Witry,,22,5,70.0,5.0,130,133,Pass inaccurate,,,0.4486296967804021,3,False,False,False,,,,,
30,Halmstad,Joseph Baffoe,,30,95,,,133,138,Clearance inaccurate,,,,3,False,False,False,,,,,
31,Djurgården,Aslak Fonn Witry,Joel Asoro,60,7,75.0,91.0,144,147,Pass accurate,,0.00846615815156387,0.5634685433951758,3,False,False,False,,,,,
32,Djurgården,Joel Asoro,Elliot Käck,74,85,69.0,88.0,148,151,Pass accurate,,-0.003384757163740343,0.7227268487217277,3,False,False,False,,,,,
33,Djurgården,Elliot Käck,Magnus Eriksson,68,86,68.0,76.0,149,152,Pass accurate,,,0.7525962550371073,3,False,False,False,,,,,
34,Djurgården,Magnus Eriksson,Elliot Käck,71,75,69.0,89.0,150,153,Pass accurate,,-0.003384757163740343,0.7849380677907181,3,False,False,False,,,,,
35,Djurgården,Elliot Käck,Magnus Eriksson,73,92,70.0,82.0,152,155,Pass accurate,,0.003384757163740343,0.7838509063589233,3,False,False,False,,,,,
36,Halmstad,Malkolm Nilsson Säfqvist,,23,25,32.0,17.0,153,163,Pass inaccurate,,,,3,False,False,False,,,,,
37,Halmstad,Malkolm Nilsson Säfqvist,,23,25,32.0,17.0,153,163,Goalkeeper kick inaccurate,,,,3,False,False,False,,,,,
38,Djurgården,Magnus Eriksson,,68,83,88.0,83.0,154,157,Pass inaccurate,,,0.5271486488133891,3,False,False,False,,,,,
39,Djurgården,Hjalmar Ekdal,Hampus Finndell,22,86,27.0,82.0,182,185,Pass accurate,,0.0014057911530465702,0.7700089656359254,4,False,False,False,,,,,
40,Djurgården,Hampus Finndell,Joel Asoro,29,80,32.0,81.0,184,187,Pass accurate,,,0.5601649456653763,4,False,False,False,,,,,
41,Djurgården,Joel Asoro,Aslak Fonn Witry,31,73,23.0,51.0,186,189,Pass accurate,,-0.0009346435171379321,0.928243051467031,4,False,False,False,,,,,
42,Halmstad,Simon Lundevall,,67,76,,,192,195,Foul,,,,4,False,False,False,,,,,
43,Djurgården,Rasmus Schüller,Jacob Une Larsson,39,46,35.0,28.0,209,212,Pass accurate,,-0.0002644216839887033,0.8921992679691876,4,False,False,False,,,,,
44,Djurgården,Jacob Une Larsson,Rasmus Schüller,39,25,41.0,37.0,213,216,Pass accurate,,,0.8338298040488191,4,False,False,False,,,,,
45,Djurgården,Rasmus Schüller,Hjalmar Ekdal,46,47,42.0,75.0,215,218,Pass accurate,,-0.0013549695532653616,0.8545584633831231,4,False,False,False,,,,,
46,Djurgården,Hjalmar Ekdal,Rasmus Schüller,41,73,50.0,55.0,217,220,Pass accurate,,0.004393745238107941,0.7604027860373651,4,False,False,False,,,,,
47,Halmstad,Amir Al-Ammari,,39,63,,,219,224,Interception succesful,,,,4,False,False,False,,,,,
48,Halmstad,Amir Al-Ammari,,39,63,,,219,224,Challenge unsuccessful,,,,4,False,False,False,,,,,
49,Djurgården,Rasmus Schüller,,53,55,63.0,55.0,219,222,Pass inaccurate,,,0.7640388638598675,4,False,False,False,,,,,
50,Halmstad,Amir Al-Ammari,,51,54,,,220,225,Lost ball,,,,4,False,False,False,,,,,
51,Djurgården,Rasmus Schüller,Aslak Fonn Witry,39,45,36.0,23.0,223,226,Pass accurate,,-0.001017127657495804,0.8921992679691876,4,False,False,False,,,,,
52,Djurgården,Aslak Fonn Witry,Hampus Finndell,36,23,43.0,30.0,225,228,Pass accurate,,0.0021919980827624225,0.8287774194538854,4,False,False,False,,,,,
53,Djurgården,Hampus Finndell,Nicklas Bärkroth,47,32,66.0,39.0,226,229,Pass accurate,,0.0063186452445783345,0.7122301389315291,4,False,False,False,,,,,
54,Djurgården,Nicklas Bärkroth,,63,35,68.0,35.0,229,232,Pass inaccurate,,,0.6474006419279356,4,False,False,False,,,,,
55,Halmstad,Joseph Baffoe,,32,65,,,230,233,Foul,,,,4,False,False,False,,,,,
56,Djurgården,Aslak Fonn Witry,,80,74,,,268,293,Final third entry,,,,5,False,False,False,,,,,
57,Djurgården,Rasmus Schüller,,89,69,,,269,279,Penalty box entry unsuccessful,,,,5,False,False,False,,,,,
58,Djurgården,Magnus Eriksson,Aslak Fonn Witry,72,26,96.0,71.0,272,287,Direct free kick accurate,,,,5,False,False,False,Free-kick,,,,
59,Djurgården,Magnus Eriksson,Aslak Fonn Witry,72,28,93.0,71.0,274,277,Pass into the box,,,,5,False,False,False,Free-kick,,,,
60,Djurgården,Magnus Eriksson,Aslak Fonn Witry,72,28,93.0,71.0,274,277,Pass accurate,,0.026983219588232802,0.4713557949638088,5,False,False,False,Free-kick,,,,
61,Djurgården,Magnus Eriksson,Aslak Fonn Witry,72,28,93.0,71.0,274,277,Cross accurate,,,0.4713557949638088,5,False,False,False,Free-kick,,,,
62,Djurgården,Aslak Fonn Witry,Rasmus Schüller,96,72,87.0,69.0,277,280,Pass accurate,,0.006059931516584627,0.6078549907655301,5,False,False,False,Free-kick,,,,
63,Djurgården,Rasmus Schüller,,89,68,89.0,35.0,278,281,Pass inaccurate,,,0.5966026348409113,5,False,False,False,Free-kick,,,,
64,Halmstad,Simon Lundevall,Malkolm Nilsson Säfqvist,11,65,3.0,56.0,281,284,Pass accurate,,0.0014707118978836003,0.9156814003310401,5,False,False,False,,,,,
65,Halmstad,Malkolm Nilsson Säfqvist,Samuel Kroon,3,55,43.0,21.0,282,292,Pass accurate,,,,5,False,False,False,,,,,
66,Halmstad,Malkolm Nilsson Säfqvist,Samuel Kroon,3,55,43.0,21.0,282,292,Goalkeeper kick accurate,,,,5,False,False,False,,,,,
67,Halmstad,Samuel Kroon,,42,18,,,289,292,Air challenge unsuccessful,,,,5,False,False,False,,,,,
68,Halmstad,Samuel Kroon,,42,18,,,289,292,Challenge unsuccessful,,,,5,False,False,False,,,,,
69,Djurgården,Elliot Käck,,58,82,,,289,292,Air challenge successful,,,,5,False,False,False,,,,,
70,Djurgården,Elliot Käck,,58,82,,,289,292,Challenge successful,,,,5,False,False,False,,,,,
71,Djurgården,Rasmus Schüller,Jacob Une Larsson,36,72,38.0,45.0,293,296,Pass accurate,,0.0005704252499917767,0.8397922143873497,5,False,False,False,,,,,
72,Djurgården,Jacob Une Larsson,Hjalmar Ekdal,38,41,33.0,60.0,295,298,Pass accurate,,-0.0013303679972444214,0.8697824271701776,5,False,False,False,,,,,
73,Djurgården,Hjalmar Ekdal,Magnus Eriksson,32,59,46.0,51.0,296,299,Pass accurate,,0.0027516241001182586,0.7448338494835561,5,False,False,False,,,,,
74,Djurgården,Magnus Eriksson,Rasmus Schüller,52,51,42.0,75.0,301,304,Pass accurate,,-0.0037294075828394994,0.8655187459258377,6,False,False,False,,,,,
75,Djurgården,Rasmus Schüller,Elliot Käck,44,78,67.0,93.0,303,306,Pass accurate,,0.006879218777371843,0.43733191516612263,6,False,False,False,,,,,
76,Djurgården,Elliot Käck,Joel Asoro,72,93,72.0,84.0,305,308,Pass accurate,,0.003384757163740343,0.7713639152291168,6,False,False,False,,,,,
77,Djurgården,Elliot Käck,,67,93,72.0,93.0,303,308,Carry,,,,6,False,False,False,,,,,
78,Djurgården,Joel Asoro,Hjalmar Ekdal,66,85,44.0,89.0,309,312,Pass accurate,,-0.006950010978083688,0.8665529460815395,6,False,False,False,,,,,
79,Djurgården,Joel Asoro,,72,84,66.0,85.0,305,312,Carry,,-0.0049376838474669525,,6,False,False,False,,,,,
80,Djurgården,Hjalmar Ekdal,Magnus Eriksson,55,83,54.0,67.0,314,317,Pass accurate,,0.0009031947206651243,0.8209726835269225,6,False,False,False,,,,,
81,Djurgården,Hjalmar Ekdal,,44,89,55.0,83.0,309,317,Carry,,0.0037612199756330827,,6,False,False,False,,,,,
82,Djurgården,Magnus Eriksson,Rasmus Schüller,55,73,60.0,64.0,316,319,Pass accurate,,0.00322727510271327,0.7762335501219363,6,False,False,False,,,,,
83,Djurgården,Rasmus Schüller,Jacob Une Larsson,58,68,41.0,52.0,316,319,Pass accurate,,-0.0032218802604882246,0.856732873641071,6,False,False,False,,,,,
