external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Örebro,Ahmed Yasin,Benjamin Hjertstrand,50,50,32.0,50.0,0,3,pass accurate,,-0.005153687985360585,0.8821105643271655,1,False,False,False,nan,nan,nan,,nan
1,Örebro,Benjamin Hjertstrand,,31,47,71.0,28.0,3,6,pass inaccurate,,,0.5150556740617365,1,False,False,False,nan,nan,nan,,nan
2,Mjällby AIF,Kadir Hodzic,,29,72,,,6,9,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
3,Mjällby AIF,Kadir Hodzic,,29,72,,,6,9,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
4,Örebro,Noel Milleskog,,71,28,,,6,9,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
5,Örebro,Noel Milleskog,,71,28,,,6,9,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
6,Mjällby AIF,Kadir Hodzic,,28,78,38.0,78.0,7,10,pass inaccurate,,,0.8094619605211745,1,False,False,False,nan,nan,nan,,nan
7,Örebro,Hussein Ali,Kevin Walker,73,11,66.0,19.0,8,11,pass accurate,,-0.0027287035445963045,0.7809654515974316,1,False,False,False,nan,nan,nan,,nan
8,Örebro,Kevin Walker,,66,19,80.0,30.0,9,12,pass inaccurate,,,0.6081904274278577,1,False,False,False,nan,nan,nan,,nan
9,Mjällby AIF,Carlos Moros Gracia,Jesper Gustavsson,20,70,26.0,71.0,11,14,pass accurate,,0.0012824848477914121,0.8521503259794212,1,False,False,False,nan,nan,nan,,nan
10,Mjällby AIF,Jesper Gustavsson,,27,73,31.0,73.0,12,15,pass inaccurate,,,0.7296305278088941,1,False,False,False,nan,nan,nan,,nan
11,Örebro,Johan Mårtensson,Noel Milleskog,69,27,75.0,19.0,13,16,pass accurate,,0.005091155857877418,0.7104775437751101,1,False,False,False,nan,nan,nan,,nan
12,Mjällby AIF,Kadir Hodzic,,23,84,,,15,18,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
13,Mjällby AIF,Kadir Hodzic,,23,84,,,15,18,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
14,Örebro,Noel Milleskog,,77,16,,,15,18,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
15,Örebro,Noel Milleskog,,77,16,,,15,18,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
16,Mjällby AIF,Ivan Kričak,Elias Andersson,23,100,25.0,88.0,25,28,pass accurate,,0.0011950902385294143,0.9102074376595038,1,False,False,True,throw-in,nan,nan,,nan
17,Mjällby AIF,Elias Andersson,,25,87,62.0,87.0,25,28,pass inaccurate,,,0.5401702550398869,1,False,False,False,throw-in,nan,nan,,nan
18,Örebro,Nasiru Moro,,38,13,46.0,25.0,29,32,pass inaccurate,,,0.7249117504049264,1,False,False,False,nan,nan,nan,,nan
19,Mjällby AIF,Otto Rosengren,,54,75,,,32,35,air challenge unsuccessful,,,,1,False,False,False,throw-in,nan,nan,,nan
20,Mjällby AIF,Otto Rosengren,,54,75,,,32,35,challenge unsuccessful,,,,1,False,False,False,throw-in,nan,nan,,nan
21,Örebro,Johan Mårtensson,,46,25,,,32,35,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
22,Örebro,Johan Mårtensson,,46,25,,,32,35,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
23,Mjällby AIF,Otto Rosengren,,54,72,34.0,67.0,32,35,pass inaccurate,,,0.8786857382041054,1,False,False,False,throw-in,nan,nan,,nan
24,Mjällby AIF,Otto Rosengren,Ivan Kričak,34,67,26.0,73.0,37,40,pass accurate,,-0.0013920898428729997,0.9125415443773387,1,False,False,False,throw-in,nan,nan,,nan
25,Mjällby AIF,Ivan Kričak,Carlos Moros Gracia,26,73,22.0,62.0,38,41,pass accurate,,-0.0009346435171379321,0.9214581006490445,1,False,False,False,throw-in,nan,nan,,nan
26,Mjällby AIF,Carlos Moros Gracia,Jesper Gustavsson,26,42,35.0,26.0,43,46,pass accurate,,0.0009012936220293474,0.8498128794202718,1,False,False,False,nan,nan,nan,,nan
27,Örebro,Johan Mårtensson,Kevin Adrian Wright,59,78,55.0,86.0,46,49,pass accurate,,-0.0031887910024506055,0.8294260160059298,1,False,False,False,nan,nan,nan,,nan
28,Örebro,Kevin Adrian Wright,,55,86,92.0,85.0,47,50,pass inaccurate,,,0.45219116012183075,1,False,False,False,nan,nan,nan,,nan
29,Mjällby AIF,Max Watson,Carljohan Eriksson,8,15,3.0,41.0,51,54,pass accurate,,0.0035974943089449717,0.9099696641294391,1,False,False,False,nan,nan,nan,,nan
30,Mjällby AIF,Carljohan Eriksson,Jacob Bergström,3,40,35.0,22.0,55,58,pass accurate,,0.0015926236579125713,0.7600364064133925,1,False,False,False,nan,nan,nan,,nan
31,Mjällby AIF,Jacob Bergström,,35,21,26.0,25.0,58,61,pass inaccurate,,,0.9148953851286727,1,False,False,False,nan,nan,nan,,nan
32,Örebro,Jiloan Mohamed Hamad,Jake Larsson,74,75,85.0,90.0,61,64,pass accurate,,0.008517636901357397,0.696388442884083,2,False,False,False,nan,nan,nan,,nan
33,Örebro,Jake Larsson,Jiloan Mohamed Hamad,89,99,94.0,90.0,71,74,pass accurate,,0.013485292563502387,0.5555504480146641,2,False,False,True,throw-in,nan,nan,,nan
34,Örebro,Jake Larsson,,85,90,89.0,99.0,61,74,carry,,,,2,False,False,False,nan,nan,nan,,nan
35,Mjällby AIF,Jesper Gustavsson,Mamudu Moro,3,6,28.0,19.0,75,78,pass accurate,,0.0054006052335000155,0.7595110311763957,2,False,False,False,nan,nan,nan,,nan
36,Mjällby AIF,Mamudu Moro,,27,22,35.0,22.0,77,80,pass inaccurate,,,0.8313561737880049,2,False,False,False,nan,nan,nan,,nan
37,Örebro,Benjamin Hjertstrand,Kevin Walker,65,78,71.0,69.0,78,81,pass accurate,,0.005591314885986135,0.7257145047056137,2,False,False,False,throw-in,nan,nan,,nan
38,Örebro,Kevin Walker,Kevin Adrian Wright,70,69,74.0,84.0,81,84,pass accurate,,-0.0006536310385191826,0.6110149450511677,2,False,False,False,throw-in,nan,nan,,nan
39,Örebro,Kevin Adrian Wright,Johan Mårtensson,75,85,69.0,85.0,84,87,pass accurate,,-0.004899422929717897,0.7759989891006598,2,False,False,False,throw-in,nan,nan,,nan
40,Örebro,Jiloan Mohamed Hamad,,78,65,,,85,110,final third entry,,,,2,False,False,False,throw-in,nan,nan,,nan
41,Örebro,Johan Mårtensson,Benjamin Hjertstrand,69,85,57.0,83.0,86,89,pass accurate,,-0.008126474849917558,0.8248493916993195,2,False,False,False,nan,nan,nan,,nan
42,Örebro,Benjamin Hjertstrand,Johan Mårtensson,55,84,64.0,91.0,88,91,pass accurate,,0.0008163911606975036,0.7536358411777456,2,False,False,False,nan,nan,nan,,nan
43,Örebro,Johan Mårtensson,Jake Larsson,65,93,71.0,80.0,89,92,pass accurate,,0.0073100836892200545,0.7303112163033249,2,False,False,False,nan,nan,nan,,nan
44,Örebro,Jake Larsson,Jiloan Mohamed Hamad,74,80,73.0,67.0,93,96,pass accurate,,0.0006536310385191826,0.7607318217490825,2,False,False,False,nan,nan,nan,,nan
45,Örebro,Jiloan Mohamed Hamad,Jake Larsson,72,72,78.0,75.0,93,96,pass accurate,,0.004245791891198714,0.6920514739334104,2,False,False,False,nan,nan,nan,,nan
46,Örebro,Jake Larsson,Jiloan Mohamed Hamad,80,70,77.0,59.0,95,98,pass accurate,,0.011213311302404515,0.686556600315138,2,False,False,False,nan,nan,nan,,nan
