external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Djurgården,home,Kalle Holmberg,Elliot Käck,50,50,36.0,69.0,0,2,pass accurate,,-0.004393745238107941,0.8841463295237556,1,False,False,False,nan,nan,nan,,nan
1,Djurgården,home,Elliot Käck,,36,68,72.0,20.0,2,4,pass inaccurate,,,0.5463466318563562,1,False,False,False,nan,nan,nan,,nan
2,IFK Norrköping FK,away,Ari Freyr Skúlason,,28,80,,,3,8,interception unsuccesful,,,,1,False,False,False,nan,nan,nan,,nan
3,IFK Norrköping FK,away,Ari Freyr Skúlason,,28,80,,,3,8,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
4,Djurgården,home,Aslak Fonn Witry,Aleksandr Vasiutin,41,4,6.0,43.0,8,10,pass accurate,,-0.0004108608763115397,0.9120678086839672,1,False,False,False,nan,nan,nan,,nan
5,Djurgården,home,Aleksandr Vasiutin,Hjalmar Ekdal,8,46,10.0,66.0,18,20,pass accurate,,-0.0017755936436160136,0.9094623924330689,1,False,False,False,nan,nan,nan,,nan
6,Djurgården,home,Hjalmar Ekdal,Elliot Käck,8,68,22.0,95.0,20,22,pass accurate,,0.0006867894668539046,0.9112610401709438,1,False,False,False,nan,nan,nan,,nan
7,Djurgården,home,Elliot Käck,Nicklas Bärkroth,19,96,37.0,90.0,23,25,pass accurate,,0.002510623679427981,0.7792055812524821,1,False,False,False,nan,nan,nan,,nan
8,IFK Norrköping FK,away,Linus Wahlqvist,,61,11,,,24,29,tackle successful,,,,1,False,False,False,nan,nan,nan,,nan
9,IFK Norrköping FK,away,Linus Wahlqvist,,61,11,,,24,29,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
10,IFK Norrköping FK,away,Alexander Fransson,,69,3,94.0,49.0,29,31,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
11,IFK Norrköping FK,away,Alexander Fransson,,69,3,94.0,49.0,29,31,pass inaccurate,,,0.3786272370771167,1,False,False,False,nan,nan,nan,,nan
12,Djurgården,home,Aleksandr Vasiutin,Nicklas Bärkroth,6,51,57.0,52.0,51,61,pass accurate,,,,1,False,False,False,nan,nan,nan,,nan
13,Djurgården,home,Aleksandr Vasiutin,Nicklas Bärkroth,6,51,57.0,52.0,51,61,goalkeeper kick accurate,,,,1,False,False,False,nan,nan,nan,,nan
14,Djurgården,home,Nicklas Bärkroth,,60,50,,,57,62,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
15,Djurgården,home,Magnus Eriksson,,55,90,,,63,68,tackle successful,,,,2,False,False,False,nan,nan,nan,,nan
16,Djurgården,home,Magnus Eriksson,,55,90,,,63,68,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
17,Djurgården,home,Magnus Eriksson,,45,94,,,65,70,lost ball,,,,2,False,False,False,nan,nan,nan,,nan
18,Djurgården,home,Jacob Une Larsson,Aleksandr Vasiutin,25,49,9.0,46.0,80,82,pass accurate,,-0.00165119098944045,0.9338338766763019,2,False,False,False,nan,nan,nan,,nan
19,Djurgården,home,Aleksandr Vasiutin,,9,54,63.0,66.0,82,84,pass inaccurate,,,0.5806567824720156,2,False,False,False,nan,nan,nan,,nan
20,IFK Norrköping FK,away,Linus Wahlqvist,,37,34,56.0,41.0,87,89,pass inaccurate,,,0.6923542512411379,2,False,False,False,nan,nan,nan,,nan
21,Djurgården,home,Rasmus Schüller,,44,59,,,87,92,interception unsuccesful,,,,2,False,False,False,nan,nan,nan,,nan
22,Djurgården,home,Rasmus Schüller,,44,59,,,87,92,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
23,IFK Norrköping FK,away,Jonathan Levi,Alexander Fransson,57,24,52.0,25.0,89,91,pass accurate,,0.0008179554228269735,0.7533982375328625,2,False,False,False,nan,nan,nan,,nan
24,IFK Norrköping FK,away,Alexander Fransson,Linus Wahlqvist,49,32,32.0,31.0,91,93,pass accurate,,-0.002739621851237089,0.8364662837217983,2,False,False,False,nan,nan,nan,,nan
25,IFK Norrköping FK,away,Linus Wahlqvist,Oscar Jansson,35,25,5.0,41.0,93,95,pass accurate,,-0.002345329631419672,0.9296629208180919,2,False,False,False,nan,nan,nan,,nan
26,IFK Norrköping FK,away,Oscar Jansson,Marco Lund Nielsen,6,42,10.0,59.0,99,101,pass accurate,,-0.00064313686550126,0.9094623924330689,2,False,False,False,nan,nan,nan,,nan
27,IFK Norrköping FK,away,Marco Lund Nielsen,Viktor Agardius,12,68,22.0,95.0,102,104,pass accurate,,-0.0011065571532435734,0.9104841750116737,2,False,False,False,nan,nan,nan,,nan
28,Djurgården,home,Edward Chilufya,,74,4,,,104,109,interception unsuccesful,,,,2,False,False,False,nan,nan,nan,,nan
29,Djurgården,home,Edward Chilufya,,74,4,,,104,109,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
30,IFK Norrköping FK,away,Viktor Agardius,,23,97,26.0,100.0,105,107,pass inaccurate,,,0.09268384880799592,2,False,False,False,nan,nan,nan,,nan
31,IFK Norrköping FK,away,Viktor Agardius,Marco Lund Nielsen,26,100,18.0,81.0,112,114,pass accurate,,-1.1340439885558842e-05,0.9420050296789882,2,False,False,False,nan,nan,nan,,nan
32,IFK Norrköping FK,away,Marco Lund Nielsen,Linus Wahlqvist,21,54,12.0,41.0,121,123,pass accurate,,8.02523145442078e-05,0.929054541285468,3,False,False,False,nan,nan,nan,,nan
33,IFK Norrköping FK,away,Marco Lund Nielsen,,18,81,21.0,54.0,112,123,carry,,0.0014109937036213983,,2,False,False,False,nan,nan,nan,,nan
34,IFK Norrköping FK,away,Linus Wahlqvist,,15,39,72.0,5.0,123,125,pass inaccurate,,,0.6329442788085026,3,False,False,False,nan,nan,nan,,nan
35,Djurgården,home,Hjalmar Ekdal,Elliot Käck,28,95,42.0,95.0,128,130,pass accurate,,0.002767005394576758,0.8061939125106733,3,False,False,False,nan,nan,nan,,nan
36,Djurgården,home,Elliot Käck,,40,95,54.0,99.0,130,132,pass inaccurate,,,0.1599685562189119,3,False,False,False,nan,nan,nan,,nan
37,IFK Norrköping FK,away,Linus Wahlqvist,Marco Lund Nielsen,46,1,34.0,23.0,136,138,pass accurate,,-0.00014427313560944587,0.8387654507290707,3,False,False,False,nan,nan,nan,,nan
38,IFK Norrköping FK,away,Marco Lund Nielsen,Oscar Jansson,40,62,16.0,49.0,145,147,pass accurate,,-0.002729634252106693,0.9373127959400711,3,False,False,False,nan,nan,nan,,nan
39,IFK Norrköping FK,away,Marco Lund Nielsen,,34,23,40.0,62.0,136,147,carry,,0.0009298556141439963,,3,False,False,False,nan,nan,nan,,nan
40,IFK Norrköping FK,away,Oscar Jansson,Linus Wahlqvist,15,50,21.0,39.0,148,150,pass accurate,,0.0006972460807998671,0.8930502206141159,3,False,False,False,nan,nan,nan,,nan
41,IFK Norrköping FK,away,Linus Wahlqvist,Marco Lund Nielsen,23,36,22.0,62.0,151,153,pass accurate,,-6.278125316849792e-05,0.91761392851936,3,False,False,False,nan,nan,nan,,nan
42,IFK Norrköping FK,away,Marco Lund Nielsen,Viktor Agardius,22,63,33.0,82.0,154,156,pass accurate,,0.000342638780078652,0.8036810137600431,3,False,False,False,nan,nan,nan,,nan
43,IFK Norrköping FK,away,Viktor Agardius,Marco Lund Nielsen,35,82,24.0,63.0,156,158,pass accurate,,-0.0019264380540464504,0.929845113813419,3,False,False,False,nan,nan,nan,,nan
