external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Halmstad,Amir Al-Ammari,Andreas Johansson,51,50,33.0,58.0,0,2,Pass accurate,,-0.005153687985360585,0.8821105643271655,1,False,False,False,,,,,
1,Halmstad,Andreas Johansson,,33,59,86.0,24.0,2,4,Pass into the box,,,,1,False,False,False,,,,,
2,Halmstad,Andreas Johansson,,33,59,86.0,24.0,2,4,Pass inaccurate,,,0.5494444613009597,1,False,False,False,,,,,
3,Varbergs BoIS FC,Hampus Zackrisson,,14,76,,,4,9,Clearance inaccurate,,,,1,False,False,False,,,,,
4,Halmstad,Erik Ahlstrand,,74,27,93.0,22.0,7,9,Pass into the box,,,,1,False,False,False,,,,,
5,Halmstad,Erik Ahlstrand,,74,27,93.0,22.0,7,9,Pass inaccurate,,,0.646715202885601,1,False,False,False,,,,,
6,Varbergs BoIS FC,Hampus Zackrisson,,7,78,,,9,14,Interception succesful,,,,1,False,False,False,,,,,
7,Varbergs BoIS FC,Hampus Zackrisson,,7,78,,,9,14,Challenge unsuccessful,,,,1,False,False,False,,,,,
8,Varbergs BoIS FC,Hampus Zackrisson,,2,84,4.0,100.0,11,13,Pass inaccurate,,,0.28047738203892536,1,False,False,False,,,,,
9,Halmstad,Edvin Kurtulus,Sadat Karim,96,0,98.0,25.0,18,20,Pass into the box,,,,1,False,False,False,,,,,
10,Halmstad,Edvin Kurtulus,Sadat Karim,96,0,98.0,25.0,18,20,Pass accurate,,-0.003475053217445484,0.5172462469020466,1,False,False,False,,,,,
11,Varbergs BoIS FC,Jean Carlos De Brito,,2,75,,,20,25,Interception unsuccesful,,,,1,False,False,False,,,,,
12,Varbergs BoIS FC,Jean Carlos De Brito,,2,75,,,20,25,Challenge successful,,,,1,False,False,False,,,,,
13,Halmstad,Sadat Karim,,98,27,100.0,1.0,21,23,Pass inaccurate,,,0.5678052385076614,1,False,False,False,,,,,
14,Halmstad,Amir Al-Ammari,,100,1,94.0,40.0,42,52,Right corner inaccurate,,,,1,False,False,False,Corner,Cleared,,,
15,Varbergs BoIS FC,Luke Le Roux,,6,60,,,46,51,Clearance inaccurate,,,,1,False,False,False,,,,,
16,Halmstad,Erik Ahlstrand,Andreas Bengtsson,71,32,40.0,73.0,50,52,Pass accurate,,-0.012491406811546535,0.8621297933317046,1,False,False,False,Corner,,,,
17,Halmstad,Andreas Bengtsson,,42,76,83.0,56.0,54,56,Pass inaccurate,,,0.43927349936195903,1,False,False,False,Corner,,,,
18,Varbergs BoIS FC,Oliver Stanisic,,17,44,,,56,61,Interception succesful,,,,1,False,False,False,,,,,
19,Varbergs BoIS FC,Oliver Stanisic,,17,44,,,56,61,Challenge unsuccessful,,,,1,False,False,False,,,,,
20,Varbergs BoIS FC,Oliver Stanisic,,16,47,,,56,59,Air challenge unsuccessful,,,,1,False,False,False,,,,,
21,Varbergs BoIS FC,Oliver Stanisic,,16,47,,,56,59,Challenge unsuccessful,,,,1,False,False,False,,,,,
22,Halmstad,Sadat Karim,,84,53,,,56,59,Air challenge successful,,,,1,False,False,False,Corner,,,,
