external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IFK Norrköping FK,away,Alexander Fransson,Henrik Castegren,51,50,33.0,50.0,0,3,pass accurate,,-0.005153687985360585,0.8821105643271655,1,False,False,False,nan,nan,nan,,nan
1,IFK Norrköping FK,away,Henrik Castegren,,32,55,71.0,84.0,2,5,pass inaccurate,,,0.3749574092761921,1,False,False,False,nan,nan,nan,,nan
2,Kalmar FF,home,Lars Saetra,,29,16,,,4,9,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
3,IFK Norrköping FK,away,Abdulrazaq Ishaq,Linus Wahlqvist,55,53,48.0,29.0,9,12,pass accurate,,-0.0026484495628495454,0.847468143540691,1,False,False,False,nan,nan,nan,,nan
4,IFK Norrköping FK,away,Linus Wahlqvist,,47,23,44.0,1.0,11,14,pass inaccurate,,,0.9050687210571003,1,False,False,False,nan,nan,nan,,nan
5,Kalmar FF,home,Sebastian Ring,Douglas Bergqvist,56,99,31.0,76.0,20,23,pass accurate,,-0.0032667417281527257,0.8881776998306191,1,False,False,False,nan,nan,nan,,nan
6,Kalmar FF,home,Douglas Bergqvist,Oliver Berg,31,76,45.0,82.0,26,29,pass accurate,,0.002996273565854201,0.7937112275205968,1,False,False,False,nan,nan,nan,,nan
7,Kalmar FF,home,Oliver Berg,Douglas Bergqvist,33,77,29.0,71.0,29,32,pass accurate,,0.0009398460677127601,0.8111029579360296,1,False,False,False,nan,nan,nan,,nan
8,Kalmar FF,home,Douglas Bergqvist,Sebastian Ring,29,73,30.0,83.0,29,32,pass accurate,,-0.0009398460677127601,0.8655069966315379,1,False,False,False,nan,nan,nan,,nan
9,Kalmar FF,home,Sebastian Ring,Oliver Berg,27,88,32.0,79.0,32,35,pass accurate,,0.0013944507131610114,0.8403174356032477,1,False,False,False,nan,nan,nan,,nan
10,Kalmar FF,home,Oliver Berg,Lars Saetra,28,77,25.0,39.0,34,37,pass accurate,,0.0017366458545594859,0.9063549415656079,1,False,False,False,nan,nan,nan,,nan
11,Kalmar FF,home,Lars Saetra,Jonathan Ring,52,26,58.0,18.0,42,45,pass accurate,,-0.0008179554228269735,0.7709740552017416,1,False,False,False,nan,nan,nan,,nan
12,Kalmar FF,home,Lars Saetra,,25,39,52.0,26.0,34,45,carry,,0.004932276688580059,,1,False,False,False,nan,nan,nan,,nan
13,Kalmar FF,home,Jonathan Ring,Douglas Bergqvist,51,19,30.0,36.0,46,49,pass accurate,,-0.004513357385705505,0.9011987902421216,1,False,False,False,nan,nan,nan,,nan
14,Kalmar FF,home,Jonathan Ring,,58,18,51.0,19.0,42,49,carry,,,,1,False,False,False,nan,nan,nan,,nan
15,Kalmar FF,home,Douglas Bergqvist,Lars Saetra,31,34,33.0,21.0,52,55,pass accurate,,-0.0007316033895666627,0.8562653393816708,1,False,False,False,nan,nan,nan,,nan
16,Kalmar FF,home,Lars Saetra,Piotr Johansson,34,22,82.0,13.0,54,57,pass accurate,,0.01802926507692798,0.443176528411794,1,False,False,False,nan,nan,nan,,nan
17,Kalmar FF,home,Oliver Berg,,96,13,,,61,86,final third entry,,,,2,False,False,False,nan,nan,nan,,nan
18,Kalmar FF,home,Piotr Johansson,Carl Gustafsson,78,5,68.0,6.0,64,67,pass accurate,,-0.005796274482870466,0.5752937173354297,2,False,False,False,nan,nan,nan,,nan
19,Kalmar FF,home,Carl Gustafsson,Oliver Berg,71,4,96.0,14.0,66,69,pass accurate,,0.015581784065554112,0.38157412606402885,2,False,False,False,nan,nan,nan,,nan
20,Kalmar FF,home,Oliver Berg,,97,12,91.0,50.0,69,72,pass into the box,,,,2,False,False,False,nan,nan,nan,,nan
21,Kalmar FF,home,Oliver Berg,,97,12,91.0,50.0,69,72,pass inaccurate,,,0.4975223170934235,2,False,False,False,nan,nan,nan,,nan
22,Kalmar FF,home,Oliver Berg,,97,12,91.0,50.0,69,72,cross inacurate,,,0.4975223170934235,2,False,False,False,nan,nan,nan,,nan
23,IFK Norrköping FK,away,Linus Wahlqvist,,9,50,,,69,74,clearance accurate,,,,2,False,False,False,nan,nan,nan,,nan
24,IFK Norrköping FK,away,Maic Sema,Linus Wahlqvist,23,7,15.0,10.0,77,80,pass accurate,,-0.0012167428549457078,0.9266260036152196,2,False,False,False,nan,nan,nan,,nan
25,IFK Norrköping FK,away,Linus Wahlqvist,Jonathan Levi,15,6,31.0,4.0,79,82,pass accurate,,0.00253709897169678,0.8150228918042549,2,False,False,False,nan,nan,nan,,nan
26,IFK Norrköping FK,away,Jonathan Levi,Carl Björk,32,10,32.0,90.0,82,85,pass accurate,,-0.0006516009838975559,0.8343569995930786,2,False,False,False,nan,nan,nan,,nan
27,IFK Norrköping FK,away,Carl Björk,Ari Freyr Skúlason,33,87,37.0,79.0,86,89,pass accurate,,0.0015837992739677984,0.8466658359082524,2,False,False,False,nan,nan,nan,,nan
28,Kalmar FF,home,Piotr Johansson,,66,14,,,87,90,foul,,,,2,False,False,False,nan,nan,nan,,nan
