external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Hammarby,away,Darijan Bojanic,Aimar Sher,49,51,42.0,60.0,0,3,pass accurate,,,0.8606791863384019,1,False,False,False,nan,nan,nan,,nan
1,Hammarby,away,Aimar Sher,Mads Fenger Nielsen,42,59,32.0,26.0,1,4,pass accurate,,-0.0029860075288443075,0.889971210210429,1,False,False,False,nan,nan,nan,,nan
2,Hammarby,away,Mads Fenger Nielsen,Bjørn Paulsen,32,21,14.0,61.0,3,6,pass accurate,,-0.0009565333653725021,0.931113051581836,1,False,False,False,nan,nan,nan,,nan
3,Hammarby,away,Bjørn Paulsen,Mads Fenger Nielsen,19,58,21.0,33.0,9,12,pass accurate,,6.278125316849792e-05,0.9142745701089698,1,False,False,False,nan,nan,nan,,nan
4,Hammarby,away,Mads Fenger Nielsen,Bjørn Paulsen,25,16,17.0,46.0,14,17,pass accurate,,-0.00025928728457263496,0.9302477351583164,1,False,False,False,nan,nan,nan,,nan
5,Hammarby,away,Bjørn Paulsen,Jón Gudni Fjóluson,21,48,24.0,81.0,17,20,pass accurate,,-0.0017525102135143387,0.9157306628181546,1,False,False,False,nan,nan,nan,,nan
6,Hammarby,away,Jón Gudni Fjóluson,Astrit Selmani,24,81,54.0,53.0,18,21,pass accurate,,0.00813147230174027,0.6079145370939728,1,False,False,False,nan,nan,nan,,nan
7,Hammarby,away,Astrit Selmani,Darijan Bojanic,52,56,55.0,62.0,20,23,pass accurate,,,0.7447873341854485,1,False,False,False,nan,nan,nan,,nan
8,Hammarby,away,Darijan Bojanic,Gustav Ludwigson,55,64,65.0,44.0,21,24,pass accurate,,0.004358907452708536,0.734785848990408,1,False,False,False,nan,nan,nan,,nan
9,Hammarby,away,Gustav Ludwigson,Darijan Bojanic,65,37,70.0,41.0,25,28,pass accurate,,0.005190496454694472,0.6616456518449432,1,False,False,False,nan,nan,nan,,nan
10,Hammarby,away,Darijan Bojanic,,76,26,,,26,31,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
11,Hammarby,away,Darijan Bojanic,,70,41,76.0,26.0,25,31,carry,,0.0075278893165673065,,1,False,False,False,nan,nan,nan,,nan
12,IFK Göteborg,home,Oscar Wendt,,21,75,,,27,32,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
13,IFK Göteborg,home,Oscar Wendt,,21,75,,,27,32,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
