external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Örebro,Nahir Besara,Andreas Skovgaard Larsen,49,51,29.0,50.0,0,2,pass accurate,,-0.0027516241001182586,0.9069476952091619,1,False,False,False,nan,nan,nan,,nan
1,Örebro,Andreas Skovgaard Larsen,,30,50,68.0,17.0,2,4,pass inaccurate,,,0.5150556740617365,1,False,False,False,nan,nan,nan,,nan
2,IFK Norrköping FK,Marco Lund Nielsen,,32,83,,,4,9,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
3,Örebro,Michael Almebäck,,42,27,,,6,9,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
4,Örebro,Michael Almebäck,,42,27,,,6,9,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
5,IFK Norrköping FK,Christoffer Nyman,,58,73,,,6,9,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
6,IFK Norrköping FK,Christoffer Nyman,,58,73,,,6,9,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
7,Örebro,Michael Almebäck,,42,26,,,6,11,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
8,IFK Norrköping FK,Alexander Fransson,Jonathan Levi,45,53,56.0,47.0,9,11,pass accurate,,0.0023974172751672802,0.7298763686299669,1,False,False,False,nan,nan,nan,,nan
9,IFK Norrköping FK,Jonathan Levi,Linus Wahlqvist,55,51,36.0,36.0,10,12,pass accurate,,-0.004087741672104867,0.8877865084180069,1,False,False,False,nan,nan,nan,,nan
10,IFK Norrköping FK,Linus Wahlqvist,Abdulrazaq Ishaq,42,25,63.0,9.0,14,16,pass accurate,,0.0030200608680639035,0.6051408596756547,1,False,False,False,nan,nan,nan,,nan
11,IFK Norrköping FK,Abdulrazaq Ishaq,Jonathan Levi,71,4,71.0,18.0,18,20,pass accurate,,0.0029833395362104873,0.6960088075368308,1,False,False,False,nan,nan,nan,,nan
12,IFK Norrköping FK,Abdulrazaq Ishaq,,63,9,71.0,4.0,14,20,carry,,0.004792399647438217,,1,False,False,False,nan,nan,nan,,nan
13,IFK Norrköping FK,Jonathan Levi,,71,19,87.0,50.0,19,21,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
14,IFK Norrköping FK,Jonathan Levi,,71,19,87.0,50.0,19,21,pass inaccurate,,,0.5111373260671427,1,False,False,False,nan,nan,nan,,nan
