external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Östersund,Henrik Bellman,Eirik Haugan,49,52,28.0,58.0,0,2,Pass accurate,,-0.0027516241001182586,0.9161791357261458,1,False,False,False,,,,,
1,Östersund,Eirik Haugan,,29,50,69.0,9.0,2,4,Pass inaccurate,,,0.4331823959271766,1,False,False,False,,,,,
2,IK Sirius FK,Marcus Klingenberg Mathisen,,31,91,,,4,7,Air challenge unsuccessful,,,,1,False,False,False,,,,,
3,IK Sirius FK,Marcus Klingenberg Mathisen,,31,91,,,4,7,Challenge unsuccessful,,,,1,False,False,False,,,,,
4,Östersund,Ludvig Fritzson,,70,11,,,4,7,Air challenge successful,,,,1,False,False,False,,,,,
5,Östersund,Ludvig Fritzson,,70,11,,,4,7,Challenge successful,,,,1,False,False,False,,,,,
6,IK Sirius FK,Marcus Klingenberg Mathisen,,30,90,,,4,9,Clearance accurate,,,,1,False,False,False,,,,,
7,IK Sirius FK,Jamie Roche,Jacob Ortmark,26,99,37.0,88.0,20,22,Pass accurate,,0.0013155334408985666,0.8191142294908933,1,False,False,False,,,,,
8,IK Sirius FK,Jacob Ortmark,Marcus Klingenberg Mathisen,40,93,35.0,78.0,22,24,Pass accurate,,0.0016627165462302432,0.8770100816466764,1,False,False,False,,,,,
9,IK Sirius FK,Marcus Klingenberg Mathisen,,32,78,,,22,25,Air challenge unsuccessful,,,,1,False,False,False,,,,,
10,IK Sirius FK,Marcus Klingenberg Mathisen,,32,78,,,22,25,Challenge unsuccessful,,,,1,False,False,False,,,,,
11,Östersund,Simon Kroon,,68,21,,,22,25,Air challenge successful,,,,1,False,False,False,,,,,
12,Östersund,Simon Kroon,,68,21,,,22,25,Challenge successful,,,,1,False,False,False,,,,,
13,IK Sirius FK,Marcus Klingenberg Mathisen,,31,81,34.0,78.0,23,25,Pass inaccurate,,,0.5601649456653763,1,False,False,False,,,,,
14,Östersund,Ludvig Fritzson,,66,22,,,23,28,Interception unsuccesful,,,,1,False,False,False,,,,,
15,Östersund,Ludvig Fritzson,,66,22,,,23,28,Challenge successful,,,,1,False,False,False,,,,,
16,IK Sirius FK,Jamie Roche,,23,73,29.0,81.0,26,28,Pass inaccurate,,,0.8567828326920618,1,False,False,False,,,,,
17,Östersund,Ludvig Fritzson,,71,19,,,27,32,Interception unsuccesful,,,,1,False,False,False,,,,,
18,Östersund,Ludvig Fritzson,,71,19,,,27,32,Challenge successful,,,,1,False,False,False,,,,,
19,IK Sirius FK,Marcus Klingenberg Mathisen,Jacob Ortmark,30,81,33.0,81.0,30,32,Pass accurate,,,0.5601649456653763,1,False,False,False,,,,,
20,Östersund,Ludvig Fritzson,,65,26,,,30,33,Air challenge successful,,,,1,False,False,False,,,,,
21,Östersund,Ludvig Fritzson,,65,26,,,30,33,Challenge successful,,,,1,False,False,False,,,,,
22,IK Sirius FK,Jacob Ortmark,,35,81,,,31,34,Air challenge unsuccessful,,,,1,False,False,False,,,,,
23,IK Sirius FK,Jacob Ortmark,,35,81,,,31,34,Challenge unsuccessful,,,,1,False,False,False,,,,,
24,Östersund,Frank Arhin,,64,27,,,31,36,Interception succesful,,,,1,False,False,False,,,,,
25,Östersund,Frank Arhin,,64,27,,,31,36,Challenge unsuccessful,,,,1,False,False,False,,,,,
26,IK Sirius FK,Jacob Ortmark,,36,79,36.0,73.0,31,33,Pass inaccurate,,,0.7508747747327297,1,False,False,False,,,,,
27,Östersund,Frank Arhin,Ronald Mukiibi,64,27,61.0,10.0,32,34,Pass accurate,,-0.0025752633047956795,0.8332543194820918,1,False,False,False,,,,,
28,IK Sirius FK,Adam Hellborg,,27,67,,,36,41,Interception unsuccesful,,,,1,False,False,False,,,,,
29,IK Sirius FK,Adam Hellborg,,27,67,,,36,41,Challenge successful,,,,1,False,False,False,,,,,
30,Östersund,Ronald Mukiibi,,64,16,67.0,34.0,36,38,Pass inaccurate,,,0.7297287936475754,1,False,False,False,,,,,
31,Östersund,Frank Arhin,Patrick Kpozo,67,34,54.0,56.0,38,40,Pass accurate,,-0.008097661573438594,0.8438509016796484,1,False,False,False,,,,,
32,Östersund,Patrick Kpozo,Henrik Bellman,52,65,67.0,77.0,40,42,Pass accurate,,0.007223280129252434,0.6894563231059561,1,False,False,False,,,,,
33,Östersund,Patrick Kpozo,,54,56,52.0,65.0,38,42,Carry,,-0.0006887117709797469,,1,False,False,False,,,,,
34,IK Sirius FK,Adam Ståhl,,41,23,,,42,47,Tackle unsuccessful,,,,1,False,False,False,,,,,
35,IK Sirius FK,Adam Ståhl,,41,23,,,42,47,Challenge successful,,,,1,False,False,False,,,,,
36,Östersund,Henrik Bellman,,64,78,54.0,78.0,43,45,Pass inaccurate,,,0.8439604307630175,1,False,False,False,,,,,
37,Östersund,Patrick Kpozo,Henrik Bellman,65,99,62.0,79.0,60,62,Pass accurate,,0.002372399841753102,0.8120798693014984,2,False,False,False,,,,,
38,IK Sirius FK,Adam Ståhl,,37,22,,,62,67,Tackle unsuccessful,,,,2,False,False,False,,,,,
39,IK Sirius FK,Adam Ståhl,,37,22,,,62,67,Challenge successful,,,,2,False,False,False,,,,,
40,Östersund,Patrick Kpozo,Noah Sonko Sundberg,53,87,29.0,65.0,64,66,Pass accurate,,-0.004193928589336069,0.9024205448421141,2,False,False,False,,,,,
41,Östersund,Noah Sonko Sundberg,Ronald Mukiibi,29,51,38.0,25.0,67,69,Pass accurate,,0.0010659463132557181,0.8317552090041863,2,False,False,False,,,,,
42,Östersund,Ronald Mukiibi,Noah Sonko Sundberg,35,29,26.0,39.0,70,72,Pass accurate,,-0.0009012936220293474,0.9167465105135308,2,False,False,False,,,,,
43,Östersund,Noah Sonko Sundberg,,27,36,32.0,99.0,73,75,Pass inaccurate,,,0.18181573933267953,2,False,False,False,,,,,
44,IK Sirius FK,Tim Björkström,Adam Hellborg,68,1,58.0,23.0,80,82,Pass accurate,,-0.0060387249810337044,0.7745544802424068,2,False,False,False,,,,,
45,IK Sirius FK,Adam Hellborg,Tim Björkström,56,30,55.0,7.0,82,84,Pass accurate,,-0.002461762154000822,0.8634908969130661,2,False,False,False,,,,,
46,IK Sirius FK,Adam Hellborg,,58,23,56.0,30.0,80,84,Carry,,0.0008179554228269735,,2,False,False,False,,,,,
