external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Djurgården,Kalle Holmberg,Jacob Une Larsson,51,49,34.0,48.0,0,3,pass accurate,,-0.0038186733780411174,0.8821105643271655,1,False,False,False,nan,nan,nan,,nan
1,Djurgården,Jacob Une Larsson,,36,55,82.0,99.0,2,5,pass inaccurate,,,0.13419219841133517,1,False,False,False,nan,nan,nan,,nan
2,Kalmar FF,Piotr Johansson,Lars Saetra,18,1,10.0,10.0,16,19,pass accurate,,-0.0012167428549457078,0.9052307848518819,1,False,False,False,nan,nan,nan,,nan
3,Kalmar FF,Lars Saetra,Romario Pereira Sipiao,11,12,39.0,23.0,18,21,pass accurate,,0.005165182204041968,0.6510265156944279,1,False,False,False,nan,nan,nan,,nan
4,Kalmar FF,Romario Pereira Sipiao,Carl Gustafsson,39,22,35.0,29.0,20,23,pass accurate,,0.0007527059735071007,0.8530853498591152,1,False,False,False,nan,nan,nan,,nan
5,Kalmar FF,Carl Gustafsson,,37,30,28.0,6.0,21,24,pass inaccurate,,,0.8471582455566872,1,False,False,False,nan,nan,nan,,nan
6,Djurgården,Magnus Eriksson,,72,94,72.0,94.0,25,28,pass inaccurate,,,0.3107758367046862,1,False,False,False,nan,nan,nan,,nan
7,Kalmar FF,Lucas Hägg Johansson,Sebastian Ring,3,52,24.0,96.0,31,41,pass accurate,,,,1,False,False,False,nan,nan,nan,,nan
8,Kalmar FF,Lucas Hägg Johansson,Sebastian Ring,3,52,24.0,96.0,31,41,goalkeeper kick accurate,,,,1,False,False,False,nan,nan,nan,,nan
9,Kalmar FF,Sebastian Ring,Johan Stenmark,24,95,6.0,75.0,38,41,pass accurate,,-0.0015974388133246677,0.9348866605553521,1,False,False,False,nan,nan,nan,,nan
10,Kalmar FF,Johan Stenmark,Lucas Hägg Johansson,9,76,2.0,60.0,40,43,pass accurate,,0.002437058271453756,0.9156814003310401,1,False,False,False,nan,nan,nan,,nan
11,Kalmar FF,Lucas Hägg Johansson,Johan Stenmark,2,59,4.0,87.0,43,46,pass accurate,,-0.004174707864451841,0.9219783665339486,1,False,False,False,nan,nan,nan,,nan
12,Kalmar FF,Johan Stenmark,Jonathan Ring,19,84,21.0,70.0,47,50,pass accurate,,0.0010631523729679182,0.9095366094605176,1,False,False,False,nan,nan,nan,,nan
13,Kalmar FF,Johan Stenmark,,4,87,19.0,84.0,43,50,carry,,0.002781188611968523,,1,False,False,False,nan,nan,nan,,nan
14,Kalmar FF,Jonathan Ring,Johan Stenmark,20,68,17.0,88.0,49,52,pass accurate,,-0.0022469021716117737,0.9318168156390214,1,False,False,False,nan,nan,nan,,nan
15,Djurgården,Edward Chilufya,,90,9,,,52,57,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
16,Kalmar FF,Johan Stenmark,,10,90,28.0,99.0,54,57,pass inaccurate,,,0.12026791222543906,1,False,False,False,nan,nan,nan,,nan
17,Kalmar FF,Sebastian Ring,Isak Jansson,28,99,36.0,88.0,77,80,pass accurate,,0.0013155334408985666,0.8389211348235887,2,False,False,False,nan,nan,nan,,nan
18,Djurgården,Hampus Finndell,,72,11,,,81,84,foul,,,,2,False,False,False,nan,nan,nan,,nan
19,Kalmar FF,Sebastian Ring,Rasmus Sjöstedt,34,80,22.0,60.0,91,94,pass accurate,,-0.0015785967233929703,0.928243051467031,2,False,False,False,nan,nan,nan,,nan
20,Kalmar FF,Rasmus Sjöstedt,Piotr Johansson,11,57,11.0,35.0,102,105,pass accurate,,-0.0003730486797189417,0.9157383764925243,2,False,False,False,nan,nan,nan,,nan
21,Kalmar FF,Piotr Johansson,Lucas Hägg Johansson,11,35,2.0,44.0,103,106,pass accurate,,0.0010161855452202016,0.914931642398361,2,False,False,False,nan,nan,nan,,nan
