external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Mjällby AIF,Mamudu Moro,Elias Andersson,49,51,32.0,55.0,0,3,Pass accurate,,-0.0027516241001182586,0.8821105643271655,1,False,False,False,,,,,
1,Mjällby AIF,Elias Andersson,,44,57,89.0,15.0,4,7,Pass inaccurate,,,0.5093732676754025,1,False,False,False,,,,,
2,Malmö FF,Martin Olsson,,11,85,,,6,11,Clearance accurate,,,,1,False,False,False,,,,,
3,Malmö FF,Veljko Birmančević,,27,93,33.0,95.0,9,12,Pass inaccurate,,,0.8266928990713719,1,False,False,False,,,,,
4,Mjällby AIF,Jesper Gustavsson,,67,5,80.0,14.0,11,14,Pass inaccurate,,,0.6181325901327013,1,False,False,False,,,,,
5,Malmö FF,Lasse Ladegaard Nielsen,,20,86,,,12,17,Interception succesful,,,,1,False,False,False,,,,,
6,Malmö FF,Lasse Ladegaard Nielsen,,20,86,,,12,17,Challenge unsuccessful,,,,1,False,False,False,,,,,
7,Mjällby AIF,Mamudu Moro,,74,28,,,16,21,Tackle successful,,,,1,False,False,False,,,,,
8,Mjällby AIF,Mamudu Moro,,74,28,,,16,21,Challenge unsuccessful,,,,1,False,False,False,,,,,
9,Malmö FF,Anel Ahmedhodzic,,24,67,,,17,22,Clearance accurate,,,,1,False,False,False,,,,,
10,Mjällby AIF,Joel Nilsson,,32,6,,,29,32,Foul,,,,1,False,False,False,,,,,
11,Malmö FF,Martin Olsson,Sergio Pena,72,94,65.0,89.0,38,41,Pass accurate,,-0.003925326525479712,0.7993203942291791,1,False,False,False,,,,,
12,Malmö FF,Sergio Pena,Anel Ahmedhodzic,62,86,48.0,51.0,41,44,Pass accurate,,-0.003998948396048061,0.8178907325703254,1,False,False,False,,,,,
13,Malmö FF,Anel Ahmedhodzic,Lasse Ladegaard Nielsen,46,51,38.0,75.0,43,46,Pass accurate,,-0.0027398179894835752,0.858985095383194,1,False,False,False,,,,,
14,Malmö FF,Lasse Ladegaard Nielsen,Martin Olsson,38,79,62.0,91.0,45,48,Pass accurate,,0.004366366543778534,0.6960965381361669,1,False,False,False,,,,,
15,Malmö FF,Martin Olsson,Lasse Ladegaard Nielsen,66,93,38.0,77.0,49,52,Pass accurate,,-0.004366366543778534,0.870460618208983,1,False,False,False,,,,,
