external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Djurgården,Kalle Holmberg,Jacob Une Larsson,49,51,29.0,43.0,0,2,Pass accurate,,-0.0025869714088918878,0.9069476952091619,1,False,False,False,,,,,
1,Djurgården,Jacob Une Larsson,,30,42,69.0,99.0,3,5,Pass inaccurate,,,0.10371452999611976,1,False,False,False,,,,,
2,IF Elfsborg,Johan Larsson,,31,1,42.0,19.0,12,14,Pass inaccurate,,,0.7436983072148055,1,False,False,False,,,,,
3,Djurgården,Hampus Finndell,,58,81,,,13,18,Interception succesful,,,,1,False,False,False,,,,,
4,Djurgården,Hampus Finndell,,58,81,,,13,18,Challenge unsuccessful,,,,1,False,False,False,,,,,
5,Djurgården,Emmanuel Justine Rabby Banda,Jesper Löfgren,61,60,52.0,29.0,16,18,Pass accurate,,-0.003608766277733308,0.8537788712738692,1,False,False,False,,,,,
6,Djurgården,Jesper Löfgren,Jacob Une Larsson,51,25,41.0,50.0,19,21,Pass accurate,,-0.0038538334259138156,0.8570389809973439,1,False,False,False,,,,,
7,Djurgården,Jacob Une Larsson,Elliot Käck,38,55,41.0,86.0,21,23,Pass accurate,,-0.0012312898432579305,0.8447267082141439,1,False,False,False,,,,,
8,Djurgården,Elliot Käck,Jacob Widell Zetterström,40,82,18.0,65.0,24,26,Pass accurate,,-0.0019264380540464504,0.9373127959400711,1,False,False,False,,,,,
9,Djurgården,Jacob Widell Zetterström,,23,50,89.0,67.0,29,31,Pass into the box,,,,1,False,False,False,,,,,
10,Djurgården,Jacob Widell Zetterström,,23,50,89.0,67.0,29,31,Pass inaccurate,,,0.35191479725993946,1,False,False,False,,,,,
11,IF Elfsborg,Hákon Valdimarsson,,11,33,70.0,29.0,42,52,Pass inaccurate,,,,1,False,False,False,,,,,
12,IF Elfsborg,Hákon Valdimarsson,,11,33,70.0,29.0,42,52,Goalkeeper kick inaccurate,,,,1,False,False,False,,,,,
13,IF Elfsborg,Per Frick,,70,29,,,48,51,Foul,,,,1,False,False,False,,,,,
14,Djurgården,Nicklas Bärkroth,,90,89,96.0,59.0,62,64,Pass into the box,,,,2,False,False,False,,,,,
15,Djurgården,Nicklas Bärkroth,,90,89,96.0,59.0,62,64,Pass inaccurate,,,0.24354924117772098,2,False,False,False,,,,,
16,IF Elfsborg,Hákon Valdimarsson,Leo Väisänen,4,41,6.0,29.0,71,81,Pass accurate,,,,2,False,False,False,,,,,
