external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Djurgården,home,Kalle Holmberg,Jacob Une Larsson,51,49,32.0,48.0,0,3,pass accurate,,-0.004984388684059168,0.8821105643271655,1,False,False,False,nan,nan,nan,,nan
1,Djurgården,home,Jacob Une Larsson,,34,45,75.0,81.0,2,5,pass inaccurate,,,0.4372360327468439,1,False,False,False,nan,nan,nan,,nan
2,Djurgården,home,Kalle Holmberg,,75,81,,,5,10,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
3,Djurgården,home,Kalle Holmberg,,75,81,,,5,10,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
4,IK Sirius FK,away,Laorent Shabani,,29,4,11.0,4.0,5,8,pass inaccurate,,,0.9559473181143038,1,False,False,False,nan,nan,nan,,nan
5,Djurgården,home,Kalle Holmberg,Elliot Käck,89,96,72.0,95.0,11,14,pass accurate,,-0.01190239406509774,0.7881076493853895,1,False,False,False,nan,nan,nan,,nan
6,Djurgården,home,Elliot Käck,Rasmus Schüller,72,95,70.0,80.0,13,16,pass accurate,,0.003384757163740343,0.7858642711954029,1,False,False,False,nan,nan,nan,,nan
7,Djurgården,home,Haris Radetinac,,78,92,,,14,39,final third entry,,,,1,False,False,False,nan,nan,nan,,nan
8,Djurgården,home,Rasmus Schüller,Jacob Une Larsson,70,77,53.0,46.0,15,18,pass accurate,,-0.006539214968347733,0.8295545309167084,1,False,False,False,nan,nan,nan,,nan
9,Djurgården,home,Jacob Une Larsson,Haris Radetinac,55,47,78.0,95.0,19,22,pass accurate,,0.008842416066853275,0.5518186527465466,1,False,False,False,nan,nan,nan,,nan
10,Djurgården,home,Haris Radetinac,Magnus Eriksson,81,95,75.0,87.0,22,25,pass accurate,,0.002596221831212355,0.7263465272570471,1,False,False,False,nan,nan,nan,,nan
11,Djurgården,home,Magnus Eriksson,Kalle Holmberg,77,89,85.0,66.0,23,26,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
12,Djurgården,home,Magnus Eriksson,Kalle Holmberg,77,89,85.0,66.0,23,26,pass accurate,,0.0323030432214778,0.640587438600145,1,False,False,False,nan,nan,nan,,nan
13,Djurgården,home,Magnus Eriksson,Kalle Holmberg,77,89,85.0,66.0,23,26,cross accurate,,,0.640587438600145,1,False,False,False,nan,nan,nan,,nan
14,Djurgården,home,Kalle Holmberg,Elliot Käck,84,65,97.0,92.0,24,27,pass accurate,,-0.012603314855123553,0.39890387433365854,1,False,False,False,nan,nan,nan,,nan
15,Djurgården,home,Elliot Käck,,98,91,94.0,51.0,27,30,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
16,Djurgården,home,Elliot Käck,,98,91,94.0,51.0,27,30,pass inaccurate,,,0.4901470335037078,1,False,False,False,nan,nan,nan,,nan
17,Djurgården,home,Elliot Käck,,98,91,94.0,51.0,27,30,cross inacurate,,,0.4901470335037078,1,False,False,False,nan,nan,nan,,nan
18,IK Sirius FK,away,Jamie Roche,,6,49,,,27,32,clearance accurate,,,,1,False,False,False,nan,nan,nan,,nan
