external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IFK Göteborg,away,Oscar Vilhelmsson,Carl Johansson,49,51,31.0,51.0,0,3,pass accurate,,-0.0027516241001182586,0.887672738937848,1,False,False,False,nan,nan,nan,,nan
1,IFK Göteborg,away,Carl Johansson,,32,48,75.0,24.0,2,5,pass inaccurate,,,0.49508883439293705,1,False,False,False,nan,nan,nan,,nan
2,IK Sirius FK,home,Dennis Widgren,,25,76,,,4,9,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
3,IFK Göteborg,away,Alexander Jallow,,73,10,,,7,12,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
4,IFK Göteborg,away,Alexander Jallow,,73,10,,,7,12,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
5,IK Sirius FK,home,Adam Hellborg,,31,89,,,10,15,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
6,IK Sirius FK,home,Adam Hellborg,,31,89,,,10,15,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
7,IFK Göteborg,away,Alexander Jallow,,69,5,66.0,29.0,11,14,pass inaccurate,,,0.7554528866647192,1,False,False,False,nan,nan,nan,,nan
8,IK Sirius FK,home,Adam Hellborg,Moustafa Zeidan,34,71,42.0,65.0,13,16,pass accurate,,0.00139814637984835,0.8216261849632146,1,False,False,False,nan,nan,nan,,nan
9,IK Sirius FK,home,Moustafa Zeidan,Adam Ståhl,48,51,66.0,10.0,15,18,pass accurate,,0.002773675190456685,0.7325397997615911,1,False,False,False,nan,nan,nan,,nan
10,IK Sirius FK,home,Adam Ståhl,Marcus Klingenberg Mathisen,71,12,48.0,11.0,21,24,pass accurate,,-0.009860185462655097,0.8179225581626766,1,False,False,False,nan,nan,nan,,nan
11,IK Sirius FK,home,Adam Ståhl,,66,10,71.0,12.0,15,24,carry,,0.004792399647438217,,1,False,False,False,nan,nan,nan,,nan
12,IK Sirius FK,home,Marcus Klingenberg Mathisen,Joseph Colley,45,11,31.0,19.0,23,26,pass accurate,,-0.001423500293650775,0.864798640323335,1,False,False,False,nan,nan,nan,,nan
13,IK Sirius FK,home,Joseph Colley,Marcus Klingenberg Mathisen,33,31,35.0,10.0,27,30,pass accurate,,-0.0006341390131263652,0.8883344649864418,1,False,False,False,nan,nan,nan,,nan
14,IK Sirius FK,home,Marcus Klingenberg Mathisen,Joseph Colley,37,13,26.0,25.0,30,33,pass accurate,,-0.0005476237684746664,0.9087267933165849,1,False,False,False,nan,nan,nan,,nan
15,IK Sirius FK,home,Joseph Colley,Dennis Widgren,24,31,26.0,67.0,33,36,pass accurate,,0.0008718622639694341,0.8981538368116123,1,False,False,False,nan,nan,nan,,nan
16,IK Sirius FK,home,Dennis Widgren,Laorent Shabani,68,88,77.0,95.0,41,44,pass accurate,,0.005687958262245885,0.695741047300373,1,False,False,False,nan,nan,nan,,nan
17,IK Sirius FK,home,Dennis Widgren,,26,67,68.0,88.0,33,44,carry,,0.008935646275513284,,1,False,False,False,nan,nan,nan,,nan
18,IK Sirius FK,home,Laorent Shabani,Adam Hellborg,86,90,73.0,85.0,47,50,pass accurate,,-0.008517636901357397,0.7718636958663114,1,False,False,False,nan,nan,nan,,nan
19,IK Sirius FK,home,Laorent Shabani,,77,95,86.0,90.0,41,50,carry,,0.006214435802851855,,1,False,False,False,nan,nan,nan,,nan
20,IK Sirius FK,home,Adam Hellborg,Laorent Shabani,73,86,76.0,75.0,49,52,pass accurate,,0.004899422929717897,0.7290845077176329,1,False,False,False,nan,nan,nan,,nan
21,IK Sirius FK,home,Laorent Shabani,Adam Hellborg,74,81,73.0,89.0,52,55,pass accurate,,-0.003384757163740343,0.7169777151090847,1,False,False,False,nan,nan,nan,,nan
22,IK Sirius FK,home,Adam Hellborg,,74,85,92.0,53.0,54,57,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
23,IK Sirius FK,home,Adam Hellborg,,74,85,92.0,53.0,54,57,pass inaccurate,,,0.4861647013858965,1,False,False,False,nan,nan,nan,,nan
24,IFK Göteborg,away,Ioannis Anestis,,8,47,,,54,59,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
25,IFK Göteborg,away,Ioannis Anestis,,8,47,,,54,59,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
26,IFK Göteborg,away,Ioannis Anestis,Alexander Jallow,11,47,24.0,12.0,59,69,pass accurate,,,,1,False,False,False,nan,nan,nan,,nan
27,IFK Göteborg,away,Ioannis Anestis,Alexander Jallow,11,47,24.0,12.0,59,69,goalkeeper throw accurate,,,,1,False,False,False,nan,nan,nan,,nan
28,IFK Göteborg,away,Alexander Jallow,Mattias Bjärsmyr,25,9,10.0,22.0,67,70,pass accurate,,-0.0011876257177498694,0.9259972066120781,2,False,False,False,nan,nan,nan,,nan
29,IK Sirius FK,home,Adam Ståhl,,84,15,,,67,92,final third entry,,,,2,False,False,False,nan,nan,nan,,nan
30,IFK Göteborg,away,Mattias Bjärsmyr,Ioannis Anestis,12,25,5.0,45.0,69,72,pass accurate,,0.0010161855452202016,0.913333594793557,2,False,False,False,nan,nan,nan,,nan
31,IFK Göteborg,away,Ioannis Anestis,,3,52,21.0,81.0,72,75,pass inaccurate,,,0.9006329642234823,2,False,False,False,nan,nan,nan,,nan
32,IK Sirius FK,home,Adam Ståhl,,79,19,,,73,78,interception succesful,,,,2,False,False,False,nan,nan,nan,,nan
33,IK Sirius FK,home,Adam Ståhl,,79,19,,,73,78,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
34,IK Sirius FK,home,Adam Ståhl,,95,18,95.0,18.0,77,80,pass inaccurate,,,0.4419266510421878,2,False,False,False,nan,nan,nan,,nan
35,IK Sirius FK,home,Adam Ståhl,,95,18,95.0,18.0,77,80,cross inacurate,,,0.4419266510421878,2,False,False,False,nan,nan,nan,,nan
36,IK Sirius FK,home,Joseph Colley,,33,95,,,104,109,tackle unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
37,IK Sirius FK,home,Joseph Colley,,33,95,,,104,109,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
38,IFK Göteborg,away,Alexander Jallow,Robin Söder,69,1,70.0,12.0,125,128,pass accurate,,,0.6858908497314993,3,False,False,False,nan,nan,nan,,nan
