external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Djurgården,Kalle Holmberg,Jacob Une Larsson,49,52,29.0,45.0,0,3,Pass accurate,,-0.0025869714088918878,0.9069476952091619,1,False,False,False,,,,,
1,Djurgården,Jacob Une Larsson,,30,44,71.0,89.0,2,5,Pass inaccurate,,,0.5369591717252153,1,False,False,False,,,,,
2,BK Häcken,Godswill Ekpolo,Alexander Jeremejeff,29,11,59.0,26.0,4,7,Pass accurate,,0.010415405487967194,0.49408027661731035,1,False,False,False,,,,,
3,BK Häcken,Godswill Ekpolo,,28,13,,,5,8,Air challenge unsuccessful,,,,1,False,False,False,,,,,
4,BK Häcken,Godswill Ekpolo,,28,13,,,5,8,Challenge unsuccessful,,,,1,False,False,False,,,,,
5,Djurgården,Haris Radetinac,,71,87,,,5,8,Air challenge unsuccessful,,,,1,False,False,False,,,,,
6,Djurgården,Haris Radetinac,,71,87,,,5,8,Challenge unsuccessful,,,,1,False,False,False,,,,,
7,BK Häcken,Bénie Adama Traore,,62,16,,,7,12,Lost ball,,,,1,False,False,False,,,,,
8,Djurgården,Elliot Käck,Jacob Widell Zetterström,26,88,5.0,56.0,11,14,Pass accurate,,0.0013821788125977594,0.9329228961510794,1,False,False,False,,,,,
9,Djurgården,Jacob Widell Zetterström,Jacob Une Larsson,9,49,13.0,41.0,16,19,Pass accurate,,,0.8776311808488472,1,False,False,False,,,,,
10,Djurgården,Jacob Une Larsson,Hjalmar Ekdal,12,39,15.0,71.0,19,22,Pass accurate,,-0.0015684386635658881,0.9140933892454097,1,False,False,False,,,,,
11,Djurgården,Hjalmar Ekdal,Elliot Käck,27,75,29.0,95.0,22,25,Pass accurate,,-0.0013944507131610114,0.8887627409921041,1,False,False,False,,,,,
12,Djurgården,Elliot Käck,,33,94,95.0,59.0,25,28,Pass into the box,,,,1,False,False,False,,,,,
13,Djurgården,Elliot Käck,,33,94,95.0,59.0,25,28,Pass inaccurate,,,0.28010155412910204,1,False,False,False,,,,,
14,BK Häcken,Peter Abrahamsson,Johan Hammar,5,41,10.0,27.0,37,40,Pass accurate,,-0.0010161855452202016,0.9240728564160661,1,False,False,False,,,,,
15,BK Häcken,Johan Hammar,Erik Friberg,11,26,22.0,24.0,40,43,Pass accurate,,-0.00010586707248804068,0.8901478601460503,1,False,False,False,,,,,
16,BK Häcken,Erik Friberg,Johan Hammar,21,20,9.0,29.0,42,45,Pass accurate,,0.00010586707248804068,0.9261250670890436,1,False,False,False,,,,,
17,BK Häcken,Johan Hammar,Tobias Carlsson,9,40,7.0,82.0,44,47,Pass accurate,,-0.004272434630134129,0.9159201750351016,1,False,False,False,,,,,
18,BK Häcken,Tobias Carlsson,Kristoffer Lund Hansen,8,80,31.0,97.0,46,49,Pass accurate,,0.002792529051854082,0.8548207077297179,1,False,False,False,,,,,
19,BK Häcken,Kristoffer Lund Hansen,,31,98,70.0,92.0,49,52,Pass inaccurate,,,0.4786522061088598,1,False,False,False,,,,,
20,Djurgården,Jacob Une Larsson,Rasmus Schüller,30,8,37.0,12.0,52,55,Pass accurate,,0.0014463204507441565,0.8151503137713347,1,False,False,False,,,,,
21,Djurgården,Rasmus Schüller,Jesper Löfgren,38,13,35.0,5.0,54,57,Pass accurate,,-0.0011817627816010316,0.8658333885581098,1,False,False,False,,,,,
