external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Mjällby AIF,Jesper Gustavsson,Elias Andersson,49,51,33.0,49.0,0,3,Pass accurate,,-0.0025869714088918878,0.8821105643271655,1,False,False,False,,,,,
1,Mjällby AIF,Elias Andersson,,34,48,67.0,23.0,2,5,Pass inaccurate,,,0.5496567683587285,1,False,False,False,,,,,
2,Hammarby,Darijan Bojanic,,33,77,45.0,98.0,4,7,Pass inaccurate,,,0.6311765495954593,1,False,False,False,,,,,
3,Mjällby AIF,Max Watson,Jacob Bergström,55,2,78.0,14.0,10,13,Pass accurate,,0.01570733819087099,0.5102860162489837,1,False,False,False,,,,,
4,Hammarby,Darijan Bojanic,,21,84,8.0,71.0,13,16,Pass inaccurate,,,0.93034367111261,1,False,False,False,,,,,
5,Hammarby,Richard Magyar,,8,71,2.0,97.0,17,20,Pass inaccurate,,,0.9518043533311532,1,False,False,False,,,,,
6,Mjällby AIF,Elias Andersson,,98,3,98.0,3.0,43,53,Right corner inaccurate,,,,1,False,False,False,Corner,Cleared,,,
7,Mjällby AIF,Elias Andersson,,98,3,96.0,46.0,45,48,Pass into the box,,,,1,False,False,False,Corner,,,,
8,Mjällby AIF,Elias Andersson,,98,3,96.0,46.0,45,48,Pass inaccurate,,,0.16101722045326738,1,False,False,False,Corner,,,,
9,Hammarby,Richard Magyar,,4,54,,,45,50,Clearance inaccurate,,,,1,False,False,False,,,,,
10,Hammarby,Darijan Bojanic,,19,54,,,48,53,Block successful,,,,1,False,False,False,,,,,
11,Hammarby,Darijan Bojanic,,19,54,,,48,53,Challenge unsuccessful,,,,1,False,False,False,,,,,
12,Hammarby,Darijan Bojanic,,19,54,,,48,53,Block successful,,,,1,False,False,False,,,,,
13,Hammarby,Darijan Bojanic,,19,54,,,48,53,Challenge unsuccessful,,,,1,False,False,False,,,,,
14,Mjällby AIF,Joel Nilsson,,81,47,,,49,52,Blocked shot,0.047167821190688936,,,1,False,False,False,Corner,,,,
15,Mjällby AIF,Joel Nilsson,,81,47,,,49,52,Shot,0.047167821190688936,,,1,False,False,False,Corner,,Left Foot,,
16,Hammarby,Akinkunmi Ayobami Amoo,,32,75,,,50,55,Lost ball,,,,1,False,False,False,,,,,
17,Hammarby,Mads Fenger Nielsen,Akinkunmi Ayobami Amoo,18,52,31.0,76.0,50,53,Pass accurate,,-5.202550574828074e-06,0.7963226513688368,1,False,False,False,,,,,
18,Mjällby AIF,Max Watson,Carlos Moros Gracia,60,4,37.0,30.0,67,70,Pass accurate,,-0.004459352977319225,0.8357267962885616,2,False,False,False,,,,,
19,Mjällby AIF,Carlos Moros Gracia,Magnus Wørts,37,28,35.0,52.0,70,73,Pass accurate,,0.00017714964063689567,0.8675454770169531,2,False,False,False,,,,,
20,Mjällby AIF,Magnus Wørts,Jacob Bergström,36,54,70.0,31.0,75,78,Pass accurate,,0.012008253604906566,0.4260406920135383,2,False,False,False,,,,,
21,Mjällby AIF,Jacob Bergström,,72,31,82.0,31.0,77,80,Pass inaccurate,,,0.36137490808810036,2,False,False,False,,,,,
22,Mjällby AIF,Jacob Bergström,,71,26,,,77,80,Air challenge unsuccessful,,,,2,False,False,False,,,,,
23,Mjällby AIF,Jacob Bergström,,71,26,,,77,80,Challenge unsuccessful,,,,2,False,False,False,,,,,
24,Hammarby,Björn Paulsen,,29,75,,,77,80,Air challenge successful,,,,2,False,False,False,,,,,
25,Hammarby,Björn Paulsen,,29,75,,,77,80,Challenge successful,,,,2,False,False,False,,,,,
26,Hammarby,Björn Paulsen,,14,85,88.0,86.0,97,100,Pass inaccurate,,,0.372802342001182,2,False,False,False,,,,,
27,Mjällby AIF,Max Watson,Carljohan Eriksson,12,14,2.0,45.0,103,106,Pass accurate,,0.002223085292182486,0.9112049623281856,2,False,False,False,,,,,
28,Mjällby AIF,Carljohan Eriksson,Magnus Wørts,2,45,10.0,86.0,106,109,Pass accurate,,-0.002741940017186169,0.9148955092824532,2,False,False,False,,,,,
29,Mjällby AIF,Magnus Wørts,,21,90,56.0,69.0,111,114,Pass inaccurate,,,0.5581462270102329,2,False,False,False,,,,,
30,Hammarby,Mads Fenger Nielsen,,44,31,44.0,27.0,113,116,Pass inaccurate,,,0.26520333153042364,2,False,False,False,,,,,
31,Hammarby,Mads Fenger Nielsen,,44,27,,,113,116,Air challenge unsuccessful,,,,2,False,False,False,,,,,
32,Hammarby,Mads Fenger Nielsen,,44,27,,,113,116,Challenge unsuccessful,,,,2,False,False,False,,,,,
33,Mjällby AIF,Amin Sarr,,56,71,,,114,117,Air challenge successful,,,,2,False,False,False,,,,,
34,Mjällby AIF,Amin Sarr,,56,71,,,114,117,Challenge successful,,,,2,False,False,False,,,,,
35,Mjällby AIF,Jesper Gustavsson,,45,70,65.0,70.0,115,118,Pass inaccurate,,,0.1717589627924528,2,False,False,False,,,,,
36,Mjällby AIF,Jesper Gustavsson,,44,74,,,116,119,Air challenge unsuccessful,,,,2,False,False,False,,,,,
37,Mjällby AIF,Jesper Gustavsson,,44,74,,,116,119,Challenge unsuccessful,,,,2,False,False,False,,,,,
38,Hammarby,Jeppe Andrup Andersen,,54,25,,,116,119,Air challenge successful,,,,2,False,False,False,,,,,
39,Hammarby,Jeppe Andrup Andersen,,54,25,,,116,119,Challenge successful,,,,2,False,False,False,,,,,
40,Hammarby,Mads Fenger Nielsen,,37,29,38.0,14.0,117,120,Pass inaccurate,,,0.842480258563142,2,False,False,False,,,,,
