external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Östersund,Isak Ssali Ssewankambo,Noah Sonko Sundberg,51,50,29.0,51.0,0,2,Pass accurate,,-0.005153687985360585,0.9077521422162625,1,False,False,False,,,,,
1,Östersund,Noah Sonko Sundberg,Malcolm Stolt,29,53,68.0,79.0,3,5,Pass accurate,,0.011688256343633272,0.4720384548819866,1,False,False,False,,,,,
2,Östersund,Malcolm Stolt,,68,80,,,5,8,Air challenge unsuccessful,,,,1,False,False,False,,,,,
3,Östersund,Malcolm Stolt,,68,80,,,5,8,Challenge unsuccessful,,,,1,False,False,False,,,,,
4,Halmstad,Amir Al-Ammari,,32,20,,,5,8,Air challenge successful,,,,1,False,False,False,,,,,
5,Halmstad,Amir Al-Ammari,,32,20,,,5,8,Challenge successful,,,,1,False,False,False,,,,,
6,Östersund,Malcolm Stolt,Blair Sebastian Turgott,68,81,72.0,79.0,6,8,Pass accurate,,,0.642402548041266,1,False,False,False,,,,,
7,Östersund,Blair Sebastian Turgott,Ludvig Fritzson,90,96,91.0,88.0,11,13,Pass accurate,,,0.5026709859186599,1,False,False,False,,,,,
8,Östersund,Blair Sebastian Turgott,,72,79,90.0,96.0,6,13,Carry,,0.008517636901357397,,1,False,False,False,,,,,
9,Halmstad,Edvin Kurtulus,,6,6,,,14,19,Interception unsuccesful,,,,1,False,False,False,,,,,
10,Halmstad,Edvin Kurtulus,,6,6,,,14,19,Challenge successful,,,,1,False,False,False,,,,,
11,Östersund,Ludvig Fritzson,,96,94,88.0,98.0,15,17,Pass inaccurate,,,0.35060723922091985,1,False,False,False,,,,,
12,Östersund,Ludvig Fritzson,Patrick Kpozo,88,98,76.0,93.0,19,21,Pass accurate,,-0.006214435802851855,0.5409776924091968,1,False,False,False,,,,,
13,Östersund,Patrick Kpozo,Eirik Haugan,74,93,67.0,88.0,21,23,Pass accurate,,,0.7768882660010923,1,False,False,False,,,,,
14,Östersund,Eirik Haugan,Noah Sonko Sundberg,66,82,46.0,54.0,23,25,Pass accurate,,-0.003998948396048061,0.8062554056038695,1,False,False,False,,,,,
15,Östersund,Noah Sonko Sundberg,,46,54,94.0,89.0,27,29,Pass inaccurate,,,0.43447302600305404,1,False,False,False,,,,,
16,Halmstad,Edvin Kurtulus,,6,11,,,31,36,Interception unsuccesful,,,,1,False,False,False,,,,,
17,Halmstad,Edvin Kurtulus,,6,11,,,31,36,Challenge successful,,,,1,False,False,False,,,,,
18,Östersund,Charlie Colkett,Blair Sebastian Turgott,100,97,91.0,42.0,54,64,Left corner accurate,,,,1,False,False,False,Corner,Chance Created,,,
19,Östersund,Blair Sebastian Turgott,,89,38,,,57,60,Wide shot,0.10226149510864245,,,1,False,False,False,Corner,,,,
20,Halmstad,Malkolm Nilsson Säfqvist,,11,62,,,57,60,Goalkeeper wide shot,,,,1,False,False,False,,,,,
21,Östersund,Blair Sebastian Turgott,,89,38,,,57,60,Shot,0.10226149510864245,,,1,False,False,False,Corner,,Right Foot,,
22,Östersund,Charlie Colkett,Blair Sebastian Turgott,99,97,90.0,44.0,57,59,Pass into the box,,,,1,False,False,False,Corner,,,,
23,Östersund,Charlie Colkett,Blair Sebastian Turgott,99,97,90.0,44.0,57,59,Pass accurate,,0.08605040794388417,0.5454714408196264,1,False,False,False,Corner,,,,
24,Östersund,Charlie Colkett,Blair Sebastian Turgott,99,97,90.0,44.0,57,59,Key pass,,,0.5454714408196264,1,False,False,False,Corner,,,,
25,Halmstad,Andreas Johansson,,9,59,,,60,65,Block successful,,,,2,False,False,False,,,,,
26,Halmstad,Andreas Johansson,,9,59,,,60,65,Challenge unsuccessful,,,,2,False,False,False,,,,,
27,Östersund,Samuel Laryea Mensiro,,73,51,,,60,63,Wide shot,0.018290456846015126,,,2,False,False,False,Corner,,,,
28,Halmstad,Malkolm Nilsson Säfqvist,,27,49,,,60,63,Goalkeeper wide shot,,,,2,False,False,False,,,,,
29,Östersund,Samuel Laryea Mensiro,,73,51,,,60,63,Shot,0.018290456846015126,,,2,False,False,False,Corner,,Right Foot,,
30,Halmstad,Samuel Kroon,,11,47,23.0,50.0,62,64,Pass inaccurate,,,0.8930502206141159,2,False,False,False,,,,,
31,Halmstad,Marcus Antonsson,,23,50,,,64,69,Block successful,,,,2,False,False,False,,,,,
32,Halmstad,Marcus Antonsson,,23,50,,,64,69,Challenge unsuccessful,,,,2,False,False,False,,,,,
33,Halmstad,Malkolm Nilsson Säfqvist,,7,53,55.0,45.0,64,74,Pass inaccurate,,,,2,False,False,False,,,,,
34,Halmstad,Malkolm Nilsson Säfqvist,,7,53,55.0,45.0,64,74,Goalkeeper kick inaccurate,,,,2,False,False,False,,,,,
35,Halmstad,Emil Tot Wikström,,55,45,,,69,72,Foul,,,,2,False,False,False,,,,,
36,Östersund,Malcolm Stolt,,75,77,75.0,77.0,100,102,Pass inaccurate,,,0.24039158995283158,2,False,False,False,Free-kick,,,,
37,Halmstad,Marcus Antonsson,,84,32,,,111,136,Final third entry,,,,2,False,False,False,,,,,
38,Halmstad,Malkolm Nilsson Säfqvist,Marcus Antonsson,14,31,86.0,33.0,111,121,Pass accurate,,,,2,False,False,False,,,,,
39,Halmstad,Malkolm Nilsson Säfqvist,Marcus Antonsson,14,31,86.0,33.0,111,121,Goalkeeper kick accurate,,,,2,False,False,False,,,,,
40,Halmstad,Marcus Antonsson,,96,27,,,115,125,Penalty box entry unsuccessful,,,,2,False,False,False,,,,,
41,Halmstad,Marcus Antonsson,,86,33,96.0,27.0,111,125,Carry,,-0.005114791392225787,,2,False,False,False,,,,,
42,Östersund,Noah Sonko Sundberg,,4,70,,,121,126,Clearance accurate,,,,3,False,False,False,,,,,
43,Halmstad,Marcus Antonsson,,96,27,92.0,14.0,122,124,Pass inaccurate,,,0.6562652668681511,3,False,False,False,,,,,
44,Östersund,Eirik Haugan,,8,86,34.0,80.0,125,127,Pass inaccurate,,,0.7391782295176018,3,False,False,False,,,,,
45,Halmstad,Edvin Kurtulus,,66,20,,,126,131,Interception unsuccesful,,,,3,False,False,False,,,,,
46,Halmstad,Edvin Kurtulus,,66,20,,,126,131,Challenge successful,,,,3,False,False,False,,,,,
47,Östersund,Ludvig Fritzson,,34,90,,,126,131,Lost ball,,,,3,False,False,False,,,,,
48,Halmstad,Andreas Johansson,,54,5,,,129,134,Lost ball,,,,3,False,False,False,,,,,
49,Östersund,Ludvig Fritzson,,46,95,,,130,135,Tackle successful,,,,3,False,False,False,,,,,
50,Östersund,Ludvig Fritzson,,46,95,,,130,135,Challenge unsuccessful,,,,3,False,False,False,,,,,
51,Östersund,Blair Sebastian Turgott,,74,69,,,136,140,Offside,,,,3,False,False,False,,,,,
52,Östersund,Patrick Kpozo,Charlie Colkett,33,98,33.0,84.0,139,141,Pass accurate,,0.0013944507131610114,0.7919791143694775,3,False,False,False,,,,,
53,Östersund,Charlie Colkett,Blair Sebastian Turgott,31,87,70.0,70.0,140,142,Pass accurate,,0.01391388054548557,0.47253136470337476,3,False,False,False,,,,,
54,Halmstad,Sadat Karim,,74,15,,,182,185,Air challenge unsuccessful,,,,4,False,False,False,Free-kick,,,,
55,Halmstad,Sadat Karim,,74,15,,,182,185,Challenge unsuccessful,,,,4,False,False,False,Free-kick,,,,
56,Östersund,Eirik Haugan,,26,85,,,182,185,Air challenge successful,,,,4,False,False,False,,,,,
57,Östersund,Eirik Haugan,,26,85,,,182,185,Challenge successful,,,,4,False,False,False,,,,,
58,Halmstad,Sadat Karim,,75,15,84.0,35.0,183,185,Pass into the box,,,,4,False,False,False,Free-kick,,,,
59,Halmstad,Sadat Karim,,75,15,84.0,35.0,183,185,Pass inaccurate,,,0.6234307100293228,4,False,False,False,Free-kick,,,,
60,Östersund,Samuel Laryea Mensiro,,16,65,,,184,189,Clearance inaccurate,,,,4,False,False,False,,,,,
61,Halmstad,Edvin Kurtulus,Samuel Kroon,80,2,80.0,12.0,202,204,Pass accurate,,,0.6323318963169835,4,False,False,False,,,,,
62,Halmstad,Samuel Kroon,Edvin Kurtulus,80,13,79.0,5.0,203,205,Pass accurate,,-0.0022285319957929713,0.6160086333619516,4,False,False,False,,,,,
63,Halmstad,Edvin Kurtulus,Joel Allansson,74,4,68.0,13.0,205,207,Pass accurate,,0.0029833395362104873,0.72806532612284,4,False,False,False,,,,,
64,Halmstad,Edvin Kurtulus,,79,5,74.0,4.0,203,207,Carry,,-0.005796274482870466,,4,False,False,False,,,,,
65,Halmstad,Joel Allansson,Andreas Johansson,68,8,62.0,8.0,206,208,Pass accurate,,-0.004792399647438217,0.7983406536851534,4,False,False,False,,,,,
66,Halmstad,Andreas Johansson,Joseph Baffoe,62,9,39.0,31.0,208,210,Pass accurate,,-0.004459352977319225,0.8348052846858915,4,False,False,False,,,,,
67,Halmstad,Joseph Baffoe,,40,28,78.0,33.0,213,215,Pass inaccurate,,,0.4216490501078702,4,False,False,False,,,,,
68,Östersund,Aly Keita,,22,67,68.0,80.0,226,236,Pass inaccurate,,,,4,False,False,False,,,,,
69,Östersund,Aly Keita,,22,67,68.0,80.0,226,236,Goalkeeper kick inaccurate,,,,4,False,False,False,,,,,
70,Halmstad,Amir Al-Ammari,,32,20,,,233,238,Interception unsuccesful,,,,4,False,False,False,,,,,
71,Halmstad,Amir Al-Ammari,,32,20,,,233,238,Challenge successful,,,,4,False,False,False,,,,,
72,Halmstad,Amir Al-Ammari,,33,25,,,235,240,Lost ball,,,,4,False,False,False,,,,,
73,Östersund,Malcolm Stolt,,67,77,,,235,240,Tackle successful,,,,4,False,False,False,,,,,
74,Östersund,Malcolm Stolt,,67,77,,,235,240,Challenge unsuccessful,,,,4,False,False,False,,,,,
75,Östersund,Ludvig Fritzson,Patrick Kpozo,65,77,65.0,89.0,237,239,Pass accurate,,-0.002372399841753102,0.7989575769221617,4,False,False,False,,,,,
76,Östersund,Patrick Kpozo,,67,88,,,238,243,Lost ball,,,,4,False,False,False,,,,,
77,Halmstad,Samuel Kroon,,33,11,,,239,244,Tackle successful,,,,4,False,False,False,,,,,
78,Halmstad,Samuel Kroon,,33,11,,,239,244,Challenge unsuccessful,,,,4,False,False,False,,,,,
79,Halmstad,Samuel Kroon,,33,4,70.0,34.0,240,242,Pass inaccurate,,,0.3965442234430305,5,False,False,False,,,,,
80,Östersund,Noah Sonko Sundberg,,30,66,74.0,82.0,248,250,Pass inaccurate,,,0.4532456176652828,5,False,False,False,,,,,
81,Halmstad,Edvin Kurtulus,,26,18,,,250,255,Clearance accurate,,,,5,False,False,False,,,,,
82,Halmstad,Samuel Kroon,Joel Allansson,28,15,31.0,24.0,253,255,Pass accurate,,,0.8179502308921864,5,False,False,False,,,,,
83,Halmstad,Joel Allansson,Amir Al-Ammari,31,22,30.0,37.0,253,255,Pass accurate,,0.0007316033895666627,0.8718378380472132,5,False,False,False,,,,,
84,Halmstad,Amir Al-Ammari,Emil Tot Wikström,30,34,34.0,57.0,255,257,Pass accurate,,0.0014774793826186627,0.841762234971613,5,False,False,False,,,,,
85,Halmstad,Emil Tot Wikström,Andreas Bengtsson,33,66,57.0,88.0,258,260,Pass accurate,,0.0023268956604399656,0.6308434409658599,5,False,False,False,,,,,
86,Halmstad,Andreas Bengtsson,Emil Tot Wikström,67,92,62.0,82.0,262,264,Pass accurate,,-0.0015529266837266097,0.8248493916993195,5,False,False,False,,,,,
87,Halmstad,Andreas Bengtsson,,57,88,67.0,92.0,258,264,Carry,,0.006608750615073319,,5,False,False,False,,,,,
88,Halmstad,Emil Tot Wikström,Amir Al-Ammari,64,78,64.0,71.0,264,266,Pass accurate,,0.0009416788209277889,0.6244351475497886,5,False,False,False,,,,,
89,Halmstad,Samuel Kroon,,95,5,,,266,291,Final third entry,,,,5,False,False,False,,,,,
90,Halmstad,Amir Al-Ammari,Edvin Kurtulus,66,69,66.0,9.0,266,268,Pass accurate,,-0.002166952026519165,0.6644967772685196,5,False,False,False,,,,,
91,Halmstad,Edvin Kurtulus,Sadat Karim,68,9,87.0,32.0,270,272,Pass into the box,,,,5,False,False,False,,,,,
92,Halmstad,Edvin Kurtulus,Sadat Karim,68,9,87.0,32.0,270,272,Pass accurate,,0.039434846536615956,0.49195455031091667,5,False,False,False,,,,,
93,Halmstad,Sadat Karim,Samuel Kroon,87,25,91.0,7.0,273,275,Pass accurate,,-0.027637152035380863,0.701509414276211,5,False,False,False,,,,,
94,Halmstad,Samuel Kroon,,93,4,91.0,45.0,275,277,Pass into the box,,,,5,False,False,False,,,,,
95,Halmstad,Samuel Kroon,,93,4,91.0,45.0,275,277,Pass inaccurate,,,0.467603097453704,5,False,False,False,,,,,
96,Halmstad,Samuel Kroon,,93,4,91.0,45.0,275,277,Cross inacurate,,,0.467603097453704,5,False,False,False,,,,,
97,Östersund,Charlie Colkett,,9,55,,,276,281,Clearance accurate,,,,5,False,False,False,,,,,
98,Östersund,Malcolm Stolt,Ludvig Fritzson,32,80,28.0,83.0,279,281,Pass accurate,,,0.7471117308647548,5,False,False,False,,,,,
99,Östersund,Ludvig Fritzson,Patrick Kpozo,27,88,12.0,89.0,280,282,Pass accurate,,-0.0023971182482789184,0.9369713239332245,5,False,False,False,,,,,
100,Östersund,Patrick Kpozo,,7,91,29.0,98.0,285,287,Pass inaccurate,,,0.5537924683842843,5,False,False,False,,,,,
101,Halmstad,Edvin Kurtulus,Sadat Karim,71,2,90.0,25.0,289,291,Pass into the box,,,,5,False,False,False,,,,,
102,Halmstad,Edvin Kurtulus,Sadat Karim,71,2,90.0,25.0,289,291,Pass accurate,,0.039434846536615956,0.5001724075054812,5,False,False,False,,,,,
103,Östersund,Eirik Haugan,,5,85,,,293,298,Interception unsuccesful,,,,5,False,False,False,,,,,
104,Östersund,Eirik Haugan,,5,85,,,293,298,Challenge successful,,,,5,False,False,False,,,,,
105,Halmstad,Sadat Karim,,96,10,98.0,2.0,294,296,Pass inaccurate,,,0.6073726800388746,5,False,False,False,,,,,
106,Halmstad,Emil Tot Wikström,,98,2,90.0,57.0,321,331,Right corner inaccurate,,,,6,False,False,False,Corner,Cleared,,,
107,Östersund,Samuel Laryea Mensiro,,10,43,,,326,331,Clearance accurate,,,,6,False,False,False,,,,,
108,Halmstad,Joel Allansson,,70,70,,,330,335,Tackle unsuccessful,,,,6,False,False,False,Corner,,,,
109,Halmstad,Joel Allansson,,70,70,,,330,335,Challenge successful,,,,6,False,False,False,Corner,,,,
110,Östersund,Blair Sebastian Turgott,Samuel Laryea Mensiro,29,11,16.0,12.0,336,338,Pass accurate,,-0.00253709897169678,0.9267933958073323,6,False,False,False,,,,,
111,Östersund,Samuel Laryea Mensiro,,17,14,38.0,26.0,337,339,Pass inaccurate,,,0.7021518892904813,6,False,False,False,,,,,
112,Halmstad,Amir Al-Ammari,,62,74,,,338,343,Clearance accurate,,,,6,False,False,False,,,,,
113,Halmstad,Joel Allansson,,69,72,81.0,32.0,340,342,Pass inaccurate,,,0.6049573304594454,6,False,False,False,,,,,
114,Östersund,Aly Keita,Isak Ssali Ssewankambo,19,68,67.0,76.0,357,367,Pass accurate,,,,6,False,False,False,,,,,
115,Östersund,Aly Keita,Isak Ssali Ssewankambo,19,68,67.0,76.0,357,367,Goalkeeper kick accurate,,,,6,False,False,False,,,,,
116,Östersund,Isak Ssali Ssewankambo,Charlie Colkett,65,76,56.0,74.0,365,367,Pass accurate,,-0.002285596281785481,0.8203291874085116,7,False,False,False,,,,,
117,Östersund,Charlie Colkett,,56,75,,,366,369,Air challenge unsuccessful,,,,7,False,False,False,,,,,
118,Östersund,Charlie Colkett,,56,75,,,366,369,Challenge unsuccessful,,,,7,False,False,False,,,,,
119,Halmstad,Sadat Karim,,44,25,,,366,369,Air challenge successful,,,,7,False,False,False,,,,,
120,Halmstad,Sadat Karim,,44,25,,,366,369,Challenge successful,,,,7,False,False,False,,,,,
121,Östersund,Charlie Colkett,Isak Ssali Ssewankambo,56,75,67.0,73.0,367,369,Pass accurate,,0.00878010588843674,0.7071396266796993,7,False,False,False,,,,,
122,Östersund,Charlie Colkett,Isak Ssali Ssewankambo,56,75,67.0,73.0,367,369,Pass accurate,,0.00878010588843674,0.7071396266796993,7,False,False,False,,,,,
123,Östersund,Isak Ssali Ssewankambo,Felix Hörberg,61,77,60.0,64.0,369,371,Pass accurate,,0.0009416788209277889,0.8060094350007556,7,False,False,False,,,,,
124,Östersund,Isak Ssali Ssewankambo,,67,73,61.0,77.0,367,371,Carry,,-0.005591314885986135,,7,False,False,False,,,,,
125,Östersund,Felix Hörberg,,58,63,68.0,66.0,370,372,Pass inaccurate,,,0.6978676222661048,7,False,False,False,,,,,
126,Halmstad,Andreas Johansson,,32,34,,,370,375,Clearance accurate,,,,7,False,False,False,,,,,
127,Halmstad,Andreas Johansson,Emil Tot Wikström,30,35,33.0,49.0,371,373,Pass accurate,,0.0003990361199524197,0.841762234971613,7,False,False,False,,,,,
128,Halmstad,Emil Tot Wikström,Andreas Bengtsson,51,72,65.0,90.0,377,379,Pass accurate,,-8.680355996762076e-05,0.7538351082803609,7,False,False,False,,,,,
129,Halmstad,Emil Tot Wikström,,33,49,51.0,72.0,371,379,Carry,,0.004300323523154468,,7,False,False,False,,,,,
130,Halmstad,Emil Tot Wikström,,85,71,,,381,386,Lost ball,,,,7,False,False,False,,,,,
131,Halmstad,Andreas Bengtsson,Emil Tot Wikström,71,90,81.0,70.0,381,383,Pass accurate,,0.011527520559370456,0.6485023949949391,7,False,False,False,,,,,
132,Östersund,Aly Keita,,5,60,60.0,72.0,406,416,Pass inaccurate,,,,7,False,False,False,,,,,
133,Östersund,Aly Keita,,5,60,60.0,72.0,406,416,Goalkeeper kick inaccurate,,,,7,False,False,False,,,,,
134,Östersund,Malcolm Stolt,,60,72,,,412,415,Foul,,,,7,False,False,False,,,,,
135,Östersund,Charlie Colkett,,30,70,,,439,444,Clearance inaccurate,,,,8,False,False,False,,,,,
136,Halmstad,Joel Allansson,,67,25,,,440,445,Interception succesful,,,,8,False,False,False,Free-kick,,,,
137,Halmstad,Joel Allansson,,67,25,,,440,445,Challenge unsuccessful,,,,8,False,False,False,Free-kick,,,,
138,Halmstad,Andreas Bengtsson,,83,85,,,441,466,Final third entry,,,,8,False,False,False,Free-kick,,,,
139,Halmstad,Edvin Kurtulus,Amir Al-Ammari,61,17,62.0,30.0,443,445,Pass accurate,,0.0005115672019537672,0.7897950022504338,8,False,False,False,Free-kick,,,,
140,Halmstad,Amir Al-Ammari,Emil Tot Wikström,61,30,65.0,42.0,445,447,Pass accurate,,0.0007233210717187515,0.766706193681604,8,False,False,False,Free-kick,,,,
141,Halmstad,Emil Tot Wikström,Amir Al-Ammari,66,38,64.0,29.0,445,447,Pass accurate,,-0.0007233210717187515,0.8001230414527035,8,False,False,False,Free-kick,,,,
142,Halmstad,Amir Al-Ammari,Andreas Bengtsson,66,32,79.0,82.0,447,449,Pass accurate,,0.008487116677980546,0.5707398004698162,8,False,False,False,,,,,
143,Halmstad,Andreas Bengtsson,,83,85,91.0,44.0,450,452,Pass into the box,,,,8,False,False,False,,,,,
144,Halmstad,Andreas Bengtsson,,83,85,91.0,44.0,450,452,Pass inaccurate,,,0.49702240848032514,8,False,False,False,,,,,
145,Halmstad,Andreas Bengtsson,,83,85,91.0,44.0,450,452,Cross inacurate,,,0.49702240848032514,8,False,False,False,,,,,
146,Östersund,Patrick Kpozo,,9,56,,,451,456,Clearance accurate,,,,8,False,False,False,,,,,
147,Östersund,Samuel Laryea Mensiro,,13,30,33.0,30.0,454,456,Pass inaccurate,,,0.7324168223417329,8,False,False,False,,,,,
148,Halmstad,Sadat Karim,,88,27,,,454,479,Final third entry,,,,8,False,False,False,,,,,
149,Halmstad,Sadat Karim,,93,27,,,456,466,Penalty box entry unsuccessful,,,,8,False,False,False,,,,,
150,Halmstad,Samuel Kroon,Sadat Karim,71,15,88.0,30.0,461,463,Pass into the box,,,,8,False,False,False,,,,,
151,Halmstad,Samuel Kroon,Sadat Karim,71,15,88.0,30.0,461,463,Pass accurate,,0.03645150700040547,0.5406586290523641,8,False,False,False,,,,,
152,Östersund,Eirik Haugan,,8,70,,,463,468,Interception unsuccesful,,,,8,False,False,False,,,,,
153,Östersund,Eirik Haugan,,8,70,,,463,468,Challenge successful,,,,8,False,False,False,,,,,
154,Halmstad,Sadat Karim,,92,26,98.0,2.0,464,466,Pass inaccurate,,,0.6513329809938795,8,False,False,False,,,,,
155,Halmstad,Amir Al-Ammari,Edvin Kurtulus,98,2,90.0,58.0,489,499,Right corner accurate,,,,9,False,False,False,Corner,Chance Created,,,
156,Halmstad,Edvin Kurtulus,,91,59,,,491,494,Wide shot,0.13976415983626736,,,9,True,False,False,Corner,,,True,
157,Östersund,Aly Keita,,9,41,,,491,494,Goalkeeper wide shot,,,,9,False,False,False,,,,,
158,Halmstad,Edvin Kurtulus,,91,59,,,491,494,Shot,0.13976415983626736,,,9,True,False,False,Corner,,Header,True,
159,Halmstad,Amir Al-Ammari,Edvin Kurtulus,98,2,90.0,59.0,493,495,Pass into the box,,,,9,False,False,False,Corner,,,,
160,Halmstad,Amir Al-Ammari,Edvin Kurtulus,98,2,90.0,59.0,493,495,Pass accurate,,0.06319475661315534,0.36691432171110544,9,False,False,False,Corner,,,,
161,Halmstad,Amir Al-Ammari,Edvin Kurtulus,98,2,90.0,59.0,493,495,Key pass,,,0.36691432171110544,9,False,False,False,Corner,,,,
162,Halmstad,Edvin Kurtulus,,91,59,,,493,496,Foul,,,,9,False,False,False,Corner,,,,
163,Östersund,Aly Keita,Ludvig Fritzson,9,43,57.0,48.0,521,523,Pass accurate,,0.006635579673499618,0.5527875104283475,9,False,False,False,,,,,
164,Halmstad,Joel Allansson,,43,49,,,522,525,Air challenge successful,,,,9,False,False,False,,,,,
165,Halmstad,Joel Allansson,,43,49,,,522,525,Challenge successful,,,,9,False,False,False,,,,,
166,Östersund,Ludvig Fritzson,,57,51,,,522,525,Air challenge unsuccessful,,,,9,False,False,False,,,,,
167,Östersund,Ludvig Fritzson,,57,51,,,522,525,Challenge unsuccessful,,,,9,False,False,False,,,,,
168,Östersund,Ludvig Fritzson,,57,49,69.0,24.0,523,525,Pass inaccurate,,,0.7216222207803011,9,False,False,False,,,,,
169,Halmstad,Emil Tot Wikström,,31,76,67.0,62.0,524,526,Pass inaccurate,,,0.4789528162179659,9,False,False,False,,,,,
170,Östersund,Noah Sonko Sundberg,,33,38,,,526,531,Clearance accurate,,,,9,False,False,False,,,,,
171,Östersund,Ludvig Fritzson,,54,58,,,528,531,Air challenge unsuccessful,,,,9,False,False,False,,,,,
172,Östersund,Ludvig Fritzson,,54,58,,,528,531,Challenge unsuccessful,,,,9,False,False,False,,,,,
173,Halmstad,Samuel Kroon,,46,42,,,528,531,Air challenge successful,,,,9,False,False,False,,,,,
174,Halmstad,Samuel Kroon,,46,42,,,528,531,Challenge successful,,,,9,False,False,False,,,,,
175,Östersund,Ludvig Fritzson,,54,57,63.0,82.0,529,531,Pass inaccurate,,,0.7734397461397909,9,False,False,False,,,,,
176,Halmstad,Edvin Kurtulus,,37,18,95.0,44.0,532,534,Pass into the box,,,,9,False,False,False,,,,,
177,Halmstad,Edvin Kurtulus,,37,18,95.0,44.0,532,534,Pass inaccurate,,,0.26334755802122667,9,False,False,False,,,,,
178,Östersund,Aly Keita,,5,56,49.0,81.0,556,566,Pass inaccurate,,,,10,False,False,False,,,,,
