external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Malmö FF,home,Antonio Mirko Colak,Martin Olsson,49,51,29.0,55.0,0,3,pass accurate,,-0.0027516241001182586,0.9069476952091619,1,False,False,False,nan,nan,nan,,nan
1,Malmö FF,home,Martin Olsson,Sebastian Nanasi,29,51,75.0,12.0,2,5,pass accurate,,0.016113973420883627,0.520369819458403,1,False,False,False,nan,nan,nan,,nan
2,Malmö FF,home,Jo Inge Berget,,76,12,,,4,9,interception unsuccesful,,,,1,False,False,False,nan,nan,nan,,nan
3,Malmö FF,home,Jo Inge Berget,,76,12,,,4,9,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
4,Örebro,away,Kevin Adrian Wright,,24,87,,,6,9,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
5,Örebro,away,Kevin Adrian Wright,,24,87,,,6,9,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
6,Malmö FF,home,Jo Inge Berget,,77,13,,,6,9,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
7,Malmö FF,home,Jo Inge Berget,,77,13,,,6,9,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
8,Malmö FF,home,Veljko Birmančević,,69,5,,,7,12,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
9,Malmö FF,home,Veljko Birmančević,,69,5,,,7,12,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
10,Örebro,away,Jiloan Mohamed Hamad,Andreas Skovgaard Larsen,28,94,16.0,91.0,10,13,pass accurate,,-0.0023971182482789184,0.9391007018195072,1,False,False,False,nan,nan,nan,,nan
11,Örebro,away,Andreas Skovgaard Larsen,,11,93,62.0,86.0,12,15,pass inaccurate,,,0.5731273195207831,1,False,False,False,nan,nan,nan,,nan
12,Malmö FF,home,Lasse Ladegaard Nielsen,,38,14,,,14,19,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
13,Örebro,away,Jiloan Mohamed Hamad,,45,80,,,16,21,interception unsuccesful,,,,1,False,False,False,nan,nan,nan,,nan
14,Örebro,away,Jiloan Mohamed Hamad,,45,80,,,16,21,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
15,Malmö FF,home,Bonke Innocent,,41,22,,,17,22,tackle unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
16,Malmö FF,home,Bonke Innocent,,41,22,,,17,22,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
17,Örebro,away,Kevin Walker,Jiloan Mohamed Hamad,48,78,65.0,75.0,20,23,pass accurate,,0.005326292093645234,0.737526212266482,1,False,False,False,nan,nan,nan,,nan
18,Örebro,away,Kevin Walker,,48,77,,,20,23,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
19,Örebro,away,Kevin Walker,,48,77,,,20,23,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
20,Malmö FF,home,Sebastian Nanasi,,52,18,,,20,23,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
21,Malmö FF,home,Sebastian Nanasi,,52,18,,,20,23,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
22,Örebro,away,Jiloan Mohamed Hamad,Nahir Besara,64,79,64.0,57.0,21,24,pass accurate,,0.0019551231613734177,0.7684317022145221,1,False,False,False,nan,nan,nan,,nan
23,Örebro,away,Nahir Besara,,78,30,93.0,52.0,29,32,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
24,Örebro,away,Nahir Besara,,78,30,93.0,52.0,29,32,pass inaccurate,,,0.5181755045965432,1,False,False,False,nan,nan,nan,,nan
25,Örebro,away,Nahir Besara,,64,57,78.0,30.0,21,32,carry,,0.012113252709092664,,1,False,False,False,nan,nan,nan,,nan
26,Malmö FF,home,Anel Ahmedhodzic,,7,48,,,30,35,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
27,Örebro,away,Dennis Collander,Benjamin Hjertstrand,91,0,69.0,10.0,38,41,pass accurate,,-0.011797694501235093,0.8174883058736976,1,False,False,False,nan,nan,nan,,nan
28,Örebro,away,Benjamin Hjertstrand,,67,14,96.0,47.0,42,45,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
29,Örebro,away,Benjamin Hjertstrand,,67,14,96.0,47.0,42,45,pass inaccurate,,,0.18197272204388948,1,False,False,False,nan,nan,nan,,nan
30,Malmö FF,home,Johan Dahlin,Lasse Ladegaard Nielsen,4,53,9.0,66.0,48,58,pass accurate,,,,1,False,False,False,nan,nan,nan,,nan
31,Malmö FF,home,Johan Dahlin,Lasse Ladegaard Nielsen,4,53,9.0,66.0,48,58,goalkeeper kick accurate,,,,1,False,False,False,nan,nan,nan,,nan
32,Malmö FF,home,Lasse Ladegaard Nielsen,Anel Ahmedhodzic,10,67,10.0,33.0,53,56,pass accurate,,0.0007594080983958119,0.9193266082815894,1,False,False,False,nan,nan,nan,,nan
33,Malmö FF,home,Anel Ahmedhodzic,Jo Inge Berget,8,29,-2.0,29.0,55,58,pass accurate,,0.04803567686725174,0.9207521823524378,1,False,False,False,nan,nan,nan,,nan
34,Malmö FF,home,Jo Inge Berget,Anel Ahmedhodzic,29,13,21.0,17.0,71,74,pass accurate,,-0.0014354491175794844,0.9198010762763972,2,False,False,False,nan,nan,nan,,nan
35,Malmö FF,home,Anel Ahmedhodzic,,21,28,39.0,73.0,74,77,pass inaccurate,,,0.7080378813992863,2,False,False,False,nan,nan,nan,,nan
36,Örebro,away,Dennis Collander,,61,27,,,75,80,interception succesful,,,,2,False,False,False,nan,nan,nan,,nan
37,Örebro,away,Dennis Collander,,61,27,,,75,80,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
38,Örebro,away,David Seger,Dennis Collander,70,24,65.0,11.0,79,82,pass accurate,,-0.007775739183648704,0.795221996859203,2,False,False,False,nan,nan,nan,,nan
39,Malmö FF,home,Martin Olsson,,26,83,,,82,87,tackle successful,,,,2,False,False,False,nan,nan,nan,,nan
40,Malmö FF,home,Martin Olsson,,26,83,,,82,87,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
41,Malmö FF,home,Anders Bleg Christiansen,,30,72,,,83,88,interception succesful,,,,2,False,False,False,nan,nan,nan,,nan
42,Malmö FF,home,Anders Bleg Christiansen,,30,72,,,83,88,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
