external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IFK Göteborg,Marek Hamšík,Jesper Tolinsson,51,49,31.0,56.0,0,3,Pass accurate,,-0.005149041375285539,0.8913926315812905,1,False,False,False,,,,,
1,IFK Göteborg,Jesper Tolinsson,,31,52,91.0,7.0,3,6,Pass inaccurate,,,0.58370391299416,1,False,False,False,,,,,
2,IK Sirius FK,Axel Björnström,,9,93,,,9,14,Clearance accurate,,,,1,False,False,False,,,,,
3,IFK Göteborg,Tobias Sana,Kevin Yakob,90,0,90.0,11.0,20,23,Pass accurate,,,0.6949564687812756,1,False,False,False,,,,,
4,IFK Göteborg,Kevin Yakob,Tobias Sana,90,9,89.0,4.0,22,25,Pass accurate,,,0.6469011736834871,1,False,False,False,,,,,
5,IK Sirius FK,Jamie Roche,,8,76,,,24,29,Clearance accurate,,,,1,False,False,False,,,,,
6,IFK Göteborg,Tobias Sana,,90,4,100.0,4.0,24,27,Pass inaccurate,,,0.6502005796183151,1,False,False,False,,,,,
7,IFK Göteborg,Alexander Jallow,,77,9,,,25,50,Final third entry,,,,1,False,False,False,,,,,
8,IK Sirius FK,Axel Björnström,,9,89,,,27,32,Interception succesful,,,,1,False,False,False,,,,,
9,IK Sirius FK,Axel Björnström,,9,89,,,27,32,Challenge unsuccessful,,,,1,False,False,False,,,,,
10,IFK Göteborg,Alexander Jallow,,80,6,92.0,16.0,28,31,Pass inaccurate,,,0.5885846843460689,1,False,False,False,,,,,
11,IK Sirius FK,Axel Björnström,Adam Hellborg,8,84,11.0,81.0,30,33,Pass accurate,,0.0017376495929980855,0.4999886641450306,1,False,False,False,,,,,
12,IK Sirius FK,Adam Hellborg,Axel Björnström,10,81,10.0,92.0,30,33,Pass accurate,,-0.001342238789422922,0.916252616295884,1,False,False,False,,,,,
13,IFK Göteborg,Alexander Jallow,,79,8,,,31,36,Interception succesful,,,,1,False,False,False,,,,,
