external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Degerfors IF,home,Victor Edvardsen,Sebastian Ohlsson,51,48,30.0,65.0,0,3,pass accurate,,-0.005781188470905894,0.9077521422162625,1,False,False,False,nan,nan,nan,,nan
1,Degerfors IF,home,Sebastian Ohlsson,,32,61,73.0,13.0,3,6,pass inaccurate,,,0.5619870100147254,1,False,False,False,nan,nan,nan,,nan
2,Varbergs BoIS FC,away,Jean Carlos De Brito,,27,87,30.0,90.0,8,11,pass inaccurate,,,0.5843179571494891,1,False,False,False,nan,nan,nan,,nan
3,Degerfors IF,home,Gustav Granath,Victor Edvardsen,70,10,76.0,11.0,9,12,pass accurate,,0.005796274482870466,0.6810763721113003,1,False,False,False,nan,nan,nan,,nan
4,Degerfors IF,home,Victor Edvardsen,Sargon Abraham,76,13,91.0,4.0,10,13,pass accurate,,0.003772888022571655,0.7766774026777757,1,False,False,False,nan,nan,nan,,nan
5,Degerfors IF,home,Sargon Abraham,Victor Edvardsen,91,6,84.0,6.0,13,16,pass accurate,,,0.49214351914996496,1,False,False,False,nan,nan,nan,,nan
6,Degerfors IF,home,Victor Edvardsen,Gustav Granath,84,6,90.0,15.0,15,18,pass accurate,,0.001997570461074384,0.5834054479058605,1,False,False,False,nan,nan,nan,,nan
7,Varbergs BoIS FC,away,Jean Carlos De Brito,,9,72,,,17,22,tackle successful,,,,1,False,False,False,nan,nan,nan,,nan
8,Varbergs BoIS FC,away,Jean Carlos De Brito,,9,72,,,17,22,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
9,Varbergs BoIS FC,away,Stojan Lukic,Gideon Mensah,20,32,58.0,4.0,41,44,pass accurate,,0.004139176585395397,0.738980459560339,1,False,False,False,nan,nan,nan,,nan
10,Varbergs BoIS FC,away,Gideon Mensah,,56,3,73.0,10.0,43,46,pass inaccurate,,,0.6740563971657645,1,False,False,False,nan,nan,nan,,nan
11,Degerfors IF,home,Sebastian Ohlsson,Ismael Diawara,27,90,4.0,64.0,46,49,pass accurate,,-0.001881879705383319,0.9379211625077785,1,False,False,False,nan,nan,nan,,nan
12,Degerfors IF,home,Ismael Diawara,,4,59,44.0,1.0,50,53,pass inaccurate,,,0.8526624177182588,1,False,False,False,nan,nan,nan,,nan
13,Varbergs BoIS FC,away,Jean Carlos De Brito,Ryan Moon,56,99,69.0,95.0,72,75,pass accurate,,0.006608750615073319,0.7063323781122737,2,False,False,True,throw-in,nan,nan,,nan
14,Varbergs BoIS FC,away,Ryan Moon,,70,97,,,72,77,lost ball,,,,2,False,False,False,throw-in,nan,nan,,nan
15,Degerfors IF,home,Gustav Granath,Sebastian Ohlsson,31,1,29.0,51.0,89,92,pass accurate,,0.0023148428925965706,0.8278071124254701,2,False,False,False,nan,nan,nan,,nan
16,Degerfors IF,home,Sebastian Ohlsson,Abdelrahman Saidi,31,67,41.0,89.0,94,97,pass accurate,,-0.001018763339975205,0.818822175280189,2,False,False,False,nan,nan,nan,,nan
17,Varbergs BoIS FC,away,Robin Tranberg,,58,24,,,98,101,foul,,,,2,False,False,False,nan,nan,nan,,nan
18,Degerfors IF,home,Sebastian Ohlsson,Christos Gravius,43,79,34.0,72.0,109,112,pass accurate,,-0.0006643376552684412,0.8767965993722474,2,False,False,False,nan,nan,nan,,nan
19,Degerfors IF,home,Christos Gravius,Adam Carlén,37,72,45.0,49.0,111,114,pass accurate,,0.0020193072085338028,0.824289496902288,2,False,False,False,nan,nan,nan,,nan
20,Degerfors IF,home,Adam Carlén,Sargon Abraham,45,46,59.0,30.0,112,115,pass accurate,,0.0053213126395841755,0.7588160276386212,2,False,False,False,nan,nan,nan,,nan
