external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Malmö FF,Antonio Mirko Colak,Lasse Ladegaard Nielsen,51,49,29.0,64.0,0,2,pass accurate,,-0.005781188470905894,0.9015008119267531,1,False,False,False,nan,nan,nan,,nan
1,Malmö FF,Søren Rieks,,74,62,,,1,26,final third entry,,,,1,False,False,False,nan,nan,nan,,nan
2,Malmö FF,Lasse Ladegaard Nielsen,,32,64,92.0,69.0,3,5,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
3,Malmö FF,Lasse Ladegaard Nielsen,,32,64,92.0,69.0,3,5,pass inaccurate,,,0.3985298376043468,1,False,False,False,nan,nan,nan,,nan
4,Malmö FF,Anders Bleg Christiansen,,92,69,,,3,13,penalty box entry successful,,,,1,False,False,False,nan,nan,nan,,nan
5,Hammarby,Björn Paulsen,,24,66,,,5,8,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
6,Hammarby,Björn Paulsen,,24,66,,,5,8,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
7,Malmö FF,Malik Abubakari,,78,33,,,5,8,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
8,Malmö FF,Malik Abubakari,,78,33,,,5,8,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
9,Hammarby,Björn Paulsen,,25,70,,,5,10,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
10,Malmö FF,Bonke Innocent,Søren Rieks,67,33,66.0,57.0,8,10,pass accurate,,-0.004545653901259442,0.8006949340158358,1,False,False,False,nan,nan,nan,,nan
11,Malmö FF,Søren Rieks,Anders Bleg Christiansen,69,64,92.0,68.0,10,12,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
12,Malmö FF,Søren Rieks,Anders Bleg Christiansen,69,64,92.0,68.0,10,12,pass accurate,,0.027892681764879527,0.5480791453389726,1,False,False,False,nan,nan,nan,,nan
13,Malmö FF,Søren Rieks,Anders Bleg Christiansen,69,64,92.0,68.0,10,12,through ball successful,,,0.5480791453389726,1,False,False,False,nan,nan,nan,,nan
14,Malmö FF,Søren Rieks,,66,57,69.0,64.0,8,12,carry,,0.0036361917246127175,,1,False,False,False,nan,nan,nan,,nan
15,Hammarby,Björn Paulsen,,7,36,,,11,16,tackle unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
16,Hammarby,Björn Paulsen,,7,36,,,11,16,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
17,Malmö FF,Anders Bleg Christiansen,,90,67,100.0,98.0,12,14,pass inaccurate,,,0.35882621090101047,1,False,False,False,nan,nan,nan,,nan
18,Malmö FF,Anders Bleg Christiansen,,100,98,96.0,58.0,38,48,left corner inaccurate,,,,1,False,False,False,corner,cleared,nan,,nan
19,Hammarby,Björn Paulsen,,4,42,,,44,49,clearance accurate,,,,1,False,False,False,nan,nan,nan,,nan
