external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IF Elfsborg,Robert Gojani,Maudo Lamine Jarjué,51,49,34.0,64.0,0,2,Pass accurate,,-0.004389098628032894,0.8786857382041054,1,False,False,False,,,,,
1,IF Elfsborg,Maudo Lamine Jarjué,,33,64,77.0,30.0,2,4,Pass inaccurate,,,0.44998749585601544,1,False,False,False,,,,,
2,Östersund,Eirik Haugan,,23,70,,,5,10,Clearance inaccurate,,,,1,False,False,False,,,,,
3,Östersund,Isak Ssali Ssewankambo,,14,92,,,9,14,Interception succesful,,,,1,False,False,False,,,,,
4,Östersund,Isak Ssali Ssewankambo,,14,92,,,9,14,Challenge unsuccessful,,,,1,False,False,False,,,,,
5,IF Elfsborg,Christopher Mc Vey,,82,3,70.0,7.0,9,11,Pass inaccurate,,,0.7901786715643775,1,False,False,False,,,,,
6,IF Elfsborg,Christopher Mc Vey,,82,3,70.0,7.0,9,11,Cross inacurate,,,0.7901786715643775,1,False,False,False,,,,,
7,Östersund,Simon Kroon,,30,93,,,9,19,Dribble successful,,,,1,False,False,False,,,,,
8,Östersund,Simon Kroon,Eirik Haugan,32,86,29.0,79.0,20,22,Pass accurate,,,0.8114057871702058,1,False,False,False,,,,,
9,Östersund,Eirik Haugan,Samuel Laryea Mensiro,28,72,17.0,51.0,23,25,Pass accurate,,-0.0009346435171379321,0.9387687164520605,1,False,False,False,,,,,
10,Östersund,Samuel Laryea Mensiro,Noah Sonko Sundberg,18,49,24.0,12.0,25,27,Pass accurate,,-0.0024099249064822963,0.9157722183550445,1,False,False,False,,,,,
11,Östersund,Noah Sonko Sundberg,,21,10,62.0,20.0,28,30,Pass inaccurate,,,0.47481444276447243,1,False,False,False,,,,,
12,IF Elfsborg,Maudo Lamine Jarjué,,38,80,,,30,35,Clearance inaccurate,,,,1,False,False,False,,,,,
13,Östersund,Isak Ssali Ssewankambo,Francis Jno-Baptiste,39,42,64.0,30.0,33,35,Pass accurate,,0.0067701945981262016,0.6821864500052988,1,False,False,False,,,,,
14,IF Elfsborg,Robert Gojani,,41,77,,,36,39,Foul,,,,1,False,False,False,,,,,
15,Östersund,Francis Jno-Baptiste,,64,18,59.0,29.0,36,38,Pass inaccurate,,,0.7990978759819257,1,False,False,False,,,,,
16,Östersund,Isak Ssali Ssewankambo,Simon Kroon,59,29,62.0,45.0,48,50,Pass accurate,,0.0007233210717187515,0.7843283364866063,1,False,False,False,,,,,
17,IF Elfsborg,Frederik Holst,,40,59,,,51,56,Tackle unsuccessful,,,,1,False,False,False,,,,,
18,IF Elfsborg,Frederik Holst,,40,59,,,51,56,Challenge successful,,,,1,False,False,False,,,,,
19,IF Elfsborg,Frederik Holst,,46,79,,,52,55,Foul,,,,1,False,False,False,,,,,
20,Östersund,Noah Sonko Sundberg,Patrick Kpozo,52,18,70.0,92.0,69,71,Pass accurate,,0.004024525222913473,0.6038192748829943,2,False,False,False,,,,,
21,Östersund,Patrick Kpozo,,72,90,,,71,76,Lost ball,,,,2,False,False,False,,,,,
22,IF Elfsborg,Christopher Mc Vey,,30,1,43.0,13.0,84,86,Pass inaccurate,,,0.7436983072148055,2,False,False,False,,,,,
23,Östersund,Eirik Haugan,,57,87,,,85,90,Clearance inaccurate,,,,2,False,False,False,,,,,
24,IF Elfsborg,Frederik Holst,,33,10,,,86,89,Foul,,,,2,False,False,False,,,,,
25,Östersund,Samuel Laryea Mensiro,,86,4,,,118,143,Final third entry,,,,2,False,False,False,Free-kick,,,,
26,IF Elfsborg,Leo Väisänen,,11,53,,,120,123,Air challenge unsuccessful,,,,3,False,False,False,,,,,
27,IF Elfsborg,Leo Väisänen,,11,53,,,120,123,Challenge unsuccessful,,,,3,False,False,False,,,,,
28,Östersund,Ludvig Fritzson,,89,47,,,120,123,Air challenge successful,,,,3,False,False,False,Free-kick,,,,
29,Östersund,Ludvig Fritzson,,89,47,,,120,123,Challenge successful,,,,3,False,False,False,Free-kick,,,,
30,IF Elfsborg,Leo Väisänen,,12,54,,,120,125,Clearance inaccurate,,,,3,False,False,False,,,,,
31,Östersund,Isak Ssali Ssewankambo,Samuel Laryea Mensiro,71,32,83.0,12.0,124,126,Pass accurate,,0.002862623862084447,0.702153952845615,3,False,False,False,Free-kick,,,,
32,Östersund,Samuel Laryea Mensiro,,88,4,90.0,60.0,127,129,Pass into the box,,,,3,False,False,False,Free-kick,,,,
33,Östersund,Samuel Laryea Mensiro,,88,4,90.0,60.0,127,129,Pass inaccurate,,,0.46479316491066125,3,False,False,False,Free-kick,,,,
34,Östersund,Samuel Laryea Mensiro,,88,4,90.0,60.0,127,129,Cross inacurate,,,0.46479316491066125,3,False,False,False,Free-kick,,,,
35,Östersund,Samuel Laryea Mensiro,,83,12,88.0,4.0,124,129,Carry,,0.006001420018364626,,3,False,False,False,Free-kick,,,,
36,IF Elfsborg,Christopher Mc Vey,,10,40,,,129,132,Air challenge unsuccessful,,,,3,False,False,False,,,,,
37,IF Elfsborg,Christopher Mc Vey,,10,40,,,129,132,Challenge unsuccessful,,,,3,False,False,False,,,,,
