external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Kalmar FF,Oliver Berg,Douglas Bergqvist,51,49,31.0,57.0,0,3,pass accurate,,-0.005149041375285539,0.8913926315812905,1,False,False,False,nan,nan,nan,,nan
1,Kalmar FF,Douglas Bergqvist,Filip Sachpekidis,32,57,69.0,85.0,3,6,pass accurate,,0.011688256343633272,0.526501884345166,1,False,False,False,nan,nan,nan,,nan
2,Kalmar FF,Nils Fröling,,70,86,70.0,66.0,7,10,pass inaccurate,,,0.7556947414525116,1,False,False,False,nan,nan,nan,,nan
3,BK Häcken,Gustav Berggren,,30,34,46.0,55.0,8,11,pass inaccurate,,,0.7031622019212893,1,False,False,False,nan,nan,nan,,nan
4,BK Häcken,Jasse Tuominen,Kristoffer Lund Hansen,46,55,42.0,79.0,11,14,pass accurate,,-0.0013273436975971727,0.8545584633831231,1,False,False,False,nan,nan,nan,,nan
5,BK Häcken,Kristoffer Lund Hansen,Rasmus Lindgren,55,85,25.0,72.0,17,20,pass accurate,,-0.004193928589336069,0.9251670879279855,1,False,False,False,nan,nan,nan,,nan
6,BK Häcken,Kristoffer Lund Hansen,,42,79,55.0,85.0,11,20,carry,,0.0021375010911946282,,1,False,False,False,nan,nan,nan,,nan
7,BK Häcken,Rasmus Lindgren,,26,71,89.0,75.0,21,24,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
8,BK Häcken,Rasmus Lindgren,,26,71,89.0,75.0,21,24,pass inaccurate,,,0.375171241844001,1,False,False,False,nan,nan,nan,,nan
9,Kalmar FF,Lucas Hägg Johansson,Douglas Bergqvist,11,25,11.0,66.0,23,33,pass accurate,,,,1,False,False,False,nan,nan,nan,,nan
10,Kalmar FF,Lucas Hägg Johansson,Douglas Bergqvist,11,25,11.0,66.0,23,33,goalkeeper throw accurate,,,,1,False,False,False,nan,nan,nan,,nan
11,Kalmar FF,Douglas Bergqvist,Sebastian Ring,12,61,17.0,91.0,34,37,pass accurate,,-0.002239013931358327,0.9232489456854227,1,False,False,False,nan,nan,nan,,nan
12,Kalmar FF,Sebastian Ring,Carl Gustafsson,28,90,35.0,79.0,37,40,pass accurate,,0.0029782499871288098,0.845896532063723,1,False,False,False,nan,nan,nan,,nan
13,Kalmar FF,Carl Gustafsson,Nils Fröling,36,79,46.0,92.0,39,42,pass accurate,,-0.00021124459255205189,0.7869828961537371,1,False,False,False,nan,nan,nan,,nan
14,Kalmar FF,Nils Fröling,Oliver Berg,47,93,44.0,74.0,41,44,pass accurate,,0.0023575276090183634,0.8539823038329584,1,False,False,False,nan,nan,nan,,nan
