external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IFK Göteborg,home,Marcus Berg,Gustav Svensson,49,51,32.0,54.0,0,3,pass accurate,,-0.0027516241001182586,0.8821105643271655,1,False,False,False,nan,nan,nan,,nan
1,IFK Göteborg,home,Gustav Svensson,Oscar Wendt,32,53,27.0,82.0,2,5,pass accurate,,-0.001571993163333115,0.9155162504406108,1,False,False,False,nan,nan,nan,,nan
2,IFK Göteborg,home,Oscar Wendt,,30,83,91.0,61.0,6,9,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
3,IFK Göteborg,home,Oscar Wendt,,30,83,91.0,61.0,6,9,pass inaccurate,,,0.36504135116059927,1,False,False,False,nan,nan,nan,,nan
4,IFK Norrköping FK,away,Oscar Jansson,,9,39,,,9,14,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
5,IFK Norrköping FK,away,Oscar Jansson,,9,39,,,9,14,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
6,IFK Norrköping FK,away,Oscar Jansson,Henrik Castegren,8,53,10.0,30.0,24,34,pass accurate,,,,1,False,False,False,nan,nan,nan,,nan
7,IFK Norrköping FK,away,Oscar Jansson,Henrik Castegren,8,53,10.0,30.0,24,34,goalkeeper kick accurate,,,,1,False,False,False,nan,nan,nan,,nan
8,IFK Norrköping FK,away,Henrik Castegren,Oscar Jansson,9,29,6.0,54.0,29,32,pass accurate,,0.0007113037994877884,0.9141551079502863,1,False,False,False,nan,nan,nan,,nan
9,IFK Norrköping FK,away,Oscar Jansson,Ísak Bergmann Jóhannesson,6,43,15.0,57.0,31,34,pass accurate,,-0.00064313686550126,0.9094623924330689,1,False,False,False,nan,nan,nan,,nan
10,IFK Norrköping FK,away,Ísak Bergmann Jóhannesson,Oscar Jansson,16,52,4.0,48.0,33,36,pass accurate,,0.00064313686550126,0.9188507831875833,1,False,False,False,nan,nan,nan,,nan
11,IFK Norrköping FK,away,Oscar Jansson,Henrik Castegren,4,44,7.0,13.0,34,37,pass accurate,,-0.0035974943089449717,0.9371548191523982,1,False,False,False,nan,nan,nan,,nan
12,IFK Norrköping FK,away,Henrik Castegren,,10,10,48.0,16.0,37,40,pass inaccurate,,,0.5363982005599597,1,False,False,False,nan,nan,nan,,nan
13,IFK Göteborg,home,Carl Johansson,,52,84,,,39,44,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
14,IFK Göteborg,home,Carl Johansson,,52,84,,,39,44,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
15,IFK Göteborg,home,Carl Johansson,Marcus Berg,51,79,67.0,74.0,40,43,pass accurate,,0.00878010588843674,0.6836779312841715,1,False,False,False,nan,nan,nan,,nan
16,IFK Göteborg,home,Marcus Berg,,68,69,75.0,71.0,42,45,pass inaccurate,,,0.6952650579137111,1,False,False,False,nan,nan,nan,,nan
17,IFK Norrköping FK,away,Henrik Castegren,,25,29,53.0,46.0,44,47,pass inaccurate,,,0.619734060009124,1,False,False,False,nan,nan,nan,,nan
18,IFK Göteborg,home,Alexander Jallow,,47,54,,,46,51,interception unsuccesful,,,,1,False,False,False,nan,nan,nan,,nan
19,IFK Göteborg,home,Alexander Jallow,,47,54,,,46,51,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
20,IFK Norrköping FK,away,Ísak Bergmann Jóhannesson,,38,48,48.0,48.0,50,53,pass inaccurate,,,0.7562905213721698,1,False,False,False,nan,nan,nan,,nan
21,IFK Göteborg,home,Oscar Wendt,Tobias Sana,67,74,77.0,74.0,54,57,pass accurate,,0.00748913235711093,0.686443490623013,1,False,False,False,nan,nan,nan,,nan
22,IFK Göteborg,home,Tobias Sana,,70,91,,,60,70,dribble unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
23,IFK Göteborg,home,Tobias Sana,,57,87,70.0,91.0,54,70,carry,,0.004741717686177215,,1,False,False,False,nan,nan,nan,,nan
24,IFK Göteborg,home,Tobias Sana,,75,89,,,60,65,lost ball,,,,2,False,False,False,nan,nan,nan,,nan
25,IFK Norrköping FK,away,Linus Wahlqvist,,10,17,,,64,69,clearance accurate,,,,2,False,False,False,nan,nan,nan,,nan
26,IFK Norrköping FK,away,Linus Wahlqvist,,29,0,29.0,0.0,85,88,pass inaccurate,,,0.5380484237949393,2,False,False,True,throw-in,nan,nan,,nan
27,IFK Göteborg,home,Carl Johansson,,33,83,,,86,91,clearance inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
28,IFK Norrköping FK,away,Abdulrazaq Ishaq,Samuel Adeniyi Adegbenro,44,10,46.0,21.0,89,92,pass accurate,,0.0012554265433123452,0.7498255109470175,2,False,False,False,throw-in,nan,nan,,nan
29,IFK Norrköping FK,away,Samuel Adeniyi Adegbenro,Abdulrazaq Ishaq,47,21,47.0,7.0,91,94,pass accurate,,-0.0012554265433123452,0.8429238055028587,2,False,False,False,throw-in,nan,nan,,nan
30,IFK Göteborg,home,Sebastian Eriksson,,41,93,,,91,96,tackle unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
31,IFK Göteborg,home,Sebastian Eriksson,,41,93,,,91,96,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
32,IFK Norrköping FK,away,Abdulrazaq Ishaq,,64,0,71.0,1.0,96,99,pass inaccurate,,,0.8277576533495736,2,False,False,True,throw-in,nan,nan,,nan
33,IFK Göteborg,home,Oscar Wendt,Kolbeinn Sigþórsson,29,99,65.0,92.0,110,113,pass accurate,,0.007344616530907344,0.5458647076732022,2,False,False,True,throw-in,nan,nan,,nan
34,IFK Göteborg,home,Kolbeinn Sigþórsson,Marcus Berg,68,90,65.0,76.0,111,114,pass accurate,,-0.0015529266837266097,0.8089581328509553,2,False,False,False,throw-in,nan,nan,,nan
